date,open,high,low,close,volume
2018-12-10,42.25,42.25,42.0,42.22,9
2018-12-11,42.3,42.42,42.0,42.11,34
2018-12-12,42.35,42.99,42.11,42.78,27
2018-12-13,42.21,43.0,42.0,42.09,113
2018-12-14,42.59,42.9,42.0,42.69,30
2018-12-17,43.03,43.18,42.0,42.95,68
2018-12-18,43.0,43.88,43.0,43.68,20
2018-12-19,43.68,44.63,43.68,44.02,17
2018-12-20,44.1,44.3,40.86,42.63,45
2018-12-21,42.7,44.12,40.72,43.27,172
2018-12-24,43.27,43.89,40.05,41.86,33
2018-12-26,42.05,43.51,41.44,42.63,39
2018-12-27,42.2,42.8,41.21,41.86,12
2018-12-28,41.23,43.33,40.54,43.33,20
2018-12-31,44.41,44.49,43.05,44.06,32
2019-01-02,44.4,44.69,43.4,44.69,21
2019-01-03,43.89,44.8,43.16,43.63,29
2019-01-04,43.1,44.01,42.7,43.6,67
2019-01-07,43.26,44.2,42.68,43.98,29
2019-01-08,44.0,44.33,43.41,43.59,17
2019-01-09,44.0,44.0,44.0,44.0,0
2019-01-10,44.03,44.03,43.07,43.8,37
2019-01-11,42.25,44.0,42.24,44.0,16
2019-01-14,43.35,43.35,42.63,43.27,3
2019-01-15,43.3,43.3,42.54,43.0,10
2019-01-16,43.3,43.9,40.76,42.92,66
2019-01-17,43.14,43.14,41.12,41.36,64
2019-01-18,41.43,42.5,41.28,41.97,38
2019-01-22,42.0,42.0,40.96,40.96,23
2019-01-23,41.77,42.5,41.01,41.55,38
2019-01-24,40.95,42.0,40.95,41.93,10
2019-01-25,41.8,42.5,41.26,41.6,9
2019-01-28,41.73,41.74,40.89,41.02,27
2019-01-29,40.52,40.92,39.76,40.34,56
2019-01-30,40.52,42.29,40.19,41.49,58
2019-01-31,41.02,41.6,40.85,41.24,25
2019-02-01,42.0,43.79,42.0,43.75,23
2019-02-04,43.08,43.13,42.55,42.83,8
2019-02-05,42.68,43.23,42.65,43.0,11
2019-02-06,43.25,43.25,42.72,43.0,19
2019-02-07,43.0,43.6,41.76,42.59,13
2019-02-08,42.3,42.75,42.0,42.16,42
2019-02-11,42.0,43.01,42.0,42.25,17
2019-02-12,42.77,42.77,42.0,42.49,23
2019-02-13,42.94,42.94,42.57,42.88,3
2019-02-14,42.5,43.0,42.5,42.65,18
2019-02-15,42.93,43.37,42.93,43.12,15
2019-02-19,42.8,43.49,42.8,43.49,4
2019-02-20,43.59,43.6,43.12,43.22,30
2019-02-21,43.24,43.24,43.17,43.17,1
2019-02-22,43.17,44.24,43.17,44.24,55
2019-02-25,44.79,44.79,43.64,43.64,38
2019-02-26,44.21,44.21,42.88,43.26,3
2019-02-27,43.3,43.65,42.81,43.2,64
2019-02-28,43.05,44.1,42.96,43.75,102
2019-03-01,43.15,44.25,43.11,44.23,33
2019-03-04,43.91,44.11,43.62,43.75,18
2019-03-05,43.5,44.25,41.58,44.0,19
2019-03-06,43.7,44.0,43.26,43.56,6
2019-03-07,43.41,44.2,41.31,43.06,47
2019-03-08,42.65,43.67,42.01,42.72,44
2019-03-11,42.56,43.84,42.56,43.8,35
2019-03-12,43.65,43.65,43.05,43.51,5
2019-03-13,44.02,44.89,43.14,44.54,29
2019-03-14,44.73,46.41,43.77,46.2,107
2019-03-15,46.32,47.0,46.0,46.74,305
2019-03-18,46.41,46.69,45.45,46.61,60
2019-03-19,46.61,46.84,45.25,46.19,33
2019-03-20,45.16,46.4,44.77,45.1,73
2019-03-21,45.28,46.06,44.34,46.06,57
2019-03-22,45.33,46.39,44.28,44.77,34
