date,open,high,low,close,volume
2019-07-19,25.57,26.0,23.51,24.0,9479
2019-07-22,24.27,24.33,23.0,23.98,7459
2019-07-23,24.32,25.49,23.74,24.84,6157
2019-07-24,24.93,25.97,24.51,25.0,2904
2019-07-25,24.79,25.5,24.6,24.8,4489
2019-07-26,25.0,27.88,25.0,26.71,6270
2019-07-29,26.78,27.38,25.16,26.27,2612
2019-07-30,26.03,27.4,26.03,27.27,2616
2019-07-31,27.43,28.67,27.05,27.33,2794
2019-08-01,27.52,27.98,27.0,27.42,1193
2019-08-02,27.5,27.5,26.12,26.86,1989
2019-08-05,26.68,27.0,24.8,26.44,1646
2019-08-06,26.59,27.76,26.56,27.21,2391
2019-08-07,26.93,27.27,26.62,26.85,397
2019-08-08,26.98,27.75,26.64,27.37,481
2019-08-09,27.41,29.0,27.41,28.21,1993
2019-08-12,28.11,29.38,27.88,28.875,2520
2019-08-13,29.13,29.21,27.3,28.66,1697
2019-08-14,28.41,28.97,26.27,26.34,1186
2019-08-15,26.14,27.4,25.18,25.25,2259
2019-08-16,25.65,27.33,25.06,26.67,1709
2019-08-19,26.74,27.17,26.08,26.86,783
2019-08-20,26.82,27.5,25.95,26.55,913
2019-08-21,26.55,27.46,25.07,26.97,1150
2019-08-22,27.02,27.59,26.8,27.09,771
2019-08-23,27.12,27.65,26.19,26.31,805
2019-08-26,26.34,26.86,25.17,25.43,1074
2019-08-27,25.75,26.58,25.35,25.72,858
2019-08-28,25.59,26.13,23.14,25.01,2612
2019-08-29,25.35,27.55,25.28,26.96,1990
2019-08-30,27.0,27.17,26.3,26.77,801
2019-09-03,26.82,27.43,26.56,27.01,1527
2019-09-04,27.0,28.78,26.89,27.93,1963
2019-09-05,28.18,28.4,26.35,26.88,3565
2019-09-06,26.97,27.46,25.15,25.26,2831
2019-09-09,25.41,25.92,22.05,22.51,5655
2019-09-10,22.61,25.58,22.41,25.32,3624
2019-09-11,25.46,25.85,24.31,25.61,1383
2019-09-12,25.42,26.64,25.42,26.19,1777
2019-09-13,26.41,27.12,25.84,27.11,1182
2019-09-16,27.0,27.68,26.69,27.25,1935
2019-09-17,27.36,27.86,26.66,27.15,1414
2019-09-18,27.25,27.73,26.96,27.38,901
2019-09-19,27.54,27.76,26.69,27.01,1446
2019-09-20,26.83,27.98,26.6,27.28,3802
2019-09-23,27.25,28.79,26.99,28.21,2171
2019-09-24,28.11,28.34,26.06,26.36,3421
2019-09-25,26.22,27.25,26.04,27.0,3962
2019-09-26,26.99,26.99,24.55,25.41,5141
2019-09-27,25.49,25.74,23.96,24.99,2701
2019-09-30,24.95,25.16,24.06,24.24,1753
2019-10-01,24.38,24.96,24.07,24.32,2253
2019-10-02,24.05,24.07,22.94,23.05,1907
2019-10-03,23.08,23.92,22.27,23.6,2244
2019-10-04,23.72,24.93,23.3,24.72,1239
2019-10-07,24.87,26.23,24.69,26.14,1505
2019-10-08,25.87,26.04,25.07,25.38,1827
2019-10-09,25.49,26.0,25.08,25.56,811
2019-10-10,25.49,26.43,25.47,26.24,1137
2019-10-11,26.58,28.49,26.2,27.66,7466
2019-10-14,27.53,27.57,26.35,26.93,1538
2019-10-15,27.02,27.97,26.66,27.06,2913
2019-10-16,26.98,28.16,26.81,27.9,1494
2019-10-17,27.9,28.94,27.68,28.6,1400
2019-10-18,28.45,29.0,27.91,28.03,2890
2019-10-21,27.86,28.57,27.35,27.55,1468
2019-10-22,27.59,27.98,26.96,27.12,1502
2019-10-23,27.09,27.63,26.35,26.41,1479
2019-10-24,26.46,27.09,26.4,26.93,2180
2019-10-25,26.82,27.49,26.45,26.84,1771
2019-10-28,26.92,27.94,26.56,26.76,777
2019-10-29,26.37,27.76,25.88,27.65,1189
2019-10-30,27.66,28.09,27.26,27.93,847
2019-10-31,28.15,31.0,27.84,29.63,2858
2019-11-01,30.0,30.35,29.49,29.91,1775
2019-11-04,30.1,30.37,28.81,29.54,973
2019-11-05,29.62,30.0,28.86,29.08,892
2019-11-06,29.1,30.0,28.8,29.86,731
2019-11-07,30.06,30.2,29.61,29.96,957
2019-11-08,29.9,30.2,29.16,29.7,848
2019-11-11,29.51,29.81,27.61,28.56,922
2019-11-12,28.6,29.38,28.37,28.74,712
2019-11-13,28.58,30.11,28.5,29.92,1133
2019-11-14,30.14,30.14,29.34,29.61,414
2019-11-15,30.0,30.04,29.46,29.58,1105
2019-11-18,29.57,29.85,28.27,28.38,802
2019-11-19,28.45,29.1,28.45,28.91,531
2019-11-20,28.83,29.0,28.18,28.66,929
2019-11-21,28.96,29.23,28.62,28.88,1082
2019-11-22,29.0,29.11,28.27,28.95,1423
2019-11-25,29.0,29.6,28.88,29.24,955
2019-11-26,29.22,30.2,28.92,29.38,1685
2019-11-27,29.68,29.68,28.53,29.06,959
2019-11-29,28.99,29.57,28.05,28.12,465
2019-12-02,28.31,28.85,27.29,28.28,678
2019-12-03,27.94,28.25,27.6,28.12,391
2019-12-04,28.32,28.78,27.92,28.44,523
2019-12-05,28.48,29.03,28.3,28.4,2416
2019-12-06,28.48,29.73,28.45,29.13,1276
2019-12-09,29.1,29.4,28.55,28.93,1670
2019-12-10,30.1,30.78,26.5,28.83,3059
2019-12-11,27.86,29.93,27.11,28.66,3047
2019-12-12,28.82,28.99,27.5,28.67,2684
2019-12-13,26.6,27.38,25.59,26.58,28789
2019-12-16,26.4,26.8,25.25,25.92,5643
2019-12-17,26.0,26.39,25.49,26.01,3188
2019-12-18,25.82,26.99,25.25,26.65,3204
2019-12-19,26.68,26.75,25.6,26.09,2559
2019-12-20,26.36,26.55,25.78,25.98,2073
2019-12-23,26.0,26.43,25.65,26.14,2612
2019-12-24,26.21,26.76,25.96,26.19,691
2019-12-26,26.41,27.1,26.35,26.46,1345
2019-12-27,26.61,26.64,26.2,26.39,1762
2019-12-30,26.47,26.59,25.9,26.38,1767
2019-12-31,26.32,26.87,26.15,26.64,1612
2020-01-02,26.74,27.1,25.7,26.37,2703
2020-01-03,26.07,26.71,25.95,26.59,1606
2020-01-06,26.54,27.31,26.02,27.24,1416
2020-01-07,27.19,27.52,27.09,27.24,2607
2020-01-08,27.24,27.48,26.52,27.11,1328
2020-01-09,27.29,27.57,26.73,26.78,2006
2020-01-10,26.83,26.91,26.29,26.56,1517
2020-01-13,26.56,26.82,26.21,26.21,6517
2020-01-14,26.08,26.23,25.25,25.88,4358
2020-01-15,25.68,26.21,25.68,26.0,4427
2020-01-16,26.05,27.7,25.9,27.59,3684
2020-01-17,27.74,28.18,27.46,27.83,4629
2020-01-21,27.68,28.54,27.33,28.33,4840
2020-01-22,28.42,28.75,27.84,28.5,3799
2020-01-23,28.39,29.01,27.73,29.0,3424
2020-01-24,29.25,30.19,29.11,29.99,3404
2020-01-27,29.52,29.74,28.46,29.26,4819
2020-01-28,29.39,30.67,29.29,30.65,4492
2020-01-29,30.7,31.38,30.11,31.15,3430
2020-01-30,30.95,31.36,30.85,31.18,3069
2020-01-31,31.2,31.2,30.4,31.0,2861
2020-02-03,31.08,31.51,30.15,31.47,3457
2020-02-04,31.7,31.85,30.92,31.03,4224
2020-02-05,31.4,33.71,31.4,33.43,3866
2020-02-06,33.6,34.32,32.73,33.27,6251
2020-02-07,33.25,33.34,32.0,32.58,1079
2020-02-10,32.62,33.66,32.28,32.76,2698
2020-02-11,32.8,33.48,32.25,33.29,1018
2020-02-12,33.24,33.54,32.09,32.36,2122
2020-02-13,32.13,34.39,32.13,33.55,2460
2020-02-14,33.62,33.72,32.41,32.61,1152
2020-02-18,32.47,33.52,32.34,32.73,1188
2020-02-19,32.85,34.85,32.8,33.37,4757
2020-02-20,33.4,34.3,33.2,33.61,4172
2020-02-21,33.67,34.59,33.48,34.13,1662
2020-02-24,33.12,33.62,31.14,31.82,2355
2020-02-25,32.0,32.58,30.33,30.46,1458
2020-02-26,30.61,31.89,30.61,31.7,2984
2020-02-27,31.19,32.68,30.52,31.45,2165
2020-02-28,30.28,31.16,29.76,31.04,3143
2020-03-02,31.14,31.28,28.86,29.5,2535
2020-03-03,29.65,30.39,28.51,29.3,1440
2020-03-04,29.84,32.3,29.54,31.39,2651
2020-03-05,30.71,31.24,30.35,30.79,1900
2020-03-06,30.07,30.44,27.67,28.15,2271
2020-03-09,26.76,26.93,24.5,24.82,3841
2020-03-10,25.7,25.74,24.12,25.27,2268
2020-03-11,24.74,25.07,22.96,23.5,2618
2020-03-12,21.86,23.18,19.79,20.94,3717
2020-03-13,22.03,22.29,19.67,20.3,3925
2020-03-16,18.75,19.01,16.42,18.09,4052
2020-03-17,18.14,19.44,17.29,18.86,2783
2020-03-18,17.64,18.07,16.01,16.59,1167
2020-03-19,16.64,18.69,16.09,18.53,4083
2020-03-20,18.83,21.4,16.57,20.12,11333
2020-03-23,20.0,20.25,18.6,18.99,3117
2020-03-24,19.89,19.89,17.66,18.16,3647
2020-03-25,18.03,19.44,16.87,18.18,6647
2020-03-26,17.94,20.77,17.39,20.57,2991
2020-03-27,19.87,20.21,18.51,18.67,2297
2020-03-30,18.68,20.34,18.01,20.34,4758
