date,open,high,low,close,volume
2018-12-10,33.1,33.3,32.32,33.13,158
2018-12-11,33.74,33.74,32.16,32.54,92
2018-12-12,32.82,34.05,32.42,33.25,106
2018-12-13,33.28,34.33,32.38,32.52,136
2018-12-14,32.03,32.8,31.3,31.37,138
2018-12-17,31.25,33.38,31.03,31.03,123
2018-12-18,31.39,33.72,31.08,31.42,94
2018-12-19,31.43,32.52,30.81,31.04,130
2018-12-20,31.05,32.23,29.41,30.6,202
2018-12-21,30.59,30.79,29.51,30.24,413
2018-12-24,29.93,29.93,28.23,28.23,81
2018-12-26,28.52,29.9,28.01,29.44,123
2018-12-27,29.0,30.1,29.0,30.1,131
2018-12-28,30.36,30.47,29.76,29.98,53
2018-12-31,30.23,31.44,29.75,30.69,84
2019-01-02,30.15,32.0,30.15,30.71,192
2019-01-03,30.54,30.81,29.76,29.91,65
2019-01-04,30.43,31.77,30.32,31.67,80
2019-01-07,31.7,32.34,31.43,31.77,91
2019-01-08,32.04,32.71,31.88,32.47,102
2019-01-09,32.56,32.89,32.25,32.39,73
2019-01-10,32.2,32.52,31.92,32.18,57
2019-01-11,31.89,32.62,31.89,32.34,63
2019-01-14,32.11,32.61,31.65,31.65,79
2019-01-15,31.64,32.09,31.21,31.58,122
2019-01-16,31.39,32.16,31.24,31.46,147
2019-01-17,31.16,31.33,30.74,31.12,427
2019-01-18,31.03,31.94,30.6,31.2,276
2019-01-22,30.95,31.82,30.55,31.01,580
2019-01-23,31.23,31.61,31.09,31.41,81
2019-01-24,31.27,31.76,31.04,31.27,51
2019-01-25,31.48,31.9,31.3,31.6,17
2019-01-28,31.42,31.58,30.83,31.08,88
2019-01-29,31.35,31.35,30.8,31.0,27
2019-01-30,31.19,31.76,30.84,31.56,256
2019-01-31,31.51,32.84,31.39,32.48,202
2019-02-01,32.55,32.73,32.11,32.55,133
2019-02-04,32.56,32.92,32.26,32.88,49
2019-02-05,32.97,33.37,32.83,33.23,160
2019-02-06,33.23,34.06,33.23,33.55,67
2019-02-07,33.32,33.39,31.99,32.735,67
2019-02-08,32.73,33.11,32.45,32.45,30
2019-02-11,32.42,32.75,31.56,32.37,207
2019-02-12,33.41,33.48,32.8,33.44,84
2019-02-13,33.45,34.49,33.11,33.22,142
2019-02-14,33.8,33.8,33.19,33.19,65
2019-02-15,33.45,34.1,33.23,33.92,181
2019-02-19,33.92,34.7,33.83,34.35,119
2019-02-20,34.34,34.77,34.05,34.24,76
2019-02-21,34.3,34.3,33.44,33.45,67
2019-02-22,33.75,34.04,33.29,33.5,180
2019-02-25,33.78,33.96,32.24,32.24,146
2019-02-26,32.47,32.87,31.81,32.06,99
2019-02-27,31.86,33.04,31.86,32.26,89
2019-02-28,32.02,32.69,31.79,31.79,53
2019-03-01,31.88,32.35,31.45,31.7,184
2019-03-04,31.97,32.5,31.27,31.74,327
2019-03-05,37.4,37.4,32.92,33.56,886
2019-03-06,33.6,34.24,32.42,33.49,255
2019-03-07,33.6,34.01,32.19,33.43,118
2019-03-08,33.01,33.57,32.5,32.9,170
2019-03-11,33.19,34.88,32.97,33.86,278
2019-03-12,34.05,34.05,33.2,33.31,93
2019-03-13,33.39,33.52,32.68,32.99,212
2019-03-14,32.91,33.13,32.76,33.07,111
2019-03-15,33.05,33.3,32.58,32.73,378
2019-03-18,32.75,33.38,32.6,33.12,305
2019-03-19,33.25,33.55,32.65,32.98,157
2019-03-20,32.93,33.78,32.28,33.3,202
2019-03-21,33.29,33.83,32.68,32.75,63
2019-03-22,32.56,32.7,30.83,30.93,183
2019-03-25,30.92,31.65,30.65,30.97,164
2019-03-26,31.14,32.32,30.83,32.19,167
2019-03-27,32.21,32.55,31.39,31.44,159
2019-03-28,31.65,32.7,31.6,32.63,55
2019-03-29,32.94,32.94,31.51,32.38,232
2019-04-01,32.73,33.87,32.32,33.25,175
2019-04-02,33.26,33.65,33.19,33.32,71
2019-04-03,33.72,34.28,33.56,34.24,58
2019-04-04,34.23,34.92,34.23,34.69,52
2019-04-05,33.91,35.44,33.91,34.92,90
2019-04-08,34.76,35.12,34.21,34.92,83
2019-04-09,34.87,34.93,34.45,34.61,90
2019-04-10,34.73,35.55,34.65,35.52,68
2019-04-11,35.55,35.55,34.55,34.92,53
2019-04-12,35.23,35.5,35.0,35.18,71
2019-04-15,35.55,37.24,35.21,36.67,538
2019-04-16,37.04,38.77,37.04,38.24,277
2019-04-17,38.46,38.46,36.89,37.27,90
2019-04-18,37.05,37.15,36.34,36.8,128
2019-04-22,36.63,36.76,35.99,36.45,106
2019-04-23,36.51,37.71,36.43,36.99,52
2019-04-24,36.95,37.64,36.79,36.9,87
2019-04-25,36.84,37.07,35.65,35.97,85
2019-04-26,35.95,36.6,35.61,36.21,45
2019-04-29,36.06,36.98,35.82,36.95,86
2019-04-30,36.87,36.91,36.32,36.63,105
2019-05-01,36.92,37.7,36.11,37.51,248
2019-05-02,37.39,37.39,35.66,36.21,161
2019-05-03,36.64,37.17,36.44,37.0,89
2019-05-06,36.52,37.5,35.94,37.23,178
2019-05-07,35.61,37.05,35.28,35.47,167
2019-05-08,36.82,36.83,34.75,34.84,121
2019-05-09,34.42,35.73,33.61,35.45,187
2019-05-10,35.11,35.22,34.14,34.31,101
2019-05-13,33.4,34.63,33.26,34.08,215
2019-05-14,34.09,34.84,33.96,34.31,59
2019-05-15,34.02,35.17,34.02,34.6,105
2019-05-16,34.71,34.96,33.4,34.53,94
2019-05-17,34.12,34.46,33.15,33.4,137
2019-05-20,33.17,34.49,33.11,34.29,267
2019-05-21,34.48,36.25,34.48,35.6,148
2019-05-22,35.48,35.89,35.02,35.36,125
2019-05-23,34.73,34.91,33.93,34.17,189
2019-05-24,34.44,34.57,33.8,34.3,53
2019-05-28,34.11,34.6,33.23,33.37,132
2019-05-29,33.2,33.42,32.75,33.1,200
2019-05-30,33.24,33.63,32.3,32.65,146
2019-05-31,32.07,32.15,31.03,31.22,116
2019-06-03,31.07,31.68,30.5,31.15,207
2019-06-04,31.56,31.98,30.78,31.27,127
2019-06-05,31.42,31.95,30.67,31.17,201
2019-06-06,31.23,31.75,29.36,29.5,172
2019-06-07,29.57,30.44,29.18,30.33,361
2019-06-10,30.49,31.16,30.46,30.79,299
2019-06-11,31.07,32.0,30.78,31.75,199
2019-06-12,31.79,31.95,31.21,31.44,246
2019-06-13,31.52,32.44,31.49,32.43,129
2019-06-14,32.31,32.31,30.82,31.06,170
2019-06-17,31.2,32.27,31.09,31.81,197
2019-06-18,32.18,33.25,32.11,32.25,80
2019-06-19,32.05,32.76,31.22,32.61,256
2019-06-20,32.99,32.99,31.5,32.07,182
2019-06-21,31.83,32.34,31.13,31.67,139
2019-06-24,31.78,31.78,30.73,31.31,200
2019-06-25,31.35,31.63,30.3,31.3,115
2019-06-26,31.12,31.61,30.1,31.26,122
2019-06-27,30.9,31.9,30.87,31.9,330
2019-06-28,31.9,33.15,31.9,32.59,84
2019-07-01,33.11,34.03,32.71,33.24,203
2019-07-02,33.21,33.46,32.33,32.85,71
2019-07-03,32.81,33.0,32.56,32.61,31
2019-07-05,32.37,33.02,31.99,32.68,73
2019-07-08,32.68,32.68,31.88,31.88,99
2019-07-09,31.83,31.83,31.0,31.33,60
2019-07-10,31.47,32.28,31.34,31.35,105
2019-07-11,31.85,31.85,30.3,30.71,131
2019-07-12,30.89,31.5,30.75,30.95,75
2019-07-15,31.19,31.37,30.33,31.35,96
2019-07-16,31.1,31.56,30.87,30.99,118
2019-07-17,31.04,31.7,30.99,31.53,119
2019-07-18,30.8,31.06,30.13,30.44,144
2019-07-19,30.35,31.27,30.35,30.49,66
2019-07-22,31.03,31.22,29.54,30.05,98
2019-07-23,30.14,30.79,29.21,29.5,493
2019-07-24,29.48,31.83,29.33,31.5,337
2019-07-25,31.14,31.61,30.16,30.16,54
2019-07-26,30.23,31.58,29.61,31.42,181
2019-07-29,31.49,31.63,30.75,30.9,71
2019-07-30,30.26,31.44,30.26,31.2,67
2019-07-31,31.35,31.79,30.59,30.6,128
2019-08-01,30.85,31.49,30.02,30.12,158
2019-08-02,29.77,30.48,29.25,29.76,118
2019-08-05,28.96,29.36,26.72,27.98,503
2019-08-06,27.34,29.22,27.1,27.59,194
2019-08-07,27.09,28.39,26.61,27.26,167
2019-08-08,27.32,28.7,27.32,28.18,213
2019-08-09,28.38,28.38,26.9,27.5,245
2019-08-12,27.2,27.63,27.05,27.49,462
2019-08-13,27.28,28.84,27.28,27.95,222
2019-08-14,27.38,27.49,27.0,27.18,323
2019-08-15,27.34,27.8,26.83,27.6,251
2019-08-16,27.88,28.0,27.42,27.88,124
2019-08-19,27.95,28.25,27.73,28.1,62
2019-08-20,28.19,28.19,27.52,27.69,100
2019-08-21,27.95,27.96,27.45,27.65,116
2019-08-22,27.92,28.73,27.68,28.08,151
2019-08-23,28.02,28.23,27.12,27.12,237
2019-08-26,27.54,27.69,26.94,27.12,453
2019-08-27,27.19,27.56,25.73,26.1,237
2019-08-28,25.99,26.75,25.99,26.62,61
2019-08-29,26.89,27.41,26.62,26.99,193
2019-08-30,27.07,27.19,26.35,27.19,191
2019-09-03,26.89,26.97,26.55,26.85,446
2019-09-04,26.97,27.42,26.7,26.86,361
2019-09-05,27.29,28.46,27.25,28.38,576
2019-09-06,28.49,28.57,28.02,28.05,54
2019-09-09,28.34,30.03,28.25,29.88,208
2019-09-10,29.86,31.26,29.85,30.76,147
2019-09-11,31.0,31.91,30.89,31.67,134
2019-09-12,31.65,32.51,31.07,32.18,174
2019-09-13,32.22,33.23,31.85,32.71,105
2019-09-16,32.49,33.6,32.05,32.81,121
2019-09-17,32.7,32.95,32.19,32.3,138
2019-09-18,32.43,32.43,31.03,31.69,157
2019-09-19,31.39,32.15,31.07,31.38,163
2019-09-20,31.4,31.93,31.12,31.51,280
2019-09-23,31.51,31.87,31.05,31.67,61
2019-09-24,31.7,31.84,31.26,31.34,138
2019-09-25,30.72,31.52,30.71,31.44,66
2019-09-26,31.23,31.23,29.11,29.11,173
2019-09-27,29.6,29.68,29.1,29.46,46
2019-09-30,29.91,30.22,29.6,29.86,58
2019-10-01,30.04,30.04,28.25,28.27,78
2019-10-02,28.1,28.3,27.47,27.92,103
2019-10-03,27.94,28.22,27.1,27.66,97
2019-10-04,27.66,28.25,27.14,28.25,77
2019-10-07,28.53,28.61,28.07,28.11,68
2019-10-08,27.73,27.77,27.3,27.52,104
2019-10-09,27.7,27.93,27.14,27.34,139
2019-10-10,27.27,27.67,26.81,27.28,218
2019-10-11,27.59,29.07,27.52,27.99,171
2019-10-14,27.82,28.48,27.32,28.07,119
2019-10-15,27.82,28.87,27.71,28.51,93
2019-10-16,28.55,28.84,28.02,28.1,231
2019-10-17,28.32,28.8,27.9,28.07,476
2019-10-18,27.77,28.32,27.54,27.66,541
2019-10-21,27.93,31.75,27.93,31.17,529
2019-10-22,30.96,31.8,30.56,31.5,150
2019-10-23,31.46,31.94,30.92,31.88,320
2019-10-24,32.0,32.0,30.88,31.47,197
2019-10-25,31.34,32.05,31.34,31.89,60
2019-10-28,31.4,32.28,31.11,31.89,147
2019-10-29,31.12,32.28,31.12,32.01,59
2019-10-30,31.5,31.51,31.05,31.18,67
2019-10-31,31.05,31.34,30.72,30.76,63
2019-11-01,31.05,32.0,31.05,31.95,85
2019-11-04,32.08,32.75,32.05,32.3,192
2019-11-05,30.97,33.63,30.97,33.45,236
2019-11-06,33.54,33.93,32.03,32.19,176
2019-11-07,32.7,33.67,32.67,33.57,171
2019-11-08,33.12,34.59,32.54,32.9,403
2019-11-11,32.76,34.09,32.45,32.86,154
2019-11-12,32.99,33.77,32.32,33.43,289
2019-11-13,33.01,33.49,32.75,33.11,228
2019-11-14,32.99,33.82,32.63,32.85,208
2019-11-15,33.17,33.86,33.0,33.68,265
2019-11-18,33.5,33.8,31.71,32.18,165
2019-11-19,32.28,32.8,31.76,32.63,174
2019-11-20,32.45,33.07,31.82,31.9,150
2019-11-21,32.02,32.08,31.33,31.48,268
2019-11-22,31.62,32.43,31.26,31.76,152
2019-11-25,31.97,32.97,31.5,32.83,152
2019-11-26,32.32,32.99,31.85,32.79,237
2019-11-27,32.92,33.08,30.95,31.12,476
2019-11-29,31.04,31.87,30.92,31.63,111
2019-12-02,31.69,32.59,30.94,31.23,282
2019-12-03,30.39,31.79,30.38,30.97,269
2019-12-04,31.23,31.79,30.89,31.12,166
2019-12-05,31.18,31.85,30.85,31.26,225
2019-12-06,31.75,32.43,31.27,31.49,213
2019-12-09,31.31,32.09,30.9,31.65,166
2019-12-10,31.36,32.14,31.25,31.64,244
2019-12-11,31.88,32.71,31.45,32.63,475
2019-12-12,32.65,34.47,32.52,34.32,604
2019-12-13,34.47,34.52,33.85,34.33,586
2019-12-16,34.68,35.29,33.28,33.63,719
2019-12-17,33.67,34.03,33.27,33.8,671
2019-12-18,33.9,34.34,33.63,34.11,344
2019-12-19,34.11,34.4,33.43,33.67,574
2019-12-20,33.66,33.98,33.27,33.64,424
2019-12-23,33.7,34.03,33.39,33.89,245
2019-12-24,33.89,34.09,33.25,33.8,234
2019-12-26,33.74,34.32,33.3,33.64,356
2019-12-27,33.65,33.96,33.07,33.31,238
2019-12-30,33.15,33.61,32.99,33.47,197
2019-12-31,33.44,33.8,33.43,33.65,240
2020-01-02,33.86,34.17,33.29,33.64,310
2020-01-03,33.28,33.55,32.92,33.49,136
2020-01-06,33.42,34.06,32.84,33.62,368
2020-01-07,33.65,34.56,33.65,34.26,275
2020-01-08,34.24,35.73,34.24,35.02,433
2020-01-09,35.25,35.6,34.99,35.25,344
2020-01-10,35.2,35.38,34.65,35.06,381
2020-01-13,35.11,36.04,35.06,36.0,342
2020-01-14,35.88,36.11,35.33,35.71,302
2020-01-15,35.64,36.09,34.64,35.13,224
2020-01-16,35.25,35.99,35.25,35.46,161
