date,open,high,low,close,volume
2018-12-10,23.66,23.66,22.79,23.19,139
2018-12-11,23.64,23.64,22.39,22.5,27
2018-12-12,23.65,23.65,22.5,23.0,128
2018-12-13,23.0,23.0,22.24,22.245,115
2018-12-14,22.23,23.52,22.0,22.11,80
2018-12-17,22.0,22.0,21.06,21.61,154
2018-12-18,22.66,22.66,20.51,21.435,244
2018-12-19,21.29,22.39,21.29,21.815,87
2018-12-20,20.62,21.76,20.62,21.76,101
2018-12-21,21.39,21.71,21.04,21.52,61
2018-12-24,21.62,21.62,21.18,21.48,10
2018-12-26,21.39,21.99,21.1,21.99,31
2018-12-27,22.16,22.61,21.28,22.0,10
2018-12-28,22.01,23.64,22.01,22.94,38
2018-12-31,22.03,22.75,21.5,22.71,42
2019-01-02,22.6,22.71,22.05,22.71,20
2019-01-03,22.13,23.49,21.94,23.165,19
2019-01-04,23.2,23.32,22.86,23.32,10
2019-01-07,23.35,23.35,23.05,23.1,18
2019-01-08,22.97,23.2,22.9,22.9,45
2019-01-09,22.9,22.9,22.9,22.9,0
2019-01-10,22.41,22.41,22.41,22.41,4
2019-01-11,22.41,22.41,22.41,22.41,0
2019-01-14,22.63,23.37,22.5,22.53,28
2019-01-15,22.79,23.44,22.5,23.01,15
2019-01-16,23.31,25.23,23.31,24.13,76
2019-01-17,23.82,24.53,23.54,23.9,64
2019-01-18,24.02,24.55,24.02,24.2,3
2019-01-22,24.05,24.52,24.0,24.0,22
2019-01-23,24.0,24.0,24.0,24.0,0
2019-01-24,23.76,24.3,23.76,24.3,4
2019-01-25,24.0,25.29,23.85,25.28,74
2019-01-28,25.39,25.39,24.01,24.79,29
2019-01-29,24.41,24.75,24.37,24.75,6
2019-01-30,24.36,25.35,24.36,25.04,40
2019-01-31,24.55,25.03,24.37,24.45,10
2019-02-01,24.5,25.04,24.5,24.97,25
2019-02-04,25.19,25.19,24.55,24.98,21
2019-02-05,24.61,24.61,24.61,24.61,0
2019-02-06,24.4,24.61,24.4,24.45,26
2019-02-07,24.65,24.65,24.45,24.565,17
2019-02-08,24.66,24.7,24.45,24.45,25
2019-02-11,24.45,24.49,24.45,24.46,18
2019-02-12,24.5,24.77,24.5,24.76,5
2019-02-13,24.76,24.76,24.45,24.455,4
2019-02-14,25.0,25.0,24.51,24.51,13
2019-02-15,24.38,25.0,24.35,24.5,105
2019-02-19,24.75,25.05,24.75,25.0,12
2019-02-20,24.93,24.93,24.51,24.51,2
2019-02-21,24.82,24.82,24.5,24.5,9
2019-02-22,24.89,24.89,24.89,24.89,0
2019-02-25,24.5,24.5,24.5,24.5,1
2019-02-26,24.5,24.5,24.5,24.5,0
2019-02-27,24.73,24.75,24.51,24.51,9
2019-02-28,24.32,24.75,24.3,24.75,71
2019-03-01,24.35,24.48,24.35,24.47,5
2019-03-04,24.3,24.36,24.3,24.3,7
2019-03-05,24.3,24.3,24.3,24.3,1
2019-03-06,24.5,24.5,24.3,24.34,8
2019-03-07,24.3,24.45,24.3,24.445,11
2019-03-08,24.3,24.35,24.25,24.29,60
2019-03-11,24.15,24.21,24.08,24.08,58
2019-03-12,24.1,24.1,24.1,24.1,4
2019-03-13,24.08,24.14,24.08,24.09,23
2019-03-14,24.08,24.18,24.08,24.15,64
2019-03-15,24.15,24.3,24.08,24.3,16
2019-03-18,24.1,24.25,24.1,24.25,18
2019-03-19,24.25,24.91,24.2,24.47,188
2019-03-20,24.47,24.47,24.47,24.47,0
2019-03-21,24.3,24.3,24.3,24.3,0
2019-03-22,24.99,24.99,23.07,23.07,69
2019-03-25,22.96,23.44,22.75,23.0,19
2019-03-26,23.26,23.47,23.0,23.0,9
2019-03-27,23.25,23.48,23.25,23.475,3
2019-03-28,23.25,23.8,22.51,22.71,33
2019-03-29,22.75,23.04,22.64,22.79,47
2019-04-01,23.53,23.57,23.18,23.18,10
2019-04-02,23.4,23.4,23.01,23.4,8
2019-04-03,23.84,23.84,23.18,23.18,9
2019-04-04,23.55,23.55,23.27,23.5,9
2019-04-05,23.5,23.5,23.5,23.5,0
2019-04-08,23.87,24.2,23.5,23.5,23
2019-04-09,23.5,23.5,23.5,23.5,1
2019-04-10,23.72,24.2,23.49,23.85,23
2019-04-11,23.69,24.15,23.07,23.7,24
2019-04-12,24.0,24.0,23.66,23.8,3
