date,open,high,low,close,volume
2018-12-10,85.13,85.22,83.27,84.22,37614
2018-12-11,84.65,85.54,83.68,84.33,28524
2018-12-12,85.41,85.79,83.73,83.82,37291
2018-12-13,83.59,84.88,83.56,84.34,27892
2018-12-14,83.89,83.93,82.17,82.5,31035
2018-12-17,82.63,82.78,80.96,81.4,57099
2018-12-18,80.07,80.33,75.14,75.17,103577
2018-12-19,74.75,74.77,71.61,72.04,112653
2018-12-20,71.49,71.5,68.74,69.08,162898
2018-12-21,68.95,71.35,66.11,66.21,112205
2018-12-24,66.43,67.04,65.71,65.97,56310
2018-12-26,66.05,66.87,64.75,66.86,58943
2018-12-27,66.48,66.99,64.67,66.68,71844
2018-12-28,67.65,69.08,66.9,67.27,68438
2018-12-31,66.97,67.33,65.69,66.76,51837
2019-01-02,66.13,67.77,65.73,67.31,39643
2019-01-03,67.02,68.26,66.29,66.44,47134
2019-01-04,67.03,69.57,66.95,69.55,48788
2019-01-07,69.19,69.3,67.34,67.42,54171
2019-01-08,67.68,68.28,67.51,67.87,55687
2019-01-09,68.25,68.72,67.8,67.91,38143
2019-01-10,68.18,68.72,67.96,68.15,52436
2019-01-11,68.46,69.52,67.83,69.5,54415
2019-01-14,69.24,69.92,68.99,69.62,62987
2019-01-15,69.35,70.51,69.2,70.5,47509
2019-01-16,70.4,71.05,69.36,70.75,55814
2019-01-17,70.61,72.75,70.31,72.52,58752
2019-01-18,73.26,74.19,72.66,73.79,72448
2019-01-22,73.36,73.86,71.85,72.81,61267
2019-01-23,73.17,74.16,72.75,74.0,39048
2019-01-24,73.55,73.82,70.31,71.55,63033
2019-01-25,72.08,73.52,71.94,72.73,35985
2019-01-28,72.61,74.5,72.14,74.35,42246
2019-01-29,74.45,75.18,74.04,74.41,33979
2019-01-30,74.85,75.31,74.36,74.48,42011
2019-01-31,74.8,77.1,74.33,76.72,55350
2019-02-01,77.03,77.05,75.33,75.73,59584
2019-02-04,75.51,76.2,75.26,76.05,33628
2019-02-05,76.01,76.25,75.59,75.81,25948
2019-02-06,75.54,76.11,75.34,75.51,33274
2019-02-07,77.76,78.62,75.77,76.73,51513
2019-02-08,76.99,80.02,76.4,79.98,95841
2019-02-11,79.57,80.03,78.92,79.05,44375
2019-02-12,79.45,80.86,78.97,80.6,38162
2019-02-13,81.0,81.33,80.55,81.3,37088
2019-02-14,81.11,82.5,81.02,81.85,42462
2019-02-15,82.8,83.56,82.2,83.46,41810
2019-02-19,83.53,83.7,82.63,83.39,39643
2019-02-20,83.48,85.78,83.39,85.04,35892
2019-02-21,85.05,85.82,84.53,85.58,42561
2019-02-22,85.48,87.25,85.16,87.15,32469
2019-02-25,87.41,87.7,86.57,86.6,31715
2019-02-26,86.31,87.47,86.2,86.51,25101
2019-02-27,87.28,87.6,86.73,87.27,28651
2019-02-28,87.27,87.54,86.76,86.94,25110
2019-03-01,87.42,87.7,86.75,87.51,25007
2019-03-04,87.8,88.0,86.66,87.28,23739
2019-03-05,86.75,87.68,86.54,86.98,32888
2019-03-06,86.98,87.39,86.38,87.02,26698
2019-03-07,87.07,87.14,86.38,86.97,30515
2019-03-08,86.91,87.97,86.76,87.45,29420
2019-03-11,87.61,89.5,87.61,89.24,48715
2019-03-12,89.5,90.27,88.48,88.8,43126
2019-03-13,88.89,89.79,88.58,89.5,32944
2019-03-14,89.13,89.91,88.96,89.79,32526
