date,open,high,low,close,volume
2018-12-10,51.92,51.97,50.06,50.79,4431
2018-12-11,51.48,51.87,49.65,49.66,4741
2018-12-12,50.27,51.48,49.79,50.88,2550
2018-12-13,51.0,51.0,48.76,48.96,3148
2018-12-14,48.6,49.79,47.62,47.66,3011
2018-12-17,47.5,48.73,47.23,47.49,3637
2018-12-18,47.79,48.53,46.32,46.64,3148
2018-12-19,46.64,47.51,45.29,45.35,3811
2018-12-20,45.04,46.21,45.04,45.69,4295
2018-12-21,45.72,47.05,45.01,45.31,6039
2018-12-24,44.91,45.27,44.03,44.03,2041
2018-12-26,44.26,45.87,43.23,45.87,4665
2018-12-27,45.1,45.86,44.19,45.69,4154
2018-12-28,45.82,46.71,45.63,46.01,3241
2018-12-31,46.36,46.55,45.06,46.1,4193
2019-01-02,45.44,47.05,45.41,46.54,2992
2019-01-03,46.19,47.44,45.97,46.35,3804
2019-01-04,47.14,48.04,46.78,48.02,4468
2019-01-07,47.91,49.29,47.22,48.54,4923
2019-01-08,49.71,50.34,48.81,50.3,5168
2019-01-09,50.43,51.36,50.26,51.1,4161
2019-01-10,51.03,51.91,50.37,51.32,3916
2019-01-11,51.12,51.87,50.72,51.46,3496
2019-01-14,51.23,52.42,51.01,52.0,4166
2019-01-15,52.01,52.51,50.97,52.21,4880
2019-01-16,52.4,54.33,52.04,54.02,8875
2019-01-17,53.94,54.88,53.27,54.54,4917
2019-01-18,55.03,55.28,54.13,54.91,3683
2019-01-22,54.5,55.34,54.07,54.26,4790
2019-01-23,54.5,54.7,53.68,53.98,3520
2019-01-24,53.72,54.39,53.22,53.53,1909
2019-01-25,54.05,54.34,53.52,54.15,1881
2019-01-28,54.08,55.21,53.64,55.02,2370
2019-01-29,55.01,55.37,54.56,54.6,1517
2019-01-30,54.63,55.24,54.3,54.61,2040
2019-01-31,54.18,54.36,52.65,53.77,2061
2019-02-01,53.87,54.49,53.55,54.19,2196
2019-02-04,54.15,54.85,53.92,54.84,1473
2019-02-05,54.9,54.9,53.97,54.45,1695
2019-02-06,54.2,54.86,53.94,54.46,1732
2019-02-07,54.57,56.01,54.57,55.93,4901
2019-02-08,55.66,56.49,55.13,55.78,7085
2019-02-11,56.03,56.37,55.64,56.35,1802
2019-02-12,56.68,57.27,56.13,56.77,1790
2019-02-13,56.93,57.09,56.33,56.94,1282
2019-02-14,56.48,57.48,55.99,56.84,4435
2019-02-15,57.3,58.31,56.99,58.3,2122
2019-02-19,57.91,58.88,57.77,58.64,2792
2019-02-20,58.61,59.55,58.11,59.55,2491
2019-02-21,59.55,59.55,58.52,58.68,1677
2019-02-22,58.68,59.33,58.4,59.16,2545
2019-02-25,59.46,59.99,58.97,59.05,2805
2019-02-26,58.74,59.12,58.09,58.12,1152
2019-02-27,58.21,59.1,58.14,58.93,1243
2019-02-28,58.95,59.41,58.66,58.69,1247
2019-03-01,59.43,59.43,58.31,58.96,1425
2019-03-04,59.12,59.44,58.33,58.69,1536
2019-03-05,58.65,59.21,57.81,58.81,1637
2019-03-06,58.82,59.2,57.49,57.56,3031
2019-03-07,57.51,57.51,56.39,56.67,1966
2019-03-08,56.18,57.51,56.05,56.97,2178
2019-03-11,57.11,57.73,56.81,57.36,1793
2019-03-12,57.47,57.78,56.92,57.2,1470
2019-03-13,57.53,59.12,57.13,58.04,5083
