date,open,high,low,close,volume
2018-12-10,9.16,9.16,8.28,8.5,872
2018-12-11,8.5,8.89,8.4,8.43,351
2018-12-12,8.5,8.7,8.17,8.49,533
2018-12-13,8.39,8.39,7.74,8.02,1021
2018-12-14,7.86,7.96,7.65,7.65,643
2018-12-17,7.67,7.75,7.31,7.46,827
2018-12-18,7.54,7.67,7.01,7.02,1280
2018-12-19,7.02,7.18,6.57,6.64,2000
2018-12-20,6.8,7.0,6.03,6.33,2648
2018-12-21,6.36,6.41,5.83,5.93,3019
2018-12-24,5.83,6.32,5.45,6.06,2396
2018-12-26,6.05,6.61,5.93,6.5,4138
2018-12-27,6.37,6.44,5.8,5.93,1817
2018-12-28,5.97,6.25,5.82,5.96,2553
2018-12-31,6.01,6.08,5.5,5.92,3651
2019-01-02,6.01,7.75,5.99,7.48,1363
2019-01-03,7.5,8.56,7.5,8.44,3006
2019-01-04,8.55,9.25,8.53,9.11,2001
2019-01-07,9.65,10.43,9.5,9.8,4358
2019-01-08,10.15,10.15,9.81,10.11,1611
2019-01-09,10.27,10.44,10.17,10.44,1427
2019-01-10,10.44,10.44,10.09,10.17,765
2019-01-11,10.15,10.15,9.51,9.85,1788
2019-01-14,9.87,9.95,9.63,9.9,1563
2019-01-15,10.0,10.27,9.94,9.99,624
2019-01-16,10.0,10.0,9.52,9.62,954
2019-01-17,9.21,9.29,8.33,8.63,2498
2019-01-18,8.65,9.5,8.65,9.43,1340
2019-01-22,9.5,9.5,8.75,9.3,610
2019-01-23,9.37,9.5,9.11,9.19,362
2019-01-24,9.25,9.48,9.25,9.45,319
2019-01-25,9.4,9.45,9.15,9.39,355
2019-01-28,9.35,9.39,9.05,9.05,636
2019-01-29,9.12,9.23,8.86,9.145,881
2019-01-30,9.21,9.21,8.8,9.09,767
2019-01-31,9.18,9.18,8.71,9.03,338
2019-02-01,9.15,9.2,8.85,8.95,535
2019-02-04,9.0,9.0,8.65,8.76,598
2019-02-05,8.85,8.85,8.31,8.36,1324
2019-02-06,8.27,8.45,8.24,8.39,565
2019-02-07,8.25,8.4,8.15,8.35,605
2019-02-08,8.4,8.41,8.13,8.13,376
2019-02-11,8.15,8.45,8.15,8.31,392
2019-02-12,8.44,9.1,8.4,8.75,544
2019-02-13,8.95,9.16,8.76,8.9,547
2019-02-14,8.9,9.42,8.9,9.29,719
2019-02-15,8.85,9.1,8.63,8.99,788
2019-02-19,8.95,9.17,8.87,8.87,287
2019-02-20,8.9,9.15,8.9,9.0,149
2019-02-21,8.95,9.1,8.88,8.93,126
2019-02-22,9.0,9.09,8.9,9.05,206
2019-02-25,9.17,9.26,8.82,8.93,405
2019-02-26,8.84,8.9,8.76,8.78,284
2019-02-27,8.8,8.8,8.67,8.67,208
2019-02-28,8.63,8.71,8.6,8.6,353
2019-03-01,8.6,8.68,8.24,8.34,747
2019-03-04,8.34,8.73,8.0,8.05,1473
2019-03-05,8.07,8.23,8.04,8.04,146
2019-03-06,8.06,8.07,7.82,7.82,348
2019-03-07,7.96,8.0,7.75,7.85,356
2019-03-08,7.77,8.03,7.77,7.85,197
2019-03-11,7.86,7.94,7.79,7.92,524
2019-03-12,7.9,8.0,7.76,7.835,193
2019-03-13,7.78,7.94,7.75,7.8,513
2019-03-14,7.79,7.98,7.79,7.86,147
2019-03-15,7.93,7.95,7.62,7.86,561
2019-03-18,7.86,8.0,7.67,8.0,501
2019-03-19,7.89,8.96,7.82,8.45,1437
2019-03-20,8.64,8.92,8.51,8.81,889
2019-03-21,8.8,8.8,8.41,8.49,405
2019-03-22,8.47,8.51,8.11,8.35,465
2019-03-25,8.35,8.5,8.3,8.37,285
2019-03-26,8.46,8.7,8.46,8.65,569
2019-03-27,8.69,8.7,8.38,8.7,419
2019-03-28,8.63,8.7,8.05,8.21,658
2019-03-29,8.38,8.56,8.26,8.33,70
2019-04-01,8.39,8.47,8.35,8.46,421
2019-04-02,8.5,8.7,8.44,8.7,286
2019-04-03,8.69,8.7,8.59,8.65,134
2019-04-04,8.6,8.69,8.44,8.59,521
2019-04-05,8.52,8.7,8.42,8.7,403
2019-04-08,8.57,8.74,8.57,8.7,397
2019-04-09,8.69,8.7,8.56,8.58,126
2019-04-10,8.6,8.6,8.5,8.57,194
2019-04-11,8.58,8.58,8.5,8.53,117
2019-04-12,8.54,8.6,8.53,8.54,282
2019-04-15,8.5,8.6,8.47,8.57,210
2019-04-16,8.55,8.69,8.49,8.69,559
2019-04-17,8.7,8.72,8.66,8.66,318
2019-04-18,8.7,8.7,8.47,8.515,305
2019-04-22,8.57,8.69,8.52,8.69,406
2019-04-23,8.68,8.84,8.6,8.7,675
2019-04-24,8.8,8.83,8.74,8.78,335
2019-04-25,8.72,8.84,8.7,8.78,225
2019-04-26,8.84,8.85,8.7,8.72,477
2019-04-29,8.67,8.82,8.67,8.71,168
2019-04-30,8.65,8.75,8.52,8.52,179
2019-05-01,8.53,8.69,8.53,8.6,59
2019-05-02,8.55,8.73,8.5,8.53,394
2019-05-03,8.57,8.59,8.5,8.52,188
2019-05-06,8.52,8.9,8.51,8.66,306
2019-05-07,8.69,8.82,8.69,8.8,267
2019-05-08,8.8,8.8,8.7,8.72,258
2019-05-09,8.72,8.72,8.51,8.6,340
2019-05-10,8.65,8.68,8.58,8.58,172
2019-05-13,8.6,8.6,8.5,8.55,236
2019-05-14,8.59,8.59,8.34,8.38,365
2019-05-15,8.4,8.5,8.4,8.49,314
2019-05-16,8.45,8.51,8.26,8.265,413
