date,open,high,low,close,volume
2018-12-10,53.11,53.21,52.13,52.56,2375
2018-12-11,52.83,53.01,52.22,52.55,2032
2018-12-12,52.89,53.2,52.71,52.81,3241
2018-12-13,52.75,53.2,52.66,52.99,1362
2018-12-14,52.81,53.17,52.39,52.89,1772
2018-12-17,52.73,52.88,52.03,52.27,2578
2018-12-18,52.4,52.75,52.28,52.5,3353
2018-12-19,52.6,53.12,51.95,52.25,3323
2018-12-20,52.15,52.55,51.17,51.65,3591
2018-12-21,51.67,51.67,50.05,50.64,3817
2018-12-24,50.02,50.44,50.0,50.18,2919
2018-12-26,50.18,50.82,49.68,50.81,1858
2018-12-27,50.25,50.77,49.89,50.76,3061
2018-12-28,50.82,51.61,50.72,51.21,4079
2018-12-31,51.3,51.83,51.04,51.26,2358
2019-01-02,51.04,51.4,50.65,51.16,1914
2019-01-03,50.9,52.16,50.86,51.81,2935
2019-01-04,52.32,52.66,52.07,52.25,3305
2019-01-07,52.39,53.03,52.07,52.87,2764
2019-01-08,52.91,53.81,52.91,53.43,4796
2019-01-09,53.76,53.9,53.19,53.81,1906
2019-01-10,53.64,54.58,53.64,54.33,3074
2019-01-11,54.15,55.02,54.08,54.58,2770
2019-01-14,54.55,54.57,54.09,54.22,2544
2019-01-15,54.34,54.6,53.9,53.96,3170
2019-01-16,53.96,54.15,53.78,54.05,2883
2019-01-17,53.86,54.71,53.86,54.52,2099
2019-01-18,54.72,55.04,54.35,54.7,2630
2019-01-22,54.34,54.9,54.07,54.68,3336
2019-01-23,54.89,55.17,54.18,54.55,4137
2019-01-24,53.54,53.77,52.34,53.06,7515
2019-01-25,53.76,53.76,52.36,52.68,4806
2019-01-28,52.55,53.71,52.38,53.4,3801
2019-01-29,53.38,53.66,52.98,53.34,4263
2019-01-30,53.43,53.59,52.98,53.12,4132
2019-01-31,53.28,54.34,53.12,54.07,3180
2019-02-01,54.04,54.51,53.95,54.46,2035
2019-02-04,54.45,54.65,54.18,54.54,1755
2019-02-05,54.7,55.21,54.58,54.95,2191
2019-02-06,54.44,54.85,53.82,54.02,2854
2019-02-07,54.01,54.36,53.73,54.0,2623
2019-02-08,53.99,54.27,53.7,54.23,1979
2019-02-11,54.23,54.44,53.12,53.37,2382
