date,open,high,low,close,volume
2018-12-10,61.12,62.35,60.48,61.92,1920
2018-12-11,62.39,63.0,61.34,61.86,2676
2018-12-12,62.05,63.26,60.11,60.65,6157
2018-12-13,60.5,61.73,58.83,59.08,2551
2018-12-14,58.75,59.85,57.17,57.3,3600
2018-12-17,57.21,57.21,53.58,54.21,11834
2018-12-18,54.77,55.36,53.73,54.01,4394
2018-12-19,54.16,54.55,51.83,52.35,3444
2018-12-20,52.49,52.63,50.25,50.8,3821
2018-12-21,50.77,50.81,48.46,48.97,5795
2018-12-24,48.59,49.51,48.26,48.26,1050
2018-12-26,48.29,51.66,48.29,51.58,2348
2018-12-27,50.67,51.31,49.25,50.52,3291
2018-12-28,50.85,52.14,50.26,51.33,1566
2018-12-31,51.76,52.87,51.41,52.74,2153
2019-01-02,52.33,52.61,51.14,51.69,2497
2019-01-03,51.73,51.8,49.07,49.45,2246
2019-01-04,50.17,51.0,49.71,50.86,1563
2019-01-07,51.16,53.74,50.7,53.63,3098
2019-01-08,53.89,55.09,53.08,54.83,3106
2019-01-09,54.59,55.65,53.88,54.76,3091
2019-01-10,54.56,55.42,53.46,55.2,1433
2019-01-11,54.81,55.61,54.38,55.1,1331
2019-01-14,54.75,54.95,53.85,54.11,1849
2019-01-15,54.23,55.67,54.02,55.24,1030
2019-01-16,55.67,56.0,54.68,55.6,1454
2019-01-17,55.32,57.32,55.25,56.75,1916
2019-01-18,56.91,58.43,56.79,58.33,2091
2019-01-22,57.86,58.29,54.5,55.15,3796
2019-01-23,55.01,56.26,53.99,54.59,1263
2019-01-24,54.63,56.06,54.63,55.81,1172
2019-01-25,55.99,58.0,55.54,57.95,3707
2019-01-28,57.63,57.97,54.78,54.97,2234
2019-01-29,55.02,55.05,54.16,54.62,1334
2019-01-30,55.04,56.02,54.62,55.75,1619
2019-01-31,55.75,57.12,55.75,57.01,1277
2019-02-01,57.05,57.84,56.69,57.66,1667
2019-02-04,57.66,58.46,57.15,58.22,899
2019-02-05,58.42,59.2,58.02,58.15,1141
2019-02-06,58.16,58.85,57.72,57.78,800
2019-02-07,57.62,58.41,56.24,57.02,1294
2019-02-08,56.75,57.62,56.75,57.5,690
2019-02-11,57.77,59.05,57.3,59.02,1638
2019-02-12,59.2,60.25,58.81,60.11,1570
2019-02-13,60.32,60.86,57.89,58.46,1116
2019-02-14,58.51,59.45,58.16,58.82,1624
2019-02-15,59.0,61.1,58.54,60.19,2880
2019-02-19,60.19,60.73,59.39,59.51,2532
2019-02-20,59.81,60.37,58.31,59.0,1972
2019-02-21,57.51,60.13,55.56,58.05,3960
2019-02-22,57.86,59.29,57.63,58.88,1550
2019-02-25,59.59,60.79,59.11,60.19,1514
2019-02-26,60.02,60.78,59.54,59.59,2006
2019-02-27,59.76,60.2,58.47,59.71,1239
2019-02-28,59.56,60.08,58.68,59.52,1049
2019-03-01,59.93,62.91,59.65,62.8,3737
2019-03-04,62.99,63.41,59.02,59.14,1820
2019-03-05,59.29,60.01,57.76,58.06,1554
2019-03-06,58.13,58.16,56.56,56.64,1556
2019-03-07,56.54,56.89,55.61,56.56,1791
2019-03-08,56.34,57.54,56.15,56.73,1248
2019-03-11,57.23,58.76,56.98,58.66,1009
2019-03-12,58.52,59.84,58.06,59.14,957
2019-03-13,59.44,59.9,58.7,59.71,1200
2019-03-14,59.56,59.92,58.86,59.17,984
2019-03-15,59.43,60.48,59.4,60.13,1509
2019-03-18,60.12,61.06,58.87,59.41,1193
2019-03-19,59.5,60.0,58.67,59.37,1291
2019-03-20,59.46,60.26,58.91,59.48,4243
2019-03-21,59.2,61.88,59.2,61.76,4756
2019-03-22,61.12,61.51,58.91,58.91,2513
2019-03-25,59.02,59.54,57.86,59.0,1301
2019-03-26,59.43,60.07,58.66,59.21,622
