date,open,high,low,close,volume
2018-12-10,78.37,80.2,77.42,80.01,26618
2018-12-11,80.86,81.35,79.93,80.55,23504
2018-12-12,82.16,82.59,80.58,80.9,20907
2018-12-13,81.26,81.67,79.84,80.82,20977
2018-12-14,80.31,81.66,79.03,79.21,21676
2018-12-17,78.99,79.34,77.78,78.28,25865
2018-12-18,79.15,79.92,78.65,78.89,19713
2018-12-19,79.27,80.78,78.05,78.47,19789
2018-12-20,78.23,78.74,76.19,77.16,17603
2018-12-21,77.46,80.05,76.76,76.98,43461
2018-12-24,76.95,77.67,75.91,76.3,10917
2018-12-26,76.55,81.93,76.51,81.79,28740
2018-12-27,80.81,81.89,78.74,81.84,22316
2018-12-28,82.13,82.83,80.51,81.58,15834
2018-12-31,82.06,83.24,81.73,83.2,14857
2019-01-02,81.8,83.98,81.8,83.78,18182
2019-01-03,82.96,84.32,81.91,83.08,21549
2019-01-04,84.04,86.01,83.37,85.34,21058
2019-01-07,84.87,90.01,84.26,88.93,29004
2019-01-08,89.41,91.74,88.86,91.54,35836
2019-01-09,91.87,91.91,89.89,90.34,25860
2019-01-10,88.1,90.82,87.41,90.73,21161
2019-01-11,90.59,92.07,90.38,91.21,14859
2019-01-14,90.44,91.68,90.11,90.63,14745
2019-01-15,90.61,91.4,90.22,90.85,16699
2019-01-16,91.0,91.7,89.95,90.25,15721
2019-01-17,89.67,90.88,89.25,90.8,18686
2019-01-18,91.68,93.37,90.88,93.01,20736
2019-01-22,92.18,92.78,90.96,91.63,15236
2019-01-23,91.85,91.88,90.66,91.51,11280
2019-01-24,91.84,91.84,90.34,91.2,18049
2019-01-25,92.23,92.7,91.72,92.51,11564
2019-01-28,92.25,92.25,90.94,91.54,13646
2019-01-29,91.54,91.6,90.6,91.47,11646
2019-01-30,91.83,92.81,91.31,92.29,11698
2019-01-31,92.27,92.63,91.65,92.12,15473
2019-02-01,92.45,92.54,91.06,91.73,12720
2019-02-04,91.75,92.34,91.03,92.34,12986
2019-02-05,92.16,93.39,92.12,93.19,9650
2019-02-06,92.92,93.01,91.71,92.66,8888
2019-02-07,92.16,92.71,91.57,92.59,9408
2019-02-08,92.33,93.19,92.07,92.95,11035
2019-02-11,93.25,94.65,92.97,94.13,12275
2019-02-12,94.63,95.13,94.03,94.76,10115
2019-02-13,95.13,95.14,93.91,94.64,15528
2019-02-14,94.13,94.15,92.36,93.29,12868
2019-02-15,94.23,94.69,93.56,94.01,14517
2019-02-19,93.98,93.98,92.8,93.67,15781
2019-02-20,93.75,94.35,93.35,93.97,12916
2019-02-21,93.93,94.01,93.15,93.53,10101
2019-02-22,93.63,94.42,93.49,94.37,10143
2019-02-25,94.7,95.21,93.72,93.86,12106
2019-02-26,93.91,94.83,93.63,94.34,14694
2019-02-27,93.82,95.22,93.54,94.78,17635
2019-02-28,94.98,95.42,93.97,94.83,15060
2019-03-01,95.78,96.21,94.56,94.86,13396
2019-03-04,95.42,95.57,93.17,93.6,11933
2019-03-05,95.22,95.47,93.44,94.17,23704
2019-03-06,94.0,96.5,93.5,94.43,33727
2019-03-07,93.58,93.81,91.12,92.41,26344
2019-03-08,91.48,91.69,88.64,89.06,24044
2019-03-11,89.29,90.94,89.0,90.74,15941
2019-03-12,90.83,91.19,90.03,91.16,14017
2019-03-13,91.26,91.58,90.65,90.69,14273
2019-03-14,90.46,90.46,88.3,89.24,25701
2019-03-15,89.16,90.0,88.61,89.9,33601
2019-03-18,89.65,91.33,89.65,91.13,18323
2019-03-19,91.2,92.38,90.86,91.72,17313
2019-03-20,91.7,92.02,91.15,91.51,14801
2019-03-21,91.44,91.92,91.03,91.5,9072
2019-03-22,91.07,91.46,89.46,89.53,16454
2019-03-25,89.24,90.66,89.03,89.8,11578
2019-03-26,90.22,91.17,90.04,90.9,11420
2019-03-27,91.0,92.34,90.75,91.66,17934
2019-03-28,92.09,93.0,91.46,91.91,14073
2019-03-29,92.46,93.51,92.07,93.1,11799
2019-04-01,93.79,94.34,92.94,94.26,16973
2019-04-02,94.12,94.24,93.45,93.76,12887
2019-04-03,94.36,95.11,93.58,94.98,12163
2019-04-04,95.06,97.6,94.97,97.48,13223
2019-04-05,97.79,98.93,97.49,98.41,14999
2019-04-08,98.2,98.99,97.62,98.67,8580
2019-04-09,97.97,98.43,97.34,97.55,7786
2019-04-10,98.06,98.75,97.68,98.34,10687
2019-04-11,98.62,98.95,97.09,97.63,13164
2019-04-12,97.73,98.38,97.0,97.37,12189
2019-04-15,97.28,98.35,97.0,98.01,9194
2019-04-16,98.46,99.16,98.05,98.88,8771
2019-04-17,99.32,100.12,99.18,99.92,7977
2019-04-18,100.45,100.77,99.82,100.0,10686
2019-04-22,99.6,100.01,97.13,97.78,10137
2019-04-23,98.27,98.36,97.23,97.86,13274
2019-04-24,97.99,99.53,97.71,98.56,15958
2019-04-25,97.57,98.73,97.19,98.02,9993
2019-04-26,98.32,98.63,97.5,98.55,9859
2019-04-29,98.43,99.82,98.14,98.27,10388
2019-04-30,98.26,98.43,97.09,97.66,11879
2019-05-01,97.5,97.64,95.8,95.88,11313
2019-05-02,96.05,96.83,95.9,96.36,14046
2019-05-03,97.03,97.24,96.34,97.13,8640
2019-05-06,95.73,97.68,95.55,97.39,5803
2019-05-07,96.75,96.76,95.12,95.76,9034
2019-05-08,95.57,97.48,94.6,96.83,8635
2019-05-09,95.92,97.52,95.6,97.01,9369
2019-05-10,96.49,98.11,95.05,97.49,13028
2019-05-13,95.79,96.48,92.72,93.45,18582
2019-05-14,94.0,95.09,93.47,94.46,16509
2019-05-15,93.7,94.88,93.19,94.5,9792
2019-05-16,94.93,97.0,94.93,95.88,10591
2019-05-17,95.4,97.39,95.26,97.2,16883
2019-05-20,96.77,97.52,96.44,96.67,18110
2019-05-21,96.44,97.8,95.31,97.4,18830
2019-05-22,96.83,96.83,94.12,94.53,20730
2019-05-23,93.94,94.94,92.78,94.51,20953
2019-05-24,92.58,94.0,91.59,92.78,46849
2019-05-28,93.69,95.65,91.28,91.33,24706
2019-05-29,90.77,91.73,89.55,90.3,21308
2019-05-30,90.65,92.95,90.61,92.9,17498
2019-05-31,91.84,93.26,91.46,92.99,13113
2019-06-03,92.87,93.75,91.54,92.04,14688
2019-06-04,92.8,94.74,92.79,94.64,15283
2019-06-05,95.05,95.65,94.44,94.99,11294
2019-06-06,95.25,96.46,94.79,96.16,14654
2019-06-07,96.85,99.55,96.75,99.16,23049
2019-06-10,99.1,100.4,97.81,98.0,17795
2019-06-11,98.6,99.16,97.86,98.47,15467
2019-06-12,98.79,99.5,98.24,98.31,11870
2019-06-13,98.98,100.57,97.59,100.54,15116
2019-06-14,100.77,101.69,100.43,100.97,13386
