date,open,high,low,close,volume
2018-12-10,13.96,14.32,13.66,14.14,10028
2018-12-11,14.43,14.48,13.88,14.12,6303
2018-12-12,14.34,14.56,13.91,14.41,9429
2018-12-13,14.63,14.87,14.08,14.26,11085
2018-12-14,14.13,14.13,12.71,13.02,16126
2018-12-17,12.76,13.23,12.53,13.11,17066
2018-12-18,13.33,13.52,12.18,12.4,13062
2018-12-19,12.33,12.77,11.8,11.94,10242
2018-12-20,11.97,11.97,8.81,10.48,55435
2018-12-21,10.49,10.97,10.34,10.9,25520
2018-12-24,10.43,10.68,9.95,10.52,14245
2018-12-26,10.65,11.2,10.4,11.16,11813
2018-12-27,11.0,11.12,10.26,10.91,11961
2018-12-28,10.91,11.14,10.46,10.6,13362
2018-12-31,10.72,10.91,10.46,10.89,7917
2019-01-02,10.58,10.99,10.1,10.98,8176
2019-01-03,10.83,11.06,9.56,9.78,22497
2019-01-04,9.95,10.6,9.95,10.38,13442
2019-01-07,10.37,10.8,10.15,10.56,10214
2019-01-08,10.61,10.98,10.41,10.71,11957
2019-01-09,10.76,11.61,10.73,11.47,15383
2019-01-10,11.29,11.54,11.01,11.51,7249
2019-01-11,11.49,11.74,11.22,11.65,9667
2019-01-14,11.54,11.87,11.4,11.73,7786
2019-01-15,11.75,11.89,11.54,11.74,5109
2019-01-16,11.79,12.0,11.61,11.69,5567
2019-01-17,11.62,12.14,11.52,12.07,7838
2019-01-18,12.12,12.23,11.86,12.16,6715
2019-01-22,12.07,12.28,11.76,11.78,6847
2019-01-23,11.86,12.17,11.69,11.92,5277
2019-01-24,11.9,12.23,11.9,12.01,5238
2019-01-25,12.16,12.31,12.02,12.19,4944
2019-01-28,11.99,12.36,11.93,12.24,8134
2019-01-29,12.32,12.35,12.11,12.23,5070
2019-01-30,12.37,12.49,12.17,12.4,4479
2019-01-31,12.42,13.3,12.41,13.3,16097
2019-02-01,13.12,13.64,13.12,13.32,8057
2019-02-04,13.32,13.69,13.21,13.66,5552
2019-02-05,13.69,14.14,13.62,13.92,9675
2019-02-06,13.96,14.45,13.9,14.33,10055
2019-02-07,14.26,14.61,14.12,14.6,10069
2019-02-08,14.51,14.78,14.34,14.68,7595
2019-02-11,14.74,15.18,14.58,14.9,14876
2019-02-12,14.9,15.0,14.77,14.93,6293
2019-02-13,15.01,15.24,14.88,15.15,8743
2019-02-14,14.97,15.44,14.36,15.1,13811
2019-02-15,15.17,15.28,15.05,15.26,5510
2019-02-19,15.5,15.55,15.3,15.47,13111
2019-02-20,15.44,15.74,15.22,15.46,9473
2019-02-21,15.5,15.59,15.26,15.5,7624
2019-02-22,15.58,15.94,15.41,15.82,10037
2019-02-25,16.0,16.03,15.54,15.71,8955
2019-02-26,15.66,15.78,15.44,15.64,11771
2019-02-27,15.52,15.71,15.21,15.59,10367
2019-02-28,15.57,15.85,15.45,15.51,16793
2019-03-01,16.11,16.25,15.61,15.96,22107
2019-03-04,16.1,17.1,15.97,16.3,28169
2019-03-05,16.31,16.62,15.54,15.57,15930
2019-03-06,15.65,16.0,15.15,15.21,11131
2019-03-07,15.12,15.2,14.76,14.83,10611
2019-03-08,14.37,14.81,14.26,14.73,9422
2019-03-11,14.77,15.13,14.73,14.86,10373
2019-03-12,14.94,15.05,14.71,14.73,6949
2019-03-13,14.78,14.94,14.54,14.73,8704
2019-03-14,14.78,14.79,14.35,14.57,6751
2019-03-15,14.57,14.9,14.4,14.77,8694
2019-03-18,14.8,15.06,14.65,14.83,8166
2019-03-19,14.88,14.97,14.61,14.68,5952
2019-03-20,14.58,15.04,14.56,14.85,8682
2019-03-21,14.81,15.13,14.69,15.1,8210
2019-03-22,15.0,15.08,14.23,14.25,9995
2019-03-25,14.2,14.41,14.01,14.08,5437
2019-03-26,14.22,14.32,14.04,14.23,4932
2019-03-27,14.23,14.33,13.73,14.23,7985
2019-03-28,14.25,14.33,13.96,14.27,4942
2019-03-29,14.37,14.48,13.99,14.06,6742
2019-04-01,14.24,14.38,13.95,14.18,5699
2019-04-02,14.15,14.36,14.05,14.22,4416
2019-04-03,14.32,14.95,14.27,14.87,9084
2019-04-04,14.84,14.97,14.7,14.82,6602
2019-04-05,14.9,15.4,14.83,15.24,9362
2019-04-08,15.2,15.41,14.99,15.39,4885
2019-04-09,15.33,15.54,14.92,14.96,5129
2019-04-10,15.05,16.06,15.05,15.84,11140
2019-04-11,15.81,16.17,15.69,15.86,9690
2019-04-12,15.99,16.1,15.57,15.68,4963
2019-04-15,15.63,15.89,15.49,15.62,4529
2019-04-16,15.75,16.15,15.61,16.08,6107
2019-04-17,16.15,16.53,16.03,16.51,8335
2019-04-18,16.49,16.74,16.17,16.27,7335
2019-04-22,16.2,16.3,15.9,16.27,4392
2019-04-23,16.26,16.9,16.11,16.69,8605
2019-04-24,16.72,17.02,16.69,16.91,7720
2019-04-25,17.01,17.44,16.79,16.93,10277
2019-04-26,16.96,17.12,16.74,17.1,6226
2019-04-29,17.18,17.31,17.06,17.13,6574
2019-04-30,16.34,16.5,14.79,15.21,22347
2019-05-01,15.41,15.57,14.9,15.34,10035
2019-05-02,15.32,15.46,14.9,15.44,7406
2019-05-03,15.5,16.09,15.5,16.0,9967
2019-05-06,15.61,16.52,15.51,16.46,8867
2019-05-07,16.67,16.96,16.5,16.75,10397
2019-05-08,16.83,16.91,16.43,16.6,13055
2019-05-09,15.12,15.93,14.1,15.53,22378
2019-05-10,15.44,15.53,14.75,15.07,11870
2019-05-13,14.83,14.91,14.16,14.3,10211
2019-05-14,14.34,14.98,14.34,14.77,7289
2019-05-15,14.57,14.87,14.51,14.78,4710
2019-05-16,15.22,16.2,15.11,16.07,14602
2019-05-17,15.71,15.9,15.52,15.8,9432
2019-05-20,15.5,15.92,15.29,15.71,5521
2019-05-21,15.95,16.89,15.95,16.62,12762
2019-05-22,16.5,16.86,16.5,16.7,5849
2019-05-23,15.9,16.27,15.21,15.45,13670
2019-05-24,15.61,15.96,15.35,15.64,3790
2019-05-28,14.95,15.63,14.92,15.49,7145
2019-05-29,15.39,15.79,15.19,15.58,4843
2019-05-30,15.57,16.13,15.57,15.95,6707
2019-05-31,15.59,15.71,15.23,15.66,6827
2019-06-03,15.66,16.18,15.57,15.89,5698
2019-06-04,16.12,16.31,15.69,16.0,7747
2019-06-05,16.07,16.24,15.67,16.18,5854
2019-06-06,16.18,16.24,15.81,16.19,3793
2019-06-07,16.34,16.76,16.29,16.34,7721
2019-06-10,16.47,17.0,16.46,16.6,11585
2019-06-11,16.8,17.0,16.18,16.51,7600
2019-06-12,16.17,16.7,16.1,16.3,4398
2019-06-13,16.36,17.0,16.36,16.9,6382
2019-06-14,16.96,16.96,16.28,16.46,5246
2019-06-17,16.43,17.13,16.27,17.09,9871
2019-06-18,17.97,18.75,17.47,18.27,37703
2019-06-19,18.3,18.5,17.11,18.26,22736
2019-06-20,18.32,19.28,18.31,18.75,26588
2019-06-21,18.56,18.84,18.0,18.52,15219
2019-06-24,18.7,18.95,18.47,18.68,17504
2019-06-25,18.78,18.8,18.01,18.3,14175
2019-06-26,18.48,18.84,18.3,18.38,7944
2019-06-27,18.25,18.7,18.08,18.6,12396
2019-06-28,18.8,18.85,18.42,18.76,13842
2019-07-01,19.11,20.0,18.74,19.83,46231
2019-07-02,19.88,20.47,19.48,20.33,31180
2019-07-03,20.48,20.67,20.0,20.22,10152
2019-07-05,20.1,20.3,19.31,20.21,12191
2019-07-08,20.1,20.22,19.67,19.82,8085
2019-07-09,19.78,20.17,19.51,19.87,10403
2019-07-10,20.03,20.25,19.3,19.89,11721
2019-07-11,19.98,20.05,19.55,19.64,6553
2019-07-12,19.73,20.08,19.58,19.91,5848
2019-07-15,19.92,20.25,19.5,19.72,6654
2019-07-16,19.72,20.43,19.67,20.22,9871
2019-07-17,20.62,21.42,20.35,20.39,21963
2019-07-18,20.32,20.43,19.63,19.98,14429
2019-07-19,20.09,20.46,19.71,19.77,13942
2019-07-22,19.8,20.28,19.61,19.89,8711
2019-07-23,19.87,19.89,17.58,18.79,34989
2019-07-24,18.76,18.99,18.34,18.7,11246
2019-07-25,18.77,19.12,18.57,18.74,9790
2019-07-26,18.7,18.94,18.47,18.77,7285
2019-07-29,18.69,18.73,17.6,18.64,14487
2019-07-30,18.59,19.13,18.45,19.12,8504
2019-07-31,19.24,19.49,18.72,19.05,15054
2019-08-01,19.42,20.81,19.08,19.63,36036
2019-08-02,19.5,19.83,19.02,19.49,12300
2019-08-05,18.89,18.91,18.08,18.38,12907
2019-08-06,18.59,19.08,18.38,18.72,10730
2019-08-07,19.4,20.2,18.95,19.98,34299
2019-08-08,18.45,19.19,17.76,18.74,44305
2019-08-09,18.22,18.5,16.03,16.36,39474
2019-08-12,16.23,16.47,15.63,16.01,19559
2019-08-13,15.95,16.53,15.56,16.14,15547
2019-08-14,15.8,15.89,14.74,15.13,32612
2019-08-15,15.23,15.24,14.59,14.69,12996
2019-08-16,14.9,15.59,14.88,15.39,17101
2019-08-19,15.67,15.93,15.42,15.77,13874
2019-08-20,16.3,16.3,15.52,15.89,14596
2019-08-21,16.19,16.2,15.42,15.65,13295
2019-08-22,15.78,15.85,15.17,15.47,10269
2019-08-23,15.27,15.44,14.55,14.66,12173
2019-08-26,14.9,15.24,14.69,15.18,11067
2019-08-27,15.49,15.5,14.73,14.84,8627
2019-08-28,14.71,15.1,14.6,14.82,8755
2019-08-29,14.97,15.25,14.88,15.17,8437
2019-08-30,15.27,15.39,15.04,15.33,15077
2019-09-03,15.31,15.56,14.67,14.79,11335
2019-09-04,15.08,15.41,14.9,15.33,8753
2019-09-05,15.51,15.8,15.23,15.3,9532
2019-09-06,15.3,15.46,14.98,15.03,6369
2019-09-09,15.05,15.37,14.8,14.95,12994
2019-09-10,14.96,15.15,14.62,14.93,12535
2019-09-11,14.93,15.68,14.92,15.64,12904
2019-09-12,15.79,15.93,15.41,15.83,9350
2019-09-13,15.9,16.15,15.75,15.96,10952
2019-09-16,15.96,16.64,15.92,16.46,18094
2019-09-17,16.5,17.53,16.4,17.48,19036
2019-09-18,17.48,17.57,17.1,17.37,12866
2019-09-19,17.33,17.7,17.33,17.46,9115
2019-09-20,17.43,17.63,17.16,17.3,11309
2019-09-23,17.22,17.67,17.0,17.54,9001
2019-09-24,17.55,17.63,16.5,16.68,26752
2019-09-25,16.8,17.01,16.33,16.93,13547
2019-09-26,16.91,17.7,16.42,16.64,38962
2019-09-27,16.6,16.73,15.86,16.14,17823
2019-09-30,16.21,16.86,15.93,16.705,10344
2019-10-01,16.72,17.12,16.18,16.26,10912
2019-10-02,15.99,16.0,15.44,15.5,13164
2019-10-03,15.52,15.78,15.02,15.77,8749
2019-10-04,15.98,16.24,15.63,16.22,8415
2019-10-07,16.16,16.68,15.91,16.52,19648
2019-10-08,16.27,16.74,16.18,16.55,9707
2019-10-09,16.78,16.89,16.49,16.685,8148
2019-10-10,16.69,17.18,16.67,16.94,8261
