date,open,high,low,close,volume
2018-12-10,22.585,22.585,22.045,22.365,13
2018-12-11,22.58,22.92,22.46,22.535,25
2018-12-12,22.485,23.025,22.485,23.025,47
2018-12-13,22.52,23.105,22.315,22.315,36
2018-12-14,21.565,22.52,21.565,22.265,24
2018-12-17,22.915,23.265,22.5,22.925,33
2018-12-18,23.135,23.445,22.715,23.0,82
2018-12-19,23.26,23.435,22.625,22.64,47
2018-12-20,22.675,23.36,22.675,23.18,80
2018-12-21,23.075,23.485,22.555,23.015,255
2018-12-24,22.76,23.36,22.5,23.065,55
2018-12-26,23.185,23.595,22.465,23.535,148
2018-12-27,23.255,23.56,22.885,23.48,102
2018-12-28,23.275,24.305,23.275,24.155,199
2018-12-31,24.065,24.075,23.735,23.735,41
2019-01-02,23.645,24.48,23.64,24.48,26
2019-01-03,24.24,24.24,23.355,23.355,52
2019-01-04,24.055,24.915,23.68,24.335,254
2019-01-07,24.76,24.915,24.335,24.685,93
2019-01-08,25.115,25.36,24.965,25.36,32
2019-01-09,25.595,25.735,25.54,25.54,21
2019-01-10,25.535,25.955,25.515,25.955,66
2019-01-11,25.96,25.96,25.605,25.705,22
2019-01-14,25.595,25.915,25.595,25.715,36
2019-01-15,25.725,25.92,25.655,25.92,26
2019-01-16,25.595,25.6,25.595,25.595,1
2019-01-17,25.645,26.42,25.645,26.42,29
2019-01-18,26.48,26.785,26.22,26.475,22
2019-01-22,26.505,26.76,26.175,26.225,44
2019-01-23,26.42,26.42,25.485,25.64,37
2019-01-24,25.725,25.795,25.725,25.795,3
2019-01-25,26.14,26.165,26.14,26.165,4
2019-01-28,26.315,26.315,25.415,25.415,27
2019-01-29,25.705,26.02,25.705,25.78,29
2019-01-30,25.735,25.995,25.6,25.995,19
2019-01-31,25.62,25.945,25.62,25.945,12
2019-02-01,26.0,26.095,25.835,26.095,19
2019-02-04,26.075,26.115,25.565,26.115,3
2019-02-05,26.155,26.155,26.155,26.155,0
2019-02-06,26.475,26.475,26.475,26.475,0
2019-02-07,26.3,26.3,25.395,25.395,33
2019-02-08,25.04,25.145,24.635,24.835,35
2019-02-11,25.305,25.415,25.055,25.055,20
2019-02-12,25.845,25.845,25.845,25.845,0
2019-02-13,26.225,26.86,26.225,26.56,27
2019-02-14,27.76,29.5,27.085,28.58,57
2019-02-15,28.26,29.62,28.26,28.86,160
2019-02-19,28.8,28.88,28.145,28.38,34
2019-02-20,28.46,28.685,28.205,28.205,17
2019-02-21,28.54,28.545,27.82,28.065,25
2019-02-22,28.265,28.365,27.2,27.4,92
2019-02-25,27.6,27.965,27.04,27.145,81
2019-02-26,27.5,27.535,27.045,27.135,12
2019-02-27,27.275,27.505,26.66,27.48,21
2019-02-28,27.66,27.66,27.175,27.535,23
2019-03-01,27.66,27.66,26.26,27.175,45
2019-03-04,27.12,27.12,26.675,26.84,7
2019-03-05,27.16,27.295,26.68,26.875,38
