date,open,high,low,close,volume
2018-12-10,7.56,7.6,7.23,7.41,878
2018-12-11,7.6,7.65,7.08,7.09,1177
2018-12-12,7.19,7.45,7.08,7.09,1510
2018-12-13,7.12,7.51,7.11,7.45,1771
2018-12-14,7.31,7.58,7.13,7.16,797
2018-12-17,7.06,7.5,7.06,7.17,970
2018-12-18,7.31,7.31,6.96,7.03,1132
2018-12-19,7.03,7.32,6.69,6.75,1259
2018-12-20,6.76,7.05,6.46,6.54,1709
2018-12-21,6.56,6.71,6.37,6.58,2324
2018-12-24,6.6,6.6,6.35,6.35,379
2018-12-26,6.37,6.53,6.13,6.49,798
2018-12-27,6.31,6.43,5.99,6.28,1045
2018-12-28,6.22,6.45,6.16,6.29,1151
2018-12-31,6.36,6.51,6.07,6.34,1624
2019-01-02,6.14,6.77,6.05,6.66,938
2019-01-03,6.59,6.61,6.28,6.29,617
2019-01-04,6.43,6.85,6.43,6.73,546
2019-01-07,6.75,7.16,6.63,6.87,814
2019-01-08,6.96,7.06,6.71,6.78,1032
2019-01-09,6.8,7.02,6.73,7.0,1461
2019-01-10,6.92,7.35,6.82,7.1,707
2019-01-11,7.04,7.09,6.79,6.93,1154
2019-01-14,6.82,6.98,6.59,6.75,1189
2019-01-15,6.76,6.87,6.6,6.79,791
2019-01-16,6.81,7.08,6.81,6.87,1401
2019-01-17,6.84,7.1,6.77,7.06,1056
2019-01-18,7.05,7.22,6.99,7.12,880
2019-01-22,7.04,7.17,6.77,6.93,955
2019-01-23,6.96,7.0,6.77,6.85,625
2019-01-24,6.85,6.97,6.78,6.93,578
2019-01-25,7.09,7.27,7.0,7.17,2435
2019-01-28,7.06,7.1,6.87,7.0,779
2019-01-29,7.0,7.03,6.88,6.89,627
2019-01-30,6.99,7.1,6.88,7.06,842
2019-01-31,7.01,7.22,6.95,7.03,1043
2019-02-01,7.06,7.24,6.92,7.14,1423
2019-02-04,7.1,7.31,7.01,7.2,985
2019-02-05,7.16,7.61,7.01,7.56,1439
2019-02-06,7.56,7.65,7.45,7.58,1078
2019-02-07,7.55,7.55,7.06,7.16,780
2019-02-08,7.11,7.16,6.9,7.02,778
2019-02-11,7.0,7.08,6.95,7.04,465
2019-02-12,7.06,7.23,7.03,7.12,1056
2019-02-13,7.2,7.34,7.14,7.26,461
2019-02-14,7.2,7.45,7.15,7.27,685
2019-02-15,7.39,7.58,7.31,7.42,1723
2019-02-19,7.38,7.7,7.38,7.62,791
2019-02-20,7.62,8.16,7.62,8.02,806
2019-02-21,7.97,8.19,7.97,8.18,612
2019-02-22,8.28,8.42,8.14,8.36,642
2019-02-25,8.34,8.71,8.28,8.6,810
2019-02-26,8.57,8.92,8.48,8.5,975
2019-02-27,8.44,8.52,8.27,8.45,517
2019-02-28,8.46,8.49,8.32,8.47,482
2019-03-01,8.55,8.75,8.38,8.44,619
2019-03-04,8.44,8.44,8.04,8.34,620
2019-03-05,8.33,8.58,8.22,8.55,735
2019-03-06,8.63,8.83,7.66,7.76,1473
2019-03-07,7.75,8.63,7.75,8.49,1140
2019-03-08,8.37,8.59,8.23,8.48,841
2019-03-11,8.57,9.0,8.5,8.81,1144
2019-03-12,8.82,9.02,8.82,8.92,513
2019-03-13,9.0,9.34,9.0,9.31,785
2019-03-14,9.3,9.3,8.83,8.97,690
2019-03-15,8.97,8.99,8.6,8.77,1228
2019-03-18,8.8,8.9,8.73,8.81,560
2019-03-19,8.84,9.19,8.84,8.97,522
2019-03-20,8.95,9.0,8.68,8.87,450
2019-03-21,8.9,9.2,8.86,8.93,525
2019-03-22,8.87,8.88,8.33,8.51,1265
2019-03-25,8.5,8.59,8.27,8.43,331
2019-03-26,8.51,8.58,8.35,8.44,212
2019-03-27,8.51,8.87,8.5,8.83,712
2019-03-28,8.83,8.87,8.62,8.73,276
2019-03-29,8.83,8.85,8.51,8.56,627
2019-04-01,8.65,8.95,8.52,8.82,974
2019-04-02,8.83,9.24,8.71,9.22,1076
2019-04-03,9.26,9.59,9.25,9.35,1269
2019-04-04,9.37,9.62,9.3,9.4,1123
2019-04-05,9.44,9.45,9.08,9.23,1161
2019-04-08,9.23,9.32,9.03,9.18,735
2019-04-09,9.11,9.42,8.96,9.29,929
2019-04-10,8.82,9.05,8.54,8.61,1223
