date,open,high,low,close,volume
2018-12-10,23.83,25.03,23.83,24.86,9020
2018-12-11,25.34,25.5,24.19,24.48,4839
2018-12-12,24.93,25.71,24.75,25.03,6674
2018-12-13,25.22,25.57,24.5,24.77,4509
2018-12-14,24.3,25.03,24.16,24.32,4587
2018-12-17,24.03,24.26,22.11,22.52,12272
2018-12-18,23.0,23.31,22.45,22.68,9639
2018-12-19,22.77,24.11,22.4,23.37,12198
2018-12-20,23.36,23.84,21.83,22.67,10711
2018-12-21,22.6,22.6,21.09,21.38,10697
2018-12-24,21.0,21.61,20.55,21.41,3826
2018-12-26,21.53,23.01,21.47,22.94,8125
2018-12-27,22.51,23.47,22.22,23.45,5237
2018-12-28,23.58,23.82,22.72,23.22,4741
2018-12-31,23.53,23.53,22.76,23.49,4238
2019-01-02,23.14,24.11,22.99,23.87,7125
2019-01-03,23.46,23.82,22.74,22.77,4869
2019-01-04,23.2,24.3,22.99,24.05,5685
2019-01-07,24.26,25.16,24.1,25.07,5395
2019-01-08,25.61,25.75,24.93,25.59,3613
2019-01-09,25.75,25.95,25.39,25.65,4839
2019-01-10,25.38,25.85,25.12,25.77,5943
2019-01-11,25.61,26.14,25.3,26.0,5244
2019-01-14,25.43,26.05,25.38,25.79,5808
2019-01-15,25.8,26.28,25.42,26.24,9144
2019-01-16,26.35,26.85,25.63,26.16,5277
2019-01-17,26.0,27.08,25.35,26.68,6085
2019-01-18,27.15,27.31,26.29,26.65,5618
2019-01-22,26.37,26.47,25.85,26.4,7261
2019-01-23,26.67,27.07,26.1,26.41,2859
2019-01-24,26.45,26.74,26.37,26.57,2787
2019-01-25,26.84,27.26,26.56,27.23,3709
2019-01-28,26.73,27.74,26.58,27.6,6922
2019-01-29,27.53,27.68,27.05,27.5,5961
2019-01-30,27.7,27.8,27.2,27.79,3503
2019-01-31,27.73,28.9,27.73,28.55,9616
2019-02-01,28.51,29.54,28.51,29.5,7638
2019-02-04,29.5,30.61,29.45,30.35,11673
2019-02-05,30.45,31.04,30.19,30.41,8196
2019-02-06,30.55,30.57,29.5,30.31,4484
2019-02-07,29.87,30.5,29.61,29.91,4503
2019-02-08,29.74,30.75,29.69,30.66,4812
2019-02-11,30.75,31.32,30.59,30.97,7415
2019-02-12,31.23,31.93,30.9,31.58,7779
2019-02-13,31.69,31.87,31.0,31.12,6760
2019-02-14,30.96,32.15,30.69,32.05,23010
2019-02-15,32.13,32.25,31.46,31.69,10285
2019-02-19,31.75,32.16,31.46,31.48,18241
2019-02-20,31.55,31.58,30.51,30.59,17173
2019-02-21,30.23,31.02,29.39,30.48,12825
2019-02-22,30.39,30.59,29.63,29.93,8898
2019-02-25,30.07,30.26,29.57,29.8,7845
2019-02-26,29.73,30.4,29.55,30.16,6725
2019-02-27,30.07,31.15,30.07,30.84,6873
2019-02-28,30.66,31.16,30.44,30.84,7381
2019-03-01,31.28,31.76,30.85,31.25,11650
2019-03-04,31.5,31.94,28.96,30.01,15196
2019-03-05,30.02,30.43,29.6,29.62,12875
2019-03-06,29.32,29.32,27.12,27.54,28273
2019-03-07,27.59,27.89,26.85,27.16,11828
2019-03-08,26.74,27.43,26.19,27.36,9286
2019-03-11,27.61,28.68,27.53,28.46,8764
2019-03-12,28.5,29.11,27.98,28.87,7881
2019-03-13,28.93,29.61,28.48,28.55,8006
2019-03-14,28.61,29.32,28.44,28.99,6307
2019-03-15,28.98,29.45,28.63,28.88,7262
2019-03-18,28.82,29.26,28.56,28.89,8540
2019-03-19,29.09,29.39,28.68,28.8,10987
2019-03-20,28.8,29.99,28.8,29.62,13588
