date,open,high,low,close,volume
2018-12-10,101.55,102.38,100.49,101.9,6345
2018-12-11,102.82,102.9,101.03,101.56,5211
2018-12-12,103.64,104.27,103.29,103.34,4853
2018-12-13,103.63,104.05,102.86,103.46,7071
2018-12-14,101.57,102.08,100.8,100.99,4976
2018-12-17,100.35,100.88,99.15,99.62,5917
2018-12-18,100.33,100.57,99.69,100.08,5142
2018-12-19,102.01,102.26,98.85,100.11,6005
2018-12-20,100.51,101.0,98.98,100.1,6899
2018-12-21,99.32,99.46,95.74,96.14,13773
2018-12-24,95.86,96.93,95.0,95.0,3134
2018-12-26,95.21,98.48,94.81,98.38,4203
2018-12-27,97.72,99.06,96.64,98.99,7662
2018-12-28,100.09,100.21,98.94,99.2,4032
2018-12-31,100.35,100.51,99.14,99.55,3251
2019-01-02,98.57,99.56,98.34,99.18,3809
2019-01-03,96.72,96.83,95.45,95.46,6272
2019-01-04,97.34,99.2,96.91,98.74,7268
2019-01-07,99.44,100.19,98.76,99.71,3471
2019-01-08,101.37,101.48,100.42,101.27,4434
2019-01-09,102.78,103.17,102.29,102.65,3990
2019-01-10,102.55,103.41,102.08,103.34,3662
2019-01-11,102.2,102.44,101.58,101.98,3586
2019-01-14,100.65,101.53,100.65,101.11,4103
2019-01-15,100.85,102.5,100.85,102.43,3525
2019-01-16,101.71,102.59,101.71,102.25,3413
2019-01-17,102.37,103.93,102.3,103.63,2347
2019-01-18,105.24,106.13,104.62,105.74,3517
2019-01-22,103.51,103.83,102.89,103.33,5002
2019-01-23,104.77,104.99,103.66,104.1,4346
2019-01-24,105.56,105.61,104.72,105.4,4345
2019-01-25,106.5,106.54,105.59,106.01,4349
2019-01-28,105.9,108.31,105.4,106.94,12614
2019-01-29,103.37,103.89,102.15,102.69,14212
2019-01-30,101.96,103.15,100.97,102.52,7035
2019-01-31,102.47,103.75,102.31,103.42,7562
2019-02-01,103.79,104.56,103.48,103.95,4277
2019-02-04,103.25,104.29,102.93,104.21,4093
2019-02-05,105.84,106.38,105.59,106.27,4798
2019-02-06,106.08,106.17,105.22,105.27,2459
2019-02-07,103.89,104.19,102.9,103.46,5264
2019-02-08,103.91,104.44,103.53,104.03,5580
2019-02-11,104.3,104.52,103.69,104.09,3308
2019-02-12,104.53,105.05,104.28,104.63,3039
2019-02-13,105.32,106.23,105.24,105.26,2746
2019-02-14,105.69,106.29,105.26,105.94,3667
2019-02-15,106.75,106.85,105.85,106.82,2475
2019-02-19,106.06,106.97,106.06,106.74,2124
2019-02-20,106.58,107.36,106.58,106.86,3968
2019-02-21,107.2,107.58,106.81,106.98,2147
2019-02-22,108.08,108.48,107.94,108.32,1936
2019-02-25,107.7,108.07,107.24,107.33,2859
2019-02-26,106.54,107.63,106.48,107.57,2454
2019-02-27,106.71,107.08,106.23,107.01,3692
2019-02-28,107.04,107.32,106.73,107.13,3486
2019-03-01,108.0,108.58,107.72,108.38,3400
2019-03-04,108.0,108.04,106.61,107.32,2802
2019-03-05,107.62,108.26,107.31,107.97,1893
2019-03-06,108.26,108.28,107.45,107.59,1934
2019-03-07,107.43,107.47,106.11,106.35,2206
2019-03-08,106.77,108.05,106.69,107.97,3931
2019-03-11,106.66,107.92,106.66,107.72,3434
2019-03-12,107.36,108.26,107.27,108.01,2231
2019-03-13,108.52,109.29,108.47,108.86,3263
2019-03-14,109.33,109.74,108.91,109.52,2584
2019-03-15,111.63,112.77,111.62,112.49,4941
2019-03-18,111.99,112.34,111.53,112.14,2825
2019-03-19,113.33,113.74,112.98,113.44,3308
2019-03-20,113.79,114.91,113.39,114.53,3650
2019-03-21,113.31,114.5,113.24,114.43,2890
2019-03-22,112.67,113.11,111.08,111.72,6083
2019-03-25,111.41,111.92,111.06,111.6,2496
2019-03-26,113.07,113.97,112.87,113.93,5046
2019-03-27,113.69,114.01,112.65,113.56,6161
2019-03-28,114.32,114.59,113.58,114.21,5675
2019-03-29,116.07,116.15,115.12,115.46,3171
2019-04-01,115.8,115.95,115.39,115.82,2485
2019-04-02,115.65,115.91,115.3,115.81,1900
2019-04-03,116.67,116.99,116.4,116.43,2819
2019-04-04,117.24,117.36,115.76,115.95,5995
2019-04-05,114.5,115.04,114.47,114.61,3122
2019-04-08,114.37,114.95,113.77,114.93,4537
2019-04-09,111.4,111.48,110.28,110.37,8814
2019-04-10,111.93,112.39,111.61,112.27,6963
2019-04-11,112.18,112.39,111.85,112.33,3993
2019-04-12,112.66,112.66,112.18,112.32,2363
2019-04-15,112.26,113.12,112.22,112.8,5414
2019-04-16,112.22,112.25,111.1,111.2,9131
2019-04-17,112.82,112.82,112.01,112.31,6976
2019-04-18,112.84,113.35,112.48,112.97,3844
2019-04-22,112.65,114.0,112.65,113.79,3362
2019-04-23,113.54,114.9,113.52,114.8,6435
2019-04-24,125.79,130.16,125.61,129.08,29429
2019-04-25,127.06,129.29,126.86,129.05,19505
2019-04-26,128.52,128.53,127.42,127.48,6690
2019-04-29,127.06,129.2,127.02,129.05,14343
2019-04-30,127.53,128.9,127.53,128.86,6008
2019-05-01,128.87,129.95,127.83,127.86,5971
2019-05-02,127.08,127.5,125.65,125.98,4548
2019-05-03,126.49,127.53,126.11,127.4,2378
2019-05-06,125.22,126.56,125.08,126.42,2560
2019-05-07,124.87,125.05,122.76,123.47,5342
2019-05-08,123.73,124.76,123.48,124.3,3619
2019-05-09,124.29,124.7,123.21,124.37,6395
2019-05-10,124.76,125.8,123.39,125.75,6313
2019-05-13,124.36,124.64,123.15,123.24,3169
2019-05-14,123.64,125.68,123.59,125.2,7499
2019-05-15,124.4,126.86,124.37,126.17,6535
2019-05-16,127.72,130.11,127.68,129.11,5517
2019-05-17,128.14,128.67,127.22,127.36,2927
2019-05-20,124.8,125.73,124.28,125.19,7629
2019-05-21,127.28,127.71,126.66,126.91,2865
2019-05-22,127.96,129.0,127.71,128.7,4738
2019-05-23,126.97,127.01,125.91,126.6,3074
2019-05-24,127.61,127.92,127.27,127.51,1639
2019-05-28,126.62,127.47,125.96,126.0,3097
2019-05-29,124.94,124.94,123.6,124.25,4205
2019-05-30,124.19,125.27,124.15,124.92,2761
2019-05-31,123.31,123.5,122.85,123.08,4580
2019-06-03,124.43,124.7,122.12,122.84,6941
2019-06-04,123.99,125.88,123.24,125.83,8299
2019-06-05,127.23,127.3,125.62,126.26,5140
2019-06-06,125.47,126.84,125.16,126.49,5207
2019-06-07,128.24,129.8,127.97,129.64,4810
2019-06-10,129.77,130.67,129.42,129.43,2333
2019-06-11,129.52,129.7,127.76,128.38,3415
2019-06-12,127.78,128.67,127.76,128.31,4545
2019-06-13,129.38,129.38,128.4,128.81,3255
2019-06-14,128.08,128.18,127.39,127.65,2716
2019-06-17,128.61,129.16,128.31,128.46,3543
2019-06-18,131.63,132.42,131.09,131.77,6000
2019-06-19,131.13,131.96,130.7,131.84,2723
2019-06-20,134.68,134.8,133.27,134.4,6533
2019-06-21,133.94,134.48,133.42,134.35,3471
2019-06-24,135.32,135.4,134.7,134.93,3986
2019-06-25,136.13,136.15,132.92,133.01,4986
2019-06-26,133.95,135.05,133.81,134.03,6426
2019-06-27,133.67,134.95,133.46,134.68,4678
2019-06-28,135.94,137.49,135.76,136.8,11474
2019-07-01,138.7,139.01,137.93,138.3,10262
2019-07-02,138.46,139.59,138.43,139.35,4968
2019-07-03,140.29,140.62,139.85,140.18,3794
2019-07-05,138.04,138.28,137.09,138.16,3376
2019-07-08,138.32,138.71,137.95,138.48,3292
2019-07-09,137.57,138.35,137.44,138.28,3263
2019-07-10,137.57,138.37,137.19,137.66,4516
2019-07-11,136.95,137.49,136.4,137.42,3320
2019-07-12,136.25,136.91,136.04,136.77,3371
2019-07-15,136.82,137.35,136.5,137.13,2537
2019-07-16,135.31,136.08,134.94,135.12,4043
2019-07-17,135.68,136.02,133.95,134.22,5720
2019-07-18,126.76,128.41,125.61,127.42,23178
2019-07-19,126.18,126.36,124.47,124.63,10720
2019-07-22,125.84,125.98,124.53,124.83,5416
2019-07-23,125.11,125.77,124.61,125.63,3769
2019-07-24,127.28,127.64,126.76,127.61,4231
2019-07-25,126.81,126.85,125.11,125.39,4879
2019-07-26,126.87,127.25,126.72,126.99,2342
2019-07-29,127.62,127.62,126.19,126.43,3099
