date,open,high,low,close,volume
2018-12-10,60.01,60.66,58.2,60.42,7365
2018-12-11,60.82,61.97,59.96,61.43,5322
2018-12-12,61.55,61.99,60.38,60.97,6088
2018-12-13,61.23,61.68,59.84,60.66,6728
2018-12-14,59.77,61.61,58.89,59.01,7519
2018-12-17,59.01,59.41,57.6,58.14,7741
2018-12-18,58.38,59.47,58.27,58.55,7181
2018-12-19,58.72,59.66,57.39,57.79,6692
2018-12-20,57.25,57.94,54.53,56.01,8516
2018-12-21,56.19,56.73,54.7,54.79,7632
2018-12-24,54.14,55.72,53.55,54.28,4297
2018-12-26,54.63,57.83,54.05,57.76,8253
2018-12-27,56.95,57.13,54.59,57.1,4962
2018-12-28,57.33,58.27,56.6,57.52,3474
2018-12-31,57.57,59.02,57.43,57.92,5540
2019-01-02,57.17,58.19,56.53,57.84,5543
2019-01-03,57.08,57.36,52.52,53.96,11947
2019-01-04,54.76,57.54,54.61,56.1,7391
2019-01-07,55.87,58.71,55.39,57.67,13921
2019-01-08,58.57,58.6,56.91,57.06,11371
2019-01-09,57.06,59.62,56.87,59.45,8179
2019-01-10,57.92,61.09,56.14,60.75,13055
2019-01-11,60.14,60.52,59.22,60.11,8995
2019-01-14,59.34,59.81,58.18,58.83,7262
2019-01-15,59.03,59.93,58.07,58.56,10373
2019-01-16,59.38,61.7,59.38,60.76,11667
2019-01-17,61.71,61.97,59.55,60.31,11304
2019-01-18,60.91,60.99,58.82,59.36,10160
2019-01-22,59.22,59.65,57.67,58.06,8689
2019-01-23,58.5,58.62,57.19,57.42,6247
2019-01-24,58.14,58.59,57.05,57.46,10166
2019-01-25,57.81,58.55,56.8,57.96,10631
2019-01-28,58.43,59.45,57.69,58.49,5815
2019-01-29,58.49,58.63,57.61,57.64,4044
2019-01-30,58.0,59.9,57.22,59.43,7162
2019-01-31,59.03,59.56,58.28,58.82,4873
2019-02-01,59.41,62.23,58.9,61.13,11997
2019-02-04,61.66,62.93,61.08,62.78,8629
2019-02-05,63.08,63.74,62.12,62.95,10469
2019-02-06,59.95,62.55,57.16,60.9,24376
2019-02-07,61.79,63.07,61.21,62.71,13004
2019-02-08,61.95,62.13,60.6,61.44,7403
2019-02-11,62.05,63.26,61.67,63.06,8496
2019-02-12,63.63,64.76,61.56,61.65,9993
2019-02-13,61.75,62.07,60.6,60.93,10939
2019-02-14,60.52,61.87,60.51,61.42,8441
2019-02-15,61.7,62.24,61.34,61.67,5459
2019-02-19,61.67,63.24,61.67,62.34,9012
2019-02-20,61.25,61.85,57.85,58.01,18758
2019-02-21,58.73,59.72,58.33,59.58,12252
2019-02-22,59.65,60.22,59.35,60.12,7654
2019-02-25,60.17,61.0,60.17,60.59,7184
2019-02-26,60.56,61.59,60.56,61.01,5095
2019-02-27,60.66,61.34,58.34,58.57,13346
2019-02-28,58.49,58.72,55.35,56.25,22640
2019-03-01,56.68,57.43,56.0,56.61,13906
2019-03-04,56.49,57.37,56.37,57.06,11134
2019-03-05,57.31,57.7,56.1,56.21,16090
2019-03-06,56.21,56.66,53.24,53.3,22033
2019-03-07,53.14,53.14,52.08,52.79,13002
2019-03-08,52.36,53.24,51.45,51.68,7292
2019-03-11,52.86,53.67,51.95,53.07,9913
2019-03-12,52.54,53.48,52.11,52.81,9452
2019-03-13,53.1,54.89,53.02,54.77,10537
2019-03-14,55.13,56.27,55.02,55.15,8727
2019-03-15,55.77,56.19,54.09,54.2,11100
2019-03-18,53.99,54.04,52.53,52.85,8230
2019-03-19,52.85,54.38,52.85,53.7,5204
2019-03-20,53.56,53.7,52.25,52.6,5571
2019-03-21,52.68,54.15,52.54,53.99,4471
2019-03-22,53.99,54.32,52.36,53.05,11589
2019-03-25,53.05,53.34,51.52,51.55,10818
2019-03-26,52.68,52.94,52.01,52.45,7406
2019-03-27,52.29,53.89,52.29,53.21,7130
