date,open,high,low,close,volume
2018-12-10,167.73,170.14,165.93,168.87,5540
2018-12-11,170.75,171.97,169.65,171.29,5532
2018-12-12,171.25,171.74,168.89,168.97,4932
2018-12-13,169.59,173.66,169.59,172.22,5418
2018-12-14,171.18,173.58,170.2,172.5,5979
2018-12-17,172.1,172.45,164.51,164.61,7686
2018-12-18,165.74,167.45,165.31,165.44,6544
2018-12-19,164.83,168.05,164.7,165.1,8215
2018-12-20,164.45,166.38,162.18,163.4,7211
2018-12-21,164.46,167.6,161.54,161.79,9763
2018-12-24,161.17,162.88,157.9,158.13,6027
2018-12-26,158.0,164.28,155.19,164.27,6542
2018-12-27,162.5,164.99,158.04,163.19,4034
2018-12-28,164.54,165.06,161.52,162.49,3892
2018-12-31,163.0,163.52,160.24,161.89,4173
2019-01-02,160.1,160.98,158.07,160.75,5287
2019-01-03,160.15,164.61,160.15,162.54,5073
2019-01-04,162.97,165.04,161.99,162.94,3343
2019-01-07,163.71,166.73,163.04,164.59,3866
2019-01-08,165.61,167.74,163.64,167.26,4300
2019-01-09,167.25,167.25,164.25,164.94,3500
2019-01-10,164.52,168.21,163.81,168.05,2623
2019-01-11,167.83,170.43,166.71,169.79,2829
2019-01-14,169.31,170.62,168.35,169.16,4116
2019-01-15,169.64,171.79,169.32,170.5,3289
2019-01-16,170.57,173.31,169.23,172.57,4752
2019-01-17,171.91,174.32,171.53,173.46,4367
2019-01-18,174.35,174.56,171.46,173.05,7901
2019-01-22,172.92,174.0,171.16,173.16,4147
2019-01-23,173.01,175.6,172.32,175.5,5581
2019-01-24,175.06,177.91,173.41,176.53,3775
2019-01-25,176.34,179.63,175.6,177.27,6886
2019-01-28,176.39,178.0,175.17,177.62,3378
2019-01-29,177.83,178.84,177.0,178.76,4349
2019-01-30,178.67,180.0,177.38,178.81,4749
2019-01-31,178.63,182.8,177.47,182.53,3609
2019-02-01,182.94,183.36,178.1,181.14,3560
2019-02-04,181.04,182.5,179.89,182.46,3323
2019-02-05,181.85,184.71,181.55,184.59,4642
2019-02-06,184.03,184.6,181.29,181.42,2927
2019-02-07,181.16,183.87,180.43,183.65,2313
2019-02-08,183.58,184.74,182.49,183.22,3115
2019-02-11,183.9,184.98,182.95,183.97,2666
2019-02-12,184.13,184.2,182.14,183.21,2357
2019-02-13,183.36,184.49,182.65,184.34,2609
2019-02-14,184.02,185.12,183.58,184.19,2716
2019-02-15,185.06,185.93,184.01,185.5,5836
2019-02-19,184.46,186.35,183.0,183.55,6059
2019-02-20,183.05,184.05,182.0,182.99,4340
2019-02-21,183.54,183.54,180.33,182.66,5212
2019-02-22,181.49,184.63,179.35,182.55,6412
2019-02-25,181.92,182.63,179.88,181.09,4341
2019-02-26,180.66,182.12,179.96,180.99,3098
2019-02-27,180.76,181.51,178.57,180.41,1662
2019-02-28,180.18,183.02,179.77,180.56,4288
2019-03-01,181.21,182.44,178.85,182.11,4105
2019-03-04,182.45,182.88,180.08,182.48,5483
2019-03-05,182.48,183.73,181.33,182.1,4946
2019-03-06,182.0,183.07,181.68,182.3,2408
2019-03-07,182.3,184.5,181.5,183.38,4497
2019-03-08,183.38,185.69,182.11,183.47,2738
2019-03-11,183.27,186.0,183.27,185.91,3698
2019-03-12,185.76,187.73,184.73,187.12,3179
2019-03-13,187.49,189.04,187.15,188.96,4751
2019-03-14,189.21,189.5,187.64,189.44,2707
2019-03-15,189.83,191.27,189.09,190.95,7069
2019-03-18,191.06,192.18,190.28,191.56,5029
2019-03-19,191.65,193.17,191.5,191.89,3996
2019-03-20,191.59,193.73,190.51,192.61,4057
2019-03-21,192.1,196.27,191.59,196.07,4326
2019-03-22,195.1,198.14,195.1,197.12,7074
2019-03-25,197.32,197.76,195.41,195.58,5389
2019-03-26,196.89,196.89,194.4,195.0,3994
2019-03-27,195.45,195.45,192.58,193.75,5189
2019-03-28,193.89,195.16,192.43,194.93,7492
2019-03-29,194.94,200.04,194.14,199.66,7937
2019-04-01,199.52,200.22,196.21,197.91,6430
2019-04-02,198.05,200.5,197.05,199.64,5260
2019-04-03,199.77,201.57,198.01,200.12,3330
2019-04-04,200.51,200.96,198.02,198.13,4155
2019-04-05,197.67,201.17,197.47,201.01,4626
2019-04-08,201.02,202.18,199.86,201.49,3509
2019-04-09,201.41,202.79,199.9,201.19,3150
2019-04-10,201.73,202.98,201.26,202.53,2743
2019-04-11,202.93,203.64,201.77,203.32,2685
2019-04-12,202.73,204.34,200.68,204.24,2501
2019-04-15,203.75,204.06,201.94,203.11,2832
2019-04-16,203.88,203.94,197.83,198.88,3144
2019-04-17,200.0,201.07,197.03,197.3,3679
2019-04-18,197.53,198.95,193.91,198.18,4099
2019-04-22,197.48,199.64,196.38,199.37,2259
2019-04-23,199.44,200.87,198.15,199.98,2472
2019-04-24,200.22,202.0,199.05,200.84,2203
2019-04-25,200.85,200.85,198.33,199.53,2834
2019-04-26,199.78,201.26,199.34,201.07,2233
2019-04-29,200.65,201.48,199.23,199.81,3486
2019-04-30,199.61,204.12,197.86,203.73,5374
2019-05-01,202.94,207.19,202.68,203.81,5092
2019-05-02,203.13,205.15,203.13,204.19,6157
2019-05-03,204.97,207.28,204.37,206.92,3646
2019-05-06,206.52,207.51,205.0,206.04,2534
2019-05-07,205.48,206.11,202.52,204.35,3896
2019-05-08,204.01,208.5,204.01,207.94,4225
2019-05-09,207.0,208.1,205.21,207.31,3619
2019-05-10,207.88,210.73,206.36,210.39,3541
2019-05-13,208.14,210.14,207.77,209.27,1926
2019-05-14,208.65,212.96,208.65,209.47,2550
2019-05-15,207.34,211.07,207.28,210.4,3531
2019-05-16,211.04,213.67,210.5,212.31,2152
2019-05-17,210.81,214.94,209.78,209.98,2955
2019-05-20,207.46,207.46,199.22,203.23,10217
2019-05-21,204.34,206.4,203.99,205.5,3706
2019-05-22,205.58,207.14,205.58,206.84,2419
2019-05-23,206.05,210.29,205.4,210.03,2222
2019-05-24,211.36,212.18,208.7,208.74,2939
2019-05-28,208.89,210.29,203.8,203.83,4361
2019-05-29,204.33,205.2,203.1,203.77,4537
2019-05-30,203.4,212.86,203.4,212.61,7324
2019-05-31,212.28,218.05,211.86,216.41,6031
2019-06-03,217.26,217.9,213.67,217.42,4619
2019-06-04,217.91,218.38,214.74,217.46,2119
2019-06-05,218.2,220.91,216.42,220.72,3587
2019-06-06,221.0,222.29,218.5,221.48,3116
2019-06-07,221.99,223.31,220.4,220.5,2775
2019-06-10,220.16,221.75,217.96,221.54,2689
2019-06-11,222.39,223.6,219.89,223.27,2260
2019-06-12,223.17,227.0,223.17,226.85,5019
2019-06-13,226.64,227.47,223.37,224.5,3961
2019-06-14,225.07,227.98,223.64,226.5,4130
2019-06-17,226.8,228.73,225.68,227.75,7207
2019-06-18,228.75,230.95,228.51,229.55,4757
2019-06-19,229.9,234.33,229.61,233.48,3270
2019-06-20,234.9,236.56,232.83,233.68,2742
2019-06-21,231.89,233.3,230.52,231.91,3520
2019-06-24,232.73,235.0,230.8,232.52,2277
2019-06-25,233.19,233.84,228.08,228.33,2328
2019-06-26,228.02,228.02,222.48,223.5,2617
2019-06-27,223.06,225.86,223.06,224.83,1577
2019-06-28,225.01,225.01,222.6,224.84,2657
2019-07-01,227.48,227.48,221.1,224.99,3372
2019-07-02,226.26,230.74,225.76,230.42,3829
2019-07-03,230.52,234.82,230.3,234.29,1583
2019-07-05,232.77,234.02,229.03,232.61,1980
2019-07-08,231.0,234.67,230.95,233.42,1729
2019-07-09,233.31,235.33,233.22,234.75,2889
2019-07-10,235.21,236.48,233.77,235.97,2978
2019-07-11,235.52,236.91,233.54,235.18,2212
2019-07-12,236.31,236.42,231.79,233.97,1954
2019-07-15,233.67,235.53,232.93,235.27,2966
2019-07-16,235.22,235.67,231.84,232.31,2860
2019-07-17,233.42,234.65,230.06,231.85,2507
2019-07-18,229.6,232.83,228.04,231.8,5180
2019-07-19,231.84,233.51,228.18,228.4,2382
2019-07-22,228.86,232.04,227.6,230.3,2582
2019-07-23,230.68,233.25,229.66,233.17,1791
2019-07-24,232.71,234.64,227.88,234.08,3908
2019-07-25,234.05,234.46,231.58,233.79,1428
2019-07-26,233.74,237.09,232.98,236.82,2315
2019-07-29,236.99,238.84,235.4,236.98,5717
2019-07-30,248.86,249.05,238.18,248.43,6517
2019-07-31,248.66,248.66,243.16,245.41,4833
2019-08-01,245.0,247.94,239.62,246.79,4473
2019-08-02,247.38,249.96,244.93,248.62,4927
2019-08-05,246.05,249.16,241.01,244.98,2817
2019-08-06,245.56,248.68,244.73,247.98,3048
2019-08-07,246.84,249.71,243.94,247.73,2823
2019-08-08,248.85,252.74,247.39,252.56,2162
2019-08-09,252.48,254.68,250.75,254.29,1375
2019-08-12,254.03,256.0,253.39,254.84,1491
2019-08-13,255.61,260.5,254.03,259.77,3772
2019-08-14,258.81,259.74,254.68,254.75,3666
2019-08-15,255.51,260.64,254.02,259.85,2425
2019-08-16,260.87,261.73,257.78,260.29,3658
2019-08-19,261.0,263.04,258.31,260.84,2595
2019-08-20,261.22,262.95,258.8,260.05,1776
2019-08-21,260.65,261.85,259.47,260.42,1872
2019-08-22,260.71,261.15,257.5,260.53,2244
2019-08-23,261.69,263.91,258.77,260.8,4092
2019-08-26,261.31,265.0,260.0,264.99,2281
2019-08-27,266.3,266.58,264.26,264.84,1968
2019-08-28,264.01,266.13,261.34,263.15,2279
2019-08-29,265.0,265.0,261.34,262.52,2339
2019-08-30,264.56,264.7,261.63,262.43,2636
2019-09-03,262.87,266.35,261.72,265.87,3025
2019-09-04,266.9,269.65,265.59,269.28,3047
2019-09-05,270.11,270.42,262.85,263.2,3815
2019-09-06,263.7,264.72,262.1,262.38,2448
2019-09-09,261.89,262.38,251.61,252.0,4973
2019-09-10,250.35,250.5,238.64,241.09,9168
2019-09-11,239.67,244.5,237.57,242.24,6993
2019-09-12,243.32,248.34,243.1,245.9,5379
2019-09-13,245.05,246.07,241.12,243.515,4289
2019-09-16,243.56,246.73,242.51,246.29,2883
2019-09-17,248.07,253.73,246.6,252.99,3109
2019-09-18,252.7,254.98,249.03,253.39,2821
2019-09-19,250.99,252.5,249.08,251.21,4771
2019-09-20,252.44,257.51,250.74,256.77,5201
2019-09-23,256.89,259.65,255.46,255.57,2614
2019-09-24,256.48,259.0,254.34,254.77,5236
2019-09-25,255.72,255.91,245.02,246.01,8437
2019-09-26,246.48,248.2,245.58,245.97,7580
2019-09-27,244.87,246.4,234.83,236.83,7728
2019-09-30,242.41,242.41,238.05,241.15,4247
2019-10-01,240.84,241.86,236.96,237.08,2713
2019-10-02,236.1,237.53,232.39,233.78,3383
2019-10-03,233.42,238.42,233.34,237.28,3535
2019-10-04,237.5,239.98,236.4,236.58,2485
2019-10-07,235.92,237.08,232.78,236.35,1994
2019-10-08,236.11,240.31,234.68,237.16,2730
2019-10-09,238.31,238.91,236.42,238.64,2138
2019-10-10,237.59,243.16,235.16,242.82,3628
2019-10-11,242.77,244.76,241.18,241.47,2887
2019-10-14,241.96,243.97,239.12,240.86,1695
2019-10-15,240.51,240.76,236.2,239.01,1849
2019-10-16,238.77,238.98,229.29,232.94,5502
2019-10-17,233.13,241.37,233.13,240.04,4745
2019-10-18,239.83,246.3,239.47,244.1,5447
2019-10-21,244.47,246.08,242.08,245.83,2914
2019-10-22,247.31,250.85,244.84,244.98,5146
2019-10-23,245.65,248.41,244.43,247.98,4633
2019-10-24,247.72,248.79,245.23,246.56,3145
2019-10-25,246.42,246.42,240.03,244.15,2611
2019-10-28,243.73,246.85,241.86,242.51,4599
2019-10-29,230.3,242.46,230.3,238.68,6723
2019-10-30,239.31,242.12,238.19,241.89,2255
2019-10-31,242.03,242.61,238.28,240.65,2229
2019-11-01,240.65,242.2,234.34,240.18,3010
2019-11-04,239.97,239.97,234.07,234.6,2441
2019-11-05,233.96,233.98,226.82,228.76,5773
2019-11-06,229.76,232.75,228.59,231.5,2063
2019-11-07,230.1,231.94,225.21,226.73,3877
2019-11-08,226.75,231.18,225.0,228.46,1856
2019-11-11,227.29,230.77,227.29,228.62,2492
2019-11-12,228.62,229.9,225.71,226.39,3618
2019-11-13,226.97,231.99,226.15,231.32,4483
2019-11-14,231.87,235.12,230.34,234.98,3021
2019-11-15,235.22,237.48,232.88,237.26,3241
2019-11-18,237.21,239.93,235.85,236.16,1876
2019-11-19,236.47,240.83,234.66,239.99,2623
2019-11-20,239.78,244.61,238.72,240.75,2528
2019-11-21,240.32,242.02,236.88,237.71,1988
2019-11-22,237.67,238.1,231.9,232.35,1968
2019-11-25,233.21,234.77,231.23,231.54,2610
2019-11-26,231.91,238.09,231.3,237.09,4150
2019-11-27,237.45,237.81,235.21,237.54,2628
2019-11-29,237.43,239.31,236.29,236.47,923
2019-12-02,236.12,236.47,230.98,232.14,2072
2019-12-03,232.1,236.09,232.1,234.97,1777
2019-12-04,233.83,237.3,232.34,235.36,1943
2019-12-05,235.03,236.07,233.37,235.94,1279
2019-12-06,236.96,237.42,233.5,236.49,2061
2019-12-09,236.88,237.98,235.31,237.75,1749
2019-12-10,237.69,238.5,233.54,235.6,3586
2019-12-11,235.92,237.44,233.5,235.77,3048
2019-12-12,236.34,236.38,227.75,228.05,4255
2019-12-13,227.74,235.61,227.63,235.48,4484
2019-12-16,234.44,237.29,233.3,234.68,4887
2019-12-17,234.56,236.33,227.4,227.6,11247
2019-12-18,228.06,235.79,227.53,233.895,13361
2019-12-19,233.57,240.21,233.57,238.15,5228
2019-12-20,242.04,243.95,237.39,241.22,5779
2019-12-23,241.39,243.16,240.19,240.61,1874
2019-12-24,240.85,241.11,238.9,240.15,1100
2019-12-26,240.22,242.2,239.37,241.26,975
