date,open,high,low,close,volume
2018-12-10,34.37,34.68,33.91,34.05,15300
2018-12-11,34.56,34.74,33.71,33.85,14995
2018-12-12,34.33,34.46,33.44,33.46,21132
2018-12-13,33.56,33.64,32.33,32.4,16249
2018-12-14,34.29,35.19,33.48,33.94,39179
2018-12-17,33.42,34.04,32.84,33.78,28350
2018-12-18,34.53,34.78,33.82,33.96,20227
2018-12-19,34.1,35.67,34.1,34.67,30062
2018-12-20,34.52,35.06,34.21,34.35,25787
2018-12-21,34.39,35.3,33.63,33.64,22023
2018-12-24,33.54,33.59,32.82,33.01,5994
2018-12-26,33.08,34.15,32.77,34.14,11962
2018-12-27,33.63,34.61,33.25,34.59,12669
2018-12-28,34.73,34.89,34.11,34.21,10756
2018-12-31,34.24,34.97,34.24,34.84,7215
2019-01-02,34.5,35.32,34.34,35.32,15716
2019-01-03,35.04,35.44,34.45,34.73,10610
2019-01-04,35.17,35.7,34.92,35.45,11863
2019-01-07,35.47,36.06,35.22,35.56,11013
2019-01-08,36.0,36.29,35.8,36.05,13023
2019-01-09,35.92,36.16,35.24,35.27,12405
2019-01-10,35.21,36.32,35.2,36.09,8410
2019-01-11,36.01,36.73,35.81,36.57,11008
2019-01-14,36.38,36.65,36.09,36.48,7655
2019-01-15,36.38,36.7,36.2,36.67,6372
2019-01-16,36.67,36.95,36.56,36.77,7255
2019-01-17,36.58,37.44,36.58,37.16,6157
2019-01-18,37.3,38.18,37.3,37.74,9584
2019-01-22,37.82,38.11,37.61,38.09,10318
2019-01-23,38.36,38.36,36.91,37.17,10452
2019-01-24,37.19,37.69,37.0,37.53,9719
2019-01-25,37.87,38.28,37.84,37.95,9801
2019-01-28,37.82,38.42,37.56,38.31,10058
2019-01-29,38.53,38.69,38.22,38.54,9552
2019-01-30,38.51,39.28,38.4,39.09,13316
2019-01-31,38.68,39.59,38.46,39.5,14122
2019-02-01,39.67,40.39,39.28,40.07,14521
2019-02-04,39.91,40.39,39.83,40.31,13386
2019-02-05,40.52,40.79,40.2,40.76,11010
2019-02-06,40.63,40.94,40.23,40.57,16341
2019-02-07,42.06,44.47,42.05,44.27,44462
2019-02-08,44.02,44.59,42.57,42.89,28439
2019-02-11,43.0,43.14,41.99,42.18,24335
2019-02-12,42.25,42.75,42.16,42.33,23099
