date,open,high,low,close,volume
2018-12-10,18.39,18.53,17.9,18.22,3600
2018-12-11,18.53,18.75,18.34,18.55,2178
2018-12-12,18.82,18.99,18.41,18.46,2820
2018-12-13,18.53,18.71,17.94,17.94,3716
2018-12-14,17.61,17.71,16.64,16.77,3756
2018-12-17,16.46,16.76,16.25,16.46,5699
2018-12-18,16.65,17.11,16.62,16.97,6870
2018-12-19,17.01,17.05,16.35,16.44,10428
2018-12-20,16.41,16.41,15.99,16.12,6346
2018-12-21,16.13,16.31,15.58,15.61,7739
2018-12-24,15.5,15.51,14.93,14.93,1613
2018-12-26,15.04,15.64,14.82,15.62,6138
2018-12-27,15.47,15.62,15.0,15.62,5761
2018-12-28,15.68,15.85,15.21,15.49,5842
2018-12-31,15.6,15.71,15.15,15.35,3410
2019-01-02,15.16,15.77,15.08,15.73,4159
2019-01-03,15.56,15.71,15.11,15.31,11742
2019-01-04,15.41,16.21,15.39,16.09,5325
2019-01-07,15.18,15.22,14.06,14.08,15807
2019-01-08,14.15,14.79,14.12,14.48,18506
2019-01-09,14.64,15.08,14.6,14.76,9840
2019-01-10,14.75,15.17,14.72,14.86,4524
2019-01-11,14.75,15.04,14.71,14.92,3111
2019-01-14,14.89,15.04,14.72,14.8,3709
2019-01-15,14.8,15.08,14.8,14.95,3544
2019-01-16,15.02,15.42,15.02,15.35,2762
2019-01-17,15.23,15.53,15.23,15.32,2506
2019-01-18,15.42,15.51,15.01,15.02,3365
2019-01-22,14.89,15.01,14.48,14.58,8628
2019-01-23,14.66,15.42,14.58,15.17,10162
2019-01-24,15.15,15.43,15.06,15.18,1826
2019-01-25,15.26,15.71,15.26,15.58,4717
2019-01-28,15.44,15.53,14.84,15.21,3687
2019-01-29,15.32,15.38,14.93,15.16,2813
2019-01-30,15.32,15.52,15.17,15.44,2235
2019-01-31,15.39,15.66,15.37,15.62,2871
2019-02-01,15.69,15.7,15.4,15.46,5315
2019-02-04,15.48,15.84,15.35,15.83,3165
2019-02-05,15.81,16.05,15.7,15.84,2490
2019-02-06,15.76,15.93,15.67,15.91,2088
2019-02-07,15.85,15.99,15.69,15.89,3770
2019-02-08,15.8,15.8,14.88,15.29,6268
2019-02-11,15.3,15.56,15.26,15.47,1962
2019-02-12,15.59,15.64,15.32,15.57,3676
2019-02-13,15.61,15.69,15.33,15.41,5345
2019-02-14,15.25,15.71,15.18,15.63,6406
2019-02-15,15.7,15.85,15.61,15.74,3294
2019-02-19,15.6,15.8,15.48,15.65,6388
2019-02-20,15.49,15.66,15.3,15.61,5151
2019-02-21,15.69,15.69,15.23,15.48,4787
2019-02-22,15.46,16.26,15.03,15.63,6377
2019-02-25,15.65,16.28,15.65,15.67,4759
2019-02-26,15.71,15.82,14.85,14.86,5317
2019-02-27,14.79,14.98,14.66,14.9,3595
2019-02-28,14.89,15.13,14.82,14.82,13862
2019-03-01,14.97,15.27,14.75,15.18,9396
2019-03-04,15.25,15.25,14.64,14.72,7807
2019-03-05,14.76,14.79,14.52,14.52,2738
2019-03-06,14.5,14.5,13.76,13.76,5027
2019-03-07,13.79,14.06,13.72,13.76,7513
2019-03-08,13.73,13.85,13.54,13.78,3702
2019-03-11,13.85,13.92,13.67,13.85,6766
2019-03-12,13.87,14.05,13.82,13.83,3849
2019-03-13,13.88,14.18,13.86,14.03,5902
2019-03-14,14.03,14.33,14.01,14.23,5413
2019-03-15,14.25,14.33,14.07,14.16,9275
2019-03-18,14.24,14.41,14.13,14.32,3823
2019-03-19,14.85,15.05,14.43,14.62,5896
2019-03-20,14.57,14.75,14.38,14.44,3137
2019-03-21,14.4,14.73,14.4,14.52,4462
2019-03-22,14.38,14.49,14.0,14.04,4203
2019-03-25,13.95,14.83,13.78,14.14,13631
2019-03-26,14.24,14.33,13.92,14.11,6213
2019-03-27,14.09,14.16,13.73,13.93,2444
2019-03-28,13.97,14.07,13.76,13.92,2134
2019-03-29,14.03,14.15,13.98,14.09,3470
2019-04-01,14.18,14.28,14.01,14.13,2823
2019-04-02,14.16,14.17,13.92,14.02,2316
2019-04-03,14.17,14.32,14.04,14.08,2320
2019-04-04,14.1,14.3,14.06,14.18,3926
2019-04-05,14.27,14.68,14.27,14.51,4304
2019-04-08,14.43,14.48,14.29,14.48,4710
2019-04-09,14.41,14.65,14.35,14.44,2509
2019-04-10,14.46,14.75,14.4,14.59,2536
2019-04-11,14.64,14.72,14.39,14.47,3602
2019-04-12,14.56,14.71,14.34,14.39,2219
2019-04-15,14.39,14.63,14.28,14.57,3680
2019-04-16,14.71,14.74,13.76,13.8,4583
2019-04-17,13.88,13.93,12.96,13.13,13519
2019-04-18,13.09,13.67,13.01,13.58,5662
2019-04-22,13.58,13.73,13.38,13.6,2986
2019-04-23,13.62,14.08,13.62,13.86,2417
2019-04-24,13.81,14.2,13.81,14.06,2197
2019-04-25,14.01,14.29,13.92,14.18,2412
2019-04-26,14.22,14.6,14.08,14.58,2597
2019-04-29,14.56,14.73,14.44,14.56,2664
2019-04-30,14.65,14.65,14.18,14.37,3581
2019-05-01,14.33,14.46,14.11,14.24,3439
2019-05-02,14.14,14.37,13.99,14.26,4439
2019-05-03,14.63,14.67,14.13,14.49,6867
2019-05-06,14.23,14.93,14.23,14.9,5004
2019-05-07,14.77,14.93,14.58,14.67,5228
2019-05-08,14.57,14.72,14.42,14.62,3988
2019-05-09,14.44,14.95,14.39,14.82,2945
2019-05-10,14.81,14.81,14.44,14.69,5826
2019-05-13,14.41,14.63,14.34,14.47,4815
2019-05-14,14.49,14.68,14.44,14.51,2000
2019-05-15,14.39,14.68,14.34,14.58,1755
2019-05-16,14.55,14.67,14.42,14.45,2593
2019-05-17,14.75,15.22,14.68,14.69,5270
2019-05-20,14.59,14.97,14.47,14.94,2660
2019-05-21,15.02,15.2,15.01,15.18,1781
2019-05-22,15.06,15.21,14.96,15.08,2351
2019-05-23,14.95,14.95,14.55,14.64,3556
2019-05-24,14.69,14.8,14.54,14.67,2368
2019-05-28,14.67,14.84,14.53,14.67,2675
2019-05-29,14.53,14.65,14.33,14.55,3331
2019-05-30,14.55,14.76,14.39,14.53,4693
2019-05-31,14.33,14.41,13.91,14.05,4891
2019-06-03,14.05,14.59,14.05,14.56,3506
2019-06-04,14.74,15.2,14.74,15.17,2761
2019-06-05,15.19,15.29,14.63,14.73,1939
2019-06-06,14.77,14.94,14.65,14.82,1628
2019-06-07,14.92,15.27,14.85,15.03,2863
2019-06-10,15.08,15.29,15.08,15.14,1916
2019-06-11,15.29,15.29,14.8,15.0,3561
2019-06-12,14.9,14.99,14.71,14.85,1313
2019-06-13,14.93,15.21,14.93,15.15,1886
2019-06-14,15.08,15.27,15.03,15.24,2184
2019-06-17,15.33,15.4,15.2,15.25,2604
2019-06-18,15.26,15.66,15.2,15.33,1491
2019-06-19,15.36,15.49,15.19,15.47,1356
2019-06-20,15.49,15.64,15.25,15.37,3440
2019-06-21,15.26,15.55,15.15,15.52,3308
2019-06-24,15.51,15.58,15.43,15.5,1787
2019-06-25,15.5,15.81,15.38,15.56,2551
2019-06-26,15.58,15.58,15.16,15.44,2677
2019-06-27,15.49,15.76,15.49,15.68,2251
2019-06-28,15.64,15.92,15.63,15.87,4592
2019-07-01,15.96,15.96,15.29,15.36,4032
2019-07-02,15.37,15.64,15.16,15.61,2978
2019-07-03,15.58,15.73,15.54,15.6,776
2019-07-05,15.55,15.65,15.38,15.58,1393
2019-07-08,15.6,15.62,15.4,15.59,1744
2019-07-09,15.49,15.62,15.21,15.43,1228
2019-07-10,15.52,15.59,15.39,15.44,1158
2019-07-11,15.57,15.87,15.36,15.54,1437
2019-07-12,15.54,15.8,15.43,15.71,1372
2019-07-15,15.69,15.78,15.54,15.62,1522
2019-07-16,15.57,15.69,15.49,15.49,1458
2019-07-17,15.45,15.64,15.35,15.53,2757
2019-07-18,15.55,15.74,15.37,15.65,2185
2019-07-19,15.63,16.23,15.63,16.1,5158
2019-07-22,16.16,16.25,15.81,15.94,3895
2019-07-23,15.95,16.29,15.86,16.28,2805
2019-07-24,16.3,16.73,16.13,16.7,3929
2019-07-25,16.76,16.93,16.4,16.52,4151
2019-07-26,16.65,16.95,16.54,16.73,6559
2019-07-29,16.71,16.89,16.47,16.76,17109
2019-07-30,16.5,17.03,16.28,16.77,12526
2019-07-31,16.74,17.39,16.68,16.74,12997
2019-08-01,16.91,17.08,16.46,16.51,6755
2019-08-02,16.28,16.33,14.94,15.78,6700
2019-08-05,15.42,15.74,15.2,15.64,7560
2019-08-06,15.64,15.83,15.45,15.77,4550
2019-08-07,15.61,16.16,15.51,16.07,3620
2019-08-08,16.19,16.39,16.08,16.35,3588
2019-08-09,16.28,16.34,16.01,16.02,2581
2019-08-12,15.89,15.94,15.71,15.8,2007
2019-08-13,15.8,16.14,15.8,16.1,1713
2019-08-14,15.86,16.03,15.76,15.88,3819
2019-08-15,15.94,15.99,15.68,15.85,2057
2019-08-16,15.93,16.2,15.93,16.08,2943
2019-08-19,16.27,16.36,15.99,16.03,4040
2019-08-20,16.0,16.02,15.74,15.9,2944
2019-08-21,16.05,16.13,15.93,16.11,2923
2019-08-22,16.17,16.17,15.93,15.99,1752
2019-08-23,15.94,16.1,15.7,15.74,3854
2019-08-26,15.89,16.03,15.8,15.98,2383
2019-08-27,16.09,16.1,15.59,15.6,4885
2019-08-28,15.48,16.03,15.48,15.92,4078
2019-08-29,16.05,16.28,15.98,16.15,1930
2019-08-30,16.24,16.32,15.98,16.22,2400
2019-09-03,16.11,16.24,15.93,16.02,1985
2019-09-04,16.16,16.33,16.07,16.21,1628
2019-09-05,16.45,16.72,16.21,16.56,2186
2019-09-06,16.68,16.88,16.4,16.74,1855
2019-09-09,16.77,17.35,16.75,17.34,2248
2019-09-10,17.29,17.39,16.95,17.05,4812
2019-09-11,17.05,17.21,16.94,17.17,2925
2019-09-12,17.15,17.17,16.74,17.03,2762
2019-09-13,17.17,17.44,16.79,16.96,2323
2019-09-16,16.84,17.0,16.75,16.97,1909
2019-09-17,17.3,17.51,16.71,17.06,2577
2019-09-18,17.0,17.03,16.81,17.0,2020
2019-09-19,17.0,17.17,16.88,16.89,2382
2019-09-20,16.94,17.03,16.77,16.98,3695
2019-09-23,16.94,17.03,16.75,16.91,1653
2019-09-24,16.95,17.0,16.61,16.7,2503
2019-09-25,16.7,16.95,16.6,16.92,1888
2019-09-26,16.93,16.94,16.46,16.6,1552
2019-09-27,16.67,16.83,16.42,16.47,1925
2019-09-30,16.46,16.78,16.46,16.57,1825
2019-10-01,16.63,16.89,16.13,16.24,2934
2019-10-02,16.15,16.32,15.94,16.08,2069
2019-10-03,15.96,16.08,15.83,15.89,1520
2019-10-04,15.94,16.11,15.74,16.07,1287
2019-10-07,15.99,16.21,15.94,16.04,1496
2019-10-08,15.99,16.01,15.69,15.8,2136
2019-10-09,15.98,16.09,15.91,15.99,1187
2019-10-10,16.06,16.23,16.0,16.1,1445
2019-10-11,16.38,16.82,16.3,16.59,2095
2019-10-14,16.49,16.61,16.22,16.34,1810
2019-10-15,16.48,16.76,16.42,16.53,1891
2019-10-16,16.51,16.75,16.45,16.71,2039
2019-10-17,16.79,17.01,16.64,16.84,2975
2019-10-18,16.75,17.01,16.65,17.0,2954
2019-10-21,17.0,17.32,16.9,17.14,3660
2019-10-22,17.12,17.52,17.09,17.44,2496
2019-10-23,17.53,17.57,17.21,17.52,2144
2019-10-24,17.55,17.55,17.19,17.43,1776
2019-10-25,17.34,17.68,17.2,17.44,6746
2019-10-28,17.57,17.98,17.57,17.7,7881
2019-10-29,17.71,18.06,17.65,17.82,3595
2019-10-30,17.78,18.0,17.56,17.99,2595
2019-10-31,17.91,18.23,17.75,18.22,6228
2019-11-01,18.35,19.85,18.35,19.01,8479
2019-11-04,19.26,19.74,19.14,19.64,7472
2019-11-05,19.76,20.0,19.61,19.89,4897
2019-11-06,19.97,20.03,19.85,19.9,5913
2019-11-07,20.02,20.12,19.7,19.81,3032
2019-11-08,19.83,20.01,19.54,19.96,8651
2019-11-11,19.8,20.05,19.8,19.87,4249
2019-11-12,19.82,20.07,19.74,19.98,3424
2019-11-13,19.76,19.99,19.69,19.97,2283
2019-11-14,19.99,20.02,19.84,19.99,2062
2019-11-15,20.0,20.49,19.92,20.42,9602
2019-11-18,20.48,21.16,20.48,21.14,6849
2019-11-19,21.22,21.53,21.08,21.35,5390
2019-11-20,21.25,21.46,21.14,21.34,6886
2019-11-21,21.35,21.42,21.18,21.21,5497
2019-11-22,21.34,21.76,21.23,21.53,5248
2019-11-25,21.71,22.51,21.5,22.49,6655
2019-11-26,22.56,22.56,21.87,22.03,5015
2019-11-27,22.32,22.6,22.08,22.4,2893
2019-11-29,22.36,22.4,22.06,22.11,1419
2019-12-02,22.21,22.28,21.82,21.97,4068
2019-12-03,21.81,22.35,21.65,22.17,3178
2019-12-04,22.21,22.75,22.21,22.56,8386
2019-12-05,22.67,22.79,22.52,22.64,4672
2019-12-06,23.08,23.5,22.94,22.98,6548
2019-12-09,22.97,23.08,22.75,22.9,4541
2019-12-10,22.8,23.01,22.61,22.94,3936
2019-12-11,22.93,22.98,22.8,22.81,2663
