date,open,high,low,close,volume
2018-12-10,13.01,13.09,12.39,13.01,2555
2018-12-11,13.19,13.54,12.78,13.26,3066
2018-12-12,13.46,13.77,13.32,13.38,1153
2018-12-13,13.39,13.71,12.82,13.28,1499
2018-12-14,13.16,13.16,12.48,12.52,2427
2018-12-17,12.35,12.35,11.49,11.61,2288
2018-12-18,11.7,12.03,11.43,11.7,2252
2018-12-19,11.72,11.99,11.26,11.35,1345
2018-12-20,11.35,11.41,10.76,10.91,2689
2018-12-21,10.91,10.92,10.21,10.24,4062
2018-12-24,10.1,10.17,9.67,9.9,2331
2018-12-26,9.94,10.38,9.45,10.31,2366
2018-12-27,10.21,10.21,9.71,9.9,2318
2018-12-28,9.91,10.12,9.77,9.87,2238
2018-12-31,9.88,10.09,9.67,9.79,1688
2019-01-02,9.66,10.14,9.6,10.08,2003
2019-01-03,10.07,10.4,9.53,9.93,3691
2019-01-04,10.11,11.18,10.0,11.0,6512
2019-01-07,10.84,11.81,10.48,11.59,4788
2019-01-08,11.7,12.15,11.62,12.06,3081
2019-01-09,12.14,12.48,12.12,12.4,1777
2019-01-10,12.35,12.35,11.95,12.04,2150
2019-01-11,12.01,12.45,11.97,12.39,1934
2019-01-14,12.28,12.55,12.18,12.23,1235
2019-01-15,12.26,12.88,12.23,12.87,1259
2019-01-16,12.88,13.67,12.88,12.99,3102
2019-01-17,12.94,13.43,12.74,13.34,1503
2019-01-18,13.29,13.49,12.98,13.07,1283
2019-01-22,12.95,12.95,12.34,12.51,1553
2019-01-23,12.55,12.76,12.42,12.58,756
2019-01-24,12.57,12.93,12.52,12.9,372
2019-01-25,12.98,13.28,12.91,13.0,678
2019-01-28,12.82,13.08,12.5,12.72,609
2019-01-29,12.78,12.9,12.47,12.63,445
2019-01-30,12.74,12.91,12.62,12.86,370
2019-01-31,12.85,13.16,12.85,13.08,701
2019-02-01,13.09,13.15,12.88,13.04,1323
2019-02-04,13.04,13.38,13.04,13.31,722
