date,open,high,low,close,volume
2018-12-10,19.4,19.4,18.75,19.11,9420
2018-12-11,19.23,19.55,18.98,19.43,7150
2018-12-12,19.51,19.7,19.2,19.31,6694
2018-12-13,19.31,19.92,19.21,19.91,6998
2018-12-14,19.68,20.29,19.68,19.92,10779
2018-12-17,19.82,19.95,18.78,19.1,8698
2018-12-18,19.18,19.31,18.44,18.76,7855
2018-12-19,18.89,19.58,18.82,19.19,8988
2018-12-20,18.93,19.26,18.24,18.32,9404
2018-12-21,18.35,18.57,17.52,17.67,9261
2018-12-24,17.57,17.58,16.79,16.86,4582
2018-12-26,16.93,17.57,16.63,17.57,9211
2018-12-27,17.27,17.49,16.2,16.55,17195
2018-12-28,16.6,16.73,15.86,16.33,18765
2018-12-31,16.35,16.5,16.01,16.41,12073
2019-01-02,16.25,17.58,16.23,17.12,6005
2019-01-03,17.16,17.8,17.14,17.49,4214
2019-01-04,17.82,18.96,17.82,18.78,11428
2019-01-07,18.96,19.56,18.8,19.29,5327
2019-01-08,19.41,19.96,19.38,19.72,8475
2019-01-09,19.79,19.95,19.43,19.48,6954
2019-01-10,19.37,19.45,18.88,19.12,7974
2019-01-11,19.06,19.17,18.55,18.62,14024
2019-01-14,18.56,18.76,18.26,18.35,6757
2019-01-15,18.54,18.87,18.5,18.87,4660
2019-01-16,18.94,19.38,18.8,19.32,3468
2019-01-17,19.27,19.52,19.15,19.52,3492
2019-01-18,19.68,19.86,19.44,19.85,3195
2019-01-22,19.81,19.86,19.45,19.52,6496
2019-01-23,19.7,19.89,19.57,19.72,4016
2019-01-24,19.73,20.05,19.57,19.95,2313
2019-01-25,20.03,20.65,20.03,20.65,4465
2019-01-28,20.5,20.77,20.15,20.52,8808
2019-01-29,20.53,21.13,20.35,20.55,11050
2019-01-30,20.57,20.85,20.31,20.67,25897
2019-01-31,20.75,20.76,20.18,20.32,5776
2019-02-01,19.99,20.03,19.39,19.51,7791
2019-02-04,19.39,19.99,19.13,19.65,7326
2019-02-05,19.68,19.7,19.43,19.58,2981
2019-02-06,19.53,19.63,19.28,19.49,2999
2019-02-07,19.28,19.62,18.85,18.98,5580
2019-02-08,19.0,19.13,18.5,18.85,3548
2019-02-11,18.85,19.09,18.72,18.76,2748
2019-02-12,18.99,19.17,18.77,19.12,4253
2019-02-13,19.26,19.43,18.84,18.9,7250
2019-02-14,19.0,19.38,18.83,19.32,6364
2019-02-15,19.48,19.52,19.15,19.42,4527
2019-02-19,19.28,19.93,19.28,19.68,4241
2019-02-20,19.68,19.79,19.38,19.4,4115
2019-02-21,19.49,19.5,18.86,18.94,5745
2019-02-22,19.1,19.1,18.44,18.44,5213
2019-02-25,18.44,18.61,18.26,18.33,4371
2019-02-26,18.33,18.42,18.05,18.17,3367
2019-02-27,18.29,18.29,17.75,17.96,9043
2019-02-28,17.96,17.98,17.56,17.88,6559
2019-03-01,17.99,18.3,17.97,18.14,4876
2019-03-04,18.34,18.51,18.15,18.35,5269
2019-03-05,18.46,18.47,18.12,18.2,8324
2019-03-06,18.13,18.34,18.01,18.15,2320
2019-03-07,18.18,18.6,18.15,18.57,3223
2019-03-08,18.36,18.66,18.17,18.64,3405
2019-03-11,18.72,19.29,18.49,19.01,14698
2019-03-12,19.03,19.06,18.53,19.01,8006
2019-03-13,19.05,19.3,18.84,18.99,5209
2019-03-14,18.97,19.13,18.77,19.11,1985
2019-03-15,19.1,19.24,18.74,19.24,7040
2019-03-18,19.22,19.43,19.17,19.33,3618
2019-03-19,19.41,19.91,19.39,19.58,4763
2019-03-20,19.62,19.68,19.49,19.6,3283
2019-03-21,19.61,19.96,19.5,19.89,6047
2019-03-22,19.8,19.87,19.54,19.58,5052
2019-03-25,19.52,19.52,19.09,19.25,2466
2019-03-26,19.33,19.7,19.33,19.61,3815
2019-03-27,19.61,20.0,19.49,19.99,12203
2019-03-28,20.0,20.16,19.86,20.12,3504
2019-03-29,20.2,20.53,20.11,20.45,9552
2019-04-01,20.54,20.86,20.48,20.7,8897
2019-04-02,20.69,20.88,20.57,20.75,4210
2019-04-03,20.82,20.89,20.62,20.66,7147
2019-04-04,20.69,20.7,20.32,20.65,4463
2019-04-05,20.64,21.08,20.63,20.99,7762
2019-04-08,20.95,21.13,20.67,20.69,2525
2019-04-09,20.7,20.73,20.31,20.41,2602
2019-04-10,20.49,20.56,20.17,20.39,2869
2019-04-11,20.43,20.78,20.35,20.63,5459
2019-04-12,21.0,21.0,20.67,20.7,2857
2019-04-15,20.79,20.82,20.43,20.5,3698
2019-04-16,20.57,20.65,20.42,20.45,2426
2019-04-17,20.5,20.62,20.25,20.36,3234
