date,open,high,low,close,volume
2019-04-04,33.15,39.51,32.73,36.18,55800
2019-04-05,35.65,36.89,34.62,35.8,6302
2019-04-08,35.1,36.21,34.1,34.99,3166
2019-04-09,35.0,37.68,34.79,37.0,4836
2019-04-10,37.0,38.0,36.38,37.04,2313
2019-04-11,37.12,37.5,33.08,36.66,6290
2019-04-12,36.24,37.1,34.54,35.49,1641
2019-04-15,35.48,35.6,34.0,34.16,901
2019-04-16,34.94,34.94,32.5,33.5,1655
2019-04-17,33.57,33.57,30.87,32.5,2782
2019-04-18,33.49,34.92,32.24,33.99,1753
2019-04-22,34.0,35.0,33.93,35.0,811
2019-04-23,34.98,35.9,34.5,35.45,600
2019-04-24,35.52,36.77,35.0,36.08,794
2019-04-25,35.87,37.87,35.71,37.8,1174
2019-04-26,38.17,40.61,37.53,40.01,2521
2019-04-29,40.0,40.34,38.03,39.93,2394
2019-04-30,39.9,41.82,38.14,41.64,1877
2019-05-01,41.72,42.93,40.25,40.69,1412
2019-05-02,40.5,41.19,38.51,39.09,730
2019-05-03,39.1,39.65,37.7,38.11,1632
2019-05-06,38.0,40.82,37.59,39.45,1754
2019-05-07,39.32,40.53,38.99,40.1,1060
2019-05-08,40.12,41.56,39.05,41.0,1176
2019-05-09,40.53,40.99,39.0,40.83,1727
2019-05-10,40.52,45.53,40.17,44.72,2609
2019-05-13,44.5,47.09,43.0,46.32,2499
2019-05-14,46.61,47.97,46.1,46.67,1173
2019-05-15,47.06,48.96,47.0,48.0,1759
2019-05-16,47.7,48.93,45.0,47.84,1977
2019-05-17,47.49,48.1,46.03,46.63,490
2019-05-20,46.99,47.13,43.37,46.54,1190
2019-05-21,46.79,48.83,45.8,48.51,1181
2019-05-22,48.26,49.55,48.19,48.53,764
2019-05-23,48.44,48.44,45.01,45.22,973
2019-05-24,45.6,46.49,44.55,45.06,812
2019-05-28,45.91,47.41,44.47,44.85,945
2019-05-29,44.62,45.56,44.27,45.36,715
2019-05-30,46.33,47.32,44.56,45.6,595
2019-05-31,45.16,45.2,42.1,42.66,1086
2019-06-03,42.43,43.29,40.8,42.47,1401
2019-06-04,42.9,43.16,41.0,42.93,1426
2019-06-05,43.32,46.5,43.2,46.15,1659
2019-06-06,46.28,46.69,43.93,44.74,1027
2019-06-07,44.85,45.51,44.08,44.55,982
2019-06-10,45.49,51.5,45.49,49.01,3371
2019-06-11,50.01,50.55,44.17,46.01,4176
2019-06-12,46.0,46.96,44.13,45.15,2047
2019-06-13,45.54,47.11,45.03,45.61,3332
2019-06-14,45.43,47.09,42.39,44.99,1915
2019-06-17,45.24,48.92,44.82,48.17,1956
2019-06-18,49.91,50.0,46.57,48.31,2853
2019-06-19,48.14,50.0,47.5,49.12,1908
2019-06-20,49.12,50.02,47.87,48.65,1629
2019-06-21,48.63,49.28,46.91,47.35,1512
2019-06-24,48.06,49.0,45.97,47.15,871
2019-06-25,47.25,47.41,44.76,45.7,1993
2019-06-26,45.79,46.54,45.32,45.8,752
2019-06-27,45.93,46.94,45.93,46.51,1859
2019-06-28,46.7,48.66,46.49,48.46,2210
2019-07-01,48.96,49.89,46.77,46.94,2502
2019-07-02,47.37,48.05,44.14,44.93,2877
2019-07-03,45.08,45.64,44.03,44.51,779
2019-07-05,44.34,45.06,44.0,44.97,520
2019-07-08,44.77,44.89,41.65,42.5,2125
2019-07-09,42.33,42.96,41.42,42.1,1539
2019-07-10,42.27,42.92,41.12,42.15,2770
2019-07-11,42.36,42.8,40.53,40.95,2122
2019-07-12,40.75,41.52,39.8,40.38,1269
2019-07-15,40.47,41.6,40.0,40.41,1345
2019-07-16,40.32,41.52,40.02,40.83,1450
2019-07-17,40.78,41.33,40.13,41.13,1392
2019-07-18,41.19,41.74,40.8,41.34,1034
2019-07-19,41.45,42.03,41.08,41.7,958
2019-07-22,41.85,42.04,41.26,41.54,1050
2019-07-23,41.66,42.82,41.4,42.1,1922
2019-07-24,42.04,42.53,41.0,41.95,1235
2019-07-25,41.98,42.34,41.49,41.91,1183
2019-07-26,42.24,42.53,41.17,42.1,875
2019-07-29,42.49,44.79,42.18,44.5,1472
2019-07-30,42.67,44.42,40.75,41.01,3047
2019-07-31,41.17,43.36,41.14,43.29,2085
2019-08-01,42.78,43.9,42.3,42.85,1312
2019-08-02,42.71,43.3,40.61,40.97,1689
2019-08-05,40.2,40.48,38.51,39.35,2156
2019-08-06,39.53,40.93,37.47,37.7,1443
2019-08-07,36.33,36.39,34.39,35.56,4807
2019-08-08,35.0,41.0,35.0,40.43,5128
2019-08-09,41.7,42.0,39.75,40.36,17229
2019-08-12,39.35,40.04,38.71,39.84,2993
2019-08-13,39.23,40.66,39.23,40.01,2430
2019-08-14,39.26,40.17,37.2,39.73,2871
2019-08-15,39.5,40.54,39.46,40.0,1868
2019-08-16,40.17,41.49,40.03,40.53,1787
2019-08-19,41.46,41.58,40.53,40.74,739
2019-08-20,42.36,43.48,39.34,40.72,1220
2019-08-21,41.27,42.42,40.42,42.23,982
2019-08-22,41.76,43.0,39.92,41.73,984
2019-08-23,41.27,41.89,40.07,41.13,1139
2019-08-26,41.69,42.64,41.21,42.06,1777
2019-08-27,42.4,42.99,42.0,42.95,1249
2019-08-28,42.78,43.22,42.22,42.52,919
2019-08-29,42.95,44.26,42.5,43.96,1847
2019-08-30,44.0,44.28,42.91,43.09,863
2019-09-03,42.9,43.39,40.0,41.27,3383
2019-09-04,41.5,41.5,40.03,40.75,2794
2019-09-05,41.23,41.23,39.71,39.91,5542
2019-09-06,39.83,40.37,36.21,36.69,2627
2019-09-09,36.72,37.02,34.21,34.45,2964
2019-09-10,34.03,36.99,33.3,36.85,2067
2019-09-11,36.49,38.99,36.49,38.31,1900
2019-09-12,38.31,38.43,36.83,37.0,1847
2019-09-13,36.88,38.13,35.5,36.2,2274
2019-09-16,35.87,36.41,33.5,34.91,3055
2019-09-17,34.94,36.18,34.13,35.39,1215
2019-09-18,35.35,36.3,34.73,35.35,2172
2019-09-19,35.42,36.22,35.1,35.87,1462
2019-09-20,36.14,36.42,34.68,35.33,2381
2019-09-23,35.08,35.3,34.15,34.25,1700
2019-09-24,34.32,35.58,34.15,34.58,2503
2019-09-25,34.41,34.68,33.0,33.36,3326
2019-09-26,33.35,34.19,33.1,33.37,2201
2019-09-27,33.51,33.51,31.21,31.65,2748
2019-09-30,31.75,33.53,31.51,32.53,2310
2019-10-01,32.72,34.47,32.23,32.9,3493
2019-10-02,32.32,33.92,31.45,32.04,2578
2019-10-03,32.03,32.05,31.08,31.59,1454
2019-10-04,31.06,31.57,30.0,31.04,4010
2019-10-07,30.56,31.43,28.99,29.25,5088
2019-10-08,28.03,29.55,27.83,27.97,3912
2019-10-09,28.14,30.64,27.83,29.91,3550
2019-10-10,29.86,30.55,29.65,30.09,1372
2019-10-11,30.1,31.77,30.1,31.15,2669
2019-10-14,31.13,31.33,30.27,30.81,2552
2019-10-15,31.02,33.44,30.34,32.85,3068
2019-10-16,32.94,33.86,31.39,33.69,2208
2019-10-17,33.87,34.71,33.31,34.15,1817
2019-10-18,34.04,34.35,33.41,34.2,1105
2019-10-21,34.49,35.55,34.15,34.89,2719
2019-10-22,34.96,35.53,34.02,34.39,1002
2019-10-23,34.4,34.67,33.93,34.36,1132
2019-10-24,34.57,34.89,32.46,32.98,1566
2019-10-25,32.78,35.16,32.75,34.23,1578
2019-10-28,34.46,35.9,34.24,35.14,2263
2019-10-29,34.61,36.62,33.92,34.75,3268
2019-10-30,31.99,35.1,31.98,32.57,5764
2019-10-31,32.26,33.29,30.35,33.12,5382
2019-11-01,33.36,34.41,33.18,33.85,1927
2019-11-04,34.09,34.5,32.93,33.78,1414
2019-11-05,33.79,34.62,32.11,33.59,1622
2019-11-06,33.6,34.66,31.7,34.3,1640
2019-11-07,34.6,36.05,34.38,35.6,2010
2019-11-08,35.57,36.66,34.0,34.88,2237
2019-11-11,34.71,35.34,34.15,34.9,1991
2019-11-12,35.0,35.94,34.65,35.69,2334
2019-11-13,35.47,37.0,35.4,36.47,1744
2019-11-14,36.62,37.19,36.16,36.64,2265
2019-11-15,37.0,38.0,36.5,37.68,2024
2019-11-18,37.71,37.72,36.12,37.53,1812
2019-11-19,37.6,37.6,36.22,36.26,1975
2019-11-20,36.01,37.0,35.52,36.37,1953
2019-11-21,36.47,36.67,35.6,36.35,2005
