date,open,high,low,close,volume
2018-12-10,12.89,13.04,11.97,12.1,25127
2018-12-11,12.35,12.53,11.65,11.74,22282
2018-12-12,11.93,12.4,11.93,12.02,21292
2018-12-13,11.83,11.93,11.13,11.44,26593
2018-12-14,11.29,11.83,11.02,11.31,25202
2018-12-17,11.36,11.93,11.19,11.29,30215
2018-12-18,11.31,11.6,10.66,10.78,33688
2018-12-19,10.69,11.76,10.63,10.74,37955
2018-12-20,10.58,11.44,10.58,11.05,29076
2018-12-21,10.97,11.05,9.93,10.24,41369
2018-12-24,10.05,10.16,9.81,9.92,14047
2018-12-26,10.0,11.03,9.3,10.97,33439
2018-12-27,10.6,10.74,9.85,10.4,26499
2018-12-28,10.33,10.69,10.16,10.64,25540
2018-12-31,10.67,10.76,9.84,10.18,24411
2019-01-02,9.98,11.47,9.79,11.25,25383
2019-01-03,11.2,11.57,10.38,11.17,25384
2019-01-04,11.45,11.87,11.29,11.78,21983
2019-01-07,11.16,12.23,11.11,12.1,22970
2019-01-08,12.32,12.42,11.37,11.58,22852
2019-01-09,11.76,12.41,11.73,12.32,16517
2019-01-10,12.1,12.52,11.97,12.29,13814
2019-01-11,12.19,12.58,12.03,12.46,15359
2019-01-14,12.25,12.96,12.12,12.67,13162
2019-01-15,12.66,13.01,12.44,12.98,14902
2019-01-16,12.96,13.44,12.89,13.25,14942
2019-01-17,13.12,13.46,13.07,13.33,11150
2019-01-18,13.4,14.05,13.33,13.91,15097
2019-01-22,13.6,13.77,13.11,13.36,13283
2019-01-23,13.45,13.56,12.97,13.13,9239
2019-01-24,13.13,13.64,13.07,13.41,7823
2019-01-25,13.57,14.35,13.57,14.04,16488
2019-01-28,13.69,13.96,13.42,13.53,12054
2019-01-29,13.64,13.7,13.28,13.4,9815
2019-01-30,13.61,13.74,13.34,13.54,10444
2019-01-31,13.59,13.76,13.38,13.48,8392
2019-02-01,13.54,14.24,13.43,14.03,11472
2019-02-04,13.86,14.6,13.79,14.58,13289
2019-02-05,14.58,14.71,14.13,14.59,10819
2019-02-06,14.55,14.59,14.01,14.05,9499
2019-02-07,13.93,14.23,13.13,13.48,13710
2019-02-08,13.43,13.62,13.02,13.07,11882
2019-02-11,12.9,13.6,12.76,13.56,7539
2019-02-12,13.75,14.22,13.65,13.86,11454
2019-02-13,13.94,14.36,13.93,14.21,6758
2019-02-14,14.17,14.53,14.04,14.41,8040
2019-02-15,14.6,15.0,14.38,14.44,26174
2019-02-19,13.76,15.62,13.75,15.25,37858
2019-02-20,15.48,16.12,15.05,15.95,20648
2019-02-21,15.74,16.05,15.08,15.32,15191
2019-02-22,15.38,15.82,15.15,15.24,11251
2019-02-25,15.1,15.25,14.81,15.04,12674
