date,open,high,low,close,volume
2018-12-10,16.25,16.56,15.49,16.35,2671
2018-12-11,16.52,16.59,16.05,16.5,3624
2018-12-12,16.3,16.53,15.7,16.0,2456
2018-12-13,15.75,16.4,15.75,16.3,789
2018-12-14,16.3,16.74,16.2,16.65,3083
2018-12-17,16.625,17.0,14.7701,15.35,2978
2018-12-18,15.34,15.4799,15.0,15.05,1424
2018-12-19,15.2,15.2,14.65,14.9,3633
2018-12-20,14.7,14.9,14.25,14.9,2322
2018-12-21,14.81,15.35,13.8,14.01,1539
2018-12-24,14.03,14.21,13.73,14.08,1578
2018-12-26,14.19,14.2455,13.8801,14.06,1860
2018-12-27,14.06,14.19,13.88,13.98,1074
2018-12-28,14.005,14.2,13.9,13.9,3546
2018-12-31,13.9,14.05,13.5,13.8,3462
2019-01-02,13.79,15.22,13.79,15.1,2270
2019-01-03,15.09,15.79,14.5,15.7,3207
2019-01-04,15.65,15.85,15.25,15.56,1571
2019-01-07,15.4,15.8,15.25,15.7,3074
2019-01-08,15.8,15.85,15.52,15.6,1272
2019-01-09,15.7,15.7,15.52,15.5275,158
2019-01-10,15.52,15.55,15.0,15.53,290
2019-01-11,15.465,15.53,14.86,15.03,709
2019-01-14,15.2,15.34,14.4101,15.34,2073
2019-01-15,15.4,15.4,15.1,15.1,508
2019-01-16,15.05,15.13,14.9,14.95,3196
2019-01-17,14.94,14.99,14.5,14.8,2351
2019-01-18,14.75,15.05,14.7,15.0,1126
2019-01-22,14.5,14.95,14.5,14.72,987
2019-01-23,14.67,15.0,14.67,14.9,2318
2019-01-24,14.95,15.05,14.9,14.98,1376
2019-01-25,15.0,15.12,14.9,14.95,2319
2019-01-28,15.0,15.0,14.75,14.75,833
2019-01-29,14.75,14.95,14.71,14.95,806
2019-01-30,14.95,15.0701,14.86,15.0701,638
2019-01-31,15.0,15.14,14.84,15.1,963
2019-02-01,15.09,15.49,15.09,15.26,626
2019-02-04,15.25,15.5,15.15,15.3,414
2019-02-05,15.35,15.74,15.35,15.74,2650
2019-02-06,15.6,15.88,15.5,15.66,820
2019-02-07,15.5,15.55,15.24,15.35,296
2019-02-08,15.21,15.4,15.15,15.4,1648
2019-02-11,15.31,15.45,15.25,15.45,584
