date,open,high,low,close,volume
2018-12-10,150.53,151.0,145.94,148.71,3518
2018-12-11,150.74,151.82,146.87,147.34,3734
2018-12-12,149.4,150.82,148.25,148.39,2557
2018-12-13,149.4,151.13,149.12,149.94,4779
2018-12-14,148.45,150.53,146.72,147.32,3218
2018-12-17,146.81,147.86,144.84,145.62,2522
2018-12-18,146.67,148.52,145.24,146.63,2131
2018-12-19,146.57,149.05,140.59,142.25,6180
2018-12-20,141.75,143.66,138.1,139.95,4202
2018-12-21,139.19,142.31,138.16,138.64,5028
2018-12-24,138.04,138.55,135.29,136.13,2757
2018-12-26,136.36,141.82,135.81,141.7,7848
2018-12-27,140.0,144.02,138.7,144.02,4959
2018-12-28,144.53,146.48,143.06,144.25,3059
2018-12-31,144.75,146.44,142.99,145.29,4175
2019-01-02,143.14,147.7,141.5,147.46,5057
2019-01-03,147.19,148.4,143.22,145.46,13916
2019-01-04,148.01,151.83,147.42,150.77,9192
2019-01-07,151.07,154.03,149.7,152.7,3211
2019-01-08,154.91,155.4,153.58,154.65,5433
2019-01-09,156.11,158.51,155.7,157.76,4617
2019-01-10,157.51,160.19,156.95,160.11,2760
2019-01-11,159.34,161.28,158.98,160.33,2736
2019-01-14,159.86,163.78,159.15,162.13,5539
2019-01-15,162.61,163.03,160.55,161.63,4697
2019-01-16,161.88,163.16,161.51,162.45,3626
2019-01-17,162.44,167.37,162.27,166.23,4063
2019-01-18,167.0,168.91,166.48,167.76,5098
2019-01-22,165.26,165.26,156.71,162.65,7471
2019-01-23,163.64,164.23,161.02,163.17,5789
2019-01-24,163.3,164.67,162.87,163.37,3100
2019-01-25,164.95,165.0,162.62,163.22,3805
2019-01-28,161.9,163.69,160.31,162.86,4070
2019-01-29,163.58,164.06,161.84,162.35,5014
2019-01-30,163.16,164.67,161.46,164.0,2827
2019-01-31,163.6,166.15,162.42,165.99,4331
2019-02-01,165.98,166.76,164.32,165.39,2852
2019-02-04,165.75,166.68,164.92,166.18,3699
2019-02-05,166.2,166.55,165.27,165.96,5059
2019-02-06,165.62,167.22,165.0,165.59,6501
2019-02-07,154.88,155.8,150.25,151.72,14288
2019-02-08,151.25,154.48,150.98,153.08,6816
2019-02-11,154.04,155.41,153.53,155.24,6141
2019-02-12,155.62,157.02,155.32,155.66,4476
2019-02-13,155.83,156.51,154.72,155.28,9107
2019-02-14,154.72,157.22,154.29,155.92,4532
2019-02-15,156.87,157.82,155.77,157.78,2445
2019-02-19,158.69,160.31,157.02,159.13,3693
2019-02-20,159.42,160.16,158.19,159.83,4422
2019-02-21,159.93,161.31,159.3,160.86,2952
2019-02-22,160.51,162.11,160.02,161.34,2512
2019-02-25,162.57,162.61,160.68,160.81,2190
2019-02-26,160.47,161.9,159.82,159.98,3433
2019-02-27,159.63,163.0,158.62,162.94,2878
2019-02-28,162.84,162.84,159.5,160.0,3202
2019-03-01,161.19,161.42,158.14,158.91,4074
2019-03-04,159.95,162.15,158.23,159.68,4839
2019-03-05,159.81,161.56,159.74,160.57,3599
2019-03-06,160.91,162.16,160.6,160.88,2327
2019-03-07,160.73,160.75,159.14,160.51,3034
2019-03-08,159.11,159.86,156.78,157.61,3135
2019-03-11,156.37,159.99,156.37,159.87,2564
2019-03-12,160.22,161.05,159.08,160.27,2807
2019-03-13,160.5,160.99,158.8,158.92,3714
2019-03-14,158.77,159.22,156.05,156.61,4811
2019-03-15,156.41,157.34,155.33,155.68,4912
2019-03-18,156.3,159.25,156.19,158.95,4201
2019-03-19,159.93,160.6,158.04,158.76,3074
2019-03-20,158.16,158.25,153.5,155.19,4790
2019-03-21,155.3,157.35,155.3,156.55,2810
2019-03-22,155.73,155.86,149.79,149.96,2388
2019-03-25,150.2,152.35,149.97,151.08,3378
2019-03-26,152.34,153.55,151.18,152.54,3604
2019-03-27,152.81,154.48,152.38,153.62,4339
2019-03-28,153.86,155.73,153.39,154.64,2284
2019-03-29,155.97,156.93,155.35,156.52,2760
