date,open,high,low,close,volume
2019-08-01,13.01,13.22,7.66,8.48,86960
2019-08-02,8.42,10.48,8.42,10.45,25357
2019-08-05,10.69,11.82,10.47,11.7,20875
2019-08-06,12.0,13.21,11.99,13.0,20762
2019-08-07,13.05,13.22,12.2,12.85,15271
2019-08-08,12.99,13.05,12.25,12.3,7280
2019-08-09,12.24,12.52,11.36,11.5,5867
2019-08-12,11.47,11.47,9.56,10.44,9649
2019-08-13,10.24,10.88,10.0,10.39,7095
2019-08-14,10.21,11.33,9.7,11.08,9137
2019-08-15,10.95,11.12,9.71,11.08,10705
2019-08-16,11.06,11.49,10.42,10.54,24641
2019-08-19,10.41,10.89,10.12,10.45,8022
2019-08-20,10.37,10.39,9.71,10.0,5123
2019-08-21,9.98,10.28,9.44,10.01,4497
2019-08-22,9.95,9.95,9.26,9.62,3535
2019-08-23,9.58,10.0,9.5,9.64,3132
2019-08-26,9.54,9.85,9.37,9.53,7741
2019-08-27,9.53,9.7,8.95,8.95,6817
2019-08-28,8.91,8.96,8.41,8.75,4966
2019-08-29,8.75,8.98,7.75,7.86,5315
2019-08-30,8.01,8.13,7.8,7.96,2216
2019-09-03,7.94,8.3,6.89,8.21,6142
2019-09-04,8.22,8.23,7.72,7.85,3139
2019-09-05,7.84,8.33,7.76,8.03,2473
2019-09-06,8.01,8.21,7.67,7.7,2616
2019-09-09,7.75,7.91,7.26,7.71,4740
2019-09-10,8.05,8.13,7.61,8.02,8860
2019-09-11,8.03,9.0,8.03,8.67,7259
2019-09-12,8.64,8.94,8.59,8.65,5035
2019-09-13,8.63,8.98,8.3,8.75,3826
2019-09-16,8.75,9.06,8.66,8.79,1945
2019-09-17,8.8,8.95,8.47,8.77,4331
2019-09-18,8.75,8.8,8.45,8.52,4081
2019-09-19,8.4,8.41,7.5,7.5,3355
2019-09-20,7.62,7.96,7.07,7.07,4909
2019-09-23,7.15,7.57,6.5,6.7,10888
2019-09-24,6.7,6.73,5.82,6.19,12114
2019-09-25,6.24,6.24,5.6,5.61,16232
2019-09-26,5.76,5.76,4.44,4.45,19346
2019-09-27,4.6,4.8,4.08,4.11,8191
2019-09-30,4.16,4.9,4.01,4.795,6971
2019-10-01,4.8,5.0,4.72,4.88,3243
2019-10-02,4.85,4.85,4.55,4.66,3160
2019-10-03,4.65,5.21,4.65,4.97,25452
2019-10-04,5.1,5.1,4.56,4.67,7201
2019-10-07,4.65,4.92,4.28,4.52,8263
2019-10-08,4.49,4.54,4.15,4.4,3446
2019-10-09,4.57,5.25,4.46,5.22,20672
2019-10-10,5.04,5.22,4.41,4.54,7226
2019-10-11,4.48,4.75,4.44,4.46,5079
2019-10-14,4.43,4.5,4.27,4.41,1822
2019-10-15,4.49,4.85,4.31,4.48,5789
2019-10-16,4.47,4.51,4.08,4.1,3803
2019-10-17,4.05,4.25,4.04,4.2,5969
2019-10-18,4.17,4.35,3.91,4.1,2227
2019-10-21,4.0,4.02,3.7,3.91,5438
2019-10-22,3.9,4.0,3.65,3.82,3761
