date,open,high,low,close,volume
2018-12-10,39.47,39.78,38.71,39.38,503
2018-12-11,39.99,39.99,38.62,39.65,376
2018-12-12,40.02,41.89,39.23,39.68,621
2018-12-13,39.64,40.73,37.68,37.77,364
2018-12-14,37.22,38.25,37.18,37.94,414
2018-12-17,37.7,38.82,37.52,37.56,433
2018-12-18,37.7,38.52,37.02,37.27,314
2018-12-19,37.26,37.98,36.38,36.52,248
2018-12-20,36.26,37.25,35.46,35.92,309
2018-12-21,36.06,36.35,35.14,35.38,467
2018-12-24,35.08,35.87,35.07,35.07,123
2018-12-26,35.19,36.66,35.07,36.59,249
2018-12-27,36.13,38.02,35.47,36.15,307
2018-12-28,35.92,37.51,35.92,36.4,332
2018-12-31,36.76,37.07,35.79,36.58,232
2019-01-02,36.01,37.16,35.77,36.8,175
2019-01-03,36.79,36.85,35.73,35.73,249
2019-01-04,36.14,37.91,35.97,37.57,304
2019-01-07,37.64,38.51,37.01,37.65,353
2019-01-08,38.1,38.26,37.01,37.11,411
2019-01-09,37.04,37.7,36.14,37.14,538
2019-01-10,36.82,37.5,36.57,37.15,828
2019-01-11,37.12,38.6,37.12,38.25,337
2019-01-14,38.09,38.72,37.69,37.99,221
2019-01-15,38.0,39.23,37.99,38.57,369
2019-01-16,38.72,39.99,38.58,39.53,359
2019-01-17,39.22,39.99,38.71,39.08,423
2019-01-18,39.12,39.43,38.55,38.63,329
2019-01-22,38.35,38.59,37.29,37.85,414
2019-01-23,37.86,38.02,37.11,37.4,308
2019-01-24,37.4,38.75,37.3,38.59,866
2019-01-25,38.66,39.74,38.19,38.68,823
2019-01-28,38.25,39.06,37.82,37.9,247
2019-01-29,37.9,38.2,37.39,37.51,314
2019-01-30,37.52,37.89,36.96,37.7,294
2019-01-31,37.53,38.29,37.4,38.23,338
2019-02-01,38.36,38.91,38.21,38.72,300
2019-02-04,38.7,39.38,38.41,39.24,392
2019-02-05,39.53,40.08,39.03,39.96,336
2019-02-06,39.81,40.32,39.53,39.68,200
2019-02-07,39.05,39.22,36.93,38.54,871
2019-02-08,38.36,38.9,37.85,38.83,570
2019-02-11,38.99,39.91,38.35,39.79,641
2019-02-12,39.8,40.37,38.82,38.94,493
2019-02-13,39.26,39.62,38.56,39.05,737
