date,open,high,low,close,volume
2018-12-10,1.81,1.81,1.61,1.77,1587
2018-12-11,1.75,2.2,1.7,1.95,1740
2018-12-12,1.96,2.1,1.72,1.79,1184
2018-12-13,1.78,1.84,1.6,1.66,576
2018-12-14,1.65,1.79,1.63,1.63,1477
2018-12-17,1.59,1.65,1.5,1.5,1068
2018-12-18,1.55,1.61,1.3,1.36,977
2018-12-19,1.4,1.54,1.36,1.38,1436
2018-12-20,1.37,1.5,1.27,1.41,1387
2018-12-21,1.58,1.64,1.45,1.64,2024
2018-12-24,1.74,1.74,1.52,1.65,706
2018-12-26,1.65,1.65,1.42,1.49,1992
2018-12-27,1.5,1.59,1.5,1.57,972
2018-12-28,1.56,1.68,1.54,1.68,2260
2018-12-31,1.74,1.75,1.59,1.72,2147
2019-01-02,1.59,2.28,1.59,2.07,1101
2019-01-03,2.04,2.27,1.97,2.17,769
2019-01-04,2.19,2.6,2.19,2.53,1159
2019-01-07,2.55,2.57,2.22,2.33,1837
2019-01-08,2.34,2.47,2.32,2.41,606
2019-01-09,2.42,2.44,2.25,2.44,457
2019-01-10,2.44,2.48,2.35,2.43,300
2019-01-11,2.44,2.48,2.2,2.37,675
2019-01-14,2.38,2.41,2.25,2.26,357
2019-01-15,2.24,2.36,2.0,2.02,1183
2019-01-16,2.0,2.07,1.88,2.03,917
2019-01-17,2.04,2.14,1.97,2.1,591
2019-01-18,2.1,2.35,2.04,2.29,664
2019-01-22,2.32,2.35,2.04,2.19,492
2019-01-23,2.22,2.26,2.19,2.22,104
2019-01-24,2.23,2.39,2.11,2.36,1001
2019-01-25,2.36,2.37,2.22,2.25,832
2019-01-28,2.3,2.38,2.15,2.38,506
2019-01-29,2.4,2.4,2.25,2.27,247
2019-01-30,2.28,2.4,2.21,2.37,294
2019-01-31,2.4,2.4,2.2,2.32,705
2019-02-01,2.38,2.5,2.3,2.39,668
2019-02-04,2.46,2.73,2.39,2.68,1081
2019-02-05,2.72,2.85,2.6,2.64,619
2019-02-06,2.64,2.74,2.47,2.49,608
2019-02-07,2.49,2.58,2.45,2.49,212
2019-02-08,2.7,3.3,2.42,3.24,2358
2019-02-11,3.25,3.37,2.86,3.11,1465
2019-02-12,3.14,3.33,3.09,3.16,1675
2019-02-13,3.19,3.25,2.85,3.23,1172
2019-02-14,3.4,3.6,3.3,3.38,2464
2019-02-15,3.6,3.6,3.2,3.44,1583
2019-02-19,3.28,3.38,2.9,3.21,1391
2019-02-20,3.19,3.29,3.11,3.16,683
2019-02-21,3.09,3.15,2.75,2.85,1155
2019-02-22,2.89,3.0,2.82,2.94,666
2019-02-25,2.94,3.15,2.91,3.14,568
2019-02-26,3.2,3.2,3.05,3.16,499
2019-02-27,3.14,3.14,3.0,3.08,246
2019-02-28,3.06,3.1,2.88,2.88,537
2019-03-01,2.94,3.11,2.72,2.83,1153
2019-03-04,2.84,2.93,2.6,2.74,651
2019-03-05,2.74,2.75,2.64,2.67,245
2019-03-06,2.71,2.75,2.57,2.595,266
2019-03-07,2.61,2.75,2.6,2.72,235
2019-03-08,2.74,2.74,2.1,2.12,1727
2019-03-11,2.02,2.11,1.82,2.05,2379
2019-03-12,2.05,2.21,1.99,2.15,585
2019-03-13,2.17,2.17,2.0,2.05,960
2019-03-14,2.11,2.15,1.96,2.04,666
2019-03-15,2.0,2.16,1.79,1.9,1508
2019-03-18,1.92,1.99,1.81,1.92,611
2019-03-19,1.89,2.05,1.89,2.01,463
2019-03-20,2.02,2.05,1.93,2.03,427
2019-03-21,2.05,2.14,1.96,2.08,684
2019-03-22,2.09,2.18,2.02,2.11,400
2019-03-25,2.11,2.27,2.11,2.21,504
2019-03-26,2.24,2.27,2.05,2.19,437
2019-03-27,2.19,2.19,2.06,2.12,246
2019-03-28,2.14,2.22,2.12,2.19,363
2019-03-29,2.19,2.24,2.11,2.15,310
2019-04-01,2.17,2.24,2.12,2.18,415
2019-04-02,2.2,2.38,2.17,2.31,583
2019-04-03,2.35,2.45,2.16,2.3,456
2019-04-04,2.24,2.38,2.24,2.33,452
2019-04-05,2.3,2.45,2.26,2.42,547
