date,open,high,low,close,volume
2018-12-10,6.82,6.89,6.72,6.75,271
2018-12-11,6.83,6.84,6.75,6.79,260
2018-12-12,6.89,6.89,6.72,6.775,222
2018-12-13,6.75,6.75,6.62,6.71,219
2018-12-14,6.68,6.72,6.51,6.72,113
2018-12-17,6.73,6.73,6.32,6.36,550
2018-12-18,6.43,6.56,6.39,6.39,99
2018-12-19,6.33,6.33,6.0,6.07,701
2018-12-20,6.01,6.06,5.9,5.9,473
2018-12-21,5.92,6.05,5.89,6.0,278
2018-12-24,6.04,6.1,5.75,5.81,420
2018-12-26,5.85,5.96,5.75,5.82,399
2018-12-27,5.81,5.83,5.62,5.72,560
2018-12-28,5.79,5.84,5.74,5.75,429
2018-12-31,5.84,5.84,5.43,5.61,879
2019-01-02,5.54,5.74,5.52,5.74,264
2019-01-03,5.72,5.9,5.55,5.89,286
2019-01-04,5.97,6.43,5.9,6.05,275
2019-01-07,6.1,6.14,5.91,6.09,203
2019-01-08,6.1,6.37,6.1,6.37,325
2019-01-09,6.44,6.44,6.3,6.4,256
2019-01-10,6.41,6.43,6.29,6.4,261
2019-01-11,6.39,6.67,6.3,6.49,344
2019-01-14,6.51,6.72,6.48,6.53,295
2019-01-15,6.47,6.58,6.39,6.45,160
2019-01-16,6.62,6.71,6.35,6.51,256
2019-01-17,6.51,6.68,6.49,6.61,168
2019-01-18,6.7,6.74,6.65,6.69,340
2019-01-22,6.71,6.72,6.56,6.58,263
2019-01-23,6.63,6.63,6.52,6.58,90
2019-01-24,6.55,6.56,6.31,6.38,260
2019-01-25,6.37,6.5,6.35,6.36,240
2019-01-28,6.4,6.48,6.31,6.4,515
2019-01-29,6.37,6.59,6.37,6.42,634
2019-01-30,6.4,6.73,6.4,6.67,635
2019-01-31,6.62,6.68,6.59,6.62,221
2019-02-01,6.71,6.86,6.67,6.83,470
2019-02-04,6.86,6.96,6.83,6.83,438
2019-02-05,6.82,6.86,6.68,6.72,450
2019-02-06,6.68,6.85,6.68,6.8,165
2019-02-07,6.81,6.99,6.79,6.99,425
2019-02-08,6.91,7.03,6.86,6.96,169
2019-02-11,6.93,7.1,6.92,7.1,407
2019-02-12,7.13,7.16,7.04,7.16,1273
2019-02-13,7.15,7.39,7.15,7.39,408
2019-02-14,7.37,7.45,7.29,7.34,374
2019-02-15,7.41,7.5,7.38,7.43,659
2019-02-19,7.48,7.52,7.31,7.42,709
2019-02-20,7.43,7.43,7.3,7.31,422
2019-02-21,7.3,7.37,7.29,7.29,315
2019-02-22,7.3,7.35,7.17,7.225,508
2019-02-25,7.28,7.3,7.15,7.23,238
2019-02-26,7.2,7.24,6.31,6.41,1630
2019-02-27,6.4,6.49,6.21,6.31,883
2019-02-28,6.32,6.57,6.31,6.53,564
2019-03-01,6.56,6.72,6.43,6.58,640
2019-03-04,6.6,6.68,6.41,6.48,748
2019-03-05,6.46,6.55,6.44,6.51,197
2019-03-06,6.52,6.6,6.46,6.59,313
2019-03-07,6.6,6.6,6.51,6.52,294
2019-03-08,6.55,6.55,6.45,6.55,237
2019-03-11,6.57,6.85,6.54,6.59,370
2019-03-12,6.59,6.7,6.57,6.61,368
2019-03-13,6.59,6.69,6.59,6.62,292
2019-03-14,6.57,6.6,6.46,6.59,308
2019-03-15,6.56,6.82,6.36,6.57,607
2019-03-18,6.59,6.67,6.5,6.66,1377
2019-03-19,6.68,6.7,6.6,6.61,525
2019-03-20,6.62,6.79,6.57,6.71,330
2019-03-21,6.72,6.8,6.66,6.68,275
2019-03-22,6.66,6.69,6.6,6.605,170
2019-03-25,6.65,6.68,6.54,6.64,315
2019-03-26,6.64,6.7,6.55,6.66,289
2019-03-27,6.69,6.69,6.56,6.66,107
2019-03-28,6.7,6.7,6.62,6.7,185
2019-03-29,6.7,6.85,6.65,6.81,194
2019-04-01,6.82,6.84,6.61,6.81,478
2019-04-02,6.79,6.85,6.68,6.84,122
2019-04-03,6.85,6.92,6.71,6.77,277
2019-04-04,6.8,6.92,6.76,6.9,349
2019-04-05,6.92,6.92,6.85,6.92,360
2019-04-08,6.82,6.87,6.77,6.8,309
2019-04-09,6.85,6.87,6.77,6.79,341
2019-04-10,6.83,6.85,6.75,6.76,142
2019-04-11,6.84,6.86,6.78,6.84,401
2019-04-12,6.9,6.91,6.75,6.87,354
2019-04-15,6.91,6.91,6.75,6.86,338
2019-04-16,6.88,6.93,6.77,6.8,266
2019-04-17,6.83,6.92,6.66,6.71,225
2019-04-18,6.78,6.83,6.67,6.82,104
2019-04-22,6.91,6.91,6.76,6.84,318
2019-04-23,6.7,6.89,6.69,6.73,338
2019-04-24,6.77,6.89,6.7,6.77,259
2019-04-25,6.81,6.84,6.77,6.81,130
2019-04-26,6.81,6.84,6.78,6.8,101
2019-04-29,6.83,6.86,6.75,6.85,82
2019-04-30,6.82,7.06,6.82,7.06,286
