date,open,high,low,close,volume
2018-12-10,47.28,47.37,45.24,46.75,4001
2018-12-11,47.3,48.69,47.08,47.78,3725
2018-12-12,48.15,48.8,46.63,46.71,3164
2018-12-13,46.88,47.01,45.19,45.51,3841
2018-12-14,45.22,46.72,45.04,45.23,5250
2018-12-17,45.09,45.32,43.56,43.95,7044
2018-12-18,43.82,44.97,43.74,44.25,4078
2018-12-19,44.33,45.55,43.25,43.47,4066
2018-12-20,43.27,43.9,42.24,42.79,4969
2018-12-21,42.86,44.45,42.14,42.38,4892
2018-12-24,41.96,42.67,41.04,41.68,2151
2018-12-26,41.64,42.4,40.54,42.2,4498
2018-12-27,41.68,42.68,41.21,42.63,3510
2018-12-28,42.87,43.73,42.17,42.67,3596
2018-12-31,42.72,43.02,41.76,42.25,3581
2019-01-02,41.99,43.42,41.37,43.42,3076
2019-01-03,43.16,45.82,43.05,44.8,5848
2019-01-04,45.08,47.1,45.08,46.94,4322
2019-01-07,46.95,48.36,46.14,47.75,4158
2019-01-08,47.88,49.16,47.3,48.7,3867
2019-01-09,48.9,50.88,48.74,50.85,4904
2019-01-10,50.27,51.13,49.62,51.1,3818
2019-01-11,51.17,51.5,50.05,50.97,3355
2019-01-14,50.52,51.8,50.03,51.54,3355
2019-01-15,51.3,51.97,50.55,51.97,3409
2019-01-16,51.79,52.86,51.76,52.66,2160
2019-01-17,52.53,53.89,52.26,53.73,2900
2019-01-18,55.87,56.8,54.5,55.22,6161
2019-01-22,55.3,55.78,52.88,53.35,7518
2019-01-23,53.26,54.29,52.36,52.7,4695
2019-01-24,52.87,54.27,52.17,53.6,3382
2019-01-25,53.49,54.72,53.06,53.97,2144
2019-01-28,53.44,54.21,52.79,53.66,1465
2019-01-29,53.41,54.43,53.29,54.35,1223
2019-01-30,54.35,55.0,53.51,54.82,2656
2019-01-31,54.78,56.46,54.4,55.88,2732
2019-02-01,56.0,56.69,55.39,56.64,2617
2019-02-04,56.73,57.87,56.57,57.85,2261
2019-02-05,57.91,58.35,57.1,57.42,2199
2019-02-06,57.1,57.66,56.38,57.49,3211
2019-02-07,54.11,54.97,46.21,47.33,22937
2019-02-08,48.01,49.14,46.42,46.91,7848
2019-02-11,46.24,47.44,46.1,46.9,10635
2019-02-12,46.55,49.33,46.55,49.21,11226
2019-02-13,49.4,52.09,49.4,51.43,7233
2019-02-14,51.14,53.44,51.09,53.35,7651
2019-02-15,52.48,54.99,51.89,54.25,13590
2019-02-19,54.28,55.3,53.32,54.71,6524
2019-02-20,54.61,55.72,54.04,55.45,6228
2019-02-21,55.36,57.26,55.09,55.96,6473
2019-02-22,56.47,56.56,52.57,52.7,7371
2019-02-25,53.67,54.81,53.09,53.44,9552
2019-02-26,53.4,54.7,53.05,53.8,9568
2019-02-27,53.51,54.85,53.23,54.15,5060
2019-02-28,54.3,54.95,53.13,54.17,4971
2019-03-01,54.63,55.73,54.49,55.22,4952
2019-03-04,55.25,55.76,53.65,54.47,4946
2019-03-05,54.43,56.35,53.94,55.49,6818
2019-03-06,55.45,56.15,55.15,55.36,5533
2019-03-07,55.18,56.06,54.29,54.55,5433
2019-03-08,54.21,55.79,53.82,55.58,4964
2019-03-11,55.71,56.63,55.26,56.32,4783
2019-03-12,56.2,57.64,56.01,56.22,5416
2019-03-13,56.36,56.5,55.28,55.52,4689
2019-03-14,54.98,55.59,54.98,55.49,2246
2019-03-15,55.57,56.59,55.22,56.41,2319
2019-03-18,56.53,57.04,55.77,56.36,3358
2019-03-19,56.43,57.01,56.17,56.43,2812
2019-03-20,56.01,56.01,54.22,54.91,5382
2019-03-21,54.75,56.62,54.33,56.4,3003
2019-03-22,56.26,56.26,55.17,55.52,3485
2019-03-25,55.16,55.52,54.58,55.04,3243
2019-03-26,55.55,55.92,54.93,55.37,2718
2019-03-27,55.69,55.8,54.71,54.98,2849
2019-03-28,55.09,55.7,54.46,54.73,2814
2019-03-29,54.73,55.52,54.1,54.78,3163
2019-04-01,55.03,57.52,55.0,57.5,3296
