date,open,high,low,close,volume
2018-12-10,3.0,3.1,2.88,2.92,10851
2018-12-11,3.0,3.03,2.6,2.67,18321
2018-12-12,2.73,2.88,2.68,2.72,14645
2018-12-13,2.75,2.75,2.5,2.51,11565
2018-12-14,2.5,2.65,2.47,2.61,10864
2018-12-17,2.6,2.71,2.45,2.47,13994
2018-12-18,2.47,2.47,2.15,2.23,20525
2018-12-19,2.23,2.43,2.2,2.24,16414
2018-12-20,2.25,2.32,2.05,2.08,14832
2018-12-21,2.11,2.19,2.03,2.11,28239
2018-12-24,2.15,2.15,1.95,2.01,13099
2018-12-26,2.08,2.19,2.04,2.17,22183
2018-12-27,2.16,2.33,2.09,2.23,17043
2018-12-28,2.23,2.49,2.19,2.42,16083
2018-12-31,2.46,2.5,2.33,2.4,9534
2019-01-02,2.31,2.64,2.27,2.64,15540
2019-01-03,2.61,2.65,2.45,2.47,17033
2019-01-04,2.52,2.59,2.41,2.58,15566
2019-01-07,2.54,2.74,2.51,2.74,10535
2019-01-08,2.78,2.91,2.59,2.63,13742
2019-01-09,2.65,2.66,2.5,2.55,8863
2019-01-10,2.55,2.55,2.43,2.46,6751
2019-01-11,2.43,2.5,2.37,2.47,7361
2019-01-14,2.47,2.58,2.3,2.31,8746
2019-01-15,2.34,2.34,2.18,2.27,8173
2019-01-16,2.22,2.44,2.22,2.28,9101
2019-01-17,2.28,2.37,2.23,2.27,11026
2019-01-18,2.26,2.33,2.23,2.3,11833
2019-01-22,2.39,2.42,2.11,2.15,18697
2019-01-23,2.14,2.19,2.05,2.13,10301
2019-01-24,2.11,2.2,2.09,2.16,5953
2019-01-25,2.17,2.39,2.15,2.37,11829
2019-01-28,2.37,2.37,2.13,2.15,12202
2019-01-29,2.19,2.19,2.08,2.09,8314
2019-01-30,2.1,2.18,2.05,2.17,9639
2019-01-31,2.14,2.19,2.05,2.06,14803
2019-02-01,2.07,2.1,1.98,2.07,10514
2019-02-04,2.07,2.15,1.99,2.07,11509
2019-02-05,2.09,2.17,2.0,2.05,13774
2019-02-06,2.07,2.2,2.04,2.2,13875
2019-02-07,2.21,2.33,2.11,2.25,13705
2019-02-08,2.25,2.3,2.24,2.27,7574
2019-02-11,2.28,2.3,2.2,2.27,6380
2019-02-12,2.32,2.34,2.24,2.34,9751
2019-02-13,2.32,2.36,2.27,2.36,8567
2019-02-14,2.33,2.36,2.25,2.26,6708
2019-02-15,2.28,2.35,2.25,2.33,8965
2019-02-19,2.34,2.39,2.24,2.26,8554
2019-02-20,2.25,2.25,2.18,2.22,6846
2019-02-21,2.23,2.24,2.09,2.1,9353
2019-02-22,2.13,2.13,2.04,2.1,11375
2019-02-25,2.13,2.3,2.13,2.2,14223
2019-02-26,2.22,2.22,2.08,2.08,10273
2019-02-27,2.07,2.13,2.03,2.04,12262
2019-02-28,2.05,2.08,1.95,2.03,15427
2019-03-01,2.06,2.08,1.97,2.07,11635
2019-03-04,2.03,2.14,1.98,2.05,11556
2019-03-05,2.06,2.11,2.0,2.02,12034
2019-03-06,2.03,2.04,1.97,1.97,16399
2019-03-07,1.96,1.99,1.85,1.86,17560
2019-03-08,1.82,2.02,1.8,1.97,16196
2019-03-11,2.0,2.08,1.93,1.97,12419
2019-03-12,1.99,2.25,1.99,2.18,19180
2019-03-13,2.18,2.48,2.15,2.44,20955
2019-03-14,2.43,2.44,2.29,2.43,13089
2019-03-15,2.48,2.5,2.33,2.33,16845
2019-03-18,2.31,2.78,2.31,2.75,30061
2019-03-19,2.76,3.96,2.76,3.84,103524
2019-03-20,3.91,3.94,3.45,3.49,38374
2019-03-21,3.57,5.25,3.53,5.23,154475
2019-03-22,5.61,6.5,4.67,5.94,277470
2019-03-25,5.37,5.71,4.9,5.37,63069
2019-03-26,5.72,5.76,5.05,5.14,37864
2019-03-27,5.07,5.07,4.0,4.71,73860
2019-03-28,4.64,4.86,4.32,4.78,26240
2019-03-29,4.8,4.81,4.47,4.75,24041
2019-04-01,4.75,4.75,4.2,4.25,27585
2019-04-02,4.26,4.33,3.78,3.8,27324
2019-04-03,3.85,4.58,3.66,4.38,47632
2019-04-04,4.38,4.46,4.09,4.24,23830
2019-04-05,4.23,4.35,4.15,4.3,11716
2019-04-08,4.29,4.34,4.07,4.2,12307
2019-04-09,4.15,4.33,4.05,4.09,20156
2019-04-10,4.53,4.7,4.18,4.26,45150
2019-04-11,4.23,4.32,4.07,4.13,13260
2019-04-12,4.15,4.21,4.01,4.15,9871
2019-04-15,4.13,4.23,4.02,4.07,9722
2019-04-16,4.12,4.26,4.03,4.06,8405
2019-04-17,4.09,4.11,3.82,3.89,15157
2019-04-18,3.9,3.98,3.77,3.84,8646
2019-04-22,3.84,3.85,3.67,3.78,8340
2019-04-23,3.74,3.9,3.7,3.74,10582
2019-04-24,3.75,3.78,3.63,3.72,6982
2019-04-25,3.69,3.71,3.53,3.63,9542
2019-04-26,3.61,3.79,3.55,3.77,6187
2019-04-29,3.82,3.92,3.74,3.75,7796
2019-04-30,3.71,3.76,3.6,3.65,5350
2019-05-01,3.65,3.75,3.57,3.59,6812
2019-05-02,3.56,3.64,3.43,3.58,7048
2019-05-03,3.59,3.75,3.53,3.7,7874
2019-05-06,3.56,3.83,3.51,3.77,7859
2019-05-07,3.71,3.94,3.56,3.62,8878
2019-05-08,3.61,3.75,3.53,3.59,6429
2019-05-09,3.53,3.62,3.42,3.57,6327
2019-05-10,3.57,3.63,3.43,3.58,4689
2019-05-13,3.6,3.8,3.51,3.63,10429
2019-05-14,3.63,3.95,3.63,3.81,12728
2019-05-15,3.8,4.16,3.77,3.9,18990
2019-05-16,3.87,3.93,3.75,3.8,7213
2019-05-17,3.73,3.84,3.61,3.64,5807
2019-05-20,3.6,3.67,3.52,3.59,5085
2019-05-21,3.59,3.75,3.55,3.6,4857
2019-05-22,3.56,3.74,3.52,3.65,6083
2019-05-23,3.59,3.7,3.49,3.55,5099
2019-05-24,3.57,3.66,3.48,3.5,4816
2019-05-28,3.51,3.57,3.22,3.29,11596
2019-05-29,3.34,3.34,2.63,2.95,29107
2019-05-30,2.84,2.95,2.82,2.85,6750
2019-05-31,2.79,2.88,2.7,2.81,5243
2019-06-03,2.8,2.92,2.72,2.87,6493
2019-06-04,2.93,3.13,2.87,3.03,9950
2019-06-05,3.21,3.24,2.92,2.95,6947
2019-06-06,2.96,2.96,2.81,2.85,6070
2019-06-07,2.87,2.97,2.77,2.95,4968
2019-06-10,2.97,3.14,2.97,3.01,7197
2019-06-11,3.03,3.15,2.93,2.99,5653
2019-06-12,2.96,3.14,2.95,3.04,4856
2019-06-13,3.05,3.16,2.97,3.15,5977
2019-06-14,3.14,3.39,3.11,3.15,10946
2019-06-17,3.21,3.78,3.16,3.64,14093
2019-06-18,3.64,3.74,3.59,3.7,6784
2019-06-19,3.94,3.99,3.58,3.67,14572
2019-06-20,3.72,3.91,3.71,3.86,9043
2019-06-21,3.82,3.95,3.65,3.93,9697
2019-06-24,3.94,4.17,3.62,3.67,18646
2019-06-25,3.73,3.73,3.26,3.56,13037
2019-06-26,3.47,3.55,3.27,3.37,9762
2019-06-27,3.31,3.39,3.11,3.39,14007
2019-06-28,2.56,2.89,2.52,2.67,65807
2019-07-01,2.77,2.77,2.47,2.55,21916
2019-07-02,2.53,2.65,2.4,2.59,26033
2019-07-03,2.58,2.58,2.45,2.49,8794
2019-07-05,2.47,2.5,2.4,2.41,11926
2019-07-08,2.41,2.46,2.32,2.45,15538
2019-07-09,2.45,2.58,2.41,2.51,8711
2019-07-10,2.55,2.65,2.44,2.49,8985
2019-07-11,2.5,2.54,2.45,2.51,10212
2019-07-12,2.5,2.53,2.45,2.51,8015
2019-07-15,2.52,2.53,2.44,2.51,4733
2019-07-16,2.5,2.57,2.48,2.51,11561
2019-07-17,2.5,2.53,2.49,2.5,6427
2019-07-18,2.5,2.58,2.49,2.58,5720
2019-07-19,2.56,2.65,2.5,2.6,11573
2019-07-22,2.6,2.64,2.54,2.57,8135
2019-07-23,2.58,2.58,2.45,2.45,8553
2019-07-24,2.45,2.53,2.43,2.52,7057
2019-07-25,2.52,2.52,2.48,2.5,4618
2019-07-26,2.51,2.65,2.5,2.64,5782
2019-07-29,2.63,2.68,2.59,2.66,2713
2019-07-30,2.63,2.7,2.59,2.69,3502
2019-07-31,2.7,2.91,2.69,2.69,12002
2019-08-01,2.68,2.78,2.45,2.52,10003
2019-08-02,2.49,2.51,2.36,2.39,5265
2019-08-05,2.36,2.37,2.22,2.28,7662
2019-08-06,2.28,2.37,2.17,2.24,8916
2019-08-07,2.2,2.29,2.18,2.23,4485
2019-08-08,2.26,2.3,2.2,2.2,4110
2019-08-09,2.21,2.25,2.07,2.14,6808
2019-08-12,2.13,2.17,2.05,2.05,5234
2019-08-13,2.05,2.17,2.05,2.15,5028
2019-08-14,2.11,2.13,2.04,2.05,6365
2019-08-15,2.07,2.14,2.03,2.07,4811
2019-08-16,2.11,2.27,2.11,2.24,4959
2019-08-19,2.28,2.31,2.24,2.3,3426
2019-08-20,2.3,2.35,2.24,2.28,2650
2019-08-21,2.28,2.32,2.24,2.31,3217
2019-08-22,2.32,2.35,2.24,2.25,2642
2019-08-23,2.22,2.29,2.09,2.1,5709
2019-08-26,2.11,2.24,2.07,2.23,5175
2019-08-27,2.23,2.23,2.07,2.1,4843
2019-08-28,2.08,2.2,2.06,2.17,5378
2019-08-29,2.22,2.22,2.1,2.15,4642
2019-08-30,2.15,2.24,2.05,2.11,5524
2019-09-03,2.08,2.11,2.0,2.05,8568
2019-09-04,2.06,2.12,2.06,2.1,3528
2019-09-05,2.08,2.2,2.06,2.17,6328
2019-09-06,2.2,2.21,2.12,2.14,4527
2019-09-09,2.13,2.28,2.1,2.18,9002
2019-09-10,2.19,2.42,2.16,2.4,13750
2019-09-11,2.4,2.44,2.27,2.39,10428
2019-09-12,2.39,2.41,2.23,2.32,8287
2019-09-13,2.32,2.43,2.26,2.32,9989
2019-09-16,2.28,2.57,2.28,2.41,14431
2019-09-17,2.42,2.53,2.31,2.35,9587
2019-09-18,2.34,2.38,2.3,2.36,6203
2019-09-19,2.34,2.4,2.28,2.28,7750
2019-09-20,2.28,2.44,2.25,2.28,11237
2019-09-23,2.31,2.39,2.22,2.23,5424
2019-09-24,2.23,2.29,2.12,2.13,9517
2019-09-25,2.14,2.19,2.06,2.135,6117
2019-09-26,2.12,2.16,2.08,2.12,4248
2019-09-27,2.11,2.17,2.01,2.16,9951
2019-09-30,2.16,2.19,2.09,2.14,4667
2019-10-01,2.15,2.18,2.01,2.03,6946
2019-10-02,2.0,2.03,1.91,1.95,13239
2019-10-03,1.97,2.32,1.95,2.32,20294
2019-10-04,2.35,2.4,2.23,2.39,14015
2019-10-07,2.49,2.91,1.75,1.78,112456
2019-10-08,1.8,1.86,1.68,1.7,40814
2019-10-09,1.73,1.78,1.49,1.62,39517
2019-10-10,1.62,1.66,1.46,1.46,37586
2019-10-11,1.5,1.6,1.39,1.57,42842
2019-10-14,1.58,1.62,1.48,1.54,11060
2019-10-15,1.53,1.64,1.51,1.61,9601
2019-10-16,1.69,1.78,1.65,1.73,22896
2019-10-17,1.71,1.73,1.64,1.64,6726
2019-10-18,1.62,1.64,1.51,1.53,13508
2019-10-21,1.53,1.58,1.52,1.55,6107
2019-10-22,1.59,1.61,1.51,1.51,8105
2019-10-23,1.54,1.59,1.5,1.54,5377
2019-10-24,1.54,1.55,1.5,1.51,5015
2019-10-25,1.52,1.59,1.5,1.55,5785
2019-10-28,1.56,1.65,1.56,1.61,11210
2019-10-29,1.59,1.6,1.53,1.55,5746
2019-10-30,1.54,1.55,1.51,1.51,6179
2019-10-31,1.53,1.54,1.49,1.52,4979
2019-11-01,1.54,1.65,1.51,1.63,16135
2019-11-04,1.65,1.65,1.55,1.59,7773
2019-11-05,1.59,1.71,1.59,1.64,19110
2019-11-06,1.64,1.66,1.56,1.57,10211
2019-11-07,1.66,1.71,1.62,1.68,15442
2019-11-08,1.71,1.71,1.63,1.65,9692
2019-11-11,1.64,1.685,1.6,1.67,7081
2019-11-12,1.67,1.71,1.6,1.61,14832
2019-11-13,1.61,1.65,1.56,1.57,11014
