date,open,high,low,close,volume
2018-12-10,55.37,55.54,54.43,54.88,2416
2018-12-11,55.63,55.75,53.89,54.01,851
2018-12-12,54.88,55.1,54.21,54.66,1200
2018-12-13,54.92,55.08,53.85,53.9,1697
2018-12-14,53.44,54.37,52.8,53.05,1218
2018-12-17,52.87,53.77,52.22,52.6,2508
2018-12-18,53.22,53.95,52.63,53.08,1839
2018-12-19,53.03,54.23,51.58,51.9,1376
2018-12-20,51.72,52.27,51.07,51.31,1704
2018-12-21,51.29,52.13,50.42,50.43,2381
2018-12-24,50.18,50.94,49.54,49.8,593
2018-12-26,49.7,52.35,49.7,52.23,1603
2018-12-27,51.39,53.2,51.39,53.15,2016
2018-12-28,53.34,54.5,53.27,53.78,1487
2018-12-31,53.98,54.38,53.7,54.13,1774
2019-01-02,53.4,54.79,52.52,54.79,1821
2019-01-03,54.52,55.31,53.86,54.17,1333
2019-01-04,54.91,56.24,54.91,55.88,887
2019-01-07,55.79,56.83,55.24,56.5,994
2019-01-08,57.13,57.69,56.65,57.56,1804
2019-01-09,57.44,58.03,56.55,57.75,1005
2019-01-10,57.29,58.17,57.29,57.89,1429
2019-01-11,57.57,58.35,57.5,58.3,807
2019-01-14,57.95,58.76,57.95,58.46,1249
2019-01-15,58.52,58.52,57.49,58.4,1856
2019-01-16,58.36,59.08,58.35,58.61,2384
2019-01-17,58.46,59.7,58.11,59.65,2566
2019-01-18,60.17,61.1,59.96,60.63,2225
2019-01-22,60.38,60.85,59.7,60.16,2065
2019-01-23,60.33,60.42,59.4,60.04,2490
2019-01-24,59.91,60.53,59.91,60.33,499
2019-01-25,60.51,61.41,59.92,60.02,987
2019-01-28,59.47,60.06,59.15,59.37,940
2019-01-29,59.68,59.77,58.65,59.39,2922
2019-01-30,59.94,60.52,59.17,60.51,2010
2019-01-31,60.38,61.71,60.38,61.38,1001
2019-02-01,61.59,61.79,60.75,61.14,872
2019-02-04,60.95,61.43,60.42,60.94,2162
2019-02-05,58.32,58.32,54.99,57.13,5659
2019-02-06,56.95,58.84,56.84,57.77,2103
2019-02-07,57.67,58.77,57.67,58.05,1634
2019-02-08,57.87,58.14,57.79,57.84,2769
2019-02-11,57.92,58.65,57.79,58.29,2144
2019-02-12,58.7,60.64,58.7,60.38,1965
2019-02-13,60.67,60.96,59.72,59.82,2321
2019-02-14,59.42,60.17,59.22,59.84,1710
2019-02-15,60.16,60.47,59.9,60.22,1047
2019-02-19,59.86,60.84,59.85,60.21,1289
2019-02-20,60.06,60.96,59.89,60.94,920
2019-02-21,60.69,61.23,60.35,60.76,922
2019-02-22,61.04,61.17,60.67,60.96,688
2019-02-25,61.32,61.62,60.8,60.95,653
2019-02-26,60.67,61.06,59.64,59.67,1538
2019-02-27,59.17,59.75,59.07,59.65,604
2019-02-28,59.74,60.18,59.08,59.93,1078
2019-03-01,60.5,60.74,59.3,59.79,1277
2019-03-04,59.78,60.5,59.71,59.84,710
2019-03-05,60.0,60.19,59.57,59.84,1628
2019-03-06,59.93,60.06,59.44,59.68,1855
2019-03-07,59.62,60.28,59.23,59.93,1508
2019-03-08,59.6,60.32,59.6,59.98,1304
2019-03-11,60.05,60.45,59.74,60.44,1318
2019-03-12,60.49,60.49,59.94,60.02,746
2019-03-13,60.21,60.31,59.74,59.89,881
