date,open,high,low,close,volume
2020-09-16,24.75,25.89,23.22,25.0,86717
2020-09-17,22.72,27.15,22.72,24.75,12296
2020-09-18,25.0,25.98,24.5,25.0,8203
2020-09-21,24.5,25.4,23.72,24.42,4786
2020-09-22,24.66,28.27,23.57,26.78,11372
2020-09-23,26.03,26.67,24.79,25.88,3445
2020-09-24,25.59,25.78,24.74,25.16,3936
2020-09-25,24.94,25.24,24.55,25.0,1304
2020-09-28,25.05,27.92,24.93,26.49,1924
2020-09-29,26.3,27.94,25.17,25.56,2696
2020-09-30,25.43,26.75,24.67,26.61,1027
2020-10-01,26.29,26.63,25.3,25.81,1377
2020-10-02,25.21,25.96,24.88,25.41,3793
2020-10-05,25.4,26.34,24.89,25.58,2065
2020-10-06,25.61,25.71,24.82,25.37,3202
2020-10-07,25.71,26.12,25.06,25.54,1549
2020-10-08,25.47,26.54,25.3,26.5,1579
2020-10-09,26.56,27.57,26.51,27.07,1130
2020-10-12,27.1,27.1,25.87,26.21,3449
2020-10-13,25.98,26.03,24.77,25.18,2025
2020-10-14,25.13,25.94,25.11,25.33,962
2020-10-15,25.15,26.24,25.15,25.79,754
2020-10-16,25.71,26.39,25.36,26.25,1132
2020-10-19,26.12,27.1,25.0,26.78,1568
2020-10-20,26.75,27.39,26.75,26.88,1275
2020-10-21,27.02,27.02,25.85,26.62,449
2020-10-22,26.52,27.28,26.36,27.0,1613
2020-10-23,26.94,27.15,26.09,26.55,3608
2020-10-26,26.35,26.54,25.9,26.03,740
2020-10-27,26.1,26.69,25.65,25.92,1954
2020-10-28,25.57,25.85,24.95,25.4,1266
2020-10-29,25.35,26.1,24.94,25.1,1482
2020-10-30,25.31,26.06,24.48,25.71,2741
2020-11-02,25.97,27.16,24.89,26.05,1605
2020-11-03,26.35,27.71,26.1,27.08,1361
2020-11-04,26.82,29.02,26.82,28.12,2189
2020-11-05,28.36,29.58,27.53,28.11,1950
2020-11-06,28.12,28.76,27.54,27.68,1252
2020-11-09,28.56,28.77,26.64,28.3,3013
2020-11-10,27.97,29.13,27.44,28.5,1698
2020-11-11,28.23,30.0,27.81,28.73,1387
2020-11-12,28.83,29.9,28.01,29.01,2213
2020-11-13,29.39,29.91,28.77,29.33,1414
2020-11-16,29.86,30.99,28.51,28.88,2918
2020-11-17,28.61,29.11,27.21,27.6,2152
2020-11-18,27.57,28.82,27.14,27.29,1456
2020-11-19,27.3,27.75,25.91,26.06,2413
2020-11-20,25.98,26.92,25.35,25.42,2740
2020-11-23,25.56,26.5,25.19,25.53,4110
2020-11-24,25.79,26.88,25.4,25.81,1153
2020-11-25,25.82,26.59,25.4,26.41,382
2020-11-27,26.66,27.14,25.86,26.3,517
2020-11-30,26.27,27.42,26.05,27.12,2015
2020-12-01,27.03,29.28,27.01,27.45,1851
2020-12-02,27.32,28.45,26.4,27.63,1000
2020-12-03,27.74,29.24,27.45,28.82,1472
2020-12-04,29.02,29.83,28.67,29.66,5416
2020-12-07,29.67,32.54,29.67,30.02,3846
2020-12-08,30.2,31.26,29.57,29.99,5149
2020-12-09,29.96,32.24,29.18,31.47,3559
2020-12-10,31.33,32.98,30.71,32.34,1576
2020-12-11,32.14,33.81,31.48,32.5,2730
2020-12-14,32.87,34.42,32.55,33.37,3640
2020-12-15,33.63,34.18,31.09,32.0,2172
2020-12-16,32.22,32.57,30.72,32.22,2049
2020-12-17,32.46,33.68,31.65,33.11,3202
2020-12-18,33.5,35.76,31.94,34.31,6428
2020-12-21,34.05,35.09,32.75,34.8,4789
2020-12-22,35.1,36.66,34.41,36.24,2823
2020-12-23,36.8,37.88,36.33,36.79,1298
2020-12-24,36.43,37.32,36.43,36.88,255
2020-12-28,36.96,38.39,35.83,38.1,1613
2020-12-29,38.42,38.5,37.5,38.31,1439
2020-12-30,38.29,40.07,38.15,39.72,1318
2020-12-31,39.52,40.98,39.33,39.8,1910
2021-01-04,40.24,40.24,36.32,38.24,2178
2021-01-05,38.19,38.56,37.02,37.11,1129
2021-01-06,36.92,37.6,35.82,36.63,886
2021-01-07,36.8,36.97,34.61,36.0,2262
2021-01-08,36.08,36.88,35.3,36.6,1431
2021-01-11,36.41,36.83,35.82,36.79,1375
2021-01-12,36.52,37.25,36.02,36.42,1261
2021-01-13,36.18,39.02,36.18,38.64,3606
2021-01-14,38.7,39.0,36.95,37.89,1699
2021-01-15,37.61,38.38,36.24,37.46,863
2021-01-19,37.66,38.36,37.42,38.17,560
2021-01-20,38.06,39.21,37.57,38.41,3291
2021-01-21,38.38,38.64,37.86,37.91,581
2021-01-22,37.61,38.63,36.64,37.28,1092
2021-01-25,37.1,37.58,36.11,36.42,934
2021-01-26,35.39,36.91,34.57,36.49,1089
2021-01-27,35.93,36.77,34.75,36.42,1458
2021-01-28,36.93,36.98,35.76,35.9,927
2021-01-29,35.78,36.26,34.02,35.12,1157
2021-02-01,35.09,36.16,34.64,35.83,681
2021-02-02,35.81,36.86,35.29,36.51,1472
2021-02-03,36.29,37.16,35.26,36.75,1259
2021-02-04,36.78,38.22,36.78,37.33,929
2021-02-05,37.65,37.65,36.97,37.27,598
2021-02-08,37.25,37.81,36.74,36.88,1275
2021-02-09,36.55,37.46,36.07,37.27,1752
2021-02-10,38.99,39.73,36.92,39.08,7055
2021-02-11,39.05,41.0,37.68,38.38,1499
2021-02-12,38.84,39.5,38.06,38.39,546
2021-02-16,39.04,40.43,38.61,39.49,1196
2021-02-17,39.14,39.57,35.55,36.18,3533
2021-02-18,36.15,38.67,34.05,34.16,3966
2021-02-19,34.12,35.13,33.56,35.05,1526
2021-02-22,34.57,34.8,33.66,34.08,1331
2021-02-23,34.03,34.98,33.27,34.83,931
2021-02-24,34.59,35.55,34.59,35.03,698
2021-02-25,34.88,36.11,34.5,35.56,4071
2021-02-26,35.94,36.98,35.38,36.01,1190
2021-03-01,36.34,37.79,36.34,36.67,688
2021-03-02,36.49,36.84,34.09,34.34,2317
2021-03-03,34.24,35.27,30.82,33.76,825
2021-03-04,33.52,34.47,31.95,32.68,1510
2021-03-05,32.74,34.04,30.74,31.66,1967
2021-03-08,31.62,33.02,31.11,31.77,2086
2021-03-09,31.82,33.66,30.92,31.01,3175
2021-03-10,30.99,31.93,30.25,30.88,1637
2021-03-11,31.17,32.54,30.95,31.29,864
2021-03-12,31.44,31.72,30.0,30.47,1968
2021-03-15,30.37,32.07,30.33,32.0,1702
