date,open,high,low,close,volume
2018-12-10,30.75,30.81,30.29,30.56,15868
2018-12-11,30.61,30.92,30.58,30.82,17664
2018-12-12,30.92,30.99,30.11,30.15,10921
2018-12-13,30.17,30.84,30.17,30.8,15905
2018-12-14,30.7,30.91,30.59,30.85,12592
2018-12-17,30.91,31.05,29.65,29.73,19487
2018-12-18,29.88,30.1,29.69,29.77,23732
2018-12-19,29.79,30.03,29.47,29.75,17483
2018-12-20,29.75,29.95,29.11,29.43,17444
2018-12-21,29.36,29.84,29.04,29.05,17114
2018-12-24,29.05,29.09,27.76,27.85,12850
2018-12-26,28.05,28.85,27.68,28.81,14446
2018-12-27,28.7,28.79,28.05,28.78,15840
2018-12-28,28.97,28.97,28.3,28.55,13952
2018-12-31,28.63,28.63,27.92,28.31,20364
2019-01-02,28.06,28.08,27.35,27.46,15980
2019-01-03,27.43,28.15,27.41,27.68,25955
2019-01-04,27.71,28.09,27.68,27.83,13570
2019-01-07,28.0,28.35,27.92,28.16,12142
2019-01-08,28.36,28.74,28.17,28.68,10682
2019-01-09,28.7,28.8,28.23,28.7,9058
2019-01-10,28.64,29.32,28.47,29.23,12373
2019-01-11,29.3,29.44,29.09,29.34,11944
2019-01-14,29.33,29.55,29.09,29.44,11992
2019-01-15,29.46,29.78,29.43,29.67,8834
2019-01-16,29.43,30.06,29.43,30.06,20614
2019-01-17,30.07,30.19,29.85,30.09,15022
2019-01-18,30.09,30.17,29.83,30.02,11476
2019-01-22,30.02,30.42,29.84,30.33,17428
2019-01-23,30.38,30.41,29.89,30.01,15980
2019-01-24,30.09,30.25,29.95,30.11,12944
2019-01-25,30.11,30.66,30.11,30.61,32102
2019-01-28,30.6,31.11,30.53,31.05,13961
2019-01-29,31.05,31.48,31.05,31.28,23611
2019-01-30,31.33,31.96,31.33,31.64,15486
2019-01-31,31.65,32.32,31.45,32.32,18361
2019-02-01,32.35,32.53,31.26,31.67,21862
2019-02-04,31.52,31.99,31.27,31.99,10321
2019-02-05,32.04,32.12,31.68,32.04,8940
2019-02-06,31.99,32.09,31.77,31.87,8140
2019-02-07,31.87,32.42,31.7,32.3,8330
2019-02-08,32.2,32.48,32.17,32.42,7000
2019-02-11,32.59,32.59,32.28,32.42,12425
2019-02-12,32.45,32.51,31.66,31.69,16283
2019-02-13,31.67,31.92,31.37,31.87,16769
2019-02-14,31.83,32.08,31.75,31.96,7849
2019-02-15,32.04,32.52,31.88,32.51,20213
2019-02-19,32.52,32.68,32.32,32.44,15546
2019-02-20,32.37,32.48,31.81,32.08,12919
2019-02-21,32.21,32.55,31.7,32.49,11178
2019-02-22,32.52,32.76,32.32,32.71,17573
2019-02-25,32.75,32.76,32.42,32.46,13040
2019-02-26,32.6,32.66,32.19,32.22,15247
2019-02-27,32.05,32.41,31.79,32.28,15789
2019-02-28,32.25,32.9,32.13,32.47,17886
2019-03-01,32.47,32.52,31.42,32.0,21107
2019-03-04,32.1,32.27,31.75,32.07,11384
2019-03-05,31.98,32.4,31.9,32.39,10114
2019-03-06,32.4,32.47,32.17,32.28,8725
2019-03-07,32.44,32.72,32.25,32.38,14095
2019-03-08,32.3,32.54,32.13,32.29,11181
2019-03-11,32.43,32.58,32.25,32.54,9580
2019-03-12,32.63,32.8,32.63,32.7,11382
2019-03-13,32.82,32.94,32.69,32.7,11342
2019-03-14,32.8,32.82,32.51,32.55,26676
2019-03-15,32.6,32.63,32.31,32.35,16006
2019-03-18,32.46,32.53,32.11,32.29,9491
2019-03-19,32.3,32.37,32.14,32.21,7801
2019-03-20,32.3,32.82,32.09,32.61,10840
2019-03-21,32.52,33.41,32.5,33.18,15206
2019-03-22,33.2,33.51,33.07,33.15,14383
2019-03-25,33.13,33.56,32.83,33.45,11539
2019-03-26,33.48,33.98,33.38,33.97,15575
2019-03-27,34.0,34.1,33.47,33.53,20022
2019-03-28,33.22,33.61,33.17,33.57,14528
2019-03-29,33.6,33.61,33.33,33.5,7787
2019-04-01,33.56,33.56,32.97,33.31,12110
2019-04-02,33.37,33.4,33.02,33.38,15409
2019-04-03,33.3,33.46,33.01,33.3,12442
2019-04-04,33.27,33.3,33.01,33.17,9663
2019-04-05,33.12,33.47,33.08,33.47,12073
2019-04-08,33.45,33.5,33.12,33.16,6025
2019-04-09,33.22,33.28,32.98,33.03,5236
2019-04-10,33.17,33.43,33.05,33.37,7499
2019-04-11,33.4,33.54,33.33,33.39,8209
2019-04-12,33.22,33.45,32.92,33.45,6904
2019-04-15,33.5,33.55,33.18,33.38,6927
2019-04-16,33.39,33.39,31.79,32.06,23609
2019-04-17,32.08,32.12,31.34,31.55,15292
2019-04-18,31.6,32.15,31.48,32.14,14195
2019-04-22,32.03,32.1,31.6,31.98,10090
2019-04-23,32.29,32.61,32.02,32.49,13326
2019-04-24,32.66,33.09,32.61,32.89,8283
2019-04-25,32.79,33.12,32.61,33.05,8159
2019-04-26,33.21,33.49,33.06,33.21,8380
2019-04-29,33.19,33.29,32.93,33.04,10694
2019-04-30,32.96,33.42,32.79,33.32,11062
2019-05-01,33.18,33.66,33.14,33.29,11808
2019-05-02,33.1,33.97,33.0,33.43,14825
2019-05-03,33.61,33.8,33.2,33.76,15992
2019-05-06,33.5,33.81,33.29,33.4,9923
2019-05-07,33.39,33.43,32.67,32.9,19684
2019-05-08,32.85,33.32,32.83,33.06,12534
2019-05-09,33.06,33.44,32.63,33.17,12362
2019-05-10,33.16,33.67,33.09,33.59,11063
2019-05-13,33.41,33.86,33.41,33.77,7921
2019-05-14,33.88,34.04,33.76,33.9,8368
2019-05-15,34.04,34.27,33.86,33.96,9157
2019-05-16,33.8,34.21,33.75,34.11,8793
2019-05-17,34.04,34.16,33.79,34.08,6474
2019-05-20,34.05,34.12,33.7,33.77,6920
2019-05-21,33.91,34.18,33.89,34.03,5366
2019-05-22,33.91,34.24,33.88,34.23,11314
2019-05-23,34.22,34.66,34.21,34.58,8424
2019-05-24,34.72,34.94,34.72,34.74,6523
2019-05-28,34.83,35.0,34.21,34.38,9299
2019-05-29,34.36,34.36,33.6,33.63,13938
2019-05-30,33.68,33.98,33.58,33.62,12041
2019-05-31,33.59,34.4,33.52,34.22,15070
2019-06-03,34.33,34.62,34.25,34.58,12582
2019-06-04,34.57,34.71,33.85,34.24,16135
2019-06-05,34.35,34.92,34.25,34.91,10965
2019-06-06,34.96,35.03,34.48,34.7,13365
2019-06-07,34.94,35.09,34.73,34.81,7812
2019-06-10,34.74,34.74,34.14,34.33,8416
2019-06-11,34.27,34.46,34.12,34.38,6688
2019-06-12,34.48,34.9,34.37,34.73,9364
2019-06-13,34.85,35.08,34.77,35.0,11632
2019-06-14,35.0,35.49,34.99,35.17,8007
2019-06-17,35.23,35.55,35.05,35.15,8176
2019-06-18,35.33,35.38,34.63,34.79,8379
2019-06-19,34.61,35.24,34.56,35.19,8899
2019-06-20,35.3,35.59,35.1,35.46,11032
2019-06-21,35.29,35.29,34.68,34.99,15544
2019-06-24,35.11,35.15,34.72,34.84,8195
2019-06-25,34.95,35.07,34.27,34.27,11037
2019-06-26,34.27,34.27,32.9,33.05,16561
2019-06-27,33.02,33.27,32.84,33.21,12440
2019-06-28,33.24,33.62,33.12,33.19,10930
2019-07-01,33.43,33.5,32.46,33.12,13097
2019-07-02,33.28,33.97,33.28,33.85,15303
2019-07-03,33.85,34.51,33.85,34.27,7723
2019-07-05,33.94,34.17,33.41,34.11,6737
2019-07-08,34.11,34.35,33.95,34.24,5333
2019-07-09,34.2,34.44,34.15,34.42,6928
2019-07-10,34.52,34.73,34.22,34.59,7802
2019-07-11,34.6,34.8,34.0,34.22,7908
2019-07-12,34.19,34.38,34.02,34.25,6314
2019-07-15,34.32,34.47,33.81,34.1,7081
2019-07-16,34.02,34.21,33.85,33.92,10029
2019-07-17,34.08,34.16,33.61,33.78,8461
2019-07-18,33.7,33.97,33.59,33.93,9616
2019-07-19,33.91,34.03,33.55,33.6,11451
2019-07-22,33.72,33.94,33.22,33.8,19179
2019-07-23,33.82,34.21,33.68,34.16,8544
2019-07-24,34.26,34.48,34.08,34.41,13492
2019-07-25,34.32,34.33,33.87,34.0,15891
2019-07-26,34.0,34.33,33.97,34.21,8590
2019-07-29,34.38,34.63,34.18,34.28,8605
2019-07-30,34.2,34.73,34.13,34.33,6606
2019-07-31,34.31,34.54,33.95,34.21,9475
2019-08-01,34.39,34.4,33.61,34.2,15846
2019-08-02,34.2,35.01,34.1,34.65,11390
2019-08-05,34.64,34.98,34.07,34.62,20026
2019-08-06,34.6,35.29,34.56,34.87,13314
2019-08-07,34.87,35.91,34.76,35.58,14363
2019-08-08,35.6,36.08,35.25,35.94,7709
2019-08-09,35.92,36.27,35.83,36.27,12120
2019-08-12,36.33,36.39,35.84,36.06,8565
2019-08-13,36.08,36.22,35.82,36.19,10647
2019-08-14,35.9,36.23,35.83,35.97,9445
2019-08-15,36.11,36.39,35.96,36.22,9850
2019-08-16,36.21,36.74,36.2,36.59,9557
2019-08-19,36.57,36.7,36.29,36.62,10865
2019-08-20,36.75,36.83,36.3,36.5,10829
2019-08-21,36.48,36.59,36.23,36.37,10791
2019-08-22,36.35,36.93,36.35,36.9,6422
2019-08-23,36.9,37.3,36.62,36.67,14236
2019-08-26,36.93,37.02,36.56,36.95,9786
2019-08-27,37.25,37.47,37.0,37.19,16653
2019-08-28,37.22,37.33,37.1,37.23,5845
2019-08-29,37.42,37.61,37.15,37.48,8555
2019-08-30,37.48,37.93,37.4,37.76,12245
2019-09-03,37.72,38.38,37.67,38.28,12511
2019-09-04,38.49,38.76,38.41,38.72,9246
2019-09-05,38.46,38.47,37.67,37.67,14679
2019-09-06,37.66,37.92,37.58,37.68,10410
2019-09-09,37.63,37.65,37.01,37.08,10440
2019-09-10,37.0,37.08,35.9,36.23,17782
2019-09-11,36.07,36.43,35.83,36.23,16156
2019-09-12,36.69,36.93,36.32,36.59,8540
2019-09-13,36.72,36.84,35.88,36.07,8450
