date,open,high,low,close,volume
2019-01-04,17.96,23.96,17.6,22.96,100
2019-01-07,27.2,27.2,22.72,24.44,56
2019-01-08,25.8,28.0,24.2,26.04,47
2019-01-09,27.0,62.72,27.0,47.8,183
2019-01-10,70.4,93.4,27.24,31.0,1362
2019-01-11,31.36,31.36,24.6,24.8,596
2019-01-14,24.84,26.56,21.6,22.2,223
2019-01-15,22.04,23.16,18.8,20.0,343
2019-01-16,18.8,20.04,18.12,19.04,292
2019-01-17,18.2,21.16,18.12,20.0,213
2019-01-18,19.0,20.32,17.92,18.8,139
2019-01-22,18.4,19.44,17.2,17.48,119
2019-01-23,16.76,18.32,14.88,15.76,136
2019-01-24,15.96,16.24,15.2,15.52,69
2019-01-25,15.8,16.0,14.88,15.18,49
2019-01-28,14.88,16.16,14.44,15.16,66
2019-01-29,14.72,17.08,14.72,16.8,67
2019-01-30,16.28,33.88,16.04,24.16,12585
2019-01-31,22.24,31.8,22.24,28.44,7821
2019-02-01,27.68,32.36,25.2,26.64,2063
2019-02-04,26.4,26.4,22.8,23.04,291
2019-02-05,23.04,27.0,23.04,25.04,382
2019-02-06,24.56,24.8,23.6,23.68,74
2019-02-07,24.28,24.6,23.0,23.52,101
2019-02-08,23.56,24.4,22.8,22.84,45
2019-02-11,23.08,25.2,23.04,23.24,128
2019-02-12,23.36,23.68,22.16,22.44,130
2019-02-13,21.6,22.6,21.0,21.4,80
2019-02-14,21.24,23.0,20.68,20.96,93
2019-02-15,21.68,21.68,20.76,21.0,44
2019-02-19,21.08,22.56,20.6,21.32,52
2019-02-20,21.6,21.76,20.6,20.6,37
2019-02-21,21.12,21.16,20.64,20.8,21
2019-02-22,20.8,21.12,18.88,20.12,91
2019-02-25,21.04,26.0,21.04,25.2,483
2019-02-26,25.64,27.72,24.6,25.8,289
2019-02-27,24.56,25.0,22.68,23.24,105
2019-02-28,22.92,24.88,22.92,24.84,48
2019-03-01,25.0,28.92,24.32,28.22,858
2019-03-04,30.4,31.92,27.2,29.36,510
2019-03-05,29.88,31.2,28.8,31.16,399
2019-03-06,30.04,31.6,28.0,28.48,512
2019-03-07,29.2,30.0,23.04,24.76,503
2019-03-08,24.0,28.4,24.0,26.96,669
2019-03-11,26.96,27.24,25.64,27.0,433
2019-03-12,25.92,26.56,25.12,25.76,546
2019-03-13,26.0,27.0,25.36,25.56,429
2019-03-14,26.0,26.8,25.16,25.52,460
2019-03-15,25.76,26.0,24.6,25.2,337
2019-03-18,25.2,27.96,25.2,27.84,569
2019-03-19,28.32,28.32,25.68,25.68,537
2019-03-20,26.28,26.4,24.6,24.64,675
2019-03-21,24.44,25.0,24.12,24.6,537
2019-03-22,24.72,26.2,24.08,24.52,889
2019-03-25,24.6,25.52,24.0,25.28,482
2019-03-26,24.64,26.12,24.32,25.52,542
2019-03-27,34.24,36.96,24.96,26.6,1387
2019-03-28,26.6,27.44,25.52,26.4,606
2019-03-29,26.64,27.28,25.6,27.28,560
2019-04-01,27.4,27.4,26.16,26.28,620
2019-04-02,27.48,28.0,25.4,25.48,872
2019-04-03,25.6,26.2,24.76,25.16,646
2019-04-04,25.72,26.8,25.2,25.68,140
2019-04-05,25.6,26.76,25.2,26.0,683
2019-04-08,25.4,26.04,24.8,25.2,706
2019-04-09,25.36,25.96,24.92,25.28,620
2019-04-10,25.28,25.96,25.08,25.64,483
2019-04-11,25.28,25.76,24.24,24.84,493
2019-04-12,24.84,25.0,24.24,24.48,519
2019-04-15,24.52,25.2,23.28,24.52,472
2019-04-16,24.44,26.32,22.68,24.92,794
2019-04-17,24.44,24.8,22.0,22.0,547
2019-04-18,22.36,22.48,21.16,21.2,500
2019-04-22,20.84,22.08,20.68,21.12,495
2019-04-23,20.64,21.96,20.64,21.28,534
2019-04-24,22.12,22.2,20.0,20.04,599
2019-04-25,20.04,20.64,19.12,19.4,579
2019-04-26,19.28,20.04,18.0,19.64,899
2019-04-29,19.24,20.8,19.24,20.8,226
2019-04-30,20.8,20.92,20.2,20.88,258
2019-05-01,20.64,20.88,18.84,18.84,1000
2019-05-02,19.04,21.0,19.04,19.08,103
2019-05-03,19.2,20.04,18.96,19.36,462
2019-05-06,19.52,19.96,19.32,19.8,477
2019-05-07,19.56,19.88,18.8,19.4,631
2019-05-08,19.2,19.68,18.8,19.28,491
2019-05-09,19.16,19.48,18.04,18.08,485
2019-05-10,18.48,18.48,17.64,18.04,508
2019-05-13,17.68,18.2,16.92,16.96,413
2019-05-14,17.08,17.12,15.56,16.2,585
2019-05-15,15.88,17.48,15.6,17.24,230
2019-05-16,17.08,17.32,16.4,16.68,226
2019-05-17,16.32,18.16,16.32,17.52,123
2019-05-20,17.2,18.16,16.0,16.04,44
2019-05-21,16.24,17.04,16.24,16.48,124
2019-05-22,16.24,17.64,16.24,16.46,118
2019-05-23,16.32,16.48,15.64,15.84,105
2019-05-24,16.72,16.76,15.52,16.48,21
2019-05-28,16.64,16.76,15.96,16.0,72
2019-05-29,17.8,17.8,16.04,16.08,84
2019-05-30,16.2,17.44,16.0,17.4,82
2019-05-31,16.8,16.8,15.76,15.76,51
2019-06-03,15.52,16.44,14.96,14.96,84
2019-06-04,14.88,15.52,13.8,15.24,86
2019-06-05,15.24,16.0,14.76,16.0,11
2019-06-06,15.4,15.6,13.72,15.6,106
2019-06-07,15.52,15.52,12.44,12.52,144
2019-06-10,12.92,14.2,12.88,12.92,7
2019-06-11,13.72,13.72,13.52,13.52,0
2019-06-12,13.04,13.24,12.0,12.72,39
2019-06-13,12.72,12.72,11.84,12.2,35
2019-06-14,12.12,12.56,11.76,12.56,5
2019-06-17,11.56,14.4,11.36,14.4,12
2019-06-18,13.4,13.96,12.72,13.64,26
2019-06-19,13.44,14.32,13.4,14.3,10
2019-06-20,14.28,15.28,13.2,14.04,96
2019-06-21,13.84,17.36,12.48,17.36,66
2019-06-24,16.44,16.44,13.44,14.4,51
2019-06-25,14.32,14.32,12.76,13.76,4
2019-06-26,13.68,13.68,12.56,12.84,8
2019-06-27,13.12,16.0,13.12,16.0,18
2019-06-28,15.44,15.76,13.04,14.32,98
2019-07-01,16.08,16.08,15.0,15.76,120
2019-07-02,15.48,15.88,14.72,15.88,3
2019-07-03,15.92,20.0,15.92,16.12,1616
