date,open,high,low,close,volume
2018-12-10,25.3,25.41,24.3,24.96,62401
2018-12-11,25.31,25.5,24.18,24.4,58524
2018-12-12,24.68,25.07,24.47,24.55,65073
2018-12-13,24.62,24.73,24.07,24.18,73871
2018-12-14,23.93,24.67,23.81,24.1,68845
2018-12-17,24.0,24.15,23.36,23.49,83259
2018-12-18,23.64,23.95,23.32,23.53,82976
2018-12-19,23.5,24.05,23.05,23.2,56844
2018-12-20,22.97,23.55,22.69,22.99,55940
2018-12-21,23.0,23.39,22.32,22.5,79115
2018-12-24,22.33,22.94,21.98,22.17,39036
2018-12-26,22.16,23.16,21.77,23.14,43398
2018-12-27,22.8,23.44,22.56,23.42,50336
2018-12-28,23.54,23.81,23.15,23.5,52197
2018-12-31,23.52,23.67,22.95,23.46,59401
2019-01-02,23.15,24.27,23.12,24.27,53338
2019-01-03,24.45,24.53,23.9,24.09,48895
2019-01-04,24.55,25.35,24.49,25.24,63318
2019-01-07,25.16,25.59,24.92,25.37,32294
2019-01-08,25.51,25.6,25.0,25.42,33370
2019-01-09,25.53,26.01,25.38,25.99,36305
2019-01-10,25.89,25.91,25.36,25.75,40093
2019-01-11,25.57,26.15,25.48,26.02,44543
2019-01-14,25.79,25.95,25.55,25.85,34378
2019-01-15,25.81,25.84,25.45,25.77,29539
2019-01-16,25.76,26.6,25.76,26.38,41480
2019-01-17,26.22,26.5,26.04,26.35,25069
2019-01-18,26.41,26.58,26.03,26.28,48988
2019-01-22,26.5,26.74,26.3,26.55,117020
2019-01-23,29.96,30.0,28.68,29.4,316612
2019-01-24,29.73,30.43,29.4,29.81,195421
2019-01-25,29.98,30.33,29.78,29.79,103946
2019-01-28,29.61,30.32,29.55,29.98,96047
2019-01-29,30.01,30.23,29.56,29.65,82372
2019-01-30,29.98,30.22,29.76,30.07,59707
2019-01-31,29.92,30.22,29.86,30.04,64994
2019-02-01,29.84,30.05,29.61,29.69,51385
2019-02-04,29.7,29.81,29.19,29.72,48714
2019-02-05,29.75,30.09,29.61,29.99,51228
2019-02-06,29.98,30.27,29.74,30.11,59386
2019-02-07,30.08,30.27,29.8,30.11,70109
2019-02-08,29.92,30.23,29.76,29.94,51772
2019-02-11,30.0,30.39,30.0,30.37,65813
2019-02-12,30.54,30.99,30.42,30.44,63365
2019-02-13,30.54,30.97,30.54,30.77,33248
2019-02-14,30.96,31.18,30.75,30.83,66762
2019-02-15,31.11,31.84,31.11,31.75,56884
2019-02-19,31.68,31.85,31.55,31.76,33912
2019-02-20,31.77,32.06,31.75,31.79,50367
2019-02-21,31.85,31.99,31.64,31.78,42137
2019-02-22,31.86,32.17,31.82,31.88,49591
2019-02-25,32.12,32.31,31.82,31.83,56828
2019-02-26,31.71,32.15,31.64,32.01,58861
2019-02-27,32.0,32.21,31.89,32.02,59728
2019-02-28,32.06,32.65,31.96,32.61,73232
2019-03-01,32.8,33.25,32.39,32.46,48558
2019-03-04,32.52,32.69,32.16,32.46,34941
2019-03-05,32.34,32.48,31.94,32.22,51480
2019-03-06,32.3,32.41,31.88,31.89,44602
2019-03-07,31.86,31.92,31.39,31.5,63063
2019-03-08,31.2,31.58,31.08,31.54,45412
2019-03-11,31.75,32.07,31.68,32.02,34771
2019-03-12,32.09,32.27,31.93,32.21,40730
2019-03-13,32.55,33.06,32.4,32.92,65615
2019-03-14,32.9,33.19,32.74,32.84,41255
2019-03-15,32.85,33.32,32.76,33.31,71926
2019-03-18,33.34,33.56,33.19,33.24,34526
2019-03-19,33.45,33.56,33.0,33.08,36740
2019-03-20,32.96,33.0,32.38,32.45,34191
2019-03-21,32.31,33.15,32.22,32.91,37910
2019-03-22,32.54,32.68,31.65,31.83,56640
2019-03-25,31.79,32.08,31.12,31.39,55073
2019-03-26,31.62,31.87,31.34,31.77,39875
2019-03-27,31.78,31.97,31.47,31.63,40348
2019-03-28,31.62,32.04,31.62,31.83,30944
2019-03-29,32.03,32.22,31.78,31.9,32493
2019-04-01,32.09,32.73,32.07,32.58,35761
2019-04-02,32.58,32.65,32.35,32.42,24801
2019-04-03,32.5,32.7,32.24,32.35,35129
2019-04-04,32.48,32.8,32.38,32.5,23364
2019-04-05,32.45,32.72,32.27,32.31,31541
2019-04-08,32.35,32.55,32.18,32.54,22972
2019-04-09,32.47,32.47,32.16,32.27,23987
2019-04-10,32.27,32.63,32.27,32.55,25198
2019-04-11,32.68,33.15,32.52,32.62,29076
2019-04-12,32.95,33.25,32.75,33.0,26251
2019-04-15,33.09,33.37,32.65,32.95,24647
2019-04-16,33.09,33.24,32.77,33.16,25782
2019-04-17,33.29,33.42,33.06,33.24,36606
2019-04-18,33.79,33.79,32.21,33.34,55687
2019-04-22,33.13,33.61,32.9,33.55,33206
2019-04-23,33.51,33.59,33.22,33.46,32851
2019-04-24,33.36,33.66,33.24,33.53,40130
2019-04-25,33.41,33.84,33.28,33.5,25037
2019-04-26,33.48,34.4,33.46,34.4,46106
2019-04-29,34.43,34.72,34.29,34.41,24752
2019-04-30,34.53,34.75,34.23,34.67,28098
2019-05-01,34.74,34.87,34.1,34.16,32985
2019-05-02,34.24,34.56,34.09,34.15,25608
2019-05-03,34.13,34.44,34.03,34.34,18909
2019-05-06,33.69,34.37,33.64,34.29,18970
2019-05-07,33.88,34.22,33.71,34.0,24028
2019-05-08,33.85,34.1,33.66,33.82,20178
2019-05-09,33.61,34.45,33.55,34.4,51753
2019-05-10,34.35,35.01,34.29,35.01,55379
2019-05-13,34.43,34.59,33.92,33.99,47542
2019-05-14,34.03,35.09,34.02,34.77,39813
2019-05-15,34.42,35.05,34.28,34.86,33547
2019-05-16,34.86,35.29,34.82,35.24,41932
2019-05-17,34.83,35.24,34.81,34.91,31225
2019-05-20,34.89,35.25,34.82,35.0,31880
2019-05-21,35.24,35.5,35.15,35.15,38647
2019-05-22,35.19,35.42,35.03,35.24,32833
2019-05-23,34.97,35.08,34.5,34.75,33004
2019-05-24,34.96,35.03,34.61,34.81,25160
2019-05-28,34.55,35.28,34.44,34.6,30980
2019-05-29,34.48,34.5,34.06,34.37,39545
2019-05-30,34.41,34.66,34.05,34.23,32490
2019-05-31,34.04,34.11,33.57,33.63,32203
2019-06-03,33.6,33.93,32.92,33.3,90542
2019-06-04,33.65,33.96,33.49,33.94,102655
2019-06-05,34.14,34.46,33.59,34.07,69292
2019-06-06,34.24,34.38,33.68,34.33,56637
2019-06-07,34.36,34.36,33.63,33.78,59321
