date,open,high,low,close,volume
2018-12-10,37.14,37.66,35.82,37.49,4444
2018-12-11,38.25,38.95,37.78,38.25,3833
2018-12-12,38.89,39.45,37.92,38.43,2958
2018-12-13,38.42,38.94,37.84,38.04,1868
2018-12-14,37.5,38.53,37.48,38.03,2637
2018-12-17,38.0,38.77,37.26,37.43,3765
2018-12-18,38.02,39.02,37.29,38.14,3548
2018-12-19,38.13,38.13,36.17,36.55,2700
2018-12-20,36.57,37.63,35.96,36.07,2784
2018-12-21,36.25,36.57,35.07,35.8,4617
2018-12-24,35.0,36.08,34.79,35.48,1658
2018-12-26,35.89,37.05,35.07,36.94,3643
2018-12-27,36.5,37.27,35.72,37.27,3661
2018-12-28,37.29,37.78,36.74,37.14,3193
2018-12-31,37.41,37.53,36.55,37.21,2285
2019-01-02,36.61,37.85,36.43,37.54,2593
2019-01-03,36.68,36.68,35.0,35.02,4377
2019-01-04,35.8,36.55,35.32,36.01,8699
2019-01-07,36.07,36.8,35.6,36.26,4142
2019-01-08,36.7,38.06,36.28,37.97,4030
2019-01-09,38.03,39.27,37.67,39.12,3360
2019-01-10,38.73,39.57,38.34,39.28,3576
2019-01-11,39.0,39.93,38.6,39.75,2232
2019-01-14,39.33,39.57,38.64,39.09,2237
2019-01-15,39.24,39.72,39.09,39.64,1595
2019-01-16,39.84,40.4,39.29,39.43,2034
2019-01-17,39.13,39.43,38.45,38.77,3632
2019-01-18,38.95,40.06,38.56,39.53,1456
2019-01-22,39.1,39.24,36.82,37.12,4080
2019-01-23,37.45,38.57,36.89,38.51,3340
2019-01-24,38.52,39.32,37.65,37.8,3388
2019-01-25,38.15,40.28,37.8,40.13,3319
2019-01-28,39.39,40.03,38.85,39.79,1924
2019-01-29,39.8,40.06,39.34,39.71,1936
2019-01-30,39.69,40.27,39.14,40.01,2028
2019-01-31,40.1,40.45,39.45,39.8,2078
2019-02-01,39.92,40.36,39.6,39.98,1722
2019-02-04,40.05,40.84,39.36,40.71,2485
2019-02-05,40.72,41.5,40.5,41.31,2576
2019-02-06,41.45,42.9,41.45,41.62,3395
2019-02-07,41.09,41.32,40.6,40.86,2071
2019-02-08,37.38,42.9,37.3,41.78,8837
2019-02-11,41.69,41.9,40.04,40.9,3949
2019-02-12,41.0,41.57,40.67,40.9,3438
2019-02-13,41.01,41.34,40.69,40.99,2273
2019-02-14,40.83,41.69,40.69,41.49,1744
2019-02-15,41.62,41.81,41.08,41.66,1940
2019-02-19,41.42,41.5,40.73,40.84,1390
2019-02-20,40.99,41.46,40.73,41.14,1263
2019-02-21,41.0,41.21,40.73,41.13,1053
2019-02-22,41.46,41.77,40.5,41.42,3938
2019-02-25,41.8,42.5,41.59,41.88,2332
2019-02-26,41.83,42.14,41.58,41.83,1447
2019-02-27,41.68,41.79,41.11,41.6,1099
2019-02-28,41.38,41.93,41.12,41.87,1264
2019-03-01,42.21,42.35,41.66,42.24,1426
2019-03-04,42.3,43.25,41.91,43.08,3011
2019-03-05,43.0,43.07,42.63,42.86,880
2019-03-06,42.73,42.92,41.94,42.12,1155
