date,open,high,low,close,volume
2018-12-10,12.58,12.58,12.58,12.58,0
2018-12-11,12.05,12.55,12.02,12.55,31
2018-12-12,12.5,12.52,12.45,12.51,32
2018-12-13,12.55,12.62,12.55,12.6,8
2018-12-14,12.6,12.65,12.54,12.65,40
2018-12-17,12.54,12.65,12.08,12.08,100
2018-12-18,11.68,12.65,11.68,12.6,44
2018-12-19,12.6,12.6,12.6,12.6,0
2018-12-20,12.2,12.65,12.2,12.65,133
2018-12-21,11.83,12.46,11.83,12.165,57
2018-12-24,12.07,12.07,12.07,12.07,1
2018-12-26,11.93,12.16,11.92,12.12,39
2018-12-27,11.84,11.84,11.84,11.84,0
2018-12-28,11.79,12.16,11.79,12.16,14
2018-12-31,12.18,12.19,12.18,12.18,5
2019-01-02,12.0,12.0,12.0,12.0,0
2019-01-03,11.65,11.67,11.64,11.67,23
2019-01-04,11.51,12.25,11.5,11.825,47
2019-01-07,12.25,12.25,12.23,12.25,13
2019-01-08,12.06,12.25,12.06,12.25,31
2019-01-09,12.25,12.25,12.25,12.25,0
2019-01-10,12.91,12.91,12.26,12.26,43
2019-01-11,12.36,12.71,12.31,12.69,20
2019-01-14,12.6,12.7,12.6,12.7,2
2019-01-15,12.7,12.7,12.7,12.7,0
2019-01-16,12.34,12.69,12.03,12.69,19
2019-01-17,12.55,12.55,12.55,12.55,0
2019-01-18,12.49,12.7,12.25,12.25,11
2019-01-22,12.69,13.0,12.69,12.77,38
2019-01-23,12.96,12.97,12.96,12.965,5
2019-01-24,12.75,12.75,12.75,12.75,4
2019-01-25,13.29,13.29,12.94,12.945,18
2019-01-28,12.94,13.0,12.94,13.0,21
2019-01-29,13.0,13.01,13.0,13.0,20
2019-01-30,13.03,13.15,13.0,13.15,15
2019-01-31,13.15,13.15,13.15,13.15,0
2019-02-01,13.15,13.15,13.15,13.15,0
2019-02-04,13.15,13.15,12.83,12.835,22
2019-02-05,12.75,12.98,12.75,12.84,13
2019-02-06,12.84,12.84,12.84,12.84,0
2019-02-07,12.84,12.84,12.84,12.84,0
2019-02-08,12.97,13.0,12.95,13.0,5
2019-02-11,13.0,13.0,12.8,12.8,11
2019-02-12,12.75,13.24,12.75,13.195,50
2019-02-13,13.28,13.28,13.23,13.24,8
2019-02-14,12.95,13.24,12.95,12.96,57
2019-02-15,13.0,13.0,12.82,12.82,23
2019-02-19,12.82,13.0,12.82,13.0,7
2019-02-20,12.94,13.0,12.75,12.75,63
2019-02-21,12.94,12.94,12.92,12.925,6
2019-02-22,12.81,12.81,12.8,12.81,7
2019-02-25,12.85,12.85,12.75,12.75,6
2019-02-26,12.75,12.82,12.75,12.75,7
2019-02-27,12.76,12.77,12.76,12.765,2
2019-02-28,12.765,12.765,12.765,12.765,0
2019-03-01,12.765,12.765,12.765,12.765,0
2019-03-04,12.765,12.765,12.765,12.765,0
2019-03-05,12.75,12.76,12.75,12.75,5
2019-03-06,12.75,12.75,12.75,12.75,0
2019-03-07,12.75,12.75,12.71,12.72,7
2019-03-08,12.6,12.6,12.59,12.595,1
2019-03-11,12.51,12.51,12.51,12.51,1
2019-03-12,12.51,12.52,12.5,12.5,9
2019-03-13,12.5,12.5,12.5,12.5,0
2019-03-14,12.61,12.61,12.61,12.61,6
2019-03-15,12.5,12.74,12.4,12.41,9
2019-03-18,12.41,12.41,12.41,12.41,0
2019-03-19,12.4,12.5,12.4,12.5,5
2019-03-20,12.41,12.45,12.41,12.45,5
2019-03-21,12.42,12.42,12.42,12.42,0
2019-03-22,12.61,12.61,12.42,12.425,18
2019-03-25,12.35,12.35,12.35,12.35,1
2019-03-26,12.35,12.35,12.35,12.35,0
2019-03-27,12.35,12.35,12.35,12.35,0
2019-03-28,12.35,12.35,12.35,12.35,0
2019-03-29,12.35,12.46,12.18,12.18,15
2019-04-01,12.18,12.18,12.18,12.18,0
2019-04-02,12.01,12.52,12.01,12.52,14
2019-04-03,12.39,12.64,12.34,12.345,12
2019-04-04,11.95,11.95,11.95,11.95,9
2019-04-05,12.05,12.41,12.05,12.41,19
2019-04-08,12.29,12.3,12.29,12.29,4
2019-04-09,12.29,12.29,12.29,12.29,0
2019-04-10,12.31,12.32,12.31,12.315,2
2019-04-11,12.34,12.34,12.34,12.34,2
2019-04-12,12.41,12.42,12.04,12.04,15
2019-04-15,11.81,11.81,11.8,11.81,2
2019-04-16,11.87,11.87,11.86,11.865,1
2019-04-17,11.865,11.865,11.865,11.865,0
2019-04-18,11.85,12.1,11.85,11.85,9
2019-04-22,11.85,11.85,11.85,11.85,0
2019-04-23,11.8,11.8,11.79,11.795,14
2019-04-24,11.795,11.795,11.795,11.795,0
2019-04-25,12.09,12.09,12.09,12.09,1
2019-04-26,12.09,12.09,12.09,12.09,0
2019-04-29,12.0,12.01,12.0,12.0,2
2019-04-30,12.06,12.06,11.71,11.71,69
2019-05-01,11.78,12.02,11.78,11.9,5
2019-05-02,11.9,11.9,11.9,11.9,0
2019-05-03,11.9,11.9,11.9,11.9,0
2019-05-06,11.87,12.01,11.71,12.01,7
2019-05-07,12.02,12.02,11.71,11.71,5
2019-05-08,11.71,11.78,11.71,11.72,3
2019-05-09,11.72,11.72,11.72,11.72,0
2019-05-10,11.5,11.51,11.5,11.51,2
2019-05-13,11.45,11.45,11.0,11.04,18
2019-05-14,11.04,11.04,11.04,11.04,0
2019-05-15,11.35,11.35,11.34,11.345,2
2019-05-16,11.345,11.345,11.345,11.345,0
2019-05-17,11.14,11.15,11.14,11.145,2
2019-05-20,11.28,11.29,11.28,11.285,1
2019-05-21,11.285,11.285,11.285,11.285,0
2019-05-22,11.25,11.44,11.0,11.0,22
2019-05-23,11.21,11.22,10.42,10.82,31
2019-05-24,10.94,10.94,10.87,10.875,16
2019-05-28,11.04,11.1,11.03,11.045,3
2019-05-29,11.045,11.045,11.045,11.045,0
2019-05-30,11.045,11.045,11.045,11.045,0
2019-05-31,11.11,11.11,11.08,11.08,4
2019-06-03,10.9,10.9,10.9,10.9,0
2019-06-04,10.9,10.9,10.9,10.9,0
2019-06-05,11.25,12.02,11.2,11.45,46
2019-06-06,11.33,11.33,11.08,11.08,24
2019-06-07,10.59,10.59,10.58,10.585,1
2019-06-10,10.64,10.64,10.6,10.61,10
2019-06-11,10.6,11.03,10.6,11.03,2
2019-06-12,11.03,11.03,11.03,11.03,0
2019-06-13,11.03,11.03,11.03,11.03,0
2019-06-14,11.38,11.4,10.61,10.72,19
2019-06-17,11.22,11.22,10.65,10.65,49
2019-06-18,10.64,10.96,10.63,10.745,8
2019-06-19,11.14,11.16,11.13,11.16,2
2019-06-20,10.83,10.83,10.83,10.83,0
2019-06-21,10.79,11.06,10.76,11.06,3
2019-06-24,11.45,11.45,11.45,11.45,5
2019-06-25,10.99,10.99,10.83,10.97,10
2019-06-26,10.98,11.05,10.98,10.99,39
2019-06-27,10.99,10.99,10.99,10.99,0
2019-06-28,10.61,11.23,10.61,10.71,11
2019-07-01,10.72,10.72,10.71,10.715,15
2019-07-02,10.715,10.715,10.715,10.715,0
2019-07-03,10.715,10.715,10.715,10.715,0
2019-07-05,10.96,11.26,10.96,11.215,30
2019-07-08,11.44,11.44,11.02,11.02,64
2019-07-09,11.4,11.4,11.0,11.39,27
2019-07-10,10.87,11.45,10.86,11.45,16
2019-07-11,11.02,11.35,11.01,11.35,17
2019-07-12,11.43,11.43,11.02,11.02,6
2019-07-15,11.2,11.24,11.2,11.235,7
2019-07-16,11.01,11.11,11.01,11.1,6
2019-07-17,11.1,11.1,11.1,11.1,0
2019-07-18,11.23,11.4,11.23,11.4,7
2019-07-19,11.05,11.05,11.05,11.05,1
2019-07-22,10.83,10.84,10.83,10.83,1
2019-07-23,10.66,10.98,10.66,10.965,19
2019-07-24,10.965,10.965,10.965,10.965,0
2019-07-25,10.96,10.96,10.95,10.96,10
2019-07-26,10.54,10.96,10.54,10.66,64
2019-07-29,10.98,11.25,10.61,10.61,7
2019-07-30,11.29,11.29,11.07,11.07,2
2019-07-31,10.73,11.21,10.7,10.75,40
2019-08-01,10.7,10.7,10.7,10.7,0
2019-08-02,11.03,11.05,10.98,10.98,21
2019-08-05,11.2,11.45,11.08,11.45,91
2019-08-06,11.44,11.44,11.05,11.285,86
2019-08-07,11.34,11.38,11.11,11.12,13
2019-08-08,11.39,11.39,10.91,10.91,3
2019-08-09,11.26,11.26,11.0,11.01,18
2019-08-12,11.31,11.31,11.04,11.04,74
2019-08-13,10.74,10.86,10.74,10.86,11
2019-08-14,10.7,11.21,10.7,10.81,10
2019-08-15,10.81,10.81,10.81,10.81,0
2019-08-16,10.97,10.98,10.97,10.975,1
2019-08-19,10.975,10.975,10.975,10.975,0
2019-08-20,11.18,11.18,10.82,10.82,3
2019-08-21,10.72,10.72,10.72,10.72,1
2019-08-22,10.72,10.72,10.72,10.72,0
2019-08-23,10.72,10.79,10.72,10.79,2
2019-08-26,10.73,10.81,10.73,10.8,7
2019-08-27,10.95,10.95,10.95,10.95,31
2019-08-28,10.98,11.02,10.95,10.95,48
2019-08-29,10.95,10.95,10.95,10.95,0
2019-08-30,11.15,11.17,10.82,10.82,8
2019-09-03,10.95,10.95,10.78,10.78,2
2019-09-04,10.98,10.99,10.92,10.92,12
2019-09-05,10.92,10.92,10.92,10.92,0
2019-09-06,10.8,10.95,10.8,10.95,4
2019-09-09,11.05,11.05,10.84,10.84,5
2019-09-10,11.02,11.05,10.81,11.05,8
2019-09-11,11.05,11.05,11.05,11.05,0
2019-09-12,11.08,11.08,10.82,10.82,4
2019-09-13,10.85,11.05,10.85,10.85,4
2019-09-16,10.8,10.8,10.75,10.8,10
2019-09-17,10.76,11.0,10.76,11.0,2
2019-09-18,10.74,10.96,10.74,10.96,1
2019-09-19,10.8,11.1,10.73,11.1,31
2019-09-20,10.84,11.1,10.76,11.1,19
2019-09-23,11.1,11.1,10.81,11.0,6
2019-09-24,10.86,10.95,10.78,10.95,19
2019-09-25,10.79,10.79,10.79,10.79,0
2019-09-26,10.5,10.97,10.17,10.585,74
2019-09-27,10.11,10.8,10.11,10.41,21
2019-09-30,10.49,10.5,10.25,10.25,16
2019-10-01,10.56,10.57,10.25,10.255,13
2019-10-02,10.11,10.49,10.11,10.16,33
2019-10-03,10.36,10.9,10.19,10.9,99
2019-10-04,10.85,11.0,10.25,10.86,60
2019-10-07,10.8,10.8,10.54,10.54,3
2019-10-08,10.55,10.9,10.51,10.51,295
2019-10-09,10.61,11.0,10.6,11.0,123
2019-10-10,10.7,10.95,10.61,10.95,17
2019-10-11,10.9,10.95,10.64,10.64,49
2019-10-14,10.71,10.98,10.61,10.61,55
2019-10-15,10.66,10.67,10.61,10.615,13
2019-10-16,10.43,10.6,10.43,10.595,16
2019-10-17,10.51,10.8,10.5,10.51,12
2019-10-18,10.78,10.78,10.69,10.71,3
2019-10-21,10.79,10.79,10.51,10.59,26
2019-10-22,10.8,11.0,10.6,11.0,95
2019-10-23,11.0,11.0,11.0,11.0,5
2019-10-24,11.0,11.0,11.0,11.0,0
2019-10-25,11.0,11.0,11.0,11.0,0
2019-10-28,10.68,11.0,10.51,10.86,25
2019-10-29,10.66,10.66,10.66,10.66,0
2019-10-30,10.66,10.66,10.66,10.66,0
2019-10-31,10.66,10.66,10.66,10.66,0
2019-11-01,10.39,10.4,10.39,10.39,40
2019-11-04,10.39,10.39,10.39,10.39,0
2019-11-05,10.59,10.68,10.59,10.68,65
2019-11-06,10.78,10.78,10.77,10.775,5
2019-11-07,10.85,10.85,10.5,10.5,23
2019-11-08,10.7,10.75,10.65,10.655,27
2019-11-11,10.64,10.65,10.64,10.65,12
2019-11-12,10.65,10.65,10.65,10.65,0
2019-11-13,10.5,10.68,10.5,10.52,6
2019-11-14,10.59,10.59,10.58,10.585,10
2019-11-15,10.61,10.62,10.45,10.5,40
2019-11-18,10.45,10.46,10.45,10.455,3
2019-11-19,10.42,10.73,10.42,10.73,10
2019-11-20,10.46,10.76,10.38,10.38,15
2019-11-21,10.38,10.38,10.38,10.38,0
2019-11-22,10.51,10.58,10.49,10.49,6
2019-11-25,10.49,10.49,10.49,10.49,0
2019-11-26,10.49,10.49,10.49,10.49,0
2019-11-27,10.45,10.54,10.45,10.485,6
2019-11-29,10.68,10.68,10.68,10.68,10
2019-12-02,10.62,10.62,10.61,10.62,4
2019-12-03,10.36,10.36,10.36,10.36,3
