date,open,high,low,close,volume
2018-12-10,24.19,24.47,23.96,24.32,1321
2018-12-11,24.51,24.89,24.14,24.44,1333
2018-12-12,24.87,24.99,24.53,24.57,641
2018-12-13,24.57,24.9,23.82,23.84,1173
2018-12-14,23.65,24.05,23.29,23.43,543
2018-12-17,23.43,23.5,22.6,22.76,1530
2018-12-18,22.88,23.39,22.87,23.1,1165
2018-12-19,22.94,23.5,22.28,22.6,2123
2018-12-20,22.47,22.73,21.91,22.22,2047
2018-12-21,22.22,22.42,20.95,21.14,2804
2018-12-24,21.11,21.29,20.85,20.91,1220
2018-12-26,21.04,21.79,20.56,21.76,2034
2018-12-27,21.26,21.82,20.93,21.6,735
2018-12-28,21.56,22.16,21.39,21.82,1349
2018-12-31,21.95,22.41,21.6,22.25,936
2019-01-02,21.97,22.28,21.86,21.93,1472
2019-01-03,21.64,22.04,21.52,21.72,1212
2019-01-04,22.11,22.74,22.06,22.72,1966
2019-01-07,22.64,23.32,22.58,23.01,1473
2019-01-08,23.35,23.55,23.06,23.51,1802
2019-01-09,23.51,23.87,23.32,23.75,2067
2019-01-10,23.59,23.76,23.32,23.61,786
2019-01-11,23.34,23.8,23.18,23.78,629
2019-01-14,23.61,23.65,23.14,23.35,1887
2019-01-15,23.36,23.59,23.32,23.51,991
2019-01-16,23.56,23.84,23.34,23.77,1159
2019-01-17,23.6,24.03,23.6,23.88,1095
2019-01-18,24.04,24.2,23.86,24.03,692
2019-01-22,23.81,23.97,23.53,23.71,933
2019-01-23,23.71,23.99,23.47,23.78,806
2019-01-24,23.73,23.99,23.65,23.85,511
2019-01-25,24.12,24.35,23.95,23.96,674
2019-01-28,23.68,24.07,23.53,24.02,829
2019-01-29,24.0,24.21,23.74,23.87,700
2019-01-30,24.11,24.46,23.82,24.13,853
2019-01-31,24.03,24.45,24.01,24.39,847
2019-02-01,24.35,24.61,24.28,24.39,657
2019-02-04,24.45,24.62,24.22,24.61,530
2019-02-05,24.71,24.85,24.32,24.52,590
2019-02-06,24.44,24.79,24.4,24.79,397
2019-02-07,24.54,25.03,24.44,24.71,591
2019-02-08,23.07,23.6,21.25,22.14,3712
2019-02-11,22.15,23.35,22.15,23.27,3698
2019-02-12,23.39,23.91,23.35,23.37,1552
2019-02-13,23.39,23.61,23.23,23.48,1496
2019-02-14,23.38,23.71,23.38,23.57,1899
2019-02-15,23.75,24.06,23.43,23.79,949
2019-02-19,23.57,23.92,23.57,23.75,2028
2019-02-20,23.71,23.93,23.68,23.69,1520
2019-02-21,23.73,24.07,23.34,23.45,1196
2019-02-22,23.53,23.68,23.27,23.67,1257
2019-02-25,23.84,23.95,23.67,23.7,2184
2019-02-26,23.6,23.92,23.2,23.46,2771
2019-02-27,23.46,23.53,23.2,23.27,1152
2019-02-28,23.29,23.37,23.01,23.02,1383
2019-03-01,23.27,23.27,22.74,22.99,1100
2019-03-04,22.87,23.17,22.87,23.02,1872
2019-03-05,23.03,23.05,22.68,22.73,800
