date,open,high,low,close,volume
2018-12-10,30.46,30.46,29.57,29.93,74
2018-12-11,30.0,31.5,29.77,30.23,17
2018-12-12,29.87,30.12,28.83,29.99,54
2018-12-13,29.5,29.5,29.5,29.5,0
2018-12-14,29.44,29.44,28.7,28.7,16
2018-12-17,28.8,28.99,28.4,28.62,76
2018-12-18,28.59,28.6,28.25,28.25,51
2018-12-19,28.0,28.24,27.7,27.7,1164
2018-12-20,27.86,27.99,26.47,27.8,91
2018-12-21,27.77,28.08,26.66,27.67,117
2018-12-24,27.62,27.62,27.0,27.2,27
2018-12-26,27.43,28.41,27.43,28.09,93
2018-12-27,27.96,29.0,27.62,29.0,65
2018-12-28,28.75,29.19,27.07,29.18,52
2018-12-31,29.95,29.95,27.84,29.24,33
2019-01-02,29.14,30.24,28.2,30.24,28
2019-01-03,29.85,30.2,29.11,29.24,11
2019-01-04,29.49,29.98,29.12,29.98,15
2019-01-07,29.95,29.95,29.94,29.94,3
2019-01-08,29.95,29.95,29.05,29.74,5
2019-01-09,29.95,29.95,29.89,29.89,5
2019-01-10,29.95,29.95,29.8,29.8,12
2019-01-11,29.95,29.95,29.43,29.61,31
2019-01-14,29.65,29.95,29.46,29.46,3
2019-01-15,29.53,29.9,29.45,29.9,34
2019-01-16,29.9,29.95,29.76,29.95,46
2019-01-17,29.96,29.96,29.6,29.6,21
2019-01-18,29.63,29.88,29.6,29.8,32
2019-01-22,29.58,29.95,29.57,29.57,32
2019-01-23,29.87,29.94,29.57,29.94,42
2019-01-24,29.82,29.88,29.64,29.64,6
2019-01-25,29.37,29.91,28.86,29.86,41
2019-01-28,29.52,29.76,29.37,29.45,49
2019-01-29,29.79,29.79,29.37,29.38,12
2019-01-30,29.7,29.8,29.46,29.8,2
2019-01-31,29.55,29.55,29.55,29.55,0
2019-02-01,29.52,29.52,29.52,29.52,0
2019-02-04,29.74,29.8,29.48,29.48,14
2019-02-05,29.33,29.77,29.32,29.5,15
2019-02-06,29.47,29.47,29.47,29.47,0
2019-02-07,29.32,29.32,29.32,29.32,0
2019-02-08,29.35,29.58,29.35,29.36,36
2019-02-11,29.8,29.8,29.55,29.56,9
2019-02-12,29.79,30.0,29.73,29.99,319
2019-02-13,30.0,30.0,29.96,30.0,9
2019-02-14,30.0,30.15,29.95,30.05,174
2019-02-15,30.1,30.15,29.89,30.09,42
2019-02-19,30.07,30.35,30.0,30.33,301
2019-02-20,30.29,30.3,30.07,30.07,30
2019-02-21,30.3,30.3,30.24,30.24,20
2019-02-22,30.15,30.3,29.97,30.3,55
2019-02-25,30.16,30.27,30.03,30.03,21
2019-02-26,30.01,30.3,30.01,30.11,18
2019-02-27,30.19,30.19,30.01,30.18,56
2019-02-28,30.18,30.19,30.06,30.06,1
2019-03-01,30.05,30.2,30.05,30.2,9
2019-03-04,30.19,30.19,29.78,30.05,6
2019-03-05,29.99,29.99,29.66,29.81,4
2019-03-06,29.82,30.0,29.4,29.43,28
2019-03-07,29.69,30.11,29.12,29.13,30
2019-03-08,29.54,29.54,29.13,29.43,39
2019-03-11,28.83,29.72,28.83,29.72,15
2019-03-12,29.59,30.05,29.59,30.03,78
2019-03-13,30.0,30.15,29.95,30.02,6
2019-03-14,29.99,30.03,29.96,30.03,853
2019-03-15,29.9,30.08,29.8,29.8,309
2019-03-18,30.05,30.05,29.92,30.02,18
2019-03-19,30.02,30.07,29.75,29.76,36
2019-03-20,29.89,29.97,29.72,29.87,3
2019-03-21,29.71,29.75,29.13,29.2,38
2019-03-22,29.0,29.0,28.15,28.48,25
2019-03-25,28.46,28.46,27.87,28.25,78
2019-03-26,28.5,28.5,27.3,28.35,1043
2019-03-27,28.18,28.8,27.81,28.55,38
2019-03-28,29.0,29.19,28.62,28.9,36
2019-03-29,28.97,28.97,28.34,28.37,10
2019-04-01,28.21,28.37,28.12,28.18,21
2019-04-02,28.13,28.42,28.12,28.18,54
2019-04-03,28.25,28.91,28.18,28.58,64
2019-04-04,28.59,29.15,28.32,28.68,57
2019-04-05,29.01,29.25,28.32,29.25,49
2019-04-08,29.03,29.78,28.99,28.99,8
2019-04-09,29.15,29.15,28.37,28.37,32
2019-04-10,28.64,29.06,28.64,29.01,11
2019-04-11,29.02,29.47,29.02,29.13,3
2019-04-12,29.39,29.39,28.71,29.04,67
2019-04-15,29.09,29.54,29.04,29.07,22
2019-04-16,29.17,29.4,28.91,28.91,9
2019-04-17,29.19,29.36,28.57,28.76,22
2019-04-18,28.76,29.31,28.65,29.31,16
2019-04-22,28.66,29.5,28.52,29.07,79
2019-04-23,29.34,30.58,29.34,30.44,297
2019-04-24,29.7,30.8,29.7,30.24,39
2019-04-25,30.62,30.79,30.56,30.56,2
2019-04-26,30.61,30.85,29.78,30.28,38
2019-04-29,30.4,30.47,29.88,30.3,66
2019-04-30,30.1,30.63,29.64,30.62,6
2019-05-01,30.15,30.65,30.15,30.4,4
2019-05-02,30.7,30.84,30.23,30.79,5
2019-05-03,30.79,30.85,30.38,30.85,28
2019-05-06,30.52,30.59,30.21,30.25,8
2019-05-07,30.29,30.44,29.8,30.12,19
2019-05-08,29.84,30.63,29.84,30.09,18
2019-05-09,30.09,30.27,29.8,30.27,35
2019-05-10,30.4,30.45,29.7,30.45,39
2019-05-13,29.64,30.18,29.63,29.75,65
2019-05-14,30.0,30.37,29.99,30.37,4
2019-05-15,30.35,30.35,30.35,30.35,1
2019-05-16,30.49,30.65,29.83,30.65,40
2019-05-17,30.41,30.41,29.87,29.87,7
2019-05-20,30.12,30.4,29.8,30.4,8
2019-05-21,30.7,31.48,30.57,31.22,165
2019-05-22,31.03,31.15,30.5,30.88,43
2019-05-23,31.75,31.75,30.2,31.04,448
