date,open,high,low,close,volume
2018-12-10,32.7,33.11,32.7,33.11,2
2018-12-11,32.6,32.61,32.6,32.61,3
2018-12-12,32.46,32.5,32.46,32.5,2
2018-12-13,31.55,32.15,30.72,32.06,24
2018-12-14,31.59,31.59,31.59,31.59,0
2018-12-17,30.8,30.8,30.38,30.7,18
2018-12-18,30.46,30.5,29.89,29.89,13
2018-12-19,29.88,29.88,29.55,29.55,4
2018-12-20,29.64,29.87,29.45,29.45,147
2018-12-21,29.4,29.4,29.4,29.4,29
2018-12-24,29.4,29.4,28.15,28.15,7
2018-12-26,28.5,29.06,28.36,28.36,30
2018-12-27,27.98,28.26,27.95,28.0,11
2018-12-28,26.73,27.98,26.73,27.19,13
2018-12-31,27.52,28.32,27.52,28.32,14
2019-01-02,27.93,28.16,27.6,28.0,22
2019-01-03,28.0,28.01,27.67,27.67,4
2019-01-04,28.02,29.62,28.02,29.62,16
2019-01-07,29.87,31.72,29.87,31.5,11
2019-01-08,32.01,32.01,32.01,32.01,0
2019-01-09,32.08,33.17,32.07,33.17,9
2019-01-10,33.02,33.98,32.81,33.75,9
2019-01-11,33.01,33.25,33.01,33.25,1
2019-01-14,33.49,33.49,33.0,33.0,6
2019-01-15,33.0,33.0,31.81,33.0,9
2019-01-16,31.31,32.98,31.31,32.98,3
2019-01-17,34.99,37.17,34.99,35.43,15
2019-01-18,35.69,35.69,34.42,34.42,8
2019-01-22,33.14,33.14,33.14,33.14,0
2019-01-23,33.41,33.41,33.41,33.41,0
2019-01-24,33.41,33.41,33.41,33.41,0
2019-01-25,31.55,32.0,31.55,32.0,1
2019-01-28,30.15,31.0,30.15,31.0,4
2019-01-29,31.97,31.97,31.46,31.46,2
2019-01-30,30.52,32.04,30.51,32.04,1
2019-01-31,33.55,33.55,33.55,33.55,0
2019-02-01,33.55,33.55,33.09,33.25,8
2019-02-04,33.25,33.25,33.25,33.25,1
2019-02-05,33.25,33.26,33.25,33.25,1
2019-02-06,33.25,33.25,33.25,33.25,0
2019-02-07,33.25,33.57,32.75,32.75,3
2019-02-08,32.75,32.75,32.75,32.75,0
2019-02-11,33.68,33.68,33.16,33.16,2
2019-02-12,33.63,33.63,33.63,33.63,0
2019-02-13,33.63,33.63,33.63,33.63,0
2019-02-14,32.62,32.62,32.62,32.62,0
2019-02-15,33.4,33.4,32.33,32.33,5
2019-02-19,30.94,31.75,30.94,31.75,1
2019-02-20,30.52,30.52,30.52,30.52,0
2019-02-21,31.25,31.3,31.25,31.3,8
2019-02-22,32.86,33.0,32.86,33.0,5
2019-02-25,31.02,34.42,31.02,32.76,4
2019-02-26,31.83,32.26,31.83,31.9,4
2019-02-27,32.25,32.74,32.25,32.74,6
2019-02-28,33.1,33.46,33.1,33.1,6
2019-03-01,33.15,33.96,33.15,33.5,10
2019-03-04,33.1,33.51,32.39,32.99,35
2019-03-05,33.01,33.73,33.01,33.73,4
2019-03-06,34.09,34.1,33.74,33.74,5
2019-03-07,34.11,34.11,33.7,33.7,4
2019-03-08,34.07,34.44,33.7,34.06,4
2019-03-11,34.39,36.0,34.39,36.0,5
2019-03-12,35.03,36.89,35.03,36.88,17
2019-03-13,36.59,38.35,36.32,36.5,69
2019-03-14,36.28,36.28,34.95,34.95,10
2019-03-15,34.99,34.99,34.0,34.7,50
2019-03-18,34.38,34.38,33.72,33.72,2
