date,open,high,low,close,volume
2018-12-10,112.7,112.72,110.26,110.95,1003
2018-12-11,111.71,112.37,110.48,111.37,1031
2018-12-12,112.69,113.13,110.8,110.84,1263
2018-12-13,111.09,112.6,110.11,110.17,1140
2018-12-14,109.32,110.13,108.22,109.33,966
2018-12-17,109.02,111.13,108.54,109.55,1124
2018-12-18,109.85,111.06,108.2,108.94,1309
2018-12-19,108.78,111.76,108.39,109.79,1930
2018-12-20,109.3,110.91,108.39,108.94,1472
2018-12-21,108.98,111.65,108.79,109.02,2273
2018-12-24,107.94,108.31,105.1,105.29,808
2018-12-26,105.42,110.1,104.59,109.98,1036
2018-12-27,108.38,110.75,107.47,110.73,1243
2018-12-28,110.94,112.35,110.59,111.68,1146
2018-12-31,112.66,116.84,111.94,116.77,1761
2019-01-02,115.19,116.33,114.0,115.37,2457
2019-01-03,115.04,116.1,111.44,113.22,3470
2019-01-04,114.66,116.49,114.6,115.4,1676
2019-01-07,115.5,115.99,114.33,114.41,1509
2019-01-08,115.37,116.23,113.54,114.98,1727
2019-01-09,110.26,111.48,108.84,109.3,2267
2019-01-10,109.3,111.16,109.28,110.44,2097
2019-01-11,110.11,110.65,109.91,110.3,1514
2019-01-14,110.05,112.24,110.05,111.86,1508
2019-01-15,111.9,112.83,111.68,112.54,962
2019-01-16,110.67,111.0,107.82,109.0,3675
2019-01-17,108.79,112.14,108.79,111.63,1623
2019-01-18,111.9,113.47,111.87,112.33,1144
2019-01-22,112.04,113.56,111.74,112.07,1916
2019-01-23,112.68,115.03,111.88,113.71,1882
2019-01-24,113.59,114.71,113.11,113.82,1749
2019-01-25,114.28,114.47,112.38,112.59,1518
2019-01-28,112.0,113.2,111.39,111.5,2490
2019-01-29,111.1,112.23,110.84,110.88,1364
2019-01-30,110.99,111.92,110.41,110.72,1976
2019-01-31,108.53,114.44,107.39,114.04,4198
2019-02-01,114.17,114.6,112.79,113.62,2267
2019-02-04,113.41,114.65,112.59,114.56,1008
2019-02-05,114.28,115.4,114.02,114.91,1840
2019-02-06,114.32,115.13,113.67,114.55,1476
2019-02-07,114.58,115.85,114.58,115.78,1048
2019-02-08,115.39,116.69,114.52,114.93,1420
2019-02-11,115.3,115.73,114.39,115.55,985
2019-02-12,116.01,118.28,116.01,117.95,2938
2019-02-13,118.14,119.48,117.85,118.1,1119
2019-02-14,117.68,117.98,116.63,116.73,1573
2019-02-15,117.25,118.64,117.13,117.63,1113
2019-02-19,117.54,118.85,116.64,118.14,1596
2019-02-20,118.07,118.99,117.8,118.75,1459
2019-02-21,119.0,119.64,118.25,118.85,837
2019-02-22,118.99,119.39,118.28,118.9,1108
2019-02-25,118.85,119.3,117.61,118.02,1675
2019-02-26,117.7,119.21,117.7,118.21,1465
2019-02-27,117.99,119.74,117.99,118.97,1449
2019-02-28,118.49,119.46,118.49,118.71,1044
2019-03-01,119.79,121.15,119.74,120.17,1134
2019-03-04,120.16,120.9,119.41,119.98,959
2019-03-05,120.07,120.17,119.06,119.36,854
2019-03-06,119.46,119.93,118.4,118.55,1087
2019-03-07,118.35,118.88,117.61,117.85,1037
2019-03-08,117.41,118.02,116.99,117.3,1453
2019-03-11,117.49,117.53,116.14,116.54,1625
2019-03-12,116.66,117.8,116.36,116.93,1252
2019-03-13,117.2,117.7,115.98,116.42,1366
2019-03-14,115.84,116.96,115.5,116.46,1141
2019-03-15,116.2,117.76,116.0,116.2,1833
2019-03-18,116.24,117.37,115.77,116.14,1590
2019-03-19,116.41,117.15,114.68,114.8,1575
2019-03-20,114.68,115.32,113.57,113.75,1277
2019-03-21,113.26,115.21,113.26,114.58,1466
2019-03-22,113.96,115.46,113.96,114.25,1232
2019-03-25,114.38,115.0,113.43,113.92,2119
2019-03-26,114.65,114.84,113.08,114.03,1432
2019-03-27,113.92,115.19,113.92,114.87,1092
2019-03-28,115.18,115.68,113.9,114.27,1710
2019-03-29,114.55,114.87,113.76,114.17,1000
2019-04-01,114.66,115.37,113.99,114.79,1519
2019-04-02,114.55,114.79,113.55,114.14,1545
2019-04-03,114.51,114.71,113.17,114.36,1767
2019-04-04,114.43,115.66,114.43,115.24,1083
2019-04-05,115.32,116.25,114.92,115.69,1143
2019-04-08,115.58,116.43,114.98,115.52,893
2019-04-09,115.2,115.2,113.65,114.11,744
2019-04-10,114.25,115.59,114.25,115.2,1178
2019-04-11,115.44,116.16,115.28,115.84,946
2019-04-12,116.32,116.82,115.78,116.55,1063
2019-04-15,116.69,116.95,116.14,116.36,635
2019-04-16,117.09,117.73,116.4,117.72,1906
2019-04-17,117.63,117.63,116.0,116.42,1352
2019-04-18,116.54,118.32,116.54,117.03,886
2019-04-22,116.77,117.34,116.02,116.91,1132
2019-04-23,117.02,118.13,116.75,117.1,570
2019-04-24,117.04,118.55,117.04,118.18,1052
2019-04-25,117.57,119.57,117.57,119.04,1183
2019-04-26,119.4,119.9,118.69,119.58,1255
2019-04-29,119.79,120.64,119.59,119.83,808
2019-04-30,119.93,121.09,119.0,120.61,922
2019-05-01,120.89,121.83,120.28,120.79,1346
2019-05-02,122.5,123.24,119.04,121.26,1794
2019-05-03,121.89,122.04,120.56,121.09,1066
2019-05-06,120.21,122.74,120.2,122.14,864
2019-05-07,121.66,123.3,120.59,121.2,711
2019-05-08,121.16,123.33,120.69,122.47,1117
2019-05-09,121.95,122.41,121.31,122.1,1199
2019-05-10,121.91,123.76,121.34,123.68,1094
2019-05-13,122.47,122.47,120.66,120.93,1413
2019-05-14,121.16,121.71,120.51,120.94,1258
2019-05-15,120.13,121.93,120.13,121.68,1427
2019-05-16,122.05,123.0,121.79,122.63,1070
2019-05-17,122.01,122.89,121.34,121.41,604
2019-05-20,121.6,122.5,121.17,121.59,766
2019-05-21,121.77,123.85,121.46,122.0,1171
2019-05-22,122.04,122.34,121.32,121.85,731
2019-05-23,121.23,121.52,120.87,121.29,1906
2019-05-24,121.3,121.74,120.84,121.59,1523
2019-05-28,121.48,121.97,120.72,120.89,1362
2019-05-29,120.34,122.52,120.24,121.91,1376
2019-05-30,122.02,123.46,121.31,121.47,1219
2019-05-31,120.92,122.44,120.14,122.16,1216
2019-06-03,122.31,124.3,121.86,124.04,1237
2019-06-04,124.55,125.25,123.49,123.98,948
2019-06-05,123.93,124.95,123.59,124.8,1110
2019-06-06,125.06,126.06,124.52,125.9,1060
2019-06-07,125.88,126.2,124.59,125.21,646
2019-06-10,125.42,125.42,123.68,124.68,976
2019-06-11,125.04,125.46,123.4,124.0,1145
2019-06-12,123.96,125.37,123.9,124.67,1142
2019-06-13,125.24,126.97,124.73,126.83,1677
2019-06-14,126.79,127.65,125.58,127.52,941
2019-06-17,127.46,128.58,126.45,128.09,1258
2019-06-18,128.37,129.65,127.09,127.35,1237
2019-06-19,127.44,128.21,126.94,127.83,1093
2019-06-20,128.58,129.11,126.72,128.65,889
2019-06-21,128.28,129.21,127.36,127.93,1089
2019-06-24,128.12,128.84,125.92,126.1,1104
2019-06-25,126.01,129.33,125.78,128.9,1634
2019-06-26,128.71,129.39,125.09,125.11,1454
2019-06-27,125.18,126.16,125.14,126.1,1345
2019-06-28,127.02,129.01,126.81,128.3,2151
2019-07-01,128.64,129.16,126.53,127.2,2102
2019-07-02,127.23,129.33,127.23,128.17,1153
2019-07-03,128.23,129.63,128.03,128.7,875
2019-07-05,128.59,129.61,127.67,129.61,743
2019-07-08,129.16,130.35,128.84,129.42,1234
2019-07-09,129.39,129.57,128.11,129.26,1094
2019-07-10,129.27,130.09,128.93,129.45,875
2019-07-11,129.66,129.92,128.23,129.09,1447
2019-07-12,129.6,131.18,129.4,131.15,885
2019-07-15,131.48,131.48,129.84,130.16,769
2019-07-16,130.13,130.79,129.95,130.03,924
2019-07-17,129.52,129.91,128.59,129.09,871
2019-07-18,129.29,129.88,128.57,129.41,786
2019-07-19,129.87,130.33,128.85,128.93,846
2019-07-22,128.83,129.32,128.03,128.23,980
2019-07-23,128.73,129.53,127.39,129.29,1027
2019-07-24,129.16,130.15,128.94,130.0,1158
2019-07-25,129.81,130.37,129.09,129.43,819
2019-07-26,129.44,130.68,129.08,130.68,870
2019-07-29,130.56,131.34,128.95,129.81,1280
2019-07-30,129.41,130.46,128.87,129.85,1023
2019-07-31,129.7,131.71,129.25,129.71,1238
2019-08-01,129.86,131.96,129.07,129.88,1476
2019-08-02,129.66,131.31,129.49,130.49,909
2019-08-05,129.79,130.47,127.23,128.24,1264
2019-08-06,128.0,130.72,128.0,130.24,1305
2019-08-07,129.3,131.48,128.45,130.86,1426
2019-08-08,131.32,133.92,131.24,132.96,1291
2019-08-09,132.63,133.28,131.9,132.51,958
2019-08-12,132.15,133.34,131.31,131.85,1288
2019-08-13,131.49,132.46,130.95,132.02,1195
2019-08-14,130.93,132.52,129.82,130.37,1689
2019-08-15,130.38,131.58,129.62,130.95,1429
2019-08-16,131.26,133.72,131.0,133.06,1454
2019-08-19,134.02,134.3,132.54,133.37,1206
2019-08-20,133.49,133.49,132.5,132.75,1145
2019-08-21,133.48,133.68,132.47,132.51,874
2019-08-22,132.66,133.54,132.58,133.18,842
2019-08-23,133.06,133.83,130.4,130.86,1287
2019-08-26,131.38,131.53,130.31,131.0,1635
2019-08-27,130.75,131.4,129.35,130.02,1875
2019-08-28,130.01,130.83,129.16,130.77,2747
2019-08-29,131.53,133.11,131.35,132.31,1087
2019-08-30,132.72,133.46,132.14,133.15,1362
2019-09-03,132.44,133.49,131.8,132.79,1322
2019-09-04,133.42,134.39,132.97,133.28,1267
2019-09-05,134.19,135.49,133.49,134.36,1389
2019-09-06,134.57,135.11,134.05,134.14,911
2019-09-09,134.65,134.65,133.01,133.95,1181
2019-09-10,134.06,134.06,131.27,132.61,1405
2019-09-11,133.05,133.16,131.24,132.2,1926
2019-09-12,131.95,131.96,130.17,131.17,1622
2019-09-13,131.43,132.69,130.08,130.91,1066
2019-09-16,130.39,131.46,130.13,130.99,974
2019-09-17,130.76,131.47,130.28,131.22,1184
2019-09-18,130.91,131.95,129.96,131.69,898
2019-09-19,131.52,133.18,131.52,132.36,1476
2019-09-20,132.61,133.24,130.69,131.74,1672
2019-09-23,131.06,133.39,131.06,133.0,1493
2019-09-24,133.37,135.86,133.37,135.25,1498
2019-09-25,135.05,136.46,134.25,135.71,835
2019-09-26,135.71,136.37,135.03,135.25,1473
2019-09-27,135.47,135.47,133.89,134.52,1418
2019-09-30,134.85,136.17,134.3,135.54,1292
2019-10-01,136.1,136.3,133.88,134.02,1245
2019-10-02,133.48,133.67,131.58,132.29,2072
2019-10-03,132.21,133.33,131.95,133.29,906
2019-10-04,133.6,135.32,133.6,135.13,1151
2019-10-07,135.1,135.91,134.46,135.48,747
2019-10-08,134.73,135.39,132.42,132.75,2114
2019-10-09,133.32,133.94,132.0,133.35,1273
2019-10-10,133.46,134.91,133.38,133.92,1094
2019-10-11,135.26,135.93,134.64,134.71,1532
2019-10-14,134.38,135.49,134.38,134.92,946
2019-10-15,135.18,136.0,135.04,135.3,1028
2019-10-16,135.12,135.78,134.02,135.51,989
2019-10-17,136.01,136.48,135.34,136.04,914
2019-10-18,135.64,136.91,135.64,136.45,707
2019-10-21,137.15,137.15,136.14,136.58,696
2019-10-22,136.19,136.5,132.65,133.48,4321
2019-10-23,133.8,134.66,132.46,133.04,1183
2019-10-24,133.33,133.33,130.91,131.91,1311
2019-10-25,131.72,131.72,129.26,129.6,1637
2019-10-28,129.85,130.23,126.07,126.14,2637
2019-10-29,126.37,128.8,126.14,127.9,2440
2019-10-30,127.6,129.22,126.92,129.22,3248
2019-10-31,130.0,131.79,128.67,131.71,2567
2019-11-01,132.13,132.13,129.16,129.59,1730
2019-11-04,130.1,130.67,129.0,130.5,2065
2019-11-05,130.65,132.17,130.65,131.44,2222
2019-11-06,131.45,133.54,131.45,133.31,1304
2019-11-07,133.47,133.99,132.74,133.23,1408
2019-11-08,133.33,134.37,133.29,134.28,968
2019-11-11,133.78,134.34,133.42,134.08,951
2019-11-12,134.24,134.99,133.79,134.69,1021
2019-11-13,134.1,135.38,133.78,135.23,727
2019-11-14,135.35,135.58,134.58,135.58,714
2019-11-15,135.76,135.76,134.68,135.0,777
2019-11-18,134.86,135.37,133.46,134.12,751
2019-11-19,134.09,134.96,133.74,134.04,1121
2019-11-20,133.44,134.93,133.44,134.59,978
2019-11-21,134.58,135.15,132.94,133.55,1226
2019-11-22,133.64,133.92,132.88,133.61,965
2019-11-25,133.91,133.91,133.13,133.62,776
2019-11-26,133.82,136.83,133.21,136.75,1976
2019-11-27,136.88,137.36,136.16,137.07,920
2019-11-29,137.0,137.27,135.89,135.93,642
2019-12-02,136.01,136.24,134.56,134.66,996
2019-12-03,134.12,134.31,133.17,133.38,984
2019-12-04,133.37,134.72,133.22,133.54,1021
2019-12-05,133.47,134.01,132.63,133.8,850
2019-12-06,136.01,136.81,134.52,136.34,1429
2019-12-09,136.05,138.09,135.86,137.65,1433
2019-12-10,137.48,139.84,137.48,138.68,2704
2019-12-11,138.05,138.83,137.12,138.3,2314
2019-12-12,138.22,140.0,138.22,139.27,2383
2019-12-13,136.01,136.61,135.1,136.01,1193
2019-12-16,136.28,137.96,135.52,137.13,882
2019-12-17,136.83,138.65,136.83,138.07,1100
2019-12-18,138.3,139.07,135.54,135.8,2373
2019-12-19,135.63,137.0,135.02,136.57,1011
2019-12-20,137.18,138.8,137.18,137.72,1967
2019-12-23,137.98,138.32,136.66,137.27,1185
2019-12-24,138.0,138.35,137.28,137.85,1218
2019-12-26,137.9,138.74,136.78,136.82,2823
2019-12-27,137.08,137.51,136.36,136.42,1212
2019-12-30,136.42,137.13,135.65,136.15,950
2019-12-31,136.22,137.38,136.18,136.67,865
2020-01-02,137.26,137.61,135.57,136.48,929
2020-01-03,135.48,137.21,135.48,136.48,1495
2020-01-06,135.92,137.38,135.5,137.13,1145
2020-01-07,136.79,137.04,136.08,136.2,737
2020-01-08,136.33,137.76,136.33,136.46,951
2020-01-09,136.82,138.13,136.66,137.95,741
2020-01-10,137.83,138.9,136.69,136.95,831
2020-01-13,137.03,137.31,136.32,136.85,1143
2020-01-14,137.07,138.43,136.99,137.8,1080
2020-01-15,137.57,139.06,137.35,138.43,868
2020-01-16,138.83,139.82,136.82,138.86,1604
2020-01-17,138.96,139.96,138.27,139.28,1097
2020-01-21,138.79,139.68,138.38,138.63,1062
2020-01-22,138.82,139.72,138.67,138.89,1006
2020-01-23,138.01,139.01,136.06,137.48,2470
2020-01-24,137.56,137.96,136.61,136.75,1430
2020-01-27,135.92,137.72,135.92,137.02,913
2020-01-28,137.36,139.03,137.31,138.03,930
2020-01-29,138.26,138.49,137.56,137.7,686
2020-01-30,137.11,139.92,137.11,139.82,781
2020-01-31,139.46,140.6,138.25,138.58,1152
2020-02-03,139.26,140.57,138.88,139.32,872
2020-02-04,140.05,140.83,139.71,140.54,870
2020-02-05,144.71,144.71,138.71,139.55,1945
2020-02-06,139.4,140.24,138.16,138.7,2007
2020-02-07,138.49,139.08,138.02,138.58,945
2020-02-10,138.06,139.4,138.06,138.69,770
2020-02-11,138.69,139.2,137.86,137.88,1391
2020-02-12,138.01,138.01,136.63,137.24,1038
2020-02-13,137.03,138.44,137.03,137.76,778
2020-02-14,137.69,138.29,137.17,137.78,454
2020-02-18,137.49,138.8,137.47,137.63,947
2020-02-19,137.82,138.33,137.05,137.51,972
2020-02-20,137.11,138.04,136.71,137.41,1096
2020-02-21,137.23,137.95,136.23,136.7,1672
2020-02-24,134.96,136.05,133.82,134.22,1802
2020-02-25,134.3,135.99,130.14,130.29,1508
2020-02-26,131.18,132.09,130.44,130.44,1474
2020-02-27,129.01,129.69,124.95,124.95,1309
2020-02-28,123.16,123.46,117.44,118.54,2112
2020-03-02,118.75,124.58,118.07,124.46,2107
2020-03-03,124.23,125.81,120.36,120.56,1427
2020-03-04,122.17,123.75,120.11,123.07,1313
2020-03-05,120.31,121.19,117.73,118.95,1125
2020-03-06,115.84,118.83,114.64,118.31,1376
2020-03-09,111.45,114.29,108.77,110.78,2820
2020-03-10,113.86,115.13,109.36,113.63,1843
2020-03-11,110.29,111.13,105.42,106.03,2170
2020-03-12,85.0,103.47,85.0,94.25,2674
2020-03-13,99.77,103.2,93.74,103.03,2657
2020-03-16,91.0,97.81,87.04,87.22,2640
2020-03-17,88.9,93.64,84.76,92.93,3273
2020-03-18,87.34,88.72,75.11,84.05,2812
2020-03-19,83.0,89.0,79.5,86.51,2617
2020-03-20,86.4,89.8,83.04,85.04,3158
2020-03-23,83.95,84.42,78.74,83.67,2165
2020-03-24,87.28,91.49,85.2,90.86,2390
2020-03-25,91.2,94.01,86.59,91.92,3539
2020-03-26,92.92,94.1,90.99,93.9,1716
2020-03-27,89.9,94.25,88.87,91.14,1684
2020-03-30,91.41,93.33,85.9,92.68,2445
2020-03-31,91.9,92.54,90.27,90.58,1481
2020-04-01,86.64,88.9,86.12,87.9,1449
2020-04-02,87.23,90.73,86.43,88.38,1489
2020-04-03,87.13,88.35,83.08,84.64,1156
2020-04-06,86.8,89.7,86.6,89.29,1797
2020-04-07,92.44,95.79,91.44,93.3,3074
2020-04-08,94.88,95.62,92.24,95.11,1130
2020-04-09,96.55,99.78,95.62,98.58,802
2020-04-13,98.58,100.3,95.93,99.35,2380
2020-04-14,102.04,103.34,99.7,101.47,1424
2020-04-15,98.46,100.38,95.24,95.4,1064
2020-04-16,95.0,95.86,92.58,95.71,1285
2020-04-17,99.38,101.22,98.09,100.14,1560
2020-04-20,98.24,99.51,96.84,97.55,939
2020-04-21,95.0,99.53,94.91,97.21,977
