date,open,high,low,close,volume
2018-12-10,6.19,6.352,6.0505,6.28,726
2018-12-11,6.33,6.403,6.22,6.2999,298
2018-12-12,6.3518,6.4,6.3,6.35,228
2018-12-13,6.36,6.37,6.27,6.27,95
2018-12-14,6.37,6.7061,6.3,6.4918,657
2018-12-17,6.46,6.49,6.24,6.31,445
2018-12-18,6.3154,6.32,6.11,6.1696,241
2018-12-19,6.0715,6.1887,6.0569,6.07,239
2018-12-20,5.9507,6.03,5.74,5.96,371
2018-12-21,5.91,6.04,5.88,6.028,359
2018-12-24,5.9102,5.9842,5.77,5.77,106
2018-12-26,5.75,6.0,5.65,5.78,486
2018-12-27,5.77,5.77,5.52,5.55,307
2018-12-28,5.6,5.882,5.5325,5.78,754
2018-12-31,5.85,6.11,5.7,6.0995,995
2019-01-02,6.1474,6.78,6.1456,6.6043,609
2019-01-03,6.61,6.783,6.4772,6.6,619
2019-01-04,6.6,7.14,6.6,7.09,425
2019-01-07,7.087,7.29,6.7901,6.8502,512
2019-01-08,6.8921,7.25,6.83,6.88,239
2019-01-09,7.0,7.1,6.58,6.69,370
2019-01-10,6.64,6.64,5.78,5.85,727
2019-01-11,5.7413,6.1636,5.57,6.1,1248
2019-01-14,5.99,6.067,5.81,6.02805,411
2019-01-15,6.0482,6.34,6.0182,6.24,398
2019-01-16,6.29,6.3,6.0519,6.12,114
2019-01-17,6.19,6.45,6.13,6.37,314
2019-01-18,6.3045,6.31,6.2,6.29,214
2019-01-22,6.35,6.63,6.3,6.457,423
2019-01-23,6.65,6.65,6.28,6.34055,57
2019-01-24,6.25,6.25,6.15,6.15,128
2019-01-25,6.09,6.1,5.93,6.0388,595
2019-01-28,6.04,6.1,5.8651,5.8651,403
2019-01-29,5.84,6.007,5.74,5.802,517
2019-01-30,5.86,6.04,5.7638,5.9789,396
2019-01-31,6.1,6.2,6.0359,6.06,495
2019-02-01,6.16,6.458,6.09,6.42,634
2019-02-04,6.5,6.5,6.12,6.1455,87
2019-02-05,6.141,6.2,6.0467,6.15,110
2019-02-06,6.1,6.1,5.9227,6.0,296
2019-02-07,6.0,6.0,5.8,5.85,457
2019-02-08,5.89,5.99,5.8,5.99,489
2019-02-11,6.0,6.0,5.747,5.747,279
2019-02-12,5.7495,5.8837,5.5993,5.6689,247
2019-02-13,5.702,5.9151,5.702,5.89,300
2019-02-14,5.89,5.89,5.75,5.7995,21
2019-02-15,5.8531,5.96,5.8531,5.95,129
2019-02-19,6.02,6.083,5.95,5.98,277
2019-02-20,6.0,6.0,5.7,5.73,747
2019-02-21,6.0,6.35,5.538,6.2649,1824
2019-02-22,6.28,6.2997,6.056,6.2997,528
2019-02-25,6.2905,6.7131,6.26,6.67,842
2019-02-26,6.6667,7.0,6.6667,6.98,769
2019-02-27,6.9744,7.09,6.91,7.013,485
2019-02-28,7.0,7.1003,6.96,7.0453,397
2019-03-01,7.05,7.14,6.7722,6.84,407
2019-03-04,6.86,6.869,6.29,6.3525,411
2019-03-05,6.3981,6.4,5.88,5.934,1068
2019-03-06,5.9743,6.0162,5.71,5.93,813
2019-03-07,6.07,6.078,5.75,5.8066,313
2019-03-08,5.81,5.81,5.62,5.72,315
2019-03-11,5.75,5.82,5.6347,5.7,536
2019-03-12,5.681,5.73,5.54,5.6085,490
2019-03-13,5.58,5.61,5.46,5.4702,503
2019-03-14,5.51,5.51,5.33,5.36,370
2019-03-15,5.3555,5.37,5.0905,5.2,1345
2019-03-18,5.1817,5.26,5.1,5.1969,820
2019-03-19,5.2,5.2485,5.1718,5.18,777
2019-03-20,5.283,5.77,5.282,5.6872,361
2019-03-21,5.6738,5.7,5.3,5.3712,228
2019-03-22,5.29,5.35,5.22,5.32,788
2019-03-25,5.25,5.44,5.047,5.4,599
2019-03-26,5.4458,5.5589,5.29,5.53,439
2019-03-27,5.5263,5.53,5.32,5.4,173
2019-03-28,5.39,5.4194,5.314,5.32,97
2019-03-29,5.49,5.7292,5.36,5.7,541
2019-04-01,5.912,6.684,5.912,6.426,2515
2019-04-02,6.43,6.43,5.99,6.11,1127
2019-04-03,6.165,6.6,6.1351,6.5597,1044
2019-04-04,6.6,6.6517,6.0852,6.18,1807
2019-04-05,6.0542,6.25,5.98,6.18,570
2019-04-08,6.1775,6.3,6.108,6.1629,348
2019-04-09,6.11,6.11,5.94,6.0,264
2019-04-10,5.97,6.05,5.97,6.0,200
2019-04-11,6.0912,6.0912,5.93,5.98,722
2019-04-12,6.04,6.05,5.88,5.9482,431
2019-04-15,5.99,5.99,5.59,5.607,758
2019-04-16,5.7007,5.7007,5.4928,5.4936,491
2019-04-17,5.55,5.5541,5.32,5.35,440
2019-04-18,5.32,5.32,5.218,5.27,601
2019-04-22,5.3836,5.43,5.2,5.2518,615
2019-04-23,5.277,5.277,4.95,5.05,770
2019-04-24,5.19,5.22,5.028,5.15,319
2019-04-25,5.1943,5.1943,5.0,5.04,218
2019-04-26,5.04,5.11,5.02,5.09,123
