date,open,high,low,close,volume
2018-12-12,14.1,14.75,13.75,14.0,583416
2018-12-13,14.24,14.6,13.48,13.51,175072
2018-12-14,13.25,13.3,12.43,12.81,193463
2018-12-17,12.7,12.83,11.93,12.13,123241
2018-12-18,12.3,12.5,11.81,12.3,66359
2018-12-19,12.24,12.68,12.01,12.18,72241
2018-12-20,12.27,12.46,12.1,12.19,58569
2018-12-21,12.4,12.79,12.15,12.19,54836
2018-12-24,12.12,12.165,11.88,12.0,28280
2018-12-26,12.12,12.55,11.88,12.48,33853
2018-12-27,12.27,13.54,12.19,13.51,57561
2018-12-28,13.21,14.23,13.18,13.4,60334
2018-12-31,13.64,13.84,13.1,13.22,30322
2019-01-02,12.78,13.06,12.56,13.0,46594
2019-01-03,12.85,12.85,12.25,12.44,53596
2019-01-04,12.73,13.2,12.41,13.2,65574
2019-01-07,13.05,13.1,12.64,12.81,51426
2019-01-08,12.98,13.01,12.64,13.0,57654
2019-01-09,13.0,13.4,12.9,13.02,65248
2019-01-10,12.97,13.08,12.7,13.03,38467
2019-01-11,13.08,13.08,12.8,12.89,20324
2019-01-14,12.8,12.8,12.06,12.2,42230
2019-01-15,12.32,12.52,12.21,12.42,34617
2019-01-16,12.54,13.02,12.53,13.0,32513
2019-01-17,13.0,13.2,12.68,12.97,24320
2019-01-18,13.23,14.42,13.2,14.35,85647
2019-01-22,14.1,15.5,13.99,14.8,160665
2019-01-23,15.1,15.43,14.75,14.95,61102
2019-01-24,15.0,16.2,14.98,15.91,108120
2019-01-25,16.13,16.21,15.22,15.27,55649
2019-01-28,15.36,15.38,14.2,15.08,48865
2019-01-29,15.15,15.59,14.9,15.37,36416
2019-01-30,15.5,15.86,14.35,15.03,55863
2019-01-31,15.1,15.3,14.73,14.95,34382
2019-02-01,15.01,15.0769,13.5601,13.94,90710
2019-02-04,14.03,14.9,13.9,14.85,43197
2019-02-05,14.89,15.07,14.52,15.03,32599
2019-02-06,14.87,15.4,14.58,14.95,37892
2019-02-07,14.87,15.61,14.62,14.96,53823
2019-02-08,14.84,14.95,14.62,14.7,22088
2019-02-11,14.91,15.55,14.86,15.03,34012
2019-02-12,15.27,16.03,15.15,16.01,86839
2019-02-13,16.21,16.29,15.51,15.87,39025
2019-02-14,15.8,17.38,15.6702,16.99,98360
2019-02-15,16.74,16.82,16.1599,16.17,52492
2019-02-19,16.34,17.17,16.15,17.06,53796
2019-02-20,17.08,17.205,16.8,17.18,48666
2019-02-21,17.12,17.4357,16.83,16.9,29668
2019-02-22,17.1,17.86,16.88,17.81,64749
2019-02-25,18.48,18.8,18.0,18.75,80974
2019-02-26,18.39,18.46,17.83,17.9,72228
