date,open,high,low,close,volume
2018-12-10,12.44,12.805,12.375,12.75,45148
2018-12-11,12.96,13.25,12.52,12.59,44065
2018-12-12,12.68,12.79,12.49,12.625,18236
2018-12-13,12.65,12.705,12.065,12.17,18342
2018-12-14,12.01,12.25,11.61,11.675,30287
2018-12-17,11.66,11.74,11.14,11.285,44219
2018-12-18,11.41,11.58,11.13,11.355,17363
2018-12-19,11.385,11.5,10.86,10.935,29976
2018-12-20,10.89,11.11,10.69,10.905,31647
2018-12-21,10.9,11.04,10.3,10.33,29529
2018-12-24,10.195,10.235,9.835,9.85,32127
2018-12-26,9.965,10.47,9.725,10.455,31688
2018-12-27,10.36,10.41,9.815,10.41,36038
2018-12-28,10.41,10.725,10.295,10.37,23228
2018-12-31,10.41,10.53,10.09,10.35,19329
2019-01-02,10.19,10.645,9.945,10.495,34319
2019-01-03,10.45,10.52,10.195,10.27,21363
2019-01-04,10.34,10.7,10.33,10.555,51839
2019-01-07,10.875,11.28,10.69,11.075,44218
2019-01-08,11.155,11.955,11.155,11.76,65059
2019-01-09,11.815,12.055,11.775,11.945,27225
2019-01-10,11.775,12.095,11.775,11.96,18151
2019-01-11,11.885,12.205,11.76,12.015,20636
2019-01-14,11.86,12.34,11.86,12.205,29721
2019-01-15,12.33,12.385,11.94,12.235,21816
2019-01-16,12.28,12.62,12.245,12.525,32513
2019-01-17,12.54,13.115,12.53,13.035,62253
2019-01-18,13.17,13.3,12.965,13.12,31554
2019-01-22,13.02,13.14,12.835,12.94,24301
2019-01-23,12.975,13.085,12.715,13.01,18695
2019-01-24,13.055,13.36,13.05,13.295,38933
2019-01-25,13.42,13.565,13.36,13.49,26352
2019-01-28,13.54,13.54,12.585,12.815,70066
2019-01-29,12.695,13.18,12.65,13.165,33822
2019-01-30,13.29,13.295,12.78,13.15,25395
2019-01-31,13.165,13.465,12.985,13.255,32523
2019-02-01,13.27,13.48,13.2,13.405,26804
2019-02-04,13.375,13.645,13.3,13.42,28346
2019-02-05,13.475,13.635,13.395,13.54,30223
2019-02-06,13.535,13.54,13.23,13.48,27818
2019-02-07,13.36,13.46,13.065,13.245,24244
2019-02-08,13.18,13.335,13.055,13.33,20032
2019-02-11,13.36,13.5,13.125,13.195,28621
2019-02-12,13.265,13.725,13.225,13.555,72461
2019-02-13,13.595,13.73,13.4,13.62,52473
2019-02-14,13.425,14.5,13.425,14.02,142180
2019-02-15,13.95,14.415,13.82,14.25,57339
2019-02-19,14.21,14.545,14.1,14.385,48180
2019-02-20,14.475,14.715,14.395,14.63,53500
2019-02-21,14.565,14.8,14.455,14.625,25704
2019-02-22,14.715,14.84,14.49,14.56,28470
2019-02-25,14.69,14.915,14.66,14.855,35503
2019-02-26,14.855,14.915,14.64,14.65,17535
2019-02-27,14.695,14.84,14.565,14.585,23101
2019-02-28,14.555,14.635,14.43,14.555,20949
2019-03-01,14.725,14.84,14.555,14.645,16810
2019-03-04,14.69,14.91,14.525,14.885,40205
2019-03-05,14.825,14.93,14.635,14.645,19144
2019-03-06,14.6375,14.705,14.3825,14.3975,11520
2019-03-07,14.3475,14.5,14.255,14.2725,13007
2019-03-08,14.1525,14.4425,14.1275,14.3325,28794
2019-03-11,14.37,14.5275,14.29,14.31,15867
2019-03-12,14.315,14.4575,14.2,14.375,11069
2019-03-13,14.425,14.5625,14.3325,14.36,25911
2019-03-14,14.36,14.3925,14.1625,14.25,10010
2019-03-15,14.2625,14.345,14.075,14.1575,16729
2019-03-18,14.215,14.2875,14.0625,14.14,16353
2019-03-19,14.245,14.26,13.9725,14.005,15804
2019-03-20,13.98,14.2475,13.8875,14.075,17614
2019-03-21,14.025,14.4475,14.0225,14.395,17787
2019-03-22,14.3,14.3325,13.7325,13.7925,20704
2019-03-25,13.7775,14.1675,13.74,14.045,11475
2019-03-26,14.2275,14.4275,14.165,14.295,13888
2019-03-27,14.3625,14.495,14.29,14.3625,11392
2019-03-28,14.42,14.7325,14.42,14.63,19821
2019-03-29,14.7275,14.905,14.385,14.4175,33707
2019-04-01,14.5125,14.7225,14.4825,14.6175,14254
2019-04-02,14.6675,14.6875,14.4775,14.555,10799
2019-04-03,14.7175,14.85,14.465,14.5125,14103
2019-04-04,14.475,14.49,14.205,14.41,20020
2019-04-05,14.46,14.785,14.46,14.7575,18836
2019-04-08,14.675,14.87,14.5925,14.8125,17204
2019-04-09,14.75,15.265,14.6575,14.87,37245
2019-04-10,15.8275,16.015,15.5775,15.915,75785
2019-04-11,15.89,16.2075,15.7275,16.07,46798
2019-04-12,16.0775,16.225,15.2675,15.7,70501
2019-04-15,15.7,15.8125,15.585,15.6275,18865
2019-04-16,15.695,15.7225,15.6075,15.68,14410
2019-04-17,15.7225,15.7425,15.1675,15.175,25598
2019-04-18,15.1825,15.5225,15.145,15.3125,16938
2019-04-22,15.22,15.3175,15.035,15.115,15341
2019-04-23,15.22,15.6925,15.18,15.48,17577
2019-04-24,15.46,15.6425,15.29,15.32,17601
