date,open,high,low,close,volume
2018-12-10,21.9,22.38,21.65,22.14,20533
2018-12-11,22.83,22.93,22.1,22.11,15740
2018-12-12,22.56,22.56,22.11,22.11,18202
2018-12-13,22.13,22.18,21.66,21.7,20200
2018-12-14,21.27,21.78,20.92,20.95,22767
2018-12-17,20.78,21.42,20.16,20.7,20325
2018-12-18,21.05,21.28,20.9,21.0,22574
2018-12-19,21.43,21.81,20.43,20.5,18497
2018-12-20,20.53,20.86,20.07,20.26,18986
2018-12-21,20.32,20.33,19.64,19.81,26770
2018-12-24,19.58,19.67,18.98,19.4,9380
2018-12-26,19.52,20.53,19.45,20.47,20140
2018-12-27,19.97,20.64,19.92,20.64,14764
2018-12-28,20.79,21.03,20.33,20.43,10328
2018-12-31,20.47,20.65,19.94,20.59,17560
2019-01-02,20.15,20.98,20.13,20.9,12610
2019-01-03,20.7,20.83,20.11,20.25,8727
2019-01-04,20.63,21.25,20.63,21.13,11263
2019-01-07,21.17,22.06,20.66,21.66,33431
2019-01-08,21.94,22.13,21.48,21.92,15221
2019-01-09,22.2,22.74,21.53,21.76,18536
2019-01-10,21.54,22.13,21.46,21.8,18473
2019-01-11,21.64,21.96,21.54,21.87,12596
2019-01-14,21.62,21.95,21.52,21.7,13851
2019-01-15,21.69,21.79,21.28,21.55,16882
2019-01-16,21.53,21.89,21.5,21.61,11500
2019-01-17,21.5,22.35,21.5,22.1,10721
2019-01-18,22.28,22.77,22.28,22.52,12023
2019-01-22,22.4,22.65,21.98,22.2,15394
2019-01-23,22.31,22.41,21.94,22.06,12959
2019-01-24,21.99,22.46,21.99,22.25,7267
2019-01-25,22.54,22.79,22.39,22.49,8553
2019-01-28,22.15,22.89,22.08,22.72,15818
2019-01-29,22.86,23.07,22.78,22.87,7470
2019-01-30,23.12,23.41,22.75,23.24,9289
2019-01-31,23.21,23.53,23.16,23.38,8821
2019-02-01,23.4,23.79,23.31,23.55,9518
2019-02-04,23.55,23.92,23.34,23.77,10273
