date,open,high,low,close,volume
2018-12-10,123.45,123.56,120.5,123.0,8756
2018-12-11,123.68,124.42,120.45,120.97,13366
2018-12-12,122.21,123.29,121.03,122.01,9392
2018-12-13,122.03,122.61,120.72,121.5,8374
2018-12-14,120.51,121.46,119.95,120.55,13736
2018-12-17,120.72,121.79,119.5,119.93,11626
2018-12-18,120.41,121.07,118.42,119.3,10559
2018-12-19,119.61,121.68,118.22,119.16,11408
2018-12-20,118.5,119.44,116.93,117.32,17970
2018-12-21,117.79,120.31,116.02,116.06,30038
2018-12-24,115.41,115.87,112.6,112.63,8781
2018-12-26,112.5,117.17,111.08,117.17,11977
2018-12-27,115.75,118.71,114.66,118.67,10564
2018-12-28,119.15,119.76,117.78,118.24,8992
2018-12-31,118.48,119.75,118.05,119.75,6935
2019-01-02,117.49,118.19,116.33,117.37,11260
2019-01-03,117.05,117.3,115.06,115.26,11913
2019-01-04,116.66,118.78,116.13,118.68,11910
2019-01-07,118.21,119.54,117.71,118.3,6752
2019-01-08,119.38,119.51,116.84,117.84,9631
2019-01-09,118.66,119.56,117.98,118.68,12677
2019-01-10,118.53,120.35,118.39,120.27,6555
2019-01-11,119.89,120.86,119.27,120.47,5316
2019-01-14,119.87,120.97,119.79,120.58,7681
2019-01-15,120.53,121.86,120.53,121.82,8804
2019-01-16,122.29,122.58,121.18,122.3,7733
2019-01-17,121.64,122.99,121.28,122.94,6934
2019-01-18,123.72,124.41,122.74,124.01,13504
2019-01-22,123.5,125.5,121.34,122.36,14469
2019-01-23,122.67,123.25,120.6,123.02,14320
2019-01-24,122.75,124.46,122.58,124.38,11990
2019-01-25,125.01,126.17,124.54,124.98,11887
2019-01-28,124.24,125.13,123.61,125.03,8904
2019-01-29,124.74,125.47,124.38,124.82,8393
2019-01-30,124.71,126.19,124.08,125.88,11771
2019-01-31,125.4,125.8,124.38,125.54,8862
2019-02-01,126.03,126.53,125.13,126.49,6350
2019-02-04,126.49,126.5,125.02,126.04,6655
2019-02-05,126.12,126.25,125.33,126.18,8348
2019-02-06,125.98,125.98,124.87,125.55,9645
2019-02-07,125.19,126.8,125.11,126.76,7020
2019-02-08,126.53,126.76,124.62,125.79,7240
2019-02-11,126.04,126.04,124.36,125.42,12167
2019-02-12,126.5,127.37,126.11,127.26,12664
2019-02-13,127.79,129.13,127.55,128.04,8357
2019-02-14,127.13,127.95,126.23,126.93,7398
2019-02-15,128.05,128.84,127.86,128.74,7823
2019-02-19,128.31,129.46,128.01,129.1,8332
2019-02-20,129.05,130.13,128.98,129.74,11313
2019-02-21,129.91,130.0,129.14,129.82,7651
2019-02-22,130.21,131.31,129.98,131.02,9033
2019-02-25,131.3,133.13,131.3,132.49,13818
2019-02-26,132.46,133.9,132.36,133.27,11481
2019-02-27,132.81,133.42,132.44,132.62,8127
2019-02-28,132.58,133.07,132.22,132.91,9280
2019-03-01,133.52,134.35,132.46,133.03,7971
2019-03-04,133.24,133.66,130.92,132.15,5344
2019-03-05,132.42,132.82,131.28,132.69,7933
2019-03-06,132.71,133.36,131.69,131.8,5948
2019-03-07,131.72,131.85,130.65,131.49,7095
2019-03-08,130.29,131.11,130.0,131.02,6593
2019-03-11,132.13,132.42,131.46,131.87,7449
2019-03-12,132.21,132.88,131.72,132.72,5683
2019-03-13,132.97,133.87,132.76,133.0,6678
2019-03-14,133.16,133.51,132.64,133.06,5754
2019-03-15,133.63,134.71,132.93,134.18,12708
2019-03-18,134.65,135.16,134.3,134.94,7482
2019-03-19,135.55,136.08,132.62,132.93,10756
2019-03-20,133.1,133.1,131.25,131.33,8319
2019-03-21,130.68,134.44,130.25,134.37,9701
2019-03-22,133.92,136.25,133.78,134.9,14059
2019-03-25,135.11,135.75,134.36,134.95,7147
2019-03-26,135.7,135.94,133.93,134.98,7838
2019-03-27,135.13,136.95,134.98,136.35,7925
2019-03-28,136.71,137.18,135.45,136.9,4100
2019-03-29,137.72,138.13,136.65,137.16,6951
2019-04-01,137.56,138.6,137.37,138.02,7398
2019-04-02,138.38,138.38,136.59,136.81,5385
2019-04-03,137.51,137.51,135.52,136.6,7176
2019-04-04,136.9,136.99,135.98,136.52,7128
2019-04-05,136.53,137.09,136.11,136.4,6328
2019-04-08,136.81,136.81,135.46,135.88,5098
2019-04-09,135.49,135.49,134.37,135.19,9098
2019-04-10,135.43,135.78,134.6,135.46,8006
2019-04-11,135.73,136.43,135.09,136.28,5937
2019-04-12,136.98,137.85,136.72,137.72,6566
2019-04-15,137.81,137.9,136.6,136.79,4038
2019-04-16,137.38,138.58,137.13,138.34,6935
2019-04-17,138.28,138.28,135.8,135.87,10187
2019-04-18,138.75,141.52,138.0,138.93,15811
2019-04-22,138.38,138.67,136.58,136.61,7124
2019-04-23,137.0,138.17,136.8,138.01,7804
2019-04-24,138.68,139.67,137.54,139.18,6588
2019-04-25,138.23,139.55,137.24,139.19,6020
2019-04-26,139.25,140.43,139.25,140.24,5091
2019-04-29,140.5,141.94,140.41,141.46,5490
2019-04-30,141.83,143.86,141.61,143.75,8542
2019-05-01,143.75,144.18,142.97,143.08,7615
2019-05-02,143.4,144.0,142.09,142.7,5766
2019-05-03,142.86,144.22,142.28,143.35,5510
2019-05-06,142.01,143.83,141.37,143.43,5766
2019-05-07,142.83,143.78,141.2,141.71,6764
2019-05-08,141.5,142.73,141.29,141.53,5474
2019-05-09,140.84,142.14,139.96,141.83,5729
2019-05-10,141.16,144.01,140.77,143.96,5942
2019-05-13,142.38,143.79,141.95,143.41,10746
2019-05-14,143.07,146.38,143.07,145.71,11735
2019-05-15,145.06,146.89,144.73,146.52,9752
2019-05-16,146.37,148.27,146.37,147.41,11277
2019-05-17,145.97,148.52,145.88,147.49,9652
2019-05-20,147.5,148.85,147.24,148.17,8190
2019-05-21,148.36,148.84,146.94,147.47,7850
2019-05-22,147.48,148.27,146.94,147.96,6028
2019-05-23,147.32,147.46,145.48,146.94,11589
2019-05-24,147.38,148.1,146.75,147.94,6216
2019-05-28,148.0,148.8,146.25,146.28,6613
2019-05-29,145.76,145.96,143.69,145.07,9420
2019-05-30,145.49,146.27,144.48,145.73,6709
2019-05-31,145.14,146.33,144.49,145.57,7065
2019-06-03,145.49,146.84,144.87,146.79,8111
2019-06-04,147.36,147.8,146.61,147.55,7049
2019-06-05,148.08,149.86,147.93,149.85,9498
2019-06-06,149.52,149.67,148.36,149.0,9613
2019-06-07,147.75,150.02,147.75,149.53,7431
2019-06-10,149.36,149.9,148.89,149.32,8434
2019-06-11,150.0,150.07,148.7,149.19,5848
2019-06-12,149.53,150.61,149.45,149.73,6601
2019-06-13,149.79,150.05,148.55,149.41,8356
2019-06-14,149.69,150.65,148.79,150.11,7361
2019-06-17,150.3,150.52,149.66,149.92,5135
2019-06-18,149.86,151.49,149.58,150.33,8536
2019-06-19,150.32,152.01,150.32,151.6,6411
2019-06-20,152.04,152.5,150.84,152.19,5079
2019-06-21,152.24,153.2,151.21,151.48,12444
2019-06-24,151.74,153.13,151.59,152.02,5601
2019-06-25,152.01,153.63,151.48,153.13,8265
2019-06-26,152.9,153.17,148.62,148.7,8644
2019-06-27,147.45,149.52,147.29,149.2,9858
2019-06-28,149.79,150.54,148.46,149.52,10886
2019-07-01,150.9,151.43,149.89,151.42,7008
2019-07-02,151.72,152.84,151.24,152.83,5321
2019-07-03,153.39,154.62,153.05,154.3,3494
2019-07-05,153.81,154.24,152.51,154.09,3350
2019-07-08,153.98,154.26,153.44,153.8,4445
2019-07-09,153.19,153.63,152.44,153.45,4997
2019-07-10,154.31,154.73,153.26,153.33,4591
2019-07-11,152.97,153.34,151.19,152.43,5086
2019-07-12,152.92,153.46,151.8,153.39,5575
2019-07-15,153.17,154.96,153.17,154.83,4552
