date,open,high,low,close,volume
2018-12-10,27.48,27.51,26.6,27.42,190
2018-12-11,27.92,27.95,26.84,27.59,157
2018-12-12,28.02,28.93,26.83,28.11,591
2018-12-13,28.12,28.5,27.01,27.53,415
2018-12-14,27.28,27.9,25.98,26.97,384
2018-12-17,26.98,27.24,25.88,26.14,320
2018-12-18,26.56,26.73,26.0,26.39,474
2018-12-19,26.38,27.15,25.92,26.3,426
2018-12-20,26.31,26.52,25.37,26.17,465
2018-12-21,26.22,26.74,24.85,25.12,712
2018-12-24,25.02,26.21,24.53,24.66,433
2018-12-26,24.89,26.95,24.54,26.69,554
2018-12-27,26.25,26.97,25.79,26.75,519
2018-12-28,26.97,28.12,26.66,27.55,279
2018-12-31,27.62,28.67,27.0,28.57,613
2019-01-02,28.14,29.27,26.77,28.92,318
2019-01-03,28.7,29.04,28.06,28.19,223
2019-01-04,28.34,31.74,28.34,31.58,828
2019-01-07,31.57,33.24,30.67,31.37,375
2019-01-08,31.55,32.2,29.98,31.8,320
2019-01-09,31.87,32.69,31.0,31.39,359
2019-01-10,31.4,32.82,31.33,32.14,237
2019-01-11,32.04,33.11,32.04,32.84,179
2019-01-14,32.5,33.98,32.18,32.48,459
2019-01-15,32.49,33.09,32.22,32.65,151
2019-01-16,32.73,33.72,32.64,32.99,167
2019-01-17,32.87,33.68,32.61,33.11,199
2019-01-18,33.29,33.51,32.92,33.23,257
2019-01-22,32.96,33.23,32.08,32.79,362
2019-01-23,32.78,33.29,32.25,32.74,135
2019-01-24,32.73,33.09,31.6,32.45,476
2019-01-25,32.73,33.21,32.64,32.64,143
2019-01-28,32.39,33.37,32.39,32.71,283
2019-01-29,32.72,32.94,32.27,32.54,121
2019-01-30,32.77,33.02,32.51,33.01,98
2019-01-31,33.01,33.66,32.73,33.43,161
2019-02-01,33.5,34.37,33.45,33.62,395
2019-02-04,33.65,34.28,33.21,33.78,268
2019-02-05,33.9,34.0,33.39,33.66,194
2019-02-06,33.67,33.98,33.3,33.93,98
2019-02-07,33.6,33.76,33.16,33.59,123
2019-02-08,33.41,33.98,32.89,32.97,202
2019-02-11,33.25,33.65,33.22,33.61,151
2019-02-12,33.77,33.98,33.31,33.45,266
2019-02-13,33.57,33.94,33.36,33.81,236
2019-02-14,33.68,34.89,33.6,34.49,282
2019-02-15,34.68,35.26,34.48,35.0,683
2019-02-19,34.98,35.84,32.52,35.33,226
2019-02-20,35.32,36.35,35.31,35.97,721
2019-02-21,35.96,35.96,34.64,35.12,240
2019-02-22,35.42,35.71,34.98,35.71,497
2019-02-25,35.89,36.07,35.23,35.4,166
2019-02-26,35.41,35.53,34.81,35.12,165
2019-02-27,34.98,35.28,34.61,34.79,237
2019-02-28,34.79,34.83,34.15,34.26,299
2019-03-01,34.54,34.99,34.21,34.75,355
2019-03-04,34.79,34.79,33.97,34.33,229
2019-03-05,34.31,34.31,33.48,34.0,319
2019-03-06,34.01,34.2,31.84,31.84,749
2019-03-07,32.14,34.66,31.51,33.83,834
2019-03-08,30.54,34.45,30.53,34.11,460
2019-03-11,34.24,35.15,32.9,34.78,456
2019-03-12,34.81,34.94,34.27,34.69,183
2019-03-13,34.71,34.94,34.5,34.78,96
2019-03-14,34.77,34.77,34.15,34.38,199
2019-03-15,34.3,35.18,34.2,35.11,558
2019-03-18,35.14,35.82,34.83,35.53,263
2019-03-19,35.54,35.54,34.81,35.14,124
2019-03-20,35.14,35.83,34.7,35.27,474
2019-03-21,35.25,36.75,35.08,36.26,928
2019-03-22,35.97,36.3,34.53,34.53,340
2019-03-25,34.51,35.55,34.28,35.27,393
2019-03-26,35.48,36.1,35.45,36.04,199
2019-03-27,35.99,36.01,35.26,35.41,262
2019-03-28,35.48,35.82,35.05,35.8,178
2019-03-29,36.08,36.57,35.72,36.23,980
2019-04-01,36.5,36.75,35.55,35.78,230
2019-04-02,35.68,35.89,35.2,35.81,264
2019-04-03,35.8,36.89,35.45,36.78,419
2019-04-04,36.78,36.89,36.07,36.32,289
2019-04-05,36.4,36.54,35.96,36.14,293
2019-04-08,36.02,36.08,35.39,35.83,228
2019-04-09,35.62,35.77,35.09,35.16,240
2019-04-10,35.22,36.43,35.21,36.26,448
2019-04-11,36.24,36.32,35.66,35.87,190
2019-04-12,36.04,36.25,35.32,35.4,127
2019-04-15,35.43,35.43,34.9,35.22,111
2019-04-16,35.34,35.56,34.9,34.92,169
2019-04-17,35.13,35.52,34.65,35.44,169
2019-04-18,35.45,35.79,35.21,35.39,239
2019-04-22,35.27,35.51,35.01,35.32,108
2019-04-23,35.5,36.37,35.5,36.15,117
2019-04-24,36.3,36.38,35.67,35.84,125
2019-04-25,35.84,35.88,34.71,34.93,234
2019-04-26,34.99,35.68,34.55,35.27,220
2019-04-29,35.48,35.95,35.15,35.81,131
2019-04-30,35.79,36.46,35.75,36.46,236
2019-05-01,36.4,36.65,35.83,36.01,228
2019-05-02,36.05,36.66,35.98,36.19,151
2019-05-03,36.34,36.59,36.04,36.43,143
2019-05-06,35.8,36.64,35.33,36.21,109
2019-05-07,35.85,36.01,35.36,35.96,192
2019-05-08,36.9,39.2,36.05,38.25,1157
2019-05-09,38.0,39.83,37.75,38.11,856
2019-05-10,37.96,38.35,36.6,37.24,390
2019-05-13,36.45,36.79,35.55,35.61,366
2019-05-14,35.9,37.35,35.76,37.1,232
2019-05-15,36.76,37.46,36.66,37.45,240
2019-05-16,37.53,38.3,37.38,38.26,525
2019-05-17,37.84,39.39,37.84,38.31,1407
2019-05-20,38.01,38.39,37.33,38.25,363
2019-05-21,38.55,39.25,38.5,38.66,463
2019-05-22,38.51,39.18,38.38,38.64,281
2019-05-23,38.26,38.38,36.2,36.46,537
2019-05-24,36.79,37.13,36.56,36.65,271
2019-05-28,36.72,37.02,36.32,36.62,476
2019-05-29,36.47,36.95,36.08,36.74,353
2019-05-30,36.91,41.94,36.83,39.0,2172
2019-05-31,38.47,39.83,37.89,39.68,691
2019-06-03,39.55,39.71,38.12,38.44,497
2019-06-04,38.97,39.14,38.12,39.12,371
2019-06-05,39.36,39.73,38.73,39.19,1315
2019-06-06,39.28,39.73,38.52,39.32,1211
2019-06-07,39.22,40.31,39.22,39.93,1238
2019-06-10,40.14,41.29,40.0,40.23,562
2019-06-11,40.57,40.58,39.07,39.79,1004
2019-06-12,39.79,42.3,39.56,42.3,2103
2019-06-13,42.64,43.74,42.47,43.62,805
2019-06-14,43.57,44.41,43.51,44.2,667
2019-06-17,45.4,45.69,44.79,45.49,825
2019-06-18,45.45,46.28,44.4,45.28,637
2019-06-19,44.91,45.55,44.5,45.42,410
2019-06-20,45.85,46.3,45.31,45.33,200
2019-06-21,45.07,45.68,44.2,45.51,784
2019-06-24,45.43,45.64,44.54,44.73,296
2019-06-25,44.72,44.97,44.18,44.82,289
2019-06-26,45.04,45.38,44.47,44.94,345
2019-06-27,45.01,46.07,44.85,45.79,275
2019-06-28,45.79,46.72,45.62,46.59,483
2019-07-01,47.21,47.46,45.38,46.11,565
2019-07-02,45.9,46.54,45.11,45.65,352
2019-07-03,45.47,45.56,44.82,45.04,449
2019-07-05,44.51,45.38,44.01,45.3,403
2019-07-08,45.05,45.39,44.7,44.74,383
2019-07-09,44.46,45.1,44.34,44.92,462
2019-07-10,45.14,46.07,44.97,45.95,518
2019-07-11,46.02,46.15,44.73,45.26,576
