date,open,high,low,close,volume
2018-12-10,19.34,19.41,18.75,18.85,6129
2018-12-11,18.95,19.15,18.88,18.97,5306
2018-12-12,19.13,19.16,18.64,18.64,5537
2018-12-13,18.44,18.8,18.44,18.54,2701
2018-12-14,18.46,18.82,18.44,18.78,6104
2018-12-17,18.73,18.85,17.61,17.67,3800
2018-12-18,17.8,18.02,17.74,17.83,2844
2018-12-19,17.86,17.86,17.25,17.33,3091
2018-12-20,17.35,17.38,16.86,17.02,4971
2018-12-21,17.0,17.37,16.73,16.75,9779
2018-12-24,16.74,16.84,16.33,16.4,3237
2018-12-26,16.41,16.87,16.26,16.84,4889
2018-12-27,16.6,16.76,16.13,16.74,3613
2018-12-28,16.87,17.04,16.56,16.63,3254
2018-12-31,16.74,16.74,16.23,16.62,3939
2019-01-02,16.42,16.71,16.2,16.59,5722
2019-01-03,16.59,17.09,16.58,16.97,8549
2019-01-04,17.13,17.65,17.03,17.53,13102
2019-01-07,17.46,18.17,17.46,17.99,9188
2019-01-08,18.14,18.73,18.0,18.67,9561
2019-01-09,18.71,18.79,18.45,18.75,7205
2019-01-10,18.56,19.11,18.56,18.9,7208
2019-01-11,18.89,19.0,18.76,18.99,4740
2019-01-14,18.86,19.03,18.82,18.9,7711
2019-01-15,18.91,19.12,18.86,19.06,6542
2019-01-16,19.05,19.31,19.03,19.2,9922
2019-01-17,19.11,19.56,19.04,19.37,5899
2019-01-18,19.39,19.62,19.33,19.62,9981
2019-01-22,19.59,19.65,19.41,19.63,11165
2019-01-23,19.59,19.78,19.48,19.68,6194
2019-01-24,19.65,19.89,19.65,19.8,3234
2019-01-25,19.83,20.13,19.83,20.09,3752
2019-01-28,19.96,20.32,19.93,20.23,4525
2019-01-29,20.27,20.4,20.15,20.37,4457
2019-01-30,20.35,20.71,20.29,20.5,5899
2019-01-31,20.48,20.55,20.27,20.42,6188
2019-02-01,20.45,20.59,19.9,20.3,6319
2019-02-04,20.24,20.45,20.1,20.43,2994
2019-02-05,20.47,20.51,20.2,20.49,2353
2019-02-06,20.45,20.56,20.25,20.28,2655
