date,open,high,low,close,volume
2018-12-10,63.76,64.06,62.3,62.7,2602
2018-12-11,63.27,64.0,61.63,62.16,2742
2018-12-12,62.58,64.6,61.97,63.49,1504
2018-12-13,63.22,63.68,62.08,62.15,1253
2018-12-14,61.67,62.8,61.25,61.64,1312
2018-12-17,61.54,63.56,60.62,61.67,2157
2018-12-18,62.19,62.59,60.62,60.95,3380
2018-12-19,61.88,62.51,59.24,59.58,2039
2018-12-20,59.54,60.27,59.04,59.76,1299
2018-12-21,59.91,60.77,59.02,59.34,3130
2018-12-24,59.02,59.69,58.27,58.28,921
2018-12-26,58.37,60.81,57.9,60.71,1585
2018-12-27,59.71,60.41,58.56,60.32,1149
2018-12-28,60.32,61.51,60.08,60.59,1000
2018-12-31,60.68,61.26,59.95,60.97,1089
2019-01-02,60.2,61.94,59.88,61.91,2259
2019-01-03,61.65,62.5,61.08,61.34,1399
2019-01-04,62.4,63.6,61.73,63.14,1105
2019-01-07,62.61,64.3,62.6,63.43,1085
2019-01-08,63.85,64.2,62.54,63.9,1192
2019-01-09,63.99,64.59,63.08,63.98,1435
2019-01-10,62.85,64.04,62.79,63.81,1238
2019-01-11,63.35,64.22,62.73,64.02,873
2019-01-14,63.73,65.01,63.73,64.48,1451
2019-01-15,64.28,65.17,63.63,65.09,1004
2019-01-16,65.51,66.93,65.17,66.79,1152
2019-01-17,66.5,67.53,66.46,67.24,1590
2019-01-18,67.34,68.27,66.76,67.9,1172
2019-01-22,67.53,68.19,67.15,67.51,1070
2019-01-23,67.95,68.26,67.03,67.5,1418
2019-01-24,67.31,68.03,66.36,67.28,982
2019-01-25,67.66,68.3,67.42,68.12,712
2019-01-28,67.84,68.71,67.67,68.44,1039
2019-01-29,68.44,69.02,68.05,68.27,1313
2019-01-30,64.6,66.36,62.68,63.53,9970
2019-01-31,64.44,65.89,63.41,64.36,3818
2019-02-01,64.94,65.16,63.82,64.64,1638
2019-02-04,65.11,66.44,64.9,66.06,1928
2019-02-05,65.88,66.29,65.7,66.01,1498
2019-02-06,65.74,66.54,65.38,66.21,1332
2019-02-07,66.36,67.03,65.14,65.9,2855
2019-02-08,65.56,66.15,65.26,65.54,988
2019-02-11,65.61,66.48,65.33,66.43,1165
2019-02-12,66.73,67.49,66.43,66.75,1233
2019-02-13,66.91,67.49,66.6,67.06,1403
2019-02-14,66.68,66.73,65.94,65.99,1761
2019-02-15,66.42,68.13,65.99,68.1,2831
2019-02-19,67.63,69.02,67.57,68.88,2127
2019-02-20,68.87,69.45,68.07,69.42,1044
2019-02-21,69.42,69.45,68.62,69.22,825
2019-02-22,69.2,69.57,68.6,69.14,1028
2019-02-25,69.47,69.7,68.39,68.57,1465
2019-02-26,68.29,68.74,67.95,68.21,940
2019-02-27,68.18,69.19,68.18,69.0,835
2019-02-28,69.03,69.21,68.68,68.81,841
2019-03-01,69.17,69.63,68.49,69.24,648
2019-03-04,69.14,69.73,68.27,68.64,1274
2019-03-05,68.53,68.9,67.52,68.71,2323
2019-03-06,68.87,68.96,66.78,67.02,1045
2019-03-07,66.75,66.99,65.9,66.2,971
2019-03-08,65.48,65.96,65.11,65.48,1514
2019-03-11,65.71,66.68,65.28,66.64,1685
2019-03-12,66.67,66.83,65.63,65.8,1696
2019-03-13,66.09,66.29,65.54,65.92,1056
2019-03-14,65.99,66.4,65.67,66.23,955
2019-03-15,66.35,67.49,63.56,67.07,3864
2019-03-18,67.25,68.38,66.85,68.12,2013
2019-03-19,68.49,68.49,66.57,66.7,1214
2019-03-20,66.65,66.98,64.82,64.92,1789
2019-03-21,64.34,64.99,63.91,63.98,1980
2019-03-22,63.39,63.9,61.08,61.83,2212
2019-03-25,61.91,62.73,61.23,61.71,1524
2019-03-26,62.05,63.4,62.05,63.36,932
2019-03-27,63.15,64.43,63.09,64.07,825
2019-03-28,64.07,64.95,63.92,64.92,704
2019-03-29,65.42,65.6,63.92,64.04,1350
2019-04-01,64.59,65.32,64.42,65.1,2101
2019-04-02,65.16,65.38,64.75,64.98,1354
2019-04-03,66.11,66.11,64.66,64.8,948
2019-04-04,64.93,65.93,64.93,65.57,1436
2019-04-05,65.84,66.12,65.4,66.08,1365
2019-04-08,66.07,66.25,65.6,65.75,2378
2019-04-09,65.6,65.62,64.79,64.9,1461
2019-04-10,64.89,65.73,64.52,65.69,1221
2019-04-11,65.95,66.43,65.42,65.61,850
2019-04-12,66.13,67.42,66.09,67.36,1269
2019-04-15,67.29,67.98,65.99,66.16,619
2019-04-16,66.31,68.08,66.12,67.91,1051
2019-04-17,67.78,68.05,67.1,67.33,1469
2019-04-18,67.04,67.97,63.1,65.68,2114
2019-04-22,65.67,66.64,64.76,65.46,1664
2019-04-23,67.0,67.53,65.23,67.33,2217
2019-04-24,68.48,69.05,67.06,67.97,1680
2019-04-25,67.7,69.55,67.66,69.14,1889
2019-04-26,68.86,69.78,68.61,69.66,1589
2019-04-29,69.58,71.09,69.58,70.86,1464
2019-04-30,70.78,71.0,69.68,69.86,842
2019-05-01,70.36,70.47,68.76,68.88,1569
2019-05-02,68.93,69.92,68.84,69.57,875
2019-05-03,69.99,71.23,69.66,71.18,971
2019-05-06,70.09,71.97,69.51,71.7,1160
2019-05-07,71.02,71.62,70.7,71.38,1547
2019-05-08,71.12,71.64,70.61,70.65,967
2019-05-09,70.0,70.53,69.25,70.22,782
2019-05-10,69.98,70.42,68.99,70.35,906
2019-05-13,69.2,69.2,66.91,67.19,1792
2019-05-14,67.45,68.72,66.88,68.21,1405
2019-05-15,67.63,68.35,66.39,67.12,918
2019-05-16,67.47,68.52,67.14,67.77,1601
2019-05-17,67.24,68.08,66.0,66.5,2954
2019-05-20,66.08,67.47,65.52,67.15,1896
2019-05-21,67.47,67.99,67.47,67.86,892
2019-05-22,67.62,67.74,66.54,66.56,809
2019-05-23,65.87,65.87,64.37,64.84,757
2019-05-24,65.18,65.5,64.68,65.05,2988
2019-05-28,64.92,65.42,64.24,64.28,1920
2019-05-29,63.83,64.33,63.34,64.1,2728
2019-05-30,64.04,64.56,62.5,63.1,1605
2019-05-31,62.28,62.53,61.66,61.74,1651
2019-06-03,61.57,63.2,61.14,61.47,3381
2019-06-04,62.27,63.73,62.07,63.5,2126
2019-06-05,63.34,64.14,62.22,63.0,816
2019-06-06,63.33,63.65,62.24,63.0,953
2019-06-07,62.59,62.85,62.05,62.57,780
2019-06-10,62.95,63.81,62.95,63.11,1526
2019-06-11,63.46,63.83,63.07,63.37,1092
2019-06-12,63.35,63.86,62.77,63.64,1227
2019-06-13,63.99,64.34,63.49,63.77,703
2019-06-14,63.78,63.81,62.9,63.45,946
2019-06-17,63.44,63.61,62.38,62.57,594
2019-06-18,62.56,63.83,62.38,63.45,1202
2019-06-19,63.72,64.1,63.02,63.23,1394
2019-06-20,63.8,63.8,62.45,63.29,819
2019-06-21,63.05,63.64,63.0,63.24,2762
2019-06-24,62.82,63.85,62.82,63.05,1375
2019-06-25,63.2,63.2,62.11,62.83,754
2019-06-26,63.14,63.57,62.9,63.08,769
2019-06-27,62.87,64.62,62.87,64.56,1279
2019-06-28,64.94,66.2,64.6,65.82,1645
2019-07-01,66.17,66.56,65.34,65.64,1563
2019-07-02,65.43,65.63,63.94,64.55,1307
2019-07-03,64.72,65.16,64.52,64.72,453
2019-07-05,64.92,65.74,64.72,65.73,728
2019-07-08,65.11,65.19,64.46,64.67,1136
2019-07-09,64.29,65.19,64.27,65.18,662
2019-07-10,65.2,65.32,64.39,64.68,824
2019-07-11,64.74,65.14,64.24,65.05,702
2019-07-12,65.17,65.85,64.99,65.6,678
2019-07-15,65.59,65.84,64.34,64.46,856
2019-07-16,64.6,64.97,64.05,64.37,876
2019-07-17,64.05,64.55,63.61,63.91,1042
2019-07-18,63.99,64.62,63.89,64.17,727
2019-07-19,64.08,64.83,63.97,64.46,583
2019-07-22,64.3,64.54,63.94,64.43,580
2019-07-23,64.78,65.28,64.44,65.24,458
2019-07-24,65.28,67.8,65.19,67.39,1272
2019-07-25,67.6,67.62,66.53,66.95,1257
2019-07-26,67.13,68.26,67.1,67.95,1257
2019-07-29,67.87,68.11,66.99,67.26,857
2019-07-30,66.61,68.02,65.59,67.95,1011
2019-07-31,68.01,69.31,67.26,68.26,2588
2019-08-01,68.32,68.94,66.0,66.37,1049
2019-08-02,66.02,66.79,65.15,65.62,1393
2019-08-05,64.44,64.66,62.15,63.39,1009
2019-08-06,64.25,64.55,62.88,64.46,1342
2019-08-07,63.28,64.79,62.69,64.65,1551
2019-08-08,65.35,66.52,65.01,66.35,1283
2019-08-09,65.93,66.19,65.47,65.73,955
2019-08-12,65.14,65.28,64.46,64.47,730
2019-08-13,64.34,66.23,64.34,65.17,553
2019-08-14,63.85,64.03,62.5,62.88,651
2019-08-15,62.94,63.35,61.83,62.13,1415
2019-08-16,62.55,63.84,62.55,63.71,898
2019-08-19,64.64,65.04,64.12,64.62,822
2019-08-20,64.15,64.3,63.41,63.55,481
2019-08-21,64.04,64.6,63.32,63.78,1071
2019-08-22,63.94,64.53,63.27,63.51,516
2019-08-23,63.12,63.61,60.76,60.83,1103
2019-08-26,61.31,61.91,60.91,61.91,1035
2019-08-27,62.31,62.31,60.32,60.68,636
2019-08-28,60.44,61.76,60.18,61.11,624
2019-08-29,61.71,62.81,61.71,62.67,570
2019-08-30,62.94,63.27,62.14,62.32,700
2019-09-03,61.82,62.01,60.51,61.16,661
2019-09-04,61.85,61.85,60.97,61.46,476
2019-09-05,62.14,63.57,62.07,62.58,1107
2019-09-06,62.75,62.97,62.04,62.12,661
2019-09-09,62.22,63.44,61.82,63.15,1127
2019-09-10,63.25,64.01,62.58,63.83,1228
2019-09-11,64.18,65.58,63.23,65.16,951
2019-09-12,64.73,66.41,64.3,66.08,1584
2019-09-13,66.78,67.36,66.4,66.87,1667
2019-09-16,66.27,67.42,66.08,66.62,1098
2019-09-17,66.38,66.38,65.14,65.92,744
2019-09-18,65.57,65.84,64.78,65.42,847
2019-09-19,65.47,66.65,65.18,66.13,3638
2019-09-20,66.14,66.6,65.02,65.48,2079
2019-09-23,65.33,66.39,64.97,65.91,568
2019-09-24,66.02,66.51,64.54,64.77,727
2019-09-25,64.52,66.05,64.47,65.82,835
2019-09-26,65.63,66.02,64.67,64.72,684
2019-09-27,65.25,66.2,64.75,65.11,678
2019-09-30,65.44,65.81,64.51,64.58,765
2019-10-01,65.13,65.35,62.71,62.85,749
2019-10-02,62.44,62.93,61.88,62.76,904
2019-10-03,62.62,62.92,61.48,62.3,534
2019-10-04,62.51,63.0,61.79,62.98,688
2019-10-07,62.95,63.55,62.79,62.9,307
2019-10-08,62.0,62.79,61.83,62.25,932
2019-10-09,62.82,62.82,62.05,62.32,580
2019-10-10,62.72,63.51,62.24,62.91,769
2019-10-11,63.95,65.03,63.53,63.54,879
2019-10-14,63.09,63.7,62.83,63.44,616
2019-10-15,63.61,64.58,63.14,64.1,1541
2019-10-16,64.19,64.83,63.94,64.28,596
2019-10-17,64.54,64.65,63.86,64.61,431
2019-10-18,64.3,65.15,64.3,65.0,572
2019-10-21,65.62,66.36,65.45,65.78,487
2019-10-22,65.68,66.71,65.09,66.02,408
2019-10-23,66.08,66.2,65.34,66.14,541
2019-10-24,66.29,66.29,65.19,65.48,523
2019-10-25,65.44,66.0,64.97,65.5,904
2019-10-28,65.88,66.91,65.84,66.84,1133
2019-10-29,67.0,68.17,66.28,67.43,866
2019-10-30,68.06,68.06,65.03,67.48,901
2019-10-31,67.03,67.48,64.48,65.26,1473
2019-11-01,65.79,66.3,65.16,65.98,1510
2019-11-04,66.41,67.08,66.08,66.9,1378
2019-11-05,67.49,68.18,67.12,67.22,1061
2019-11-06,66.98,67.25,66.39,67.11,846
2019-11-07,67.78,68.16,67.2,67.25,1003
2019-11-08,67.16,67.7,66.79,67.16,776
2019-11-11,66.66,67.45,66.5,66.76,474
2019-11-12,66.73,67.0,66.42,66.89,1073
2019-11-13,66.54,66.54,65.98,66.01,726
2019-11-14,65.85,66.38,65.6,65.93,610
2019-11-15,66.14,68.48,65.64,65.76,417
2019-11-18,65.53,65.8,64.81,64.93,507
2019-11-19,65.1,65.67,64.83,65.64,763
2019-11-20,65.2,66.03,65.0,65.69,1077
2019-11-21,66.06,66.06,64.88,65.78,638
2019-11-22,65.9,66.29,65.54,66.06,512
2019-11-25,66.14,67.65,66.14,67.62,930
2019-11-26,67.33,68.03,67.21,67.41,1147
2019-11-27,67.78,68.21,66.77,67.88,544
2019-11-29,67.55,67.84,67.22,67.27,278
2019-12-02,67.49,67.69,66.24,66.41,1168
2019-12-03,65.84,65.84,64.93,65.45,680
2019-12-04,65.69,66.42,65.69,65.93,763
2019-12-05,66.44,67.35,66.42,67.17,785
2019-12-06,67.61,68.38,67.61,67.75,692
2019-12-09,67.32,67.6,67.0,67.37,603
2019-12-10,67.38,67.94,67.26,67.89,706
2019-12-11,67.75,68.15,67.45,67.55,815
2019-12-12,67.66,69.19,67.43,68.81,764
2019-12-13,68.81,69.24,68.2,68.85,816
2019-12-16,69.44,70.19,68.96,69.12,1069
2019-12-17,69.21,69.95,69.06,69.87,564
2019-12-18,69.94,69.94,69.25,69.34,549
2019-12-19,69.35,69.35,69.01,69.14,564
2019-12-20,69.38,70.25,69.25,69.6,1828
2019-12-23,69.78,69.78,68.53,69.01,748
2019-12-24,68.97,69.0,68.61,68.81,278
2019-12-26,69.05,69.15,68.66,69.13,392
2019-12-27,69.13,69.13,68.64,68.83,477
2019-12-30,69.06,69.18,68.62,68.84,602
2019-12-31,68.87,69.17,68.59,68.64,878
2020-01-02,69.01,69.03,68.08,68.94,964
2020-01-03,68.13,68.86,67.61,68.66,693
2020-01-06,67.42,67.89,62.24,67.75,941
2020-01-07,67.28,67.69,66.7,66.78,728
2020-01-08,66.87,67.37,66.62,67.14,931
2020-01-09,67.66,67.73,67.2,67.68,541
2020-01-10,67.56,67.67,66.86,67.05,546
2020-01-13,67.1,67.69,66.77,67.67,653
2020-01-14,67.59,67.72,67.12,67.33,749
2020-01-15,67.03,67.42,66.54,67.02,726
2020-01-16,67.4,68.38,67.31,68.38,808
2020-01-17,68.78,68.85,67.63,67.85,869
2020-01-21,67.49,67.69,66.05,66.3,1050
2020-01-22,66.61,66.61,65.64,66.45,455
2020-01-23,66.0,66.61,65.56,66.42,328
2020-01-24,66.41,66.41,64.6,65.12,698
2020-01-27,63.95,65.17,63.52,64.82,963
2020-01-28,65.15,65.58,65.06,65.35,732
2020-01-29,67.99,68.51,66.88,67.27,2256
2020-01-30,67.2,69.26,67.2,69.16,2371
2020-01-31,68.55,68.55,66.0,66.46,2423
2020-02-03,66.9,67.6,66.62,67.31,902
2020-02-04,68.4,68.5,67.34,68.08,837
