date,open,high,low,close,volume
2018-12-10,146.4,148.6,144.2,148.04,32854
2018-12-11,150.09,151.15,146.86,147.84,21634
2018-12-12,150.14,150.89,147.03,147.34,26839
2018-12-13,148.22,148.22,144.6,145.84,30665
2018-12-14,144.38,145.87,141.86,142.57,32392
2018-12-17,142.19,142.2,138.73,139.6,30026
2018-12-18,140.64,141.64,138.7,139.78,19469
2018-12-19,139.25,142.64,135.94,136.89,25271
2018-12-20,136.28,136.99,133.11,134.68,45087
2018-12-21,134.17,137.66,132.28,132.54,47179
2018-12-24,132.53,132.53,128.08,128.21,16935
2018-12-26,129.29,136.07,128.92,136.02,27427
2018-12-27,133.95,137.14,131.96,137.14,19255
2018-12-28,137.93,138.58,135.97,136.78,15184
2018-12-31,138.04,138.51,136.53,138.23,12083
2019-01-02,135.65,138.33,134.77,137.78,22978
2019-01-03,136.04,136.75,132.17,132.68,36531
2019-01-04,134.82,138.58,134.52,137.79,38626
2019-01-07,137.33,139.23,136.26,138.65,19646
2019-01-08,151.06,152.89,149.04,150.75,82440
2019-01-09,150.29,151.06,148.61,150.36,31552
2019-01-10,149.9,155.29,149.01,154.66,47526
2019-01-11,153.64,155.03,153.09,153.21,23167
2019-01-14,152.23,154.24,151.65,153.89,25887
2019-01-15,153.79,154.36,151.74,152.48,30289
2019-01-16,152.91,153.73,150.91,151.97,31093
2019-01-17,151.11,154.93,150.93,154.64,24609
2019-01-18,155.54,158.8,155.01,158.34,33347
2019-01-22,156.93,157.2,154.4,155.02,29853
2019-01-23,155.45,156.02,152.43,154.33,28551
2019-01-24,160.04,160.76,156.01,160.34,56379
2019-01-25,161.46,162.0,160.22,160.95,64449
2019-01-28,160.0,160.79,159.34,159.9,28512
2019-01-29,160.04,160.93,158.75,160.17,24798
2019-01-30,161.09,161.89,159.44,160.82,29263
2019-01-31,160.75,160.99,157.02,159.07,38321
2019-02-01,159.07,160.52,158.26,159.67,28209
2019-02-04,159.67,161.16,159.22,161.13,39674
2019-02-05,160.76,161.34,160.0,161.3,18868
2019-02-06,161.0,162.02,160.3,160.74,13453
2019-02-07,159.44,161.6,158.93,161.57,20468
2019-02-08,160.57,161.76,160.28,161.72,20996
2019-02-11,162.71,164.63,162.39,164.35,30091
2019-02-12,165.0,168.05,164.88,167.05,26464
2019-02-13,166.86,169.17,166.6,168.88,29055
2019-02-14,167.7,170.52,167.52,169.63,27434
2019-02-15,170.87,171.35,169.72,170.24,24738
2019-02-19,169.32,172.44,169.05,171.33,22092
2019-02-20,171.47,171.94,170.76,170.99,18076
2019-02-21,171.25,171.83,169.53,170.17,19947
2019-02-22,169.9,170.35,168.1,170.06,28374
2019-02-25,170.74,170.74,168.56,169.55,31280
2019-02-26,169.54,171.23,168.72,170.15,23224
2019-02-27,168.98,170.55,167.81,169.06,18935
2019-02-28,169.17,169.19,167.53,167.7,16952
2019-03-01,169.28,169.54,166.79,167.44,18820
2019-03-04,167.34,170.11,166.0,167.37,24080
2019-03-05,167.71,169.19,166.78,166.78,16906
2019-03-06,166.91,167.21,165.48,165.91,20014
2019-03-07,165.75,166.11,164.16,164.94,19857
2019-03-08,163.67,164.48,161.81,164.3,19058
2019-03-11,164.1,166.95,163.68,165.6,26931
2019-03-12,165.99,166.76,164.53,164.83,25485
2019-03-13,166.1,168.92,165.19,166.83,26131
2019-03-14,167.18,167.34,164.6,165.17,23630
2019-03-15,164.49,166.61,164.21,165.0,31809
2019-03-18,165.0,167.57,164.62,166.24,21176
2019-03-19,165.87,165.93,160.31,160.75,43030
2019-03-20,161.11,162.43,160.15,161.0,27127
2019-03-21,159.92,163.27,159.5,162.61,21879
2019-03-22,162.09,162.44,160.05,160.62,24683
2019-03-25,160.71,163.7,160.6,161.5,22631
2019-03-26,163.06,163.06,160.26,161.81,19490
2019-03-27,161.69,163.6,161.5,163.01,20974
2019-03-28,163.76,165.48,163.76,165.2,17106
2019-03-29,166.18,168.14,165.8,167.2,19888
2019-04-01,168.94,171.27,168.53,170.92,22128
2019-04-02,170.67,171.29,169.13,169.78,13515
2019-04-03,170.36,171.02,168.94,169.61,18984
2019-04-04,169.28,170.17,168.31,168.79,12852
2019-04-05,169.16,169.99,168.51,168.72,11119
2019-04-08,168.42,168.81,167.38,168.69,16689
2019-04-09,167.56,167.56,165.77,166.09,20889
2019-04-10,166.86,167.29,164.97,166.35,26693
2019-04-11,166.6,167.03,165.26,166.67,16222
2019-04-12,167.79,169.64,167.0,169.5,22339
2019-04-15,169.5,170.24,167.01,167.63,17960
2019-04-16,167.78,168.35,166.93,167.98,16473
2019-04-17,171.11,172.29,168.67,169.28,37618
2019-04-18,175.2,177.77,174.6,176.66,57221
2019-04-22,176.71,179.55,176.12,177.72,39976
2019-04-23,177.25,177.48,175.34,176.73,20768
2019-04-24,177.54,179.1,176.73,176.84,19016
2019-04-25,175.14,177.14,174.14,175.49,14638
2019-04-26,175.56,177.26,175.13,177.22,12008
2019-04-29,177.07,177.75,176.32,176.41,12100
2019-04-30,176.08,177.66,174.86,177.04,14135
2019-05-01,177.01,178.02,175.05,175.36,18363
2019-05-02,174.56,175.97,173.81,175.89,15952
2019-05-03,177.89,180.02,177.54,179.2,16382
2019-05-06,176.25,179.63,175.68,177.16,19265
2019-05-07,174.84,175.72,172.33,174.75,30061
2019-05-08,174.88,177.17,174.54,175.58,13986
2019-05-09,174.0,176.05,172.71,175.63,13233
2019-05-10,174.33,176.26,171.81,175.92,18978
2019-05-13,172.38,173.37,170.13,171.79,25983
2019-05-14,172.49,176.19,172.45,174.49,16368
2019-05-15,173.5,174.84,172.43,173.77,32789
2019-05-16,174.08,176.53,173.87,175.63,42256
2019-05-17,173.55,176.1,173.29,174.62,33606
2019-05-20,174.06,175.68,173.19,174.74,21216
2019-05-21,176.0,176.33,174.46,175.04,15457
2019-05-22,174.63,175.18,173.02,174.46,13215
2019-05-23,172.39,172.91,169.77,172.65,25744
2019-05-24,173.68,173.98,170.97,172.17,11921
2019-05-28,173.0,174.01,169.74,169.81,17996
2019-05-29,169.44,169.78,168.13,169.0,20065
2019-05-30,168.93,169.87,167.99,169.48,14056
2019-05-31,167.25,167.93,164.39,166.78,27553
2019-06-03,166.64,168.62,165.58,166.34,16583
2019-06-04,167.98,170.59,167.04,170.41,19611
2019-06-05,171.0,173.05,170.71,172.48,18337
2019-06-06,172.18,172.25,169.63,170.67,14163
2019-06-07,170.95,172.53,170.53,171.97,13920
2019-06-10,173.53,174.93,172.07,172.39,14003
2019-06-11,173.14,173.76,168.93,171.01,12730
2019-06-12,170.81,172.03,169.64,171.23,13077
2019-06-13,169.46,170.23,166.39,167.15,30676
2019-06-14,167.48,167.66,164.82,166.99,20787
2019-06-17,165.77,165.77,164.16,164.74,32295
2019-06-18,165.92,167.46,165.16,165.54,30527
2019-06-19,165.83,166.52,163.5,165.93,26270
2019-06-20,168.21,168.56,166.65,167.43,19524
2019-06-21,167.63,170.42,167.0,168.87,26783
2019-06-24,168.97,169.24,166.9,167.25,13850
2019-06-25,167.27,167.76,163.95,166.36,14939
2019-06-26,166.75,167.22,165.51,165.83,14733
2019-06-27,166.41,167.83,166.0,166.01,15418
2019-06-28,166.66,169.39,166.54,169.11,20662
2019-07-01,171.1,173.43,170.79,171.5,19830
2019-07-02,171.55,171.98,169.77,171.23,15148
2019-07-03,171.27,172.01,170.53,171.8,6458
2019-07-05,171.28,171.39,166.93,170.03,15536
2019-07-08,169.3,170.07,168.63,169.59,11944
2019-07-09,168.92,170.0,168.55,169.6,13269
2019-07-10,170.99,171.04,168.89,169.57,10437
2019-07-11,169.8,172.25,169.12,171.75,15180
2019-07-12,172.38,174.35,172.12,174.05,12550
2019-07-15,173.56,173.97,172.43,172.69,12258
2019-07-16,173.42,176.72,173.01,175.15,19965
2019-07-17,171.0,171.51,163.8,164.55,81571
2019-07-18,173.86,174.9,170.5,174.25,48944
2019-07-19,174.4,177.59,174.05,175.3,31432
2019-07-22,175.29,176.14,172.39,173.58,21413
2019-07-23,174.1,174.26,171.45,173.22,17776
2019-07-24,171.77,175.31,171.14,174.37,16986
2019-07-25,174.06,175.11,172.86,173.21,12053
2019-07-26,174.57,175.72,173.35,174.23,10345
2019-07-29,174.12,177.74,173.98,177.5,21823
2019-07-30,176.84,179.48,176.55,179.3,18226
2019-07-31,178.15,180.3,177.3,179.95,27326
2019-08-01,177.35,180.54,174.57,175.01,32741
2019-08-02,174.08,174.81,172.1,173.52,14989
2019-08-05,170.68,171.41,165.51,166.84,26651
2019-08-06,168.12,169.45,166.37,168.33,10938
2019-08-07,166.42,167.24,163.8,166.92,12789
