date,open,high,low,close,volume
2018-12-10,21.32,21.46,21.2,21.46,27
2018-12-11,21.5,21.5,21.33,21.41,33
2018-12-12,21.41,21.45,20.9,21.14,121
2018-12-13,21.03,21.11,20.75,20.75,19
2018-12-14,20.68,20.92,20.26,20.26,42
2018-12-17,20.33,20.42,19.36,19.48,92
2018-12-18,19.02,21.12,19.02,20.6,72
2018-12-19,20.33,20.86,19.64,20.7,51
2018-12-20,20.78,21.36,18.6,18.77,228
2018-12-21,18.38,19.27,18.24,19.01,191
2018-12-24,19.0,19.38,18.65,18.66,132
2018-12-26,18.93,19.68,18.93,19.66,68
2018-12-27,19.46,19.56,19.11,19.11,65
2018-12-28,18.72,20.3,18.72,20.13,46
2018-12-31,20.0,21.89,19.81,20.76,59
2019-01-02,20.6,20.6,19.77,20.31,70
2019-01-03,20.21,20.31,20.02,20.02,60
2019-01-04,20.2,20.2,19.59,19.95,91
2019-01-07,19.77,19.94,18.0,18.4,951
2019-01-08,18.4,19.71,18.4,19.06,293
2019-01-09,18.93,20.17,18.85,19.0,247
2019-01-10,18.89,20.65,18.76,18.96,134
2019-01-11,18.76,18.99,18.76,18.96,68
2019-01-14,18.9,18.98,18.45,18.6,150
2019-01-15,18.7,18.85,18.53,18.82,27
2019-01-16,18.88,19.17,18.62,19.15,56
2019-01-17,19.19,20.49,19.15,20.11,266
2019-01-18,20.1,20.1,19.25,19.6,47
2019-01-22,19.33,20.57,19.07,19.12,87
2019-01-23,19.27,21.34,19.27,19.93,51
2019-01-24,19.89,19.89,19.55,19.84,41
2019-01-25,19.66,20.0,19.6,19.93,103
2019-01-28,19.62,20.1,19.6,19.94,98
2019-01-29,20.02,20.38,19.6,19.99,70
2019-01-30,20.08,20.46,19.7,20.0,116
2019-01-31,20.0,20.0,19.61,19.81,96
2019-02-01,19.59,19.81,19.48,19.59,119
2019-02-04,19.87,20.5,19.85,20.14,223
2019-02-05,20.05,20.49,19.96,20.1,134
2019-02-06,20.03,20.23,19.9,20.06,99
2019-02-07,20.17,20.34,19.66,20.04,177
2019-02-08,20.27,20.49,19.79,19.95,112
2019-02-11,19.88,20.1,19.42,19.97,103
2019-02-12,19.99,20.09,19.76,20.09,23
2019-02-13,20.17,20.37,19.98,20.14,67
2019-02-14,20.14,20.15,19.85,19.85,40
2019-02-15,19.94,20.19,19.9,20.0,71
2019-02-19,19.97,20.55,19.96,20.16,123
2019-02-20,20.14,20.55,20.14,20.36,35
2019-02-21,22.4,22.4,20.6,20.74,45
2019-02-22,20.98,21.14,20.97,21.14,45
2019-02-25,21.14,22.21,21.14,21.75,88
2019-02-26,22.0,22.08,21.75,21.75,76
2019-02-27,21.91,22.21,21.88,21.99,31
2019-02-28,22.16,22.44,22.09,22.09,24
2019-03-01,22.09,22.49,21.98,22.24,30
2019-03-04,21.76,21.84,21.05,21.62,42
2019-03-05,21.8,22.0,21.18,21.18,60
2019-03-06,21.4,21.7,21.16,21.6,72
2019-03-07,21.66,21.9,21.02,21.02,23
