date,open,high,low,close,volume
2018-12-10,3.36,3.59,3.35,3.55,13452
2018-12-11,3.59,3.64,3.44,3.53,9149
2018-12-12,3.54,3.72,3.53,3.66,10030
2018-12-13,3.7,3.77,3.57,3.6,7785
2018-12-14,3.54,3.7,3.49,3.5,9124
2018-12-17,3.47,3.55,3.14,3.14,10509
2018-12-18,3.14,3.29,3.13,3.2,7326
2018-12-19,3.19,3.24,3.07,3.17,12197
2018-12-20,3.11,3.185,2.86,2.99,20750
2018-12-21,2.96,2.9704,2.64,2.75,29530
2018-12-24,2.67,2.71,2.54,2.58,10827
2018-12-26,2.55,2.83,2.51,2.8,10929
2018-12-27,2.75,2.77,2.61,2.75,7258
2018-12-28,2.75,2.83,2.62,2.72,8006
2018-12-31,2.79,2.86,2.69,2.85,8404
2019-01-02,2.73,2.85,2.71,2.78,6658
2019-01-03,2.78,2.84,2.66,2.8,5111
2019-01-04,2.85,3.06,2.82,3.02,7635
2019-01-07,3.06,3.135,3.0,3.09,10198
2019-01-08,3.12,3.14,2.95,3.04,7204
2019-01-09,3.07,3.2299,3.04,3.19,9285
2019-01-10,3.16,3.23,3.05,3.12,8111
2019-01-11,3.09,3.15,2.99,3.02,8652
2019-01-14,2.98,3.07,2.9,2.91,5181
2019-01-15,2.92,3.01,2.91,2.96,4623
2019-01-16,3.0,3.0033,2.845,2.86,5276
2019-01-17,2.84,2.88,2.81,2.87,4281
2019-01-18,2.88,3.0,2.85,2.91,5060
2019-01-22,2.89,2.9,2.65,2.68,10211
2019-01-23,2.87,2.87,2.63,2.72,8488
2019-01-24,2.69,2.79,2.66,2.72,7068
2019-01-25,2.72,2.95,2.72,2.91,7021
2019-01-28,2.9,2.91,2.7,2.82,9109
2019-01-29,2.8,2.985,2.8,2.88,5383
2019-01-30,2.95,2.95,2.84,2.9,5006
2019-01-31,2.92,3.01,2.85,2.86,9555
2019-02-01,2.9,2.98,2.86,2.93,6596
2019-02-04,2.95,3.12,2.89,3.11,8663
2019-02-05,3.14,3.37,3.11,3.36,14900
2019-02-06,3.43,3.43,3.12,3.15,14302
2019-02-07,3.14,3.16,3.0,3.13,7058
2019-02-08,3.11,3.15,2.96,3.0,5924
2019-02-11,3.0,3.085,2.93,3.05,7094
2019-02-12,3.12,3.2,2.955,3.03,9301
2019-02-13,3.06,3.06,2.9,2.93,8123
2019-02-14,2.89,3.05,2.89,3.04,6848
2019-02-15,3.03,3.1,2.985,3.02,4603
2019-02-19,3.03,3.09,2.92,2.95,10488
2019-02-20,2.96,3.02,2.92,2.98,6606
2019-02-21,2.91,3.04,2.91,3.03,6320
2019-02-22,3.04,3.07,2.99,3.02,5963
2019-02-25,3.0,3.12,2.99,3.01,6280
2019-02-26,3.0,3.155,2.995,3.13,10015
2019-02-27,3.15,3.15,3.0,3.11,5408
2019-02-28,3.06,3.13,3.02,3.07,6894
2019-03-01,3.09,3.13,3.0,3.05,5562
2019-03-04,3.05,3.0501,2.91,2.94,10002
2019-03-05,2.95,2.95,2.9,2.9,5857
2019-03-06,2.92,2.93,2.85,2.86,7021
2019-03-07,2.85,2.89,2.75,2.77,6787
2019-03-08,2.79,2.89,2.71,2.82,7458
2019-03-11,2.84,2.89,2.68,2.74,14089
2019-03-12,2.7,2.83,2.64,2.68,13196
2019-03-13,2.66,3.01,2.66,2.99,11221
2019-03-14,3.0,3.1,2.87,3.08,12622
2019-03-15,3.09,3.29,3.07,3.21,20376
2019-03-18,3.25,3.27,3.05,3.17,9454
2019-03-19,3.19,3.285,3.17,3.26,11445
2019-03-20,3.26,3.34,3.17,3.28,11220
2019-03-21,3.29,3.32,3.16,3.24,6950
2019-03-22,3.23,3.305,3.1,3.16,11625
2019-03-25,3.15,3.235,3.1,3.19,5107
2019-03-26,3.24,3.3289,3.17,3.32,10900
2019-03-27,3.34,3.38,3.2,3.28,11145
2019-03-28,3.29,3.33,3.22,3.31,8776
2019-03-29,3.35,3.42,3.29,3.33,9357
2019-04-01,3.43,3.5,3.3,3.46,12696
2019-04-02,3.49,3.575,3.44,3.55,11500
