date,open,high,low,close,volume
2018-12-10,64.56,65.53,60.77,64.14,8570
2018-12-11,66.26,67.64,65.54,65.93,7163
2018-12-12,67.26,68.16,64.05,64.13,3984
2018-12-13,64.7,64.82,61.69,62.28,5948
2018-12-14,60.73,63.0,59.9,60.1,6877
2018-12-17,59.92,61.71,58.16,59.84,7117
2018-12-18,60.55,62.02,59.36,60.52,7538
2018-12-19,60.55,62.74,58.58,59.13,8003
2018-12-20,59.23,61.64,59.23,60.84,4493
2018-12-21,61.45,63.89,60.68,60.82,4586
2018-12-24,60.16,61.97,58.88,60.09,2174
2018-12-26,60.79,63.74,59.7,63.74,3238
2018-12-27,62.52,63.35,60.66,63.05,2299
2018-12-28,63.37,63.96,60.49,60.95,4843
2018-12-31,61.6,61.6,58.73,60.28,3601
2019-01-02,59.21,61.92,58.42,61.0,4614
2019-01-03,60.51,60.65,56.59,57.82,6697
2019-01-04,57.43,60.91,56.82,60.9,6409
2019-01-07,62.34,63.26,59.55,62.62,5180
2019-01-08,64.0,66.99,63.97,65.8,6091
2019-01-09,66.5,69.78,66.5,69.01,5036
2019-01-10,68.54,68.99,65.45,65.62,5293
2019-01-11,65.75,66.68,63.65,65.72,5422
2019-01-14,65.04,67.32,64.01,66.9,6520
2019-01-15,66.13,70.17,65.5,70.0,12097
2019-01-16,69.88,72.92,67.73,71.29,14216
2019-01-17,71.14,72.43,70.7,71.56,7329
2019-01-18,71.81,77.37,71.5,76.33,7383
2019-01-22,75.38,75.63,72.63,73.26,3286
2019-01-23,73.49,73.88,69.35,70.44,3324
2019-01-24,70.84,74.08,70.84,73.89,3149
2019-01-25,74.74,76.4,73.48,75.32,2809
2019-01-28,74.19,75.53,73.6,75.28,1999
2019-01-29,75.18,75.82,73.78,75.27,2207
2019-01-30,75.36,76.98,73.75,76.83,1901
2019-01-31,76.61,77.48,75.97,76.89,3120
2019-02-01,76.69,78.18,75.94,77.94,2900
2019-02-04,77.8,77.83,75.67,77.17,2593
2019-02-05,77.03,77.92,76.7,77.69,1833
2019-02-06,78.08,80.49,76.66,80.17,3397
2019-02-07,79.3,79.3,74.73,75.62,4750
2019-02-08,75.11,75.43,71.86,73.48,5830
2019-02-11,73.64,76.17,71.74,74.99,3897
2019-02-12,75.94,78.78,75.12,78.0,3283
2019-02-13,78.27,79.77,77.92,78.53,2857
2019-02-14,78.06,80.72,77.28,80.7,3316
2019-02-15,81.56,82.92,80.97,81.37,2774
2019-02-19,81.19,82.74,80.29,82.31,3259
2019-02-20,82.64,83.96,82.61,82.86,2760
2019-02-21,86.99,91.31,85.31,90.07,7968
2019-02-22,90.82,92.86,88.64,89.1,3816
2019-02-25,89.19,89.91,87.68,88.12,3239
2019-02-26,88.13,88.91,86.8,86.9,2828
2019-02-27,86.6,86.98,85.26,85.79,3979
2019-02-28,85.57,86.18,83.72,85.66,3004
2019-03-01,86.45,87.5,84.85,85.54,2541
2019-03-04,85.81,87.9,84.93,85.83,2691
2019-03-05,86.05,86.14,84.82,85.32,1847
2019-03-06,85.22,85.22,81.96,82.0,2378
2019-03-07,81.63,83.24,78.7,79.45,3634
2019-03-08,78.73,79.65,78.04,78.23,5910
2019-03-11,78.67,79.61,77.15,77.74,7504
2019-03-12,77.74,78.0,76.85,77.25,7337
2019-03-13,77.85,80.18,76.13,76.24,3001
2019-03-14,75.66,77.02,73.83,73.96,4261
2019-03-15,74.26,75.97,73.11,75.05,3924
2019-03-18,75.09,76.42,74.0,74.89,5191
2019-03-19,75.61,77.87,74.13,74.35,3984
2019-03-20,73.62,76.44,71.69,72.2,2941
2019-03-21,72.02,73.69,71.84,72.4,5135
2019-03-22,71.6,71.85,68.4,68.48,3915
2019-03-25,68.43,69.77,67.72,69.03,3271
2019-03-26,69.35,70.34,68.48,69.46,2697
2019-03-27,69.76,70.48,67.86,68.54,4560
2019-03-28,68.54,70.03,67.59,68.15,3800
2019-03-29,68.29,73.03,67.27,67.35,8208
2019-04-01,68.42,72.41,68.16,71.49,3755
2019-04-02,71.56,72.03,70.22,71.74,2646
2019-04-03,72.98,76.36,72.5,74.8,4900
2019-04-04,74.65,76.59,74.55,76.12,3549
2019-04-05,75.87,76.78,74.25,75.42,2730
2019-04-08,75.32,77.45,75.1,77.22,2111
2019-04-09,76.84,77.23,75.58,76.47,4500
2019-04-10,76.65,80.42,76.65,80.3,4730
2019-04-11,80.08,80.94,77.59,80.4,3444
2019-04-12,81.3,84.25,81.3,82.6,3697
2019-04-15,82.88,83.7,81.32,81.91,2020
2019-04-16,81.75,82.67,80.08,80.19,3328
2019-04-17,80.98,83.01,80.9,82.31,3347
2019-04-18,82.17,82.92,81.23,82.44,1684
2019-04-22,82.17,82.67,80.38,80.75,1893
2019-04-23,82.4,83.3,79.61,80.17,4153
2019-04-24,80.17,80.92,79.64,79.72,4329
2019-04-25,75.0,75.0,60.69,60.95,36169
2019-04-26,61.01,66.3,59.76,63.8,17984
2019-04-29,63.8,66.05,62.51,65.49,6515
2019-04-30,65.08,66.12,63.76,66.02,4118
2019-05-01,66.21,66.69,65.51,65.6,5011
2019-05-02,65.57,66.76,64.78,65.38,4088
2019-05-03,65.3,66.0,63.73,64.73,2988
2019-05-06,63.23,65.11,62.03,64.32,3976
2019-05-07,63.37,64.49,62.01,62.45,4478
2019-05-08,62.41,63.79,62.41,62.57,3226
2019-05-09,61.3,62.19,60.3,61.46,3571
2019-05-10,61.06,62.24,60.14,61.72,3906
2019-05-13,59.95,60.37,55.98,56.12,6081
2019-05-14,57.8,57.83,55.23,56.28,5387
2019-05-15,55.69,56.28,53.77,55.44,4748
2019-05-16,55.15,55.3,51.71,52.35,9254
2019-05-17,51.82,53.15,51.36,51.38,3505
2019-05-20,50.75,51.4,48.87,49.26,5733
2019-05-21,49.75,49.86,48.25,48.87,4971
2019-05-22,48.52,49.48,46.2,46.54,5816
2019-05-23,45.95,47.03,44.83,46.92,4691
2019-05-24,47.58,48.51,46.65,46.85,2620
2019-05-28,47.31,49.56,46.34,48.89,5276
