date,open,high,low,close,volume
2018-12-10,18.22,18.46,17.84,18.39,1643
2018-12-11,18.51,18.68,18.0,18.47,1830
2018-12-12,18.58,18.8,18.32,18.34,1021
2018-12-13,18.34,18.57,18.06,18.19,1082
2018-12-14,18.13,18.13,17.34,17.47,1719
2018-12-17,17.45,17.81,17.26,17.35,1629
2018-12-18,17.53,17.93,17.36,17.53,1333
2018-12-19,17.55,17.7,17.19,17.36,1847
2018-12-20,17.33,17.38,16.73,17.0,1517
2018-12-21,17.02,17.04,16.5,16.55,2094
2018-12-24,16.56,16.8,16.23,16.49,628
2018-12-26,16.49,16.9,16.37,16.86,851
2018-12-27,16.71,17.12,16.5,17.09,1485
2018-12-28,17.09,17.47,16.95,17.11,852
2018-12-31,17.11,17.44,16.92,17.36,1183
2019-01-02,17.16,17.36,16.79,16.85,1734
2019-01-03,16.8,16.87,16.34,16.44,1343
2019-01-04,16.61,16.99,16.53,16.61,1335
2019-01-07,16.67,16.83,16.36,16.56,3372
2019-01-08,16.07,16.2,15.01,15.51,5308
2019-01-09,15.51,16.21,15.5,15.9,3630
2019-01-10,15.84,16.56,15.69,16.45,3125
2019-01-11,16.36,16.79,16.36,16.47,1759
2019-01-14,16.4,16.8,16.22,16.75,3016
2019-01-15,16.76,17.24,16.72,16.88,1558
2019-01-16,16.88,17.5,16.65,16.74,1431
2019-01-17,16.61,16.92,16.51,16.62,1670
2019-01-18,16.64,16.95,16.57,16.82,2387
2019-01-22,16.79,16.84,16.31,16.59,2704
2019-01-23,16.62,16.92,16.58,16.77,2378
2019-01-24,16.65,17.1,15.71,16.97,3937
2019-01-25,17.1,17.12,16.44,16.66,1966
2019-01-28,16.51,16.51,16.14,16.19,2117
2019-01-29,16.22,16.25,15.86,16.08,1748
2019-01-30,16.12,16.28,15.91,16.11,1392
2019-01-31,16.07,16.47,16.07,16.39,1781
2019-02-01,16.27,16.27,15.7,15.74,2083
2019-02-04,15.74,16.22,15.5,15.95,1765
2019-02-05,16.05,16.19,15.77,15.93,1199
2019-02-06,15.97,16.12,15.72,15.92,1279
2019-02-07,15.84,15.95,15.77,15.85,1166
2019-02-08,15.85,16.21,15.71,16.19,1659
2019-02-11,16.16,16.29,15.92,16.29,1712
2019-02-12,16.38,16.41,16.18,16.3,1509
2019-02-13,16.3,16.63,16.24,16.47,1335
2019-02-14,16.46,16.67,16.4,16.43,2034
2019-02-15,16.49,16.79,16.43,16.57,1749
2019-02-19,16.59,17.21,16.56,17.14,2132
2019-02-20,17.14,17.38,16.96,17.26,1828
2019-02-21,17.25,17.33,17.17,17.26,971
2019-02-22,17.29,17.35,17.18,17.25,742
2019-02-25,17.32,17.38,17.15,17.16,1472
2019-02-26,17.12,17.33,16.88,17.05,1323
2019-02-27,17.0,17.1,16.9,17.01,602
2019-02-28,16.99,17.24,16.91,17.07,2088
2019-03-01,17.16,17.19,16.95,17.03,1736
2019-03-04,17.0,17.07,16.82,17.04,1404
2019-03-05,17.01,17.06,16.81,16.87,953
2019-03-06,16.89,16.92,16.36,16.43,1066
2019-03-07,16.41,16.51,16.27,16.49,1213
2019-03-08,16.48,16.53,16.22,16.44,1069
2019-03-11,16.45,16.7,16.38,16.68,863
2019-03-12,16.68,16.79,16.51,16.73,965
2019-03-13,16.78,16.97,16.72,16.74,1008
2019-03-14,16.74,16.85,16.56,16.65,641
2019-03-15,16.65,16.82,16.47,16.5,1758
2019-03-18,16.51,16.58,16.32,16.36,1830
2019-03-19,16.41,16.69,16.28,16.59,1416
2019-03-20,16.51,17.12,16.51,17.0,2540
2019-03-21,16.97,17.42,16.97,17.12,1676
2019-03-22,17.03,17.2,16.83,16.83,2146
2019-03-25,16.84,16.93,16.59,16.84,1063
2019-03-26,16.9,17.13,16.9,17.06,1168
2019-03-27,16.99,17.23,16.96,17.21,1110
2019-03-28,17.23,17.52,17.2,17.39,1824
2019-03-29,17.47,17.65,17.47,17.61,1184
2019-04-01,17.71,17.71,17.53,17.6,1197
2019-04-02,14.93,15.4,14.06,14.2,14677
2019-04-03,13.53,13.8,13.05,13.29,11380
2019-04-04,13.32,13.57,13.2,13.42,4120
2019-04-05,13.42,13.5,13.12,13.17,1992
2019-04-08,13.19,13.49,13.03,13.39,2181
2019-04-09,13.43,13.63,13.35,13.47,1701
2019-04-10,13.44,13.6,13.23,13.26,1550
2019-04-11,13.25,13.25,12.98,13.04,1258
2019-04-12,13.0,13.04,12.7,12.71,1974
2019-04-15,12.71,12.95,12.71,12.86,1585
2019-04-16,12.92,12.97,12.61,12.68,1310
2019-04-17,12.64,12.64,12.3,12.49,1674
2019-04-18,12.46,12.56,12.38,12.5,1191
2019-04-22,12.47,12.59,12.35,12.56,1089
2019-04-23,12.56,12.8,12.56,12.66,1612
2019-04-24,12.68,13.08,12.61,12.97,1526
2019-04-25,12.97,13.03,12.83,12.94,1325
2019-04-26,12.97,13.49,12.96,13.43,1983
2019-04-29,13.42,13.68,13.34,13.45,2344
