date,open,high,low,close,volume
2018-12-10,117.39,117.45,114.48,116.63,814
2018-12-11,118.94,122.03,115.4,116.39,359
2018-12-12,118.73,121.23,116.55,117.69,703
2018-12-13,118.63,118.63,114.88,115.84,769
2018-12-14,114.59,116.45,113.23,113.93,665
2018-12-17,113.8,114.78,111.55,112.08,735
2018-12-18,113.44,113.8,111.86,112.41,1008
2018-12-19,113.25,114.69,109.44,110.17,863
2018-12-20,109.48,110.42,106.92,109.23,1008
2018-12-21,109.53,109.53,106.21,106.68,1723
2018-12-24,105.77,107.0,103.72,104.22,617
2018-12-26,104.81,109.43,103.01,109.4,1017
2018-12-27,106.81,109.67,106.13,109.61,1077
2018-12-28,110.27,111.13,108.4,108.78,1419
2018-12-31,109.23,111.16,107.43,110.95,1020
2019-01-02,116.63,116.63,107.98,110.53,866
2019-01-03,110.44,113.84,107.99,109.07,442
2019-01-04,111.05,112.62,109.53,111.81,1414
2019-01-07,112.12,114.16,111.26,113.07,709
2019-01-08,114.38,115.0,112.64,114.4,557
2019-01-09,114.93,115.94,113.62,114.71,494
2019-01-10,113.66,117.61,113.54,117.51,1259
2019-01-11,116.98,119.29,115.78,118.14,745
2019-01-14,116.71,120.25,116.71,118.75,844
2019-01-15,118.52,119.47,116.8,117.93,690
2019-01-16,118.02,121.07,117.97,120.22,621
2019-01-17,119.75,122.66,119.75,121.75,722
2019-01-18,122.99,125.87,122.8,124.49,538
2019-01-22,123.99,125.19,122.0,123.14,1073
2019-01-23,123.17,124.5,121.12,122.7,852
2019-01-24,122.03,125.35,122.03,124.35,557
2019-01-25,125.31,127.36,125.31,126.23,646
2019-01-28,124.86,126.25,124.26,125.51,392
2019-01-29,126.19,126.68,125.22,126.07,368
2019-01-30,126.69,129.27,124.54,127.82,876
2019-01-31,127.86,129.33,127.18,129.0,879
2019-02-01,128.01,130.71,128.0,129.41,877
2019-02-04,128.35,129.22,126.96,129.06,885
2019-02-05,129.0,130.61,128.88,130.51,961
2019-02-06,130.29,131.43,129.51,130.93,731
2019-02-07,130.72,131.61,128.37,129.87,904
2019-02-08,128.9,130.98,127.67,130.95,1088
2019-02-11,131.47,132.61,129.51,130.57,1616
2019-02-12,131.67,134.99,131.67,134.37,617
2019-02-13,134.63,136.19,134.36,136.15,757
2019-02-14,135.56,137.02,135.39,135.74,628
2019-02-15,136.39,137.75,135.34,136.41,744
2019-02-19,136.05,137.8,135.74,137.73,845
2019-02-20,137.89,139.5,137.57,139.35,986
2019-02-21,138.99,138.99,134.65,136.66,2013
2019-02-22,137.4,138.26,135.51,137.24,836
2019-02-25,137.75,138.16,134.83,136.14,1419
2019-02-26,135.56,136.4,133.78,134.71,1131
2019-02-27,134.03,137.3,133.69,136.66,1068
