date,open,high,low,close,volume
2018-12-10,104.51,108.97,104.01,108.29,11284
2018-12-11,110.97,111.11,105.92,107.87,11187
2018-12-12,109.88,112.17,107.07,107.87,12967
2018-12-13,108.81,108.97,102.24,103.95,17669
2018-12-14,102.17,105.95,102.1,103.29,10346
2018-12-17,101.62,101.62,92.29,93.45,30096
2018-12-18,94.21,95.83,90.76,93.25,24482
2018-12-19,94.0,96.3,89.73,90.41,22956
2018-12-20,89.77,90.38,82.22,85.12,30224
2018-12-21,86.06,86.54,80.62,82.14,24632
2018-12-24,80.51,82.86,78.59,80.44,7650
2018-12-26,82.19,89.92,82.04,89.81,19636
2018-12-27,88.47,92.17,87.25,92.17,11813
2018-12-28,92.33,93.13,88.85,90.74,7948
2018-12-31,91.46,93.64,88.93,90.08,10797
2019-01-02,88.34,92.11,87.65,90.47,10447
2019-01-03,88.98,89.91,84.27,84.58,15867
2019-01-04,87.31,90.9,86.66,90.06,16789
2019-01-07,90.96,98.36,90.38,95.55,15895
2019-01-08,97.82,98.82,94.17,96.76,11082
2019-01-09,97.65,100.37,97.2,98.32,10192
2019-01-10,96.67,99.69,93.85,99.23,11877
2019-01-11,98.24,100.06,95.8,96.4,8311
2019-01-14,94.65,95.74,93.0,93.66,10282
2019-01-15,92.89,96.2,92.53,93.87,13085
2019-01-16,94.2,97.28,94.2,95.71,8357
2019-01-17,95.41,97.95,95.41,96.52,7033
2019-01-18,97.35,102.23,97.24,102.14,12565
2019-01-22,101.24,101.45,95.46,97.24,16136
2019-01-23,97.91,99.15,94.6,95.98,8312
2019-01-24,95.94,100.65,95.94,99.86,8199
2019-01-25,101.0,103.74,100.26,102.19,9930
2019-01-28,101.2,105.52,99.02,104.47,13127
2019-01-29,105.0,106.26,102.7,104.22,9614
2019-01-30,106.01,109.28,105.05,107.79,11084
2019-01-31,108.53,109.69,107.9,109.46,6440
2019-02-01,108.83,112.61,108.47,109.99,11843
2019-02-04,109.82,113.94,109.33,113.61,7721
2019-02-05,114.22,118.15,114.22,117.0,18724
2019-02-06,117.13,120.29,116.71,119.65,11822
2019-02-07,117.99,117.99,114.31,116.61,11901
2019-02-08,116.16,121.47,115.94,120.42,14546
2019-02-11,121.11,121.49,118.88,119.44,14323
2019-02-12,120.81,121.47,119.83,120.92,16754
2019-02-13,120.6,121.37,117.51,119.77,15841
2019-02-14,118.54,121.35,116.71,120.08,14437
2019-02-15,121.14,122.47,120.26,122.11,8478
2019-02-19,121.78,124.24,120.11,120.13,16761
2019-02-20,120.34,121.44,116.99,117.99,19454
2019-02-21,117.82,118.98,115.66,117.28,17483
2019-02-22,141.54,156.78,141.2,149.95,97108
2019-02-25,151.3,162.74,151.3,160.28,56370
2019-02-26,158.1,164.26,157.0,163.51,34733
2019-02-27,162.01,165.72,161.48,163.85,25558
2019-02-28,162.92,166.13,161.76,165.68,15703
2019-03-01,167.5,170.99,164.43,169.83,22968
2019-03-04,168.0,169.4,161.34,166.49,20522
2019-03-05,165.73,169.8,165.04,166.23,14860
2019-03-06,165.9,167.34,163.5,164.97,12096
2019-03-07,164.59,165.9,161.04,163.27,15265
2019-03-08,160.52,165.25,159.01,165.1,10999
2019-03-11,165.8,171.85,164.5,170.17,15438
2019-03-12,170.67,172.79,168.77,171.57,11486
2019-03-13,172.5,172.5,167.54,168.72,14454
2019-03-14,169.01,169.75,164.5,165.32,11858
2019-03-15,164.31,166.52,163.38,166.01,10833
2019-03-18,165.96,169.85,164.91,169.25,9792
2019-03-19,170.22,170.8,167.85,168.32,6799
2019-03-20,170.0,173.0,167.67,171.14,10109
2019-03-21,172.31,173.72,169.88,171.37,8380
2019-03-22,170.02,171.52,158.41,158.5,21655
2019-03-25,157.27,164.02,156.62,161.55,14579
2019-03-26,163.62,164.07,158.0,158.5,13404
2019-03-27,158.81,159.05,149.2,150.32,27782
2019-03-28,151.93,153.16,148.76,149.79,16796
2019-03-29,150.12,153.15,148.2,148.45,13479
2019-04-01,149.63,150.15,146.75,149.0,13574
2019-04-02,149.1,151.66,148.75,149.39,11965
2019-04-03,150.2,157.11,149.67,156.04,12383
2019-04-04,156.08,157.39,151.2,155.03,10370
2019-04-05,156.39,156.84,151.61,152.5,8177
