date,open,high,low,close,volume
2018-12-10,158.62,158.62,155.55,156.0,2
2018-12-11,150.01,163.3,150.01,154.64,29
2018-12-12,156.22,159.4,149.51,156.98,8
2018-12-13,154.6,154.6,154.6,154.6,0
2018-12-14,157.11,157.11,154.15,154.15,2
2018-12-17,152.11,153.61,150.61,150.61,10
2018-12-18,154.13,155.37,150.65,151.57,10
2018-12-19,157.55,157.55,148.42,148.42,7
2018-12-20,148.5,151.3,148.5,149.85,17
2018-12-21,148.53,153.29,145.96,147.99,77
2018-12-24,147.64,148.39,144.36,146.5,9
2018-12-26,149.37,157.5,145.21,154.31,35
2018-12-27,156.77,163.5,153.12,157.7,8
2018-12-28,156.33,161.73,156.33,158.89,8
2018-12-31,158.99,174.25,155.83,159.0,12
2019-01-02,161.76,162.78,156.3,158.0,11
2019-01-03,157.0,157.0,154.5,154.5,4
2019-01-04,155.86,161.22,155.0,159.77,12
2019-01-07,161.74,169.13,159.1,162.7,42
2019-01-08,161.2,163.92,160.33,163.92,2
2019-01-09,166.98,166.98,161.19,164.45,8
2019-01-10,163.87,163.88,161.56,161.56,1
2019-01-11,160.85,163.74,158.14,160.48,8
2019-01-14,161.86,161.87,156.56,157.84,6
2019-01-15,177.38,177.38,155.27,156.15,17
2019-01-16,156.0,157.8,156.0,157.5,7
2019-01-17,156.61,159.84,156.61,156.9,7
2019-01-18,157.21,167.44,157.21,157.76,5
2019-01-22,157.5,158.75,157.5,158.75,3
2019-01-23,159.35,159.97,153.33,155.0,12
2019-01-24,167.44,167.45,155.15,157.45,21
2019-01-25,158.17,158.17,157.43,158.0,2
2019-01-28,157.51,160.0,152.7,155.1,4
2019-01-29,155.52,155.6,155.52,155.6,1
2019-01-30,156.44,156.44,153.0,155.2,7
2019-01-31,154.1,155.5,154.0,154.15,6
2019-02-01,154.5,155.89,154.03,155.89,3
2019-02-04,156.82,156.83,154.99,155.99,4
2019-02-05,157.88,157.88,156.51,156.51,2
2019-02-06,155.41,159.59,154.72,156.48,13
2019-02-07,155.0,160.0,155.0,160.0,1
2019-02-08,163.7,165.0,162.5,163.5,10
2019-02-11,163.89,166.0,163.89,166.0,4
2019-02-12,165.49,167.75,165.25,165.25,23
2019-02-13,165.25,165.25,165.25,165.25,0
2019-02-14,163.8,166.45,163.8,166.45,5
2019-02-15,166.97,169.91,166.97,168.05,10
2019-02-19,170.0,170.0,166.04,169.01,5
