date,open,high,low,close,volume
2018-12-10,67.93,68.32,64.55,66.82,7820
2018-12-11,68.21,68.6,65.07,66.31,6869
2018-12-12,67.78,68.73,66.82,67.36,6349
2018-12-13,67.66,68.79,66.32,67.0,4998
2018-12-14,66.12,67.32,63.96,64.63,8401
2018-12-17,64.24,66.7,63.78,65.0,6577
2018-12-18,65.31,67.0,64.4,64.49,8417
2018-12-19,64.43,65.39,62.04,62.37,6575
2018-12-20,61.84,64.14,61.32,61.66,6551
2018-12-21,61.46,62.75,61.21,61.4,4733
2018-12-24,60.93,62.55,60.2,60.82,2013
2018-12-26,60.71,63.7,59.77,63.59,2719
2018-12-27,62.45,65.01,62.13,65.0,2654
2018-12-28,65.04,65.37,63.97,64.59,3403
2018-12-31,65.07,66.2,64.67,66.17,4709
2019-01-02,65.0,68.36,64.99,67.46,6253
2019-01-03,67.18,67.79,65.17,65.23,4232
2019-01-04,67.34,69.84,67.04,69.57,5596
2019-01-07,69.53,70.88,68.15,69.93,8428
2019-01-08,72.5,74.77,71.95,74.52,15839
2019-01-09,75.01,76.09,74.45,75.36,9366
2019-01-10,74.44,75.85,73.01,75.74,6098
2019-01-11,75.02,75.75,74.52,75.07,5009
2019-01-14,74.27,75.22,73.31,74.12,4423
2019-01-15,74.0,74.37,71.94,72.59,4161
2019-01-16,73.07,76.08,72.75,74.71,7746
2019-01-17,74.18,76.08,73.62,75.51,3992
2019-01-18,76.21,79.23,76.21,77.83,8044
2019-01-22,77.0,77.39,74.06,74.93,4421
2019-01-23,74.93,75.32,72.31,72.5,6279
2019-01-24,72.48,73.0,72.35,72.74,4312
2019-01-25,73.58,75.37,73.35,75.1,4730
2019-01-28,74.0,74.74,73.53,74.37,3705
2019-01-29,74.19,77.3,74.19,76.72,4457
2019-01-30,75.96,77.44,74.1,77.03,3774
2019-01-31,75.93,76.01,73.55,73.9,7088
2019-02-01,73.78,75.95,73.45,75.34,4137
2019-02-04,75.48,75.84,74.36,75.43,3079
2019-02-05,75.31,77.96,75.31,77.85,4948
2019-02-06,76.81,77.44,75.67,75.77,3181
2019-02-07,75.09,75.78,73.09,73.96,6517
2019-02-08,73.5,74.34,72.34,73.54,5724
2019-02-11,73.45,75.06,73.45,74.82,9469
2019-02-12,75.7,77.82,75.58,77.32,6205
2019-02-13,77.88,78.22,77.19,77.55,5552
2019-02-14,77.11,78.39,77.01,77.8,3615
2019-02-15,78.86,81.04,78.62,80.88,13512
2019-02-19,72.5,79.89,72.3,77.03,21358
2019-02-20,76.5,79.91,74.01,79.89,19677
2019-02-21,79.31,79.81,74.52,74.77,11671
2019-02-22,75.13,76.29,75.01,75.57,5207
2019-02-25,75.78,76.32,73.45,73.83,7983
2019-02-26,72.5,73.49,72.19,72.21,5503
2019-02-27,72.08,72.55,71.51,72.46,4876
2019-02-28,72.28,72.66,69.66,69.87,7525
2019-03-01,70.64,71.86,68.3,69.65,8520
2019-03-04,70.17,71.18,68.88,70.64,9715
2019-03-05,70.57,70.95,69.4,69.44,4336
2019-03-06,69.89,72.02,69.54,70.66,7046
2019-03-07,70.7,71.18,68.15,68.91,4784
2019-03-08,68.03,68.19,66.64,67.53,4291
2019-03-11,67.96,69.28,67.5,68.77,3516
2019-03-12,69.05,69.47,68.47,68.55,4437
2019-03-13,69.24,69.77,68.22,69.4,4480
2019-03-14,69.03,69.32,68.16,68.71,3265
2019-03-15,68.82,69.75,68.45,69.22,3497
2019-03-18,69.36,70.13,68.43,70.11,4001
2019-03-19,70.74,71.46,69.05,69.31,3742
2019-03-20,68.86,70.02,68.34,69.06,4888
2019-03-21,68.15,70.36,68.15,69.7,5714
2019-03-22,68.86,69.0,65.68,66.08,5694
2019-03-25,66.17,66.9,64.48,64.87,6965
