date,open,high,low,close,volume
2018-12-10,1.9,1.94,1.85,1.86,5399
2018-12-11,1.87,1.92,1.86,1.89,6303
2018-12-12,1.84,2.01,1.84,1.92,3646
2018-12-13,1.93,1.94,1.81,1.82,7727
2018-12-14,1.75,1.82,1.68,1.7,7262
2018-12-17,1.68,1.74,1.64,1.64,6986
2018-12-18,1.66,1.68,1.5,1.5,13157
2018-12-19,1.5,1.56,1.32,1.33,20648
2018-12-20,1.36,1.4,1.31,1.37,13004
2018-12-21,1.37,1.39,1.3,1.3,7103
2018-12-24,1.32,1.37,1.27,1.27,6897
2018-12-26,1.27,1.47,1.27,1.44,9332
2018-12-27,1.41,1.49,1.32,1.37,6362
2018-12-28,1.37,1.47,1.35,1.37,7947
2018-12-31,1.37,1.44,1.31,1.33,11834
2019-01-02,1.35,1.5,1.33,1.5,3996
2019-01-03,1.52,1.53,1.425,1.45,2828
2019-01-04,1.46,1.58,1.46,1.54,4053
2019-01-07,1.53,1.83,1.51,1.8,9639
2019-01-08,1.81,1.82,1.6,1.61,5137
2019-01-09,1.62,1.72,1.58,1.68,4177
2019-01-10,1.65,1.7,1.6,1.64,4085
2019-01-11,1.63,1.72,1.61,1.69,5172
2019-01-14,1.68,1.75,1.66,1.67,4934
2019-01-15,1.69,1.69,1.44,1.45,17390
2019-01-16,1.53,1.66,1.46,1.61,11681
2019-01-17,1.56,1.6225,1.56,1.6,3504
2019-01-18,1.6,1.72,1.5901,1.69,5728
2019-01-22,1.69,1.69,1.61,1.63,2567
2019-01-23,1.65,1.7,1.55,1.56,2281
2019-01-24,1.56,1.59,1.54,1.54,1848
2019-01-25,1.56,1.62,1.53,1.55,3587
2019-01-28,1.55,1.55,1.49,1.5,2774
2019-01-29,1.51,1.51,1.44,1.47,5821
2019-01-30,1.49,1.5,1.45,1.5,3831
2019-01-31,1.48,1.56,1.48,1.52,2969
2019-02-01,1.56,1.6,1.5,1.53,5456
2019-02-04,1.5,1.5,1.28,1.32,37133
2019-02-05,1.31,1.31,1.175,1.21,27404
2019-02-06,1.22,1.27,1.21,1.27,9048
2019-02-07,1.27,1.27,1.17,1.21,8338
2019-02-08,1.2,1.285,1.19,1.26,13663
2019-02-11,1.25,1.31,1.23,1.3,7495
2019-02-12,1.31,1.37,1.26,1.35,10291
2019-02-13,1.35,1.36,1.33,1.33,6298
2019-02-14,1.33,1.36,1.2877,1.36,7740
2019-02-15,1.37,1.4,1.345,1.35,6581
2019-02-19,1.35,1.43,1.35,1.41,5904
2019-02-20,1.4,1.53,1.4,1.46,14437
2019-02-21,1.48,1.496,1.38,1.41,7566
2019-02-22,1.42,1.52,1.4174,1.49,6198
2019-02-25,1.49,1.52,1.41,1.41,4115
2019-02-26,1.4,1.44,1.375,1.39,4077
2019-02-27,1.39,1.45,1.35,1.41,3921
2019-02-28,1.4,1.4,1.33,1.35,2932
2019-03-01,1.37,1.38,1.325,1.37,5105
2019-03-04,1.35,1.4,1.33,1.365,3218
2019-03-05,1.36,1.37,1.31,1.31,3772
2019-03-06,1.3,1.31,1.25,1.26,5343
2019-03-07,1.26,1.33,1.21,1.31,5555
2019-03-08,1.31,1.34,1.25,1.3,4015
2019-03-11,1.31,1.4,1.2968,1.4,4877
2019-03-12,1.4,1.42,1.36,1.38,5441
2019-03-13,1.41,1.57,1.4,1.53,14135
2019-03-14,1.52,1.54,1.41,1.43,6927
2019-03-15,1.44,1.51,1.41,1.5,4599
2019-03-18,1.49,1.53,1.48,1.49,3435
2019-03-19,1.51,1.53,1.4573,1.5,8856
2019-03-20,1.42,1.46,1.31,1.44,15491
2019-03-21,1.44,1.52,1.4,1.5,6206
2019-03-22,1.49,1.53,1.47,1.49,4625
2019-03-25,1.48,1.51,1.425,1.5,4027
2019-03-26,1.51,1.53,1.46,1.5,3608
2019-03-27,1.51,1.54,1.47,1.52,4723
2019-03-28,1.53,1.685,1.53,1.66,9988
2019-03-29,1.66,1.68,1.55,1.55,6193
2019-04-01,1.57,1.62,1.52,1.6,2203
2019-04-02,1.59,1.6,1.55,1.59,957
2019-04-03,1.6,1.69,1.6,1.67,4832
2019-04-04,1.67,1.79,1.61,1.76,6542
2019-04-05,1.75,1.79,1.71,1.76,4965
2019-04-08,1.76,1.88,1.75,1.82,6088
2019-04-09,1.81,1.82,1.71,1.72,3166
2019-04-10,1.72,1.81,1.72,1.79,3035
2019-04-11,1.8,1.95,1.77,1.94,7798
2019-04-12,1.95,1.99,1.86,1.89,5534
2019-04-15,1.94,1.94,1.785,1.84,2734
