date,open,high,low,close,volume
2018-12-10,3.79,3.81,3.61,3.69,609
2018-12-11,3.65,3.65,3.23,3.28,2592
2018-12-12,3.23,3.4,3.23,3.35,969
2018-12-13,3.42,3.72,3.2,3.21,985
2018-12-14,3.23,3.23,3.11,3.19,600
2018-12-17,3.63,3.63,3.11,3.205,197
2018-12-18,3.34,3.34,3.11,3.11,821
2018-12-19,3.11,3.3,3.11,3.18,511
2018-12-20,3.2,3.24,3.15,3.155,288
2018-12-21,3.17,3.19,3.01,3.05,490
2018-12-24,3.19,3.19,2.89,2.905,257
2018-12-26,3.17,3.18,3.0,3.18,248
2018-12-27,3.12,3.18,2.94,3.16,154
2018-12-28,3.2,3.28,3.18,3.2,257
2018-12-31,3.24,3.25,3.15,3.15,351
2019-01-02,3.23,3.3,3.1,3.24,112
2019-01-03,3.22,3.25,3.13,3.25,71
2019-01-04,3.25,3.3,3.21,3.25,264
2019-01-07,3.25,3.25,3.01,3.12,727
2019-01-08,3.22,3.22,3.0,3.05,499
2019-01-09,3.13,3.2,3.05,3.15,351
2019-01-10,3.19,3.23,3.1,3.1,476
2019-01-11,3.13,3.25,3.12,3.245,552
2019-01-14,3.27,3.38,3.24,3.29,958
2019-01-15,3.3,3.3,3.01,3.05,437
2019-01-16,3.14,3.25,3.02,3.225,692
2019-01-17,3.27,3.48,3.23,3.43,702
2019-01-18,3.4,3.68,3.28,3.645,426
2019-01-22,3.68,3.68,3.4,3.6,373
2019-01-23,3.64,3.65,3.5,3.5,273
2019-01-24,3.58,3.6,3.44,3.6,275
2019-01-25,3.6,3.8,3.57,3.72,546
2019-01-28,3.64,3.79,3.19,3.43,773
2019-01-29,3.32,3.58,3.32,3.575,85
2019-01-30,3.46,3.62,3.3,3.35,443
2019-01-31,3.6,3.68,3.33,3.64,677
2019-02-01,3.68,3.68,3.6,3.65,198
2019-02-04,3.81,4.05,3.65,4.05,2379
2019-02-05,4.08,4.48,3.96,4.3,1461
2019-02-06,4.35,4.4,4.0,4.25,1218
2019-02-07,4.28,4.28,4.02,4.15,502
2019-02-08,4.35,5.0,4.2,4.42,9814
2019-02-11,4.6,4.75,4.43,4.48,1363
2019-02-12,4.5,4.6,4.18,4.18,1106
2019-02-13,4.17,4.3,4.05,4.15,710
2019-02-14,4.28,4.38,4.15,4.28,552
2019-02-15,4.17,4.37,4.17,4.29,625
2019-02-19,4.35,4.36,4.2,4.23,544
2019-02-20,4.38,4.44,4.2,4.44,621
2019-02-21,4.47,4.7,4.34,4.64,1483
2019-02-22,4.74,4.74,4.46,4.7,956
2019-02-25,4.82,4.89,4.42,4.42,1127
2019-02-26,4.55,4.75,4.5,4.75,1106
2019-02-27,4.75,4.77,4.49,4.66,1232
2019-02-28,4.7,4.9,4.55,4.82,1655
2019-03-01,4.85,5.18,4.7,5.15,1929
2019-03-04,5.15,5.64,5.01,5.6,2781
2019-03-05,5.65,5.7,5.45,5.54,1258
2019-03-06,5.41,5.7,5.41,5.6,843
2019-03-07,5.44,5.67,5.44,5.54,579
2019-03-08,5.61,6.02,5.52,5.95,3972
2019-03-11,6.0,6.44,6.0,6.2,3864
2019-03-12,6.22,6.75,6.22,6.6,3463
2019-03-13,6.75,6.75,5.78,5.8,3529
2019-03-14,5.97,6.04,5.82,5.93,1185
2019-03-15,6.01,6.03,5.41,5.41,2352
2019-03-18,5.5,5.63,5.2,5.34,1585
2019-03-19,5.48,6.05,5.39,6.0,2139
2019-03-20,6.4,7.1,5.82,6.2,4448
2019-03-21,6.03,6.33,5.97,6.07,768
2019-03-22,6.05,6.65,6.05,6.54,1221
2019-03-25,6.62,6.64,6.19,6.25,1215
2019-03-26,6.07,6.39,6.05,6.3,1694
2019-03-27,6.37,6.55,6.11,6.52,1435
2019-03-28,6.69,7.0,6.52,6.8,7621
2019-03-29,6.98,7.14,6.74,7.1,2947
2019-04-01,7.19,7.32,6.7,6.92,2152
2019-04-02,7.0,7.0,6.61,6.96,533
2019-04-03,7.0,7.02,6.75,6.87,705
2019-04-04,6.94,6.94,6.47,6.5,1350
2019-04-05,6.59,6.59,6.3,6.38,1018
2019-04-08,6.47,6.94,6.45,6.9,1326
2019-04-09,6.94,7.15,6.83,7.02,1614
2019-04-10,7.01,7.32,6.9,7.32,1601
2019-04-11,7.33,7.5,7.32,7.45,1924
2019-04-12,7.46,7.57,7.13,7.5,907
2019-04-15,7.5,7.8,7.38,7.8,1599
2019-04-16,7.84,8.0,7.38,7.6,2948
2019-04-17,7.71,7.98,7.47,7.97,1243
2019-04-18,7.98,7.98,7.62,7.91,1219
2019-04-22,8.0,8.0,7.66,7.8,1044
2019-04-23,7.89,7.89,7.0,7.43,2735
2019-04-24,7.42,7.59,6.5,7.2,4006
2019-04-25,7.11,7.21,6.85,7.05,1262
2019-04-26,6.96,7.12,6.7,6.79,652
2019-04-29,6.79,6.99,6.66,6.75,701
2019-04-30,6.65,6.85,6.56,6.76,822
2019-05-01,6.87,6.99,6.56,6.7,746
2019-05-02,6.66,6.75,6.5,6.62,660
2019-05-03,6.63,6.91,6.55,6.83,968
2019-05-06,6.77,7.08,6.67,6.83,948
2019-05-07,6.82,6.95,6.56,6.73,1036
2019-05-08,6.64,6.78,6.63,6.66,884
2019-05-09,6.91,6.99,6.63,6.81,1596
2019-05-10,6.81,6.89,6.72,6.73,806
2019-05-13,6.79,6.79,6.55,6.63,942
2019-05-14,6.67,6.75,6.57,6.65,608
2019-05-15,6.65,6.8,6.57,6.75,643
2019-05-16,6.83,7.12,6.72,7.04,3051
2019-05-17,7.0,7.1,6.75,6.99,1376
2019-05-20,7.17,7.35,6.84,6.96,2500
2019-05-21,7.06,7.25,6.98,7.15,1552
2019-05-22,7.21,7.3,7.08,7.24,863
2019-05-23,7.27,7.4,6.9,6.99,1793
2019-05-24,7.05,7.14,6.95,7.13,730
2019-05-28,7.14,7.25,6.87,6.93,1040
2019-05-29,6.8,6.84,5.8,6.04,2480
2019-05-30,6.1,6.18,5.85,6.17,773
2019-05-31,6.09,6.44,6.0,6.19,521
2019-06-03,6.26,6.3,6.0,6.05,752
2019-06-04,6.06,6.15,5.81,6.08,1084
2019-06-05,6.1,7.08,6.1,6.78,2415
2019-06-06,6.83,6.9,6.52,6.7,1013
2019-06-07,6.79,6.9,6.55,6.86,848
2019-06-10,6.87,6.87,6.61,6.8,773
2019-06-11,6.82,6.85,6.66,6.68,566
2019-06-12,6.73,7.04,6.7,6.95,1124
2019-06-13,7.0,7.12,6.66,7.04,1384
2019-06-14,7.19,7.19,6.7,6.77,1516
2019-06-17,6.87,6.89,6.26,6.47,1712
2019-06-18,6.53,6.55,6.43,6.49,531
2019-06-19,6.5,6.53,6.4,6.4,516
2019-06-20,6.48,6.85,6.4,6.65,1211
2019-06-21,6.65,6.75,6.45,6.45,607
2019-06-24,6.47,6.5,6.07,6.09,1140
2019-06-25,6.15,6.2,6.05,6.12,698
2019-06-26,6.17,6.45,6.17,6.39,753
2019-06-27,6.35,6.48,5.75,5.84,2501
2019-06-28,5.94,6.33,5.94,6.22,2338
2019-07-01,6.25,6.25,6.01,6.08,1454
2019-07-02,6.12,6.12,6.07,6.11,690
2019-07-03,6.11,6.19,6.01,6.01,506
2019-07-05,5.89,5.97,5.56,5.63,1624
2019-07-08,5.62,5.77,5.62,5.64,423
2019-07-09,5.63,5.69,5.6,5.66,1929
2019-07-10,5.65,5.78,5.36,5.47,1479
2019-07-11,5.49,5.49,5.2,5.26,1125
2019-07-12,5.24,5.24,4.81,5.11,2811
2019-07-15,5.18,5.36,5.13,5.27,1006
2019-07-16,5.33,5.45,5.25,5.33,685
2019-07-17,5.36,5.5,5.2,5.34,1459
2019-07-18,5.36,5.44,5.02,5.07,1343
2019-07-19,5.1,5.15,5.05,5.1,880
2019-07-22,5.14,5.29,5.06,5.1,760
2019-07-23,5.12,5.19,5.05,5.07,641
2019-07-24,5.07,5.1,5.02,5.05,495
2019-07-25,5.06,5.06,4.27,4.34,2752
2019-07-26,4.45,4.65,4.34,4.37,1125
2019-07-29,4.35,4.35,3.86,3.95,3942
2019-07-30,3.97,5.05,3.97,4.87,3590
2019-07-31,4.98,5.09,4.65,4.82,2456
2019-08-01,4.84,4.9,4.54,4.62,736
2019-08-02,4.66,4.75,4.31,4.44,1230
2019-08-05,4.45,4.45,4.24,4.28,689
2019-08-06,4.33,4.33,3.91,4.12,1864
2019-08-07,4.14,4.24,3.97,4.04,827
2019-08-08,4.03,4.28,4.0,4.265,959
2019-08-09,4.26,4.65,4.25,4.48,1501
2019-08-12,4.5,4.67,4.42,4.45,1736
2019-08-13,4.48,4.61,4.45,4.5,737
2019-08-14,4.46,4.46,4.25,4.36,880
2019-08-15,4.34,4.34,4.12,4.185,629
2019-08-16,4.21,4.35,4.1,4.23,516
2019-08-19,4.29,4.86,4.28,4.44,1701
2019-08-20,4.44,4.5,4.26,4.38,544
2019-08-21,4.46,4.67,4.3,4.45,2045
2019-08-22,4.46,4.52,4.17,4.22,323
2019-08-23,4.22,4.3,4.09,4.14,602
2019-08-26,4.2,4.2,3.97,4.09,579
2019-08-27,4.12,4.14,3.81,3.87,1452
2019-08-28,3.82,3.92,3.77,3.83,1272
2019-08-29,3.73,4.01,3.68,4.0,1421
2019-08-30,3.9,4.2,3.72,4.15,1144
2019-09-03,4.15,4.18,3.9,4.01,1021
2019-09-04,4.01,4.21,3.86,3.99,697
2019-09-05,4.04,4.39,4.02,4.25,3049
2019-09-06,4.3,4.58,4.25,4.34,1315
2019-09-09,4.36,4.46,4.1,4.1,571
2019-09-10,4.08,4.19,4.05,4.17,256
2019-09-11,4.18,4.58,4.02,4.42,791
2019-09-12,4.44,4.45,4.15,4.29,343
2019-09-13,4.31,4.31,4.12,4.15,688
2019-09-16,4.12,4.3,4.1,4.16,439
2019-09-17,4.19,4.3,4.15,4.26,547
2019-09-18,4.27,4.45,4.16,4.33,775
2019-09-19,4.34,4.42,4.25,4.34,996
2019-09-20,4.35,4.45,4.09,4.24,978
