date,open,high,low,close,volume
2018-12-10,25.17,25.53,25.17,25.31,65
2018-12-11,25.64,25.64,25.05,25.31,389
2018-12-12,25.22,25.44,25.15,25.26,107
2018-12-13,25.26,25.53,25.26,25.445,195
2018-12-14,25.38,25.59,25.26,25.54,282
2018-12-17,25.55,25.55,25.25,25.3,225
2018-12-18,25.25,25.44,25.21,25.42,173
2018-12-19,25.25,25.42,25.01,25.27,362
2018-12-20,25.01,25.19,24.59,24.855,192
2018-12-21,25.0,25.02,24.8,24.9,328
2018-12-24,24.56,24.95,24.5,24.76,122
2018-12-26,24.65,25.14,24.65,25.015,70
2018-12-27,24.97,25.09,24.42,24.77,113
2018-12-28,24.27,24.64,24.18,24.64,189
2018-12-31,24.75,25.38,24.4,25.1,149
2019-01-02,25.1,25.54,25.0,25.44,203
2019-01-03,25.44,25.86,25.39,25.76,58
2019-01-04,25.88,25.94,25.31,25.92,70
2019-01-07,25.71,26.22,25.71,26.22,62
2019-01-08,26.01,26.52,25.94,26.52,58
2019-01-09,26.52,26.92,26.34,26.84,131
2019-01-10,26.74,26.78,26.03,26.69,25
2019-01-11,26.79,26.79,26.08,26.75,178
2019-01-14,26.28,26.74,26.28,26.5,124
2019-01-15,26.75,26.88,26.14,26.67,61
2019-01-16,26.77,26.77,26.06,26.36,23
2019-01-17,26.6,26.78,26.36,26.78,77
2019-01-18,26.79,26.89,26.24,26.89,87
2019-01-22,27.15,27.97,26.75,27.87,255
2019-01-23,27.48,27.55,27.14,27.31,116
2019-01-24,27.3,27.31,27.06,27.3,124
2019-01-25,27.3,27.57,27.3,27.5,45
2019-01-28,27.23,27.86,27.12,27.85,131
2019-01-29,27.75,27.76,27.17,27.76,128
2019-01-30,27.84,27.84,27.39,27.78,169
2019-01-31,27.7,28.85,27.67,28.85,183
2019-02-01,28.69,28.85,27.93,28.45,621
2019-02-04,28.34,28.62,27.42,27.57,70
2019-02-05,28.14,28.26,27.62,27.8,63
2019-02-06,27.98,28.26,27.61,27.97,28
2019-02-07,27.84,27.95,27.74,27.95,21
2019-02-08,27.97,28.0,27.89,28.0,45
2019-02-11,27.69,28.0,27.68,27.885,46
2019-02-12,27.8,28.25,27.78,27.995,82
2019-02-13,28.0,28.0,27.58,27.995,58
2019-02-14,27.68,28.0,27.64,28.0,73
2019-02-15,27.66,28.09,27.65,28.0,51
2019-02-19,27.9,28.0,27.65,27.9,34
2019-02-20,27.95,27.95,27.6,27.94,33
2019-02-21,27.67,27.85,27.65,27.65,81
2019-02-22,27.67,27.9,27.67,27.84,105
2019-02-25,27.85,28.15,27.74,27.8,116
2019-02-26,27.83,28.14,27.72,28.14,29
2019-02-27,28.06,28.3,27.72,28.17,80
2019-02-28,27.84,28.83,27.84,28.83,134
2019-03-01,28.77,29.08,28.01,29.08,213
2019-03-04,31.89,31.89,28.35,28.8,108
2019-03-05,28.51,28.87,28.1,28.82,104
2019-03-06,28.51,28.88,28.45,28.8,49
2019-03-07,28.49,28.65,28.31,28.4,92
2019-03-08,28.36,28.52,28.01,28.52,75
2019-03-11,28.29,28.45,28.16,28.195,71
2019-03-12,28.19,28.31,28.02,28.02,174
2019-03-13,28.2,28.2,27.99,28.02,337
2019-03-14,28.05,28.05,28.01,28.05,33
2019-03-15,28.07,28.07,27.94,28.04,141
2019-03-18,28.02,28.17,27.96,28.17,35
2019-03-19,28.02,28.02,27.94,28.0,125
2019-03-20,28.02,28.04,27.95,28.0,50
2019-03-21,28.07,28.07,28.01,28.07,37
2019-03-22,27.97,28.0,27.93,28.0,14
2019-03-25,28.02,28.1,27.91,28.1,164
2019-03-26,28.09,28.1,27.99,28.06,88
2019-03-27,28.11,28.11,27.91,28.06,129
2019-03-28,28.1,28.38,28.02,28.2,320
2019-03-29,27.98,27.98,27.8,27.87,112
2019-04-01,27.84,27.87,27.65,27.82,91
2019-04-02,27.87,27.89,27.65,27.77,44
2019-04-03,27.9,27.9,27.73,27.78,15
2019-04-04,27.67,27.84,27.67,27.84,127
2019-04-05,27.75,27.87,27.74,27.825,86
2019-04-08,27.78,27.84,27.71,27.745,24
2019-04-09,27.67,27.87,27.67,27.74,25
2019-04-10,27.69,27.8,27.69,27.745,37
2019-04-11,27.88,27.88,27.76,27.87,33
2019-04-12,27.88,27.91,27.72,27.76,14
2019-04-15,27.86,27.87,27.72,27.805,25
2019-04-16,27.86,27.91,27.83,27.855,14
2019-04-17,27.87,27.91,27.81,27.865,35
2019-04-18,27.83,27.85,27.8,27.85,43
2019-04-22,27.77,27.8,27.72,27.73,42
2019-04-23,27.83,27.93,27.77,27.93,67
2019-04-24,27.86,27.91,27.77,27.77,47
2019-04-25,27.72,27.86,27.72,27.8,39
2019-04-26,27.91,27.91,27.73,27.87,30
2019-04-29,27.92,27.92,27.73,27.87,30
2019-04-30,27.92,27.93,27.77,27.92,53
2019-05-01,27.83,27.87,27.75,27.77,63
2019-05-02,27.75,27.87,27.73,27.81,40
2019-05-03,27.73,27.92,27.72,27.875,24
2019-05-06,27.57,27.87,27.57,27.79,27
2019-05-07,27.67,27.78,27.66,27.76,39
2019-05-08,27.67,27.75,27.66,27.68,8
2019-05-09,27.58,27.75,27.58,27.72,25
2019-05-10,27.7,27.86,27.7,27.84,25
2019-05-13,27.8,27.88,27.64,27.64,30
2019-05-14,27.73,27.92,27.72,27.835,51
2019-05-15,27.9,27.92,27.81,27.91,33
2019-05-16,27.66,28.03,27.66,28.03,48
2019-05-17,28.07,28.07,27.76,28.0,42
2019-05-20,27.99,28.08,27.68,27.69,137
2019-05-21,27.76,27.95,27.7,27.86,28
2019-05-22,27.85,28.08,27.84,28.07,22
2019-05-23,27.92,28.07,27.9,27.905,37
2019-05-24,28.07,28.07,27.74,27.91,20
2019-05-28,28.0,28.12,27.98,28.115,26
2019-05-29,28.15,28.15,27.85,28.08,21
2019-05-30,28.05,28.24,28.05,28.23,11
2019-05-31,28.16,28.48,27.95,28.48,66
2019-06-03,28.4,28.54,28.18,28.53,63
2019-06-04,28.44,28.59,28.43,28.53,13
2019-06-05,28.59,28.7,28.38,28.38,33
2019-06-06,28.36,28.75,28.36,28.39,26
2019-06-07,29.04,29.18,28.73,28.9,64
2019-06-10,28.97,28.97,28.47,28.52,63
2019-06-11,28.52,28.52,28.39,28.5,20
2019-06-12,28.34,28.44,28.08,28.08,33
2019-06-13,28.1,28.3,28.04,28.155,24
2019-06-14,28.07,28.59,28.02,28.45,729
2019-06-17,28.4,28.76,28.3,28.755,16
2019-06-18,28.8,28.98,28.51,28.98,78
2019-06-19,28.86,29.0,28.52,28.55,102
2019-06-20,28.66,28.99,28.54,28.76,103
2019-06-21,28.62,28.65,28.47,28.54,155
2019-06-24,28.51,28.73,28.38,28.47,31
2019-06-25,28.76,28.76,28.45,28.45,29
2019-06-26,28.6,28.65,28.45,28.58,29
2019-06-27,28.51,28.62,28.45,28.6,35
2019-06-28,28.54,28.67,28.09,28.19,122
2019-07-01,28.35,28.35,28.01,28.01,21
2019-07-02,28.01,28.25,28.01,28.18,23
2019-07-03,27.99,28.35,27.99,28.12,12
2019-07-05,27.99,28.26,27.99,28.165,7
2019-07-08,28.0,28.25,27.99,27.99,31
2019-07-09,28.02,28.19,27.9,28.03,73
2019-07-10,27.96,28.16,27.94,28.15,25
2019-07-11,28.1,28.19,28.07,28.115,26
2019-07-12,28.18,28.19,28.03,28.035,14
2019-07-15,28.23,28.28,27.92,28.065,21
2019-07-16,28.0,28.29,28.0,28.13,17
2019-07-17,28.14,28.29,28.09,28.28,41
2019-07-18,28.28,28.4,28.21,28.4,29
2019-07-19,28.32,28.49,28.24,28.29,50
2019-07-22,28.34,28.4,28.24,28.28,35
2019-07-23,28.47,28.57,28.22,28.57,52
2019-07-24,28.57,28.74,28.33,28.52,53
2019-07-25,28.36,28.74,28.36,28.57,51
2019-07-26,28.35,28.6,28.35,28.6,37
2019-07-29,28.56,28.72,28.5,28.57,62
2019-07-30,28.49,28.57,28.45,28.57,120
2019-07-31,28.48,28.99,28.47,28.62,68
2019-08-01,28.66,29.0,28.66,28.77,16
2019-08-02,28.85,28.99,28.85,28.99,2
2019-08-05,28.9,29.0,28.6,28.99,9
2019-08-06,28.64,29.19,28.63,29.01,89
2019-08-07,28.73,29.0,28.67,28.945,18
2019-08-08,28.56,29.06,28.52,28.86,35
2019-08-09,29.19,29.19,28.79,28.85,15
2019-08-12,28.8,29.09,28.8,29.09,30
2019-08-13,28.95,29.07,28.91,29.065,52
2019-08-14,29.08,29.1,28.98,29.01,85
2019-08-15,28.99,29.17,28.95,28.96,44
2019-08-16,28.96,29.12,28.85,29.12,71
2019-08-19,29.11,29.17,28.99,29.17,15
2019-08-20,29.1,29.1,28.77,29.08,29
2019-08-21,28.69,29.02,28.61,28.84,129
2019-08-22,28.8,29.0,28.58,28.75,38
2019-08-23,28.62,29.0,28.62,28.7,36
2019-08-26,28.73,28.81,28.65,28.72,26
2019-08-27,28.77,28.88,28.63,28.83,99
2019-08-28,28.98,28.98,28.68,28.75,68
2019-08-29,28.83,28.83,28.75,28.83,81
2019-08-30,28.78,28.89,28.65,28.74,58
2019-09-03,28.79,28.94,28.62,28.79,56
2019-09-04,28.96,28.97,28.71,28.88,57
2019-09-05,28.88,28.92,28.77,28.79,40
2019-09-06,28.74,28.87,28.57,28.58,71
2019-09-09,29.0,29.0,28.67,28.67,6
2019-09-10,28.69,28.89,28.57,28.7,48
2019-09-11,28.58,29.0,28.56,28.6,61
2019-09-12,28.78,29.0,28.56,28.65,30
2019-09-13,28.58,28.6,27.9,28.36,123
2019-09-16,28.24,28.61,28.17,28.43,20
2019-09-17,28.58,28.58,28.03,28.57,32
2019-09-18,28.68,28.74,28.5,28.64,80
2019-09-19,28.79,28.87,28.7,28.78,69
2019-09-20,28.87,28.9,28.71,28.9,18
2019-09-23,28.9,29.19,28.84,29.19,39
2019-09-24,29.16,29.29,29.09,29.29,44
2019-09-25,29.33,29.33,29.24,29.28,30
2019-09-26,29.28,29.41,29.13,29.41,66
2019-09-27,29.35,29.85,29.3,29.6,134
2019-09-30,29.44,29.98,29.4,29.48,86
2019-10-01,29.19,29.76,29.19,29.76,56
2019-10-02,29.63,29.7,29.56,29.68,8
2019-10-03,29.68,30.08,29.68,29.9,67
2019-10-04,29.58,29.91,29.58,29.805,31
2019-10-07,29.65,29.98,29.65,29.95,42
2019-10-08,30.16,30.16,29.75,29.985,16
2019-10-09,29.46,30.05,29.4,29.64,117
2019-10-10,30.0,30.0,29.3,29.32,27
2019-10-11,29.05,29.51,29.05,29.245,29
2019-10-14,29.48,29.48,29.09,29.38,28
2019-10-15,29.39,29.39,29.0,29.16,135
2019-10-16,29.15,29.3,29.1,29.23,32
2019-10-17,29.09,29.25,29.06,29.06,18
2019-10-18,29.1,29.28,28.91,28.995,75
2019-10-21,28.94,29.02,28.93,28.93,46
2019-10-22,28.93,29.14,28.93,29.1,49
2019-10-23,29.08,29.26,29.05,29.07,61
2019-10-24,29.14,29.25,29.04,29.23,24
2019-10-25,29.16,29.3,29.1,29.1,48
2019-10-28,29.03,29.23,29.03,29.22,13
2019-10-29,29.24,29.24,28.8,29.02,22
2019-10-30,28.96,29.23,28.96,29.0,52
2019-10-31,28.83,29.23,28.83,29.23,266
2019-11-01,28.9,29.3,28.9,28.925,52
2019-11-04,29.17,29.18,29.01,29.05,60
2019-11-05,28.76,29.0,28.7,28.81,58
2019-11-06,28.87,29.03,28.36,28.41,159
2019-11-07,28.37,28.53,28.34,28.35,27
2019-11-08,28.48,28.52,28.35,28.35,54
2019-11-11,28.35,28.44,28.24,28.315,30
2019-11-12,28.32,28.49,28.21,28.35,82
2019-11-13,28.25,28.39,28.25,28.39,57
2019-11-14,28.45,28.61,28.29,28.4,78
2019-11-15,29.15,29.15,28.5,28.6,37
2019-11-18,28.62,28.79,28.29,28.33,33
2019-11-19,28.21,28.55,28.21,28.48,55
2019-11-20,28.21,28.47,28.19,28.27,32
2019-11-21,28.38,28.55,28.21,28.38,50
2019-11-22,28.5,28.5,28.33,28.33,14
2019-11-25,28.31,28.6,28.25,28.5,19
2019-11-26,28.45,28.46,28.24,28.455,47
2019-11-27,28.72,28.72,28.26,28.26,25
2019-11-29,28.35,28.64,28.29,28.64,21
2019-12-02,28.21,28.4,28.17,28.17,19
2019-12-03,28.24,28.35,28.21,28.31,20
2019-12-04,28.31,28.38,28.27,28.35,4
2019-12-05,28.47,28.47,28.15,28.16,33
2019-12-06,28.22,28.33,28.14,28.175,13
2019-12-09,28.23,28.42,28.15,28.15,26
2019-12-10,28.15,28.21,28.12,28.175,50
2019-12-11,28.17,28.31,28.16,28.3,74
2019-12-12,28.19,28.34,28.04,28.3,92
2019-12-13,28.23,28.32,28.22,28.315,12
2019-12-16,28.31,28.49,28.25,28.38,12
