date,open,high,low,close,volume
2018-12-10,51.2,61.6,50.004,53.6,162
2018-12-11,55.2,55.2,50.4,52.4,38
2018-12-12,53.2,53.2,43.2,46.8,79
2018-12-13,46.8,48.8,36.804,43.2,45
2018-12-14,42.348,45.2,39.6,40.4,22
2018-12-17,40.4,40.4,36.08,37.3,15
2018-12-18,37.352,39.96,32.4,32.4,35
2018-12-19,34.0,36.392,32.4,34.748,16
2018-12-20,34.56,37.4,27.2,35.996,63
2018-12-21,32.044,34.0,29.292,32.256,29
2018-12-24,29.2,31.6,29.2,30.092,11
2018-12-26,31.48,33.8,30.104,32.04,13
2018-12-27,32.4,32.4,30.0,30.0,6
2018-12-28,31.6,31.6,29.2,29.996,12
2018-12-31,30.0,36.0,29.3,33.2,22
2019-01-02,34.8,35.996,30.76,30.8,11
2019-01-03,32.28,34.968,32.28,34.8,12
2019-01-04,33.2,46.0,33.2,43.28,41
2019-01-07,45.6,45.6,41.2,44.8,18
2019-01-08,44.0,47.6,42.0,46.8,11
2019-01-09,46.0,48.0,42.0,46.8,4
2019-01-10,45.2,46.0,42.4,42.4,2
2019-01-11,42.4,45.2,41.6,44.0,2
2019-01-14,43.6,46.8,40.8,44.372,1
2019-01-15,46.0,47.2,40.0,42.8,36
2019-01-16,40.4,43.6,40.0,42.4,11
2019-01-17,42.4,44.4,41.2,42.4,3
2019-01-18,42.8,44.4,42.8,43.204,5
2019-01-22,43.2,44.0,40.4,42.0,3
2019-01-23,41.6,44.796,40.8,40.8,8
2019-01-24,41.204,42.8,38.8,40.0,4
2019-01-25,40.8,42.0,36.876,39.2,7
2019-01-28,38.4,41.2,37.404,40.0,5
2019-01-29,40.0,42.0,38.04,40.4,5
2019-01-30,38.004,40.4,38.0,40.4,1
2019-01-31,40.4,41.2,38.444,40.0,2
2019-02-01,41.6,43.2,39.216,43.2,14
2019-02-04,43.2,43.2,39.4,41.2,2
2019-02-05,40.968,43.2,40.8,41.64,5
2019-02-06,42.0,43.2,40.4,40.4,5
2019-02-07,41.2,42.4,40.8,42.4,3
2019-02-08,42.0,42.0,39.8,39.8,2
2019-02-11,39.6,42.004,38.928,40.0,3
2019-02-12,40.8,42.0,37.6,41.6,2
2019-02-13,42.0,47.6,41.796,44.0,54
2019-02-14,42.8,45.6,41.6,41.6,33
2019-02-15,42.0,45.2,40.8,42.4,5
2019-02-19,42.4,46.0,42.4,46.0,7
2019-02-20,47.2,47.6,44.8,45.2,10
2019-02-21,45.6,45.6,42.4,45.2,11
2019-02-22,43.244,47.2,42.8,46.4,7
2019-02-25,46.0,46.4,43.2,46.4,4
2019-02-26,46.4,46.4,44.0,44.0,2
2019-02-27,44.8,46.0,43.6,45.6,3
2019-02-28,47.6,59.2,47.2,50.0,254
2019-03-01,50.0,55.748,48.82,53.308,27
2019-03-04,53.2,60.8,52.4,54.4,49
2019-03-05,55.2,58.0,49.6,49.6,15
2019-03-06,49.6,54.0,44.892,46.8,35
2019-03-07,46.0,48.0,44.8,46.804,7
2019-03-08,46.8,57.6,46.8,52.0,28
2019-03-11,52.8,52.8,44.8,50.8,10
2019-03-12,50.8,50.8,47.2,48.972,4
2019-03-13,48.4,49.6,46.0,48.404,6
2019-03-14,48.8,70.704,47.204,58.4,369
2019-03-15,48.4,49.98,44.8,46.8,119
2019-03-18,48.8,52.4,47.6,50.6,45
2019-03-19,50.4,51.748,47.2,50.8,45
2019-03-20,50.4,50.4,47.2,49.04,20
2019-03-21,48.8,49.2,46.8,47.6,8
2019-03-22,46.8,53.204,46.8,49.44,23
2019-03-25,50.0,51.2,48.0,48.4,18
2019-03-26,48.0,48.208,43.2,46.0,24
2019-03-27,44.8,47.6,44.404,46.4,7
2019-03-28,46.384,47.072,45.2,45.6,10
2019-03-29,45.2,47.2,45.2,45.6,7
2019-04-01,44.4,48.12,44.4,46.4,9
2019-04-02,46.0,49.2,45.6,49.2,20
2019-04-03,48.4,52.4,45.6,47.2,44
2019-04-04,47.6,50.0,47.6,48.0,24
2019-04-05,48.4,50.0,48.4,49.2,31
2019-04-08,48.8,50.0,48.0,48.4,18
2019-04-09,47.6,49.6,47.6,48.064,11
2019-04-10,47.852,49.2,47.2,47.2,11
2019-04-11,47.2,49.2,47.2,48.8,17
2019-04-12,49.2,49.2,47.864,48.208,9
2019-04-15,48.4,49.2,47.6,47.6,14
2019-04-16,48.4,48.8,47.2,47.6,18
2019-04-17,48.0,48.624,46.0,46.0,7
2019-04-18,46.8,47.2,44.004,45.12,8
2019-04-22,46.8,46.8,44.4,45.2,6
2019-04-23,45.2,47.2,44.624,45.2,4
2019-04-24,44.8,46.8,44.8,44.8,6
2019-04-25,45.2,46.4,45.2,46.4,9
2019-04-26,46.4,46.4,43.6,43.6,19
2019-04-29,44.0,45.16,42.8,42.8,7
2019-04-30,43.28,44.0,42.152,43.6,10
2019-05-01,44.8,44.8,42.612,43.6,5
2019-05-02,43.6,46.788,42.4,44.4,85
2019-05-03,46.0,47.2,43.2,45.548,40
2019-05-06,45.6,47.2,44.8,46.0,9
2019-05-07,46.8,50.4,45.2,46.0,23
2019-05-08,52.0,58.8,40.4,40.4,864
2019-05-09,39.2,43.196,37.2,42.0,68
2019-05-10,40.4,41.2,36.0,37.6,51
2019-05-13,36.0,37.58,36.0,36.804,18
2019-05-14,37.6,37.6,36.0,36.376,13
2019-05-15,36.396,36.44,34.58,35.72,13
2019-05-16,36.184,38.16,35.404,35.968,11
2019-05-17,37.2,37.2,35.204,35.596,10
2019-05-20,36.0,36.92,34.4,34.84,9
2019-05-21,34.976,36.4,34.8,35.684,9
2019-05-22,36.0,37.2,35.2,36.004,4
2019-05-23,35.2,35.2,32.6,33.604,24
2019-05-24,35.2,35.6,34.068,35.376,6
2019-05-28,35.376,37.2,33.276,34.8,8
2019-05-29,34.4,35.0,33.88,34.4,10
2019-05-30,34.0,34.86,33.2,34.0,3
2019-05-31,34.052,34.052,32.0,32.0,9
2019-06-03,32.0,32.016,29.2,30.8,16
2019-06-04,31.216,32.164,29.2,31.2,17
2019-06-05,31.6,37.6,30.0,37.268,137
2019-06-06,37.2,37.208,31.72,34.8,22
2019-06-07,36.0,36.928,33.6,35.548,8
2019-06-10,36.0,37.108,34.0,34.56,6
2019-06-11,34.0,37.268,34.0,36.8,8
2019-06-12,35.2,43.6,35.2,37.4,193
2019-06-13,38.0,39.2,35.2,35.2,22
2019-06-14,36.4,36.4,32.004,33.76,19
2019-06-17,34.8,34.82,32.4,33.76,13
2019-06-18,33.6,33.92,32.0,32.84,10
2019-06-19,32.088,33.6,32.088,32.764,6
2019-06-20,32.4,33.6,32.4,33.492,13
2019-06-21,33.2,35.956,33.12,34.788,16
2019-06-24,35.2,35.2,33.6,34.122,2
2019-06-25,34.24,35.072,32.832,34.4,1
2019-06-26,34.4,34.4,33.6,34.204,2
2019-06-27,34.4,37.424,34.4,36.924,20
2019-06-28,35.1,38.8,35.1,38.752,7
2019-07-01,39.464,39.592,36.0,38.22,7
2019-07-02,36.608,38.0,35.6,36.18,2
2019-07-03,35.6,37.38,34.4,35.2,10
2019-07-05,35.2,36.352,34.408,34.808,10
2019-07-08,34.404,36.54,34.4,36.0,2
2019-07-09,36.4,37.816,34.804,37.12,12
2019-07-10,38.0,38.0,36.0,38.0,4
2019-07-11,38.4,38.4,36.4,37.2,8
2019-07-12,38.4,38.4,36.412,36.848,7
2019-07-15,36.88,39.2,36.88,38.72,8
2019-07-16,37.336,39.6,37.2,37.204,5
2019-07-17,38.136,38.8,37.2,37.924,3
2019-07-18,37.8,37.972,36.2,36.4,7
2019-07-19,37.6,38.0,36.4,38.0,1
2019-07-22,38.2,41.6,36.8,39.4,55
2019-07-23,40.0,40.0,38.8,38.804,7
2019-07-24,39.2,39.2,35.2,35.6,10
2019-07-25,36.0,37.2,34.4,34.96,5
2019-07-26,34.404,35.2,34.0,34.0,4
2019-07-29,34.4,35.24,33.368,33.368,10
2019-07-30,34.8,34.8,32.4,34.0,3
2019-07-31,34.8,36.0,33.004,33.004,5
2019-08-01,33.88,36.8,32.8,32.8,9
2019-08-02,32.84,34.752,32.84,34.752,0
2019-08-05,36.4,38.24,35.204,36.688,2
2019-08-06,40.0,40.0,36.0,37.992,6
2019-08-07,36.8,39.2,36.0,37.6,3
2019-08-08,37.8,39.2,36.316,36.316,2
2019-08-09,38.4,42.0,37.6,38.396,34
2019-08-12,43.6,51.2,40.8,43.2,883
2019-08-13,48.0,50.0,38.412,42.0,327
2019-08-14,40.8,42.4,36.0,39.2,82
2019-08-15,41.2,41.2,37.48,37.96,25
2019-08-16,38.0,39.2,33.2,36.852,25
2019-08-19,39.6,42.0,36.0,38.4,44
2019-08-20,38.0,38.0,36.136,37.592,16
2019-08-21,36.4,37.2,35.6,36.2,18
2019-08-22,35.8,36.0,34.396,34.644,9
2019-08-23,34.004,35.712,33.4,33.4,9
2019-08-26,34.0,37.616,33.22,34.4,161
2019-08-27,34.4,35.0,31.152,32.4,24
2019-08-28,34.36,34.36,32.4,32.564,5
2019-08-29,33.6,33.6,31.208,31.288,16
2019-08-30,31.552,32.8,31.208,31.58,7
2019-09-03,33.156,33.2,31.6,32.768,6
2019-09-04,33.8,33.8,31.084,31.7,13
2019-09-05,31.2,32.148,31.2,31.204,14
2019-09-06,31.24,33.572,31.204,31.42,13
2019-09-09,31.6,32.4,31.2,31.2,4
2019-09-10,24.4,27.128,24.0,25.6,66
