date,open,high,low,close,volume
2018-12-10,62.4,64.63,62.0,62.91,4379
2018-12-11,64.0,64.7,63.06,63.21,3734
2018-12-12,64.61,67.69,64.42,65.52,5756
2018-12-13,65.97,66.9,65.3,65.57,3286
2018-12-14,64.45,66.96,64.2,65.63,4541
2018-12-17,65.0,65.0,59.4,59.66,9717
2018-12-18,61.49,61.69,60.14,60.84,5745
2018-12-19,61.62,62.74,59.37,59.72,7049
2018-12-20,58.81,60.72,57.3,59.1,6432
2018-12-21,60.24,60.75,57.6,58.12,6620
2018-12-24,56.04,60.4,55.55,59.21,3708
2018-12-26,59.78,60.48,57.8,60.45,4997
2018-12-27,59.71,61.05,59.0,60.64,4718
2018-12-28,60.87,61.57,59.63,60.6,4724
2018-12-31,61.25,61.94,59.32,59.86,5171
2019-01-02,59.01,62.32,57.77,61.62,4658
2019-01-03,60.59,61.14,59.51,59.53,4593
2019-01-04,60.94,64.09,60.1,63.23,4502
2019-01-07,63.54,65.47,62.41,65.27,4014
2019-01-08,66.07,68.5,63.62,65.42,5307
2019-01-09,65.64,68.32,65.52,67.48,4673
2019-01-10,67.0,69.62,66.35,69.05,6601
2019-01-11,68.58,69.89,67.21,68.2,4202
2019-01-14,67.09,68.27,65.25,67.46,4970
2019-01-15,67.73,69.16,67.55,68.1,4851
2019-01-16,68.45,72.0,68.25,70.97,5826
2019-01-17,70.73,73.0,70.4,71.46,7035
2019-01-18,72.41,74.59,71.9,73.97,8497
2019-01-22,72.96,72.96,67.94,69.02,9078
2019-01-23,69.86,70.74,68.86,69.72,7566
2019-01-24,69.84,72.13,69.25,71.97,4859
2019-01-25,73.03,75.18,72.3,73.87,6161
2019-01-28,72.26,72.26,68.99,69.87,8618
2019-01-29,69.55,69.59,65.81,66.52,8256
2019-01-30,67.85,68.96,66.37,67.71,4613
2019-01-31,67.94,69.6,67.1,69.43,5313
2019-02-01,69.39,70.39,67.66,68.23,5058
2019-02-04,68.23,69.17,67.83,68.04,3128
2019-02-05,68.56,70.11,68.41,69.24,3932
2019-02-06,69.23,70.03,67.94,68.28,3307
2019-02-07,67.8,68.0,64.54,64.97,7565
2019-02-08,64.19,65.9,63.76,65.73,4951
2019-02-11,66.43,67.53,66.14,66.77,3565
2019-02-12,67.29,70.92,66.98,70.31,10792
2019-02-13,70.92,73.37,69.65,69.82,9256
2019-02-14,69.5,69.5,67.5,68.87,6086
2019-02-15,69.06,69.95,68.0,68.76,4315
2019-02-19,69.17,72.93,69.01,72.54,8446
2019-02-20,72.61,75.15,72.01,72.05,8906
2019-02-21,72.49,72.49,69.59,70.89,6824
2019-02-22,71.35,73.52,69.8,73.44,9465
2019-02-25,75.75,76.67,72.86,73.97,9277
2019-02-26,73.19,73.19,69.44,70.6,11538
2019-02-27,70.45,71.66,69.78,71.4,5072
2019-02-28,72.49,72.49,69.81,70.5,7020
2019-03-01,71.2,71.9,70.3,70.88,8803
2019-03-04,72.0,72.93,70.32,72.04,15099
2019-03-05,71.45,86.13,71.45,81.44,75974
2019-03-06,81.36,81.6,76.75,77.43,32563
2019-03-07,77.37,77.37,74.3,75.03,19660
2019-03-08,72.0,77.03,71.81,75.94,14603
2019-03-11,77.17,80.7,76.22,80.01,15876
2019-03-12,80.46,82.1,78.9,80.7,8677
2019-03-13,80.87,80.99,78.73,79.85,8431
2019-03-14,79.17,79.86,77.67,79.03,5760
2019-03-15,79.8,82.86,79.8,82.72,10523
2019-03-18,83.95,87.3,83.48,86.17,21495
2019-03-19,86.63,88.0,85.41,85.81,10117
2019-03-20,85.3,85.3,82.36,83.14,12156
2019-03-21,82.51,83.73,81.38,83.61,7764
2019-03-22,82.62,83.25,79.12,79.64,10591
2019-03-25,78.7,81.05,78.11,80.03,5494
